0.9485955390117107		SimpleArgument(Market Taker Mentoring,List([0, 22)))	Relation(is,List([23, 25)))	SimpleArgument(the leading resource for option-trader education,List([26, 74)))	Market Taker Mentoring is the leading resource for option-trader education.
0.913197594301744		SimpleArgument(a leading options education firm,List([59, 91)))	Relation(provides,List([97, 105)))	SimpleArgument(options newsletters,List([106, 125)))	He is also the founder and CEO of Market Taker Mentoring, Inc., a leading options education firm that provides online options education, options newsletters and personalized, one-on-one coaching for option traders.
0.38089450366724514		SimpleArgument(Inc,List([51, 54)))	Relation([is] the founder of,List([11, 25)))	SimpleArgument(Market Taker Mentoring,List([26, 48)))	He is also the founder and CEO of Market Taker Mentoring, Inc., a leading options education firm that provides online options education, options newsletters and personalized, one-on-one coaching for option traders.
0.913197594301744		SimpleArgument(a leading options education firm,List([59, 91)))	Relation(provides,List([97, 105)))	SimpleArgument(online options education,List([106, 130)))	He is also the founder and CEO of Market Taker Mentoring, Inc., a leading options education firm that provides online options education, options newsletters and personalized, one-on-one coaching for option traders.
0.4978219019954182		SimpleArgument(Dan,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(the founder of Market Taker Mentoring,List([11, 48)))	He is also the founder and CEO of Market Taker Mentoring, Inc., a leading options education firm that provides online options education, options newsletters and personalized, one-on-one coaching for option traders.
0.7939796849245363		SimpleArgument(Dan,List([0, 3)))	Relation(began,List([4, 9)))	SimpleArgument(his trading career on the floor of the CBOE,List([10, 53)))	Dan began his trading career on the floor of the CBOE as an equity options market maker.
0.5733539311623552		SimpleArgument(Dan,List([0, 2)))	Relation(traded futures on,List([8, 14), [15, 22), [23, 25)))	SpatialArgument(the floor of the Chicago Board of Trade ( now part of CME Group,List([26, 89)))	He also traded agricultural options and futures on the floor of the Chicago Board of Trade (now part of CME Group).
0.41051436014453063		SimpleArgument(Dan,List([0, 2)))	Relation(traded,List([8, 14)))	SimpleArgument(futures,List([15, 22)))	He also traded agricultural options and futures on the floor of the Chicago Board of Trade (now part of CME Group).
0.5733539311623552		SimpleArgument(Dan,List([0, 2)))	Relation(traded,List([8, 14)))	SimpleArgument(agricultural options on the floor of the Chicago Board of Trade ( now part of CME Group,List([15, 102)))	He also traded agricultural options and futures on the floor of the Chicago Board of Trade (now part of CME Group).
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to,List([12, 17), [18, 26), [27, 52), [53, 55)))	SimpleArgument(retail market makers,List([56, 76)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to retail market makers In,List([0, 2), [12, 69), [70, 76)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching advanced trading concepts to retail market makers,List([18, 76)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to,List([12, 17), [18, 26), [27, 52), [53, 55)))	SimpleArgument(retail money managers,List([56, 77)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to retail money managers In,List([0, 2), [12, 68), [69, 77)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching advanced trading concepts to retail money managers,List([18, 77)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to,List([12, 17), [18, 26), [27, 52), [53, 55)))	SimpleArgument(retail advisors,List([56, 71)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to retail advisors In,List([0, 2), [12, 62), [63, 71)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching advanced trading concepts to retail advisors,List([18, 71)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to,List([12, 17), [18, 26), [27, 52), [53, 55)))	SimpleArgument(retail financial planners,List([56, 81)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to retail financial planners In,List([0, 2), [12, 72), [73, 81)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching advanced trading concepts to retail financial planners,List([18, 81)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to,List([12, 17), [18, 26), [27, 52), [53, 55)))	SimpleArgument(retail institutional traders,List([56, 84)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to retail institutional traders In,List([0, 2), [12, 76), [77, 84)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching advanced trading concepts to retail institutional traders,List([18, 84)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to,List([12, 17), [18, 26), [27, 52), [53, 55)))	SimpleArgument(retail brokers,List([56, 70)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to retail brokers In,List([0, 2), [12, 62), [63, 70)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching advanced trading concepts to retail brokers,List([18, 70)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to,List([12, 17), [18, 26), [27, 52), [53, 55)))	SimpleArgument(retail traders,List([56, 70)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching,List([12, 17), [18, 26)))	SimpleArgument(advanced trading concepts,List([27, 52)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching advanced trading concepts to retail traders In,List([0, 2), [12, 62), [63, 70)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching advanced trading concepts to retail traders,List([18, 70)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to,List([12, 17), [18, 26), [27, 54), [55, 57)))	SimpleArgument(retail market makers,List([58, 78)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to retail market makers In,List([0, 2), [12, 71), [72, 78)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching both basic trading concepts to retail market makers,List([18, 78)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to,List([12, 17), [18, 26), [27, 54), [55, 57)))	SimpleArgument(retail money managers,List([58, 79)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to retail money managers In,List([0, 2), [12, 70), [71, 79)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching both basic trading concepts to retail money managers,List([18, 79)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to,List([12, 17), [18, 26), [27, 54), [55, 57)))	SimpleArgument(retail advisors,List([58, 73)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to retail advisors In,List([0, 2), [12, 64), [65, 73)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching both basic trading concepts to retail advisors,List([18, 73)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to,List([12, 17), [18, 26), [27, 54), [55, 57)))	SimpleArgument(retail financial planners,List([58, 83)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to retail financial planners In,List([0, 2), [12, 74), [75, 83)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching both basic trading concepts to retail financial planners,List([18, 83)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to,List([12, 17), [18, 26), [27, 54), [55, 57)))	SimpleArgument(retail institutional traders,List([58, 86)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to retail institutional traders In,List([0, 2), [12, 78), [79, 86)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching both basic trading concepts to retail institutional traders,List([18, 86)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to,List([12, 17), [18, 26), [27, 54), [55, 57)))	SimpleArgument(retail brokers,List([58, 72)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to retail brokers In,List([0, 2), [12, 64), [65, 72)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching both basic trading concepts to retail brokers,List([18, 72)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to,List([12, 17), [18, 26), [27, 54), [55, 57)))	SimpleArgument(retail traders,List([58, 72)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489	Context(Dan began,List([8, 17)))	SimpleArgument(Dan,List([8, 11)))	Relation(began teaching,List([12, 17), [18, 26)))	SimpleArgument(both basic trading concepts,List([27, 54)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.7015193137725686		SimpleArgument(Dan,List([8, 11)))	Relation(began teaching both basic trading concepts to retail traders In,List([0, 2), [12, 64), [65, 72)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8195727266148489		SimpleArgument(Dan,List([8, 11)))	Relation(began,List([12, 17)))	SimpleArgument(teaching both basic trading concepts to retail traders,List([18, 72)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.9909999966621399		SimpleArgument(2005 dan,List([0, 0)))	Relation(joined,List([0, 0)))	SimpleArgument(CBOE 's Options Institute,List(null))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.8019920579143587		SimpleArgument(Dan,List([8, 11)))	Relation(joined CBOE 's Options Institute In,List([0, 2), [12, 34), [35, 44)))	TemporalArgument(2005,List([3, 7)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.876543225140763		SimpleArgument(Dan,List([8, 11)))	Relation(joined,List([12, 18)))	SimpleArgument(CBOE 's Options Institute,List([19, 44)))	In 2005 Dan joined CBOE's Options Institute and began teaching both basic and advanced trading concepts to retail traders, brokers, institutional traders, financial planners and advisors, money managers, and market makers.
0.45170382506656653		SimpleArgument(Dan,List([39, 41)))	Relation(has taught,List([42, 52)))	SimpleArgument(options,List([53, 60)))	In addition to his work with the CBOE, he has taught options
