0.9726855614196764		SimpleArgument(Manzarek - Krieger,List([0, 18)))	Relation(was,List([19, 22)))	SimpleArgument(an American rock band formed by two former members of The Doors , Robby Krieger , in 2002,List([23, 112)))	Manzarek–Krieger was an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger, in 2002.
0.6082557990549734		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Manzarek - Ray Manzarek for legal reasons after,List([5, 12), [13, 63), [66, 71)))	TemporalArgument(acrimonious court battles between the two Doors co-songwriter / drummer,List([72, 143)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.5520449397565844	Context(They settled,List([0, 12)))	SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Manzarek - Ray Manzarek for,List([5, 12), [13, 21), [22, 45), [46, 49)))	SimpleArgument(legal reasons,List([50, 63)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.4458627011997391		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Manzarek - Ray Manzarek for legal reasons after,List([5, 12), [13, 63), [66, 71)))	TemporalArgument(acrimonious court battles between the two musicians,List([72, 123)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.5972483701400537		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on,List([5, 12), [13, 15)))	SimpleArgument(using Manzarek - Ray Manzarek for legal reasons,List([16, 63)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.6082557990549734		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Manzarek - Krieger for legal reasons after,List([5, 12), [13, 58), [61, 66)))	TemporalArgument(acrimonious court battles between the two Doors co-songwriter / drummer,List([67, 138)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.5520449397565844	Context(They settled,List([0, 12)))	SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Manzarek - Krieger for,List([5, 12), [13, 21), [22, 40), [41, 44)))	SimpleArgument(legal reasons,List([45, 58)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.4458627011997391		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Manzarek - Krieger for legal reasons after,List([5, 12), [13, 58), [61, 66)))	TemporalArgument(acrimonious court battles between the two musicians,List([67, 118)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.5972483701400537		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on,List([5, 12), [13, 15)))	SimpleArgument(using Manzarek - Krieger for legal reasons,List([16, 58)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.5617411649644959	Context(They settled,List([0, 12)))	SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Robby Krieger of The Doors for,List([5, 12), [13, 21), [22, 48), [49, 52)))	SimpleArgument(legal reasons , after acrimonious debates,List([53, 94)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.606663298621247	Context(They settled,List([0, 12)))	SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using,List([5, 12), [13, 21)))	SimpleArgument(Robby Krieger of The Doors,List([22, 48)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.7121029136309143		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on,List([5, 12), [13, 15)))	SimpleArgument(using Robby Krieger of The Doors for legal reasons , after acrimonious debates,List([16, 94)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.5617411649644959	Context(They settled,List([0, 12)))	SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Manzarek - Ray Manzarek for,List([5, 12), [13, 21), [22, 45), [46, 49)))	SimpleArgument(legal reasons , after acrimonious debates,List([50, 91)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.606663298621247	Context(They settled,List([0, 12)))	SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using,List([5, 12), [13, 21)))	SimpleArgument(Manzarek - Ray Manzarek,List([22, 45)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.7121029136309143		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on,List([5, 12), [13, 15)))	SimpleArgument(using Manzarek - Ray Manzarek for legal reasons , after acrimonious debates,List([16, 91)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.5617411649644959	Context(They settled,List([0, 12)))	SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using Manzarek - Krieger for,List([5, 12), [13, 21), [22, 40), [41, 44)))	SimpleArgument(legal reasons , after acrimonious debates,List([45, 86)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.606663298621247	Context(They settled,List([0, 12)))	SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on using,List([5, 12), [13, 21)))	SimpleArgument(Manzarek - Krieger,List([22, 40)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.7121029136309143		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(settled on,List([5, 12), [13, 15)))	SimpleArgument(using Manzarek - Krieger for legal reasons , after acrimonious debates,List([16, 86)))	They settled on using Manzarek–Krieger or Ray Manzarek and Robby Krieger of The Doors for legal reasons, after acrimonious debates and court battles between the two musicians and Doors co-songwriter / drummer John Densmore.
0.5570598774676798		SimpleArgument(an American rock band formed by two former members of The Doors, Ray Manzarek and Robby Krieger,List([0, 4)))	Relation(performed exclusively until,List([5, 14), [30, 41), [42, 47)))	TemporalArgument(the death of Manzarek in 2013,List([48, 77)))	They performed Doors material exclusively until the death of Manzarek in 2013.
