0.9527410621066101		SimpleArgument(Radical Act (film),List([0, 11)))	Relation(is,List([12, 14)))	SimpleArgument(a feature-length documentary by Tex Clark,List([15, 56)))	Radical Act is a feature-length documentary by Tex Clark.
0.8906741941974339	Context(She Wrote,List([267, 276)))	SimpleArgument(Women,List([279, 284)))	Relation(Write,List([285, 290)))	SimpleArgument(About Rock,List([291, 301)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	"SimpleArgument(Vitapup , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell ( "" Mamarama : A Memoir of Kids n Roll "" and "" Rock She Wrote : Women Write About Rock , Pop "" ) , author Victoria "" Vicky "" Starr ( "" KD Lang : All You Get Is Me "" ) and Dr. Kay Turner,List([21, 400)))"	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	"SimpleArgument(Team Dresch , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell ( "" Mamarama : A Memoir of Kids n Roll "" and "" Rock She Wrote : Women Write About Rock , Pop "" ) , author Victoria "" Vicky "" Starr ( "" KD Lang : All You Get Is Me "" ) and Dr. Kay Turner,List([21, 404)))"	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	"SimpleArgument(Melissa York , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell ( "" Mamarama : A Memoir of Kids n Roll "" and "" Rock She Wrote : Women Write About Rock , Pop "" ) , author Victoria "" Vicky "" Starr ( "" KD Lang : All You Get Is Me "" ) and Dr. Kay Turner,List([21, 405)))"	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.5282623903843621	Context(She Wrote,List([277, 286)))	SimpleArgument(All You Get,List([370, 381)))	Relation(Is,List([382, 384)))	SimpleArgument(Me,List([385, 387)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8906741941974339	Context(She Wrote,List([277, 286)))	SimpleArgument(Women,List([289, 294)))	Relation(Write,List([295, 300)))	SimpleArgument(About Rock,List([301, 311)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	"SimpleArgument(Gretchen Phillips , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell ( "" Mamarama : A Memoir of Kids n Roll "" and "" Rock She Wrote : Women Write About Rock , Pop "" ) , author Victoria "" Vicky "" Starr ( "" KD Lang : All You Get Is Me "" ) and Dr. Kay Turner,List([21, 410)))"	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.5282623903843621	Context(She Wrote,List([272, 281)))	SimpleArgument(All You Get,List([365, 376)))	Relation(Is,List([377, 379)))	SimpleArgument(Me,List([380, 382)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8906741941974339	Context(She Wrote,List([272, 281)))	SimpleArgument(Women,List([284, 289)))	Relation(Write,List([290, 295)))	SimpleArgument(About Rock,List([296, 306)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	"SimpleArgument(Toshi Reagon , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell ( "" Mamarama : A Memoir of Kids n Roll "" and "" Rock She Wrote : Women Write About Rock , Pop "" ) , author Victoria "" Vicky "" Starr ( "" KD Lang : All You Get Is Me "" ) and Dr. Kay Turner,List([21, 405)))"	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8902982953122027	Context(She Wrote,List([314, 323)))	SimpleArgument(Women,List([326, 331)))	Relation(Write,List([332, 337)))	SimpleArgument(About Rock,List([338, 348)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(The Butchies , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 219)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(Vitapup , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 214)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(Team Dresch , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 218)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(Melissa York , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 219)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(Gretchen Phillips , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 224)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.8985497890780633		SimpleArgument(Participants,List([0, 12)))	Relation(include,List([13, 20)))	SimpleArgument(Toshi Reagon , Kim Coletta ( Jawbox , co-owner of DeSoto Records ) , Shirlé Hale ( Mary Lou Lord , Gerty , Womyn of Destruction ) , Sharon Topper ( God is My Co-Pilot ) , journalist Evelyn McDonnell,List([21, 219)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.38089450366724514		SimpleArgument(Rap,List([350, 353)))	Relation([is] Rock [of],List([343, 347)))	SimpleArgument(About,List([337, 342)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
0.9105129651916236		SimpleArgument(Women,List([325, 330)))	Relation(Write,List([331, 336)))	SimpleArgument(About Rock,List([337, 347)))	"Participants include Kathleen Hanna (Bikini Kill, Le Tigre, Julie Ruin), Toshi Reagon, Gretchen Phillips, Melissa York (Team Dresch, Vitapup, The Butchies), Kim Coletta (Jawbox, co-owner of DeSoto Records), Shirlé Hale (Mary Lou Lord, Gerty, Womyn of Destruction), Sharon Topper (God is My Co-Pilot), journalist Evelyn McDonnell (""Mamarama: A Memoir of Sex, Kids and Rock n Roll"" and ""Rock She Wrote: Women Write About Rock, Pop and Rap""), author Victoria ""Vicky"" Starr (""KD Lang: All You Get Is Me"") and Dr. Kay Turner (now Folk Arts Director of Brooklyn Arts Council)."
