0.9397554176335701		SimpleArgument(The Federalist Party,List([0, 20)))	Relation(was,List([43, 46)))	SimpleArgument(a federalist Italian political party,List([47, 83)))	The Federalist Party (Partito Federalista) was a federalist Italian political party.
0.8934644291176528		SimpleArgument(Lega Nord,List([98, 107)))	Relation(had joined,List([114, 117), [129, 135)))	SimpleArgument(the Liberal Democrats,List([136, 157)))	In July 1995 the group was strengthened by the joining of eleven deputies: all former members of Lega Nord, who had previously joined the Federalist Italian League and the Federalists and Liberal Democrats.
0.7853141995911036		SimpleArgument(Lega Nord,List([98, 107)))	Relation(had joined the Federalists,List([114, 117), [129, 135), [136, 151)))	TemporalArgument(previously,List([118, 128)))	In July 1995 the group was strengthened by the joining of eleven deputies: all former members of Lega Nord, who had previously joined the Federalist Italian League and the Federalists and Liberal Democrats.
0.8934644291176528		SimpleArgument(Lega Nord,List([98, 107)))	Relation(had joined,List([114, 117), [129, 135)))	SimpleArgument(the Federalists,List([136, 151)))	In July 1995 the group was strengthened by the joining of eleven deputies: all former members of Lega Nord, who had previously joined the Federalist Italian League and the Federalists and Liberal Democrats.
0.7853141995911036		SimpleArgument(Lega Nord,List([98, 107)))	Relation(had joined the Federalist Italian League,List([114, 117), [129, 135), [136, 165)))	TemporalArgument(previously,List([118, 128)))	In July 1995 the group was strengthened by the joining of eleven deputies: all former members of Lega Nord, who had previously joined the Federalist Italian League and the Federalists and Liberal Democrats.
0.8934644291176528		SimpleArgument(Lega Nord,List([98, 107)))	Relation(had joined,List([114, 117), [129, 135)))	SimpleArgument(the Federalist Italian League,List([136, 165)))	In July 1995 the group was strengthened by the joining of eleven deputies: all former members of Lega Nord, who had previously joined the Federalist Italian League and the Federalists and Liberal Democrats.
0.9426897092628826		SimpleArgument(the group,List([13, 22)))	Relation(was strengthened In,List([0, 26), [27, 39)))	TemporalArgument(July 1995,List([3, 12)))	In July 1995 the group was strengthened by the joining of eleven deputies: all former members of Lega Nord, who had previously joined the Federalist Italian League and the Federalists and Liberal Democrats.
0.9030401971054747		SimpleArgument(the group,List([13, 22)))	Relation(was strengthened by,List([23, 39), [40, 42)))	SimpleArgument(the joining of eleven deputies,List([43, 73)))	In July 1995 the group was strengthened by the joining of eleven deputies: all former members of Lega Nord, who had previously joined the Federalist Italian League and the Federalists and Liberal Democrats.
0.17816844605352172		SimpleArgument(This,List([0, 4)))	Relation(made,List([5, 9)))	SimpleArgument(possible,List([10, 18)))	This made possible the establishment of a sub-group within the Mixed Group in the Chamber.
0.8103687806061152		SimpleArgument(Federalist Party (Italy),List([0, 9)))	Relation(changing,List([34, 42)))	SimpleArgument(its denomination,List([43, 59)))	The party was officially founded, changing its denomination, on 17 December 1995.
0.8081941811149291		SimpleArgument(Federalist Party (Italy),List([0, 9)))	Relation(was officially founded,List([10, 32)))	SimpleArgument(changing its denomination,List([34, 59)))	The party was officially founded, changing its denomination, on 17 December 1995.
0.3853208301752743		SimpleArgument(Vittorio Sgarbi,List([39, 54)))	Relation([is],List([39, 54)))	SimpleArgument(maverick politician,List([57, 76)))	At the founding congress in Milan also Vittorio Sgarbi, art critic and maverick politician, joined the party.
0.3853208301752743		SimpleArgument(Vittorio Sgarbi,List([39, 54)))	Relation([is],List([39, 54)))	SimpleArgument(art critic,List([57, 67)))	At the founding congress in Milan also Vittorio Sgarbi, art critic and maverick politician, joined the party.
0.9570872704623956		SimpleArgument(Vittorio Sgarbi,List([39, 54)))	Relation(joined the party At,List([0, 2), [70, 80), [81, 86)))	SpatialArgument(the founding congress in Milan,List([3, 33)))	At the founding congress in Milan also Vittorio Sgarbi, art critic and maverick politician, joined the party.
0.9143456855143793		SimpleArgument(Vittorio Sgarbi,List([39, 54)))	Relation(joined,List([70, 76)))	SimpleArgument(Federalist Party (Italy),List([77, 86)))	At the founding congress in Milan also Vittorio Sgarbi, art critic and maverick politician, joined the party.
0.9374058759955192		SimpleArgument(The program of the party,List([0, 24)))	Relation(included,List([25, 33)))	SimpleArgument(the idea of transforming Italy in a federal State,List([34, 83)))	The program of the party included the idea of transforming Italy in a federal State, modelled onto the examples of Switzerland and the United States, composed by three cantons (Padania, Etruria and Mediterranea) and the five existing autonomous regions.
0.9180804252893389		SimpleArgument(The federation,List([0, 14)))	Relation(would have been presided by,List([15, 39), [40, 42)))	SimpleArgument(a strong President,List([43, 61)))	The federation would have been presided by a strong President.
0.9139478779591064	Context(Sgarbi left,List([30, 41)))	SimpleArgument(Sgarbi,List([30, 36)))	Relation(left Miglio to form,List([37, 41), [42, 51)))	SimpleArgument(a list with Marco Pannella,List([57, 83)))	For the 1996 general election Sgarbi left Miglio to form a list with Marco Pannella, the Pannella-Sgarbi List.
0.928339237187167		SimpleArgument(Sgarbi,List([30, 36)))	Relation(left Miglio For,List([0, 3), [37, 41), [42, 48)))	TemporalArgument(the 1996 general election,List([4, 29)))	For the 1996 general election Sgarbi left Miglio to form a list with Marco Pannella, the Pannella-Sgarbi List.
0.9139478779591064		SimpleArgument(Sgarbi,List([30, 36)))	Relation(left Miglio to,List([37, 41), [42, 48), [49, 51)))	SimpleArgument(form a list with Marco Pannella,List([52, 83)))	For the 1996 general election Sgarbi left Miglio to form a list with Marco Pannella, the Pannella-Sgarbi List.
0.9337334399293727		SimpleArgument(Sgarbi,List([30, 36)))	Relation(left,List([37, 41)))	SimpleArgument(Miglio,List([42, 48)))	For the 1996 general election Sgarbi left Miglio to form a list with Marco Pannella, the Pannella-Sgarbi List.
0.3853208301752743		SimpleArgument(Umberto Giovine,List([111, 126)))	Relation([is] secretary [of],List([140, 149)))	SimpleArgument(Federalist Party (Italy),List([128, 137)))	Miglio was elected Senator in his single-seat constituency in Como with the support of the Pole of Freedoms as Umberto Giovine, the party's secretary, did in Lodi.
0.8780037064600699		SimpleArgument(Federalist Party (Italy),List([8, 28)))	Relation(continued its approachment In,List([0, 2), [29, 42), [43, 55)))	TemporalArgument(1997,List([3, 7)))	In 1997 the Federalist Party formed joint lists with the Union of the Centre at the local level and continued its approachment with Forza Italia.
0.883042269491254		SimpleArgument(Federalist Party (Italy),List([8, 28)))	Relation(continued,List([29, 38)))	SimpleArgument(its approachment,List([39, 55)))	In 1997 the Federalist Party formed joint lists with the Union of the Centre at the local level and continued its approachment with Forza Italia.
0.8780037064600699		SimpleArgument(Federalist Party (Italy),List([8, 28)))	Relation(formed joint lists In,List([0, 2), [29, 41), [42, 47)))	TemporalArgument(1997,List([3, 7)))	In 1997 the Federalist Party formed joint lists with the Union of the Centre at the local level and continued its approachment with Forza Italia.
0.9329286852051247		SimpleArgument(Federalist Party (Italy),List([8, 28)))	Relation(formed,List([29, 35)))	SimpleArgument(joint lists,List([36, 47)))	In 1997 the Federalist Party formed joint lists with the Union of the Centre at the local level and continued its approachment with Forza Italia.
0.6443878084846344		SimpleArgument(Federalist Party (Italy),List([0, 9)))	Relation(to be active until,List([20, 25), [26, 32), [65, 70)))	TemporalArgument(2008,List([71, 75)))	The party was almost disbanded after the death of Miglio in 2001, but continued to exist and to be active under the leadership of Giovine until 2008, when it was merged into the Movement for Autonomy.
0.9045207649554154		SimpleArgument(Federalist Party (Italy),List([0, 9)))	Relation(to be active under,List([20, 25), [26, 32), [33, 38)))	SpatialArgument(the leadership of Giovine,List([39, 64)))	The party was almost disbanded after the death of Miglio in 2001, but continued to exist and to be active under the leadership of Giovine until 2008, when it was merged into the Movement for Autonomy.
0.7351279940478935		SimpleArgument(Federalist Party (Italy),List([0, 9)))	Relation(to be,List([20, 25)))	SimpleArgument(active,List([26, 32)))	The party was almost disbanded after the death of Miglio in 2001, but continued to exist and to be active under the leadership of Giovine until 2008, when it was merged into the Movement for Autonomy.
0.681898541880026		SimpleArgument(Federalist Party (Italy),List([0, 9)))	Relation(continued until,List([10, 19), [65, 70)))	TemporalArgument(2008,List([71, 75)))	The party was almost disbanded after the death of Miglio in 2001, but continued to exist and to be active under the leadership of Giovine until 2008, when it was merged into the Movement for Autonomy.
0.3018651855507195		SimpleArgument(Federalist Party (Italy),List([47, 49)))	Relation(was merged into the Movement for Autonomy,List([50, 60), [61, 91)))	TemporalArgument(2008,List([35, 39)))	The party was almost disbanded after the death of Miglio in 2001, but continued to exist and to be active under the leadership of Giovine until 2008, when it was merged into the Movement for Autonomy.
0.4978219019954182		SimpleArgument(Federalist Party (Italy),List([47, 49)))	Relation(was merged into,List([50, 60), [61, 65)))	SimpleArgument(the Movement for Autonomy,List([66, 91)))	The party was almost disbanded after the death of Miglio in 2001, but continued to exist and to be active under the leadership of Giovine until 2008, when it was merged into the Movement for Autonomy.
0.7351279940478935		SimpleArgument(Federalist Party (Italy),List([0, 9)))	Relation(to exist until,List([20, 28), [29, 34)))	TemporalArgument(2008,List([35, 39)))	The party was almost disbanded after the death of Miglio in 2001, but continued to exist and to be active under the leadership of Giovine until 2008, when it was merged into the Movement for Autonomy.
0.7665350501724939		SimpleArgument(Federalist Party (Italy),List([0, 9)))	Relation(continued to,List([10, 19), [20, 22)))	SimpleArgument(exist until 2008,List([23, 39)))	The party was almost disbanded after the death of Miglio in 2001, but continued to exist and to be active under the leadership of Giovine until 2008, when it was merged into the Movement for Autonomy.
0.9180804252893389		SimpleArgument(Federalist Party (Italy),List([0, 9)))	Relation(was almost disbanded after,List([10, 30), [31, 36)))	TemporalArgument(the death of Miglio in 2001,List([37, 64)))	The party was almost disbanded after the death of Miglio in 2001, but continued to exist and to be active under the leadership of Giovine until 2008, when it was merged into the Movement for Autonomy.
