0.9397554176335701		SimpleArgument(Just Knut Qvigstad,List([0, 18)))	Relation(was,List([51, 54)))	SimpleArgument(a Norwegian engineer,List([55, 75)))	Just Knut Qvigstad (20 December 1902 – 6 May 2001) was a Norwegian engineer.
0.45170382506656653		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(took,List([3, 7)))	SimpleArgument(the dr.techn,List([8, 20)))	He took the dr.techn.
0.5680679595514976		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a member of the Royal Norwegian Society of Letters,List([7, 57)))	He was a member of the Royal Norwegian Society of Sciences and Letters.
0.8847999636040884		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(was a member of,List([3, 18)))	SimpleArgument(the Royal Norwegian Society,List([19, 46)))	He was a member of the Royal Norwegian Society of Sciences and Letters.
0.5680679595514976		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a member of the Royal Norwegian Society of Sciences,List([7, 58)))	He was a member of the Royal Norwegian Society of Sciences and Letters.
0.22506131975927415		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(worked as chief engineer from,List([3, 9), [10, 27), [28, 32)))	TemporalArgument(1945,List([33, 37)))	He worked as an engineer in Glommens Træsliberi from 1936, and chief engineer from 1945.
0.45170382506656653		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(worked as,List([3, 9), [10, 12)))	SimpleArgument(chief engineer,List([13, 27)))	He worked as an engineer in Glommens Træsliberi from 1936, and chief engineer from 1945.
0.4978219019954182		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(worked as,List([3, 9), [10, 12)))	SimpleArgument(an engineer in Glommens Træsliberi from 1936 from 1945,List([13, 67)))	He worked as an engineer in Glommens Træsliberi from 1936, and chief engineer from 1945.
0.6783685094789625		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a chief engineer in A/S Kykkelsrud, a hydroelectric power plant company, from 1955,List([7, 89)))	He was a chief engineer in A/S Kykkelsrud, a hydroelectric power plant company, from 1955 before being technical director in the company Hafslund from 1962 to 1969.
0.4978219019954182		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(was also,List([3, 11)))	SimpleArgument(a board member of Samkjøringen from 1966 to 1969,List([12, 60)))	He was also a member of the Norwegian Electrotechnical Committee from 1943 to 1965 and a board member of Samkjøringen from 1966 to 1969.
0.6138676038426771		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(was also,List([3, 11)))	SimpleArgument(a member of the Norwegian Electrotechnical Committee from 1943 to 1965,List([12, 82)))	He was also a member of the Norwegian Electrotechnical Committee from 1943 to 1965 and a board member of Samkjøringen from 1966 to 1969.
0.4978219019954182		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(was buried in,List([3, 13), [14, 16)))	SimpleArgument(Ullern,List([17, 23)))	He died in May 2001 and was buried in Ullern.
0.4978219019954182		SimpleArgument(a Norwegian engineer,List([0, 2)))	Relation(died in,List([3, 7), [8, 10)))	TemporalArgument(May 2001,List([11, 19)))	He died in May 2001 and was buried in Ullern.
