0.9481947648689547		SimpleArgument(Salty,List([0, 5)))	Relation(du,List([6, 8)))	SimpleArgument(Rand,List([9, 13)))	Salty du Rand
0.22015391053105568		SimpleArgument(he,List([0, 2)))	Relation(was chosen,List([3, 6), [12, 18)))	TemporalArgument(then,List([7, 11)))	He was then chosen to play in a four match series against the Wallabies in 1953, scoring a try in the first Test at Ellis Park, which South Africa won 25 to three.
0.50931417287027		SimpleArgument(he,List([0, 2)))	Relation(was chosen to,List([3, 6), [12, 18), [19, 21)))	SimpleArgument(play in a four match series against the Wallabies in 1953,List([22, 79)))	He was then chosen to play in a four match series against the Wallabies in 1953, scoring a try in the first Test at Ellis Park, which South Africa won 25 to three.
0.44469037867649003		SimpleArgument(he,List([0, 2)))	Relation(played as well in,List([3, 9), [10, 35), [36, 40)))	SpatialArgument(the two other games,List([13, 32)))	He also scored in the following Test, and played in the two other games as well.
0.4978219019954182		SimpleArgument(he,List([0, 2)))	Relation(also scored in,List([3, 14), [15, 17)))	SpatialArgument(the following Test,List([18, 36)))	He also scored in the following Test, and played in the two other games as well.
0.8780037064600699		SimpleArgument(the British Lions,List([9, 26)))	Relation(came In,List([0, 2), [27, 31)))	TemporalArgument(1955,List([3, 7)))	In 1955. the British Lions came to South Africa.
0.9436221120476838		SimpleArgument(the British Lions,List([9, 26)))	Relation(came to,List([27, 31), [32, 34)))	SimpleArgument(South Africa,List([35, 47)))	In 1955. the British Lions came to South Africa.
0.9266232318014763		SimpleArgument(Rand,List([0, 7)))	Relation(played in,List([8, 14), [15, 17)))	SpatialArgument(all four Tests,List([18, 32)))	Du Rand played in all four Tests.
0.963136748296795		SimpleArgument(the Springboks,List([78, 92)))	Relation(won,List([93, 96)))	TemporalArgument(The following season he was capped twice against the Wallabies,List([0, 62)))	The following season he was capped twice against the Wallabies, both of which the Springboks won.
0.44469037867649003		SimpleArgument(Rand,List([21, 23)))	Relation(was capped against the Wallabies,List([24, 34), [41, 62)))	TemporalArgument(The following season,List([0, 20)))	The following season he was capped twice against the Wallabies, both of which the Springboks won.
0.3929209860966329		SimpleArgument(Rand,List([21, 23)))	Relation(was capped against,List([24, 34), [41, 48)))	SimpleArgument(the Wallabies,List([49, 62)))	The following season he was capped twice against the Wallabies, both of which the Springboks won.
0.22015391053105568		SimpleArgument(Rand,List([21, 23)))	Relation(was capped against the Wallabies,List([24, 34), [41, 62)))	TemporalArgument(twice,List([35, 40)))	The following season he was capped twice against the Wallabies, both of which the Springboks won.
0.9084353254608957		SimpleArgument(Rand,List([0, 7)))	Relation(captained South Africa at,List([8, 17), [18, 30), [65, 67)))	SpatialArgument(Carisbrook,List([68, 78)))	The tour then continued to New Zealand, and du Rand captained South Africa against the All Blacks on July 14 at Carisbrook.
0.9084353254608957		SimpleArgument(Rand,List([0, 7)))	Relation(captained South Africa on,List([8, 17), [18, 30), [54, 56)))	TemporalArgument(July 14,List([57, 64)))	The tour then continued to New Zealand, and du Rand captained South Africa against the All Blacks on July 14 at Carisbrook.
0.9382554258342916		SimpleArgument(Rand,List([0, 7)))	Relation(captained South Africa against,List([8, 17), [18, 30), [31, 38)))	SimpleArgument(the All Blacks,List([39, 53)))	The tour then continued to New Zealand, and du Rand captained South Africa against the All Blacks on July 14 at Carisbrook.
0.9382554258342916		SimpleArgument(Rand,List([0, 7)))	Relation(captained,List([8, 17)))	SimpleArgument(South Africa,List([18, 30)))	The tour then continued to New Zealand, and du Rand captained South Africa against the All Blacks on July 14 at Carisbrook.
0.8321465232489272		SimpleArgument(tour,List([0, 8)))	Relation(continued,List([14, 23)))	TemporalArgument(then,List([9, 13)))	The tour then continued to New Zealand, and du Rand captained South Africa against the All Blacks on July 14 at Carisbrook.
0.3536345617184334		SimpleArgument(Rand,List([0, 2)))	Relation(playing his last Test at,List([58, 65), [66, 79), [112, 114)))	SpatialArgument(Eden Park,List([115, 124)))	He was capped another three times against the All Blacks, playing his last Test for South Africa on September 1 at Eden Park.
0.3536345617184334		SimpleArgument(Rand,List([0, 2)))	Relation(playing his last Test on,List([58, 65), [66, 79), [97, 99)))	TemporalArgument(September 1,List([100, 111)))	He was capped another three times against the All Blacks, playing his last Test for South Africa on September 1 at Eden Park.
0.31264665573320355		SimpleArgument(Rand,List([0, 2)))	Relation(playing,List([58, 65)))	SimpleArgument(his last Test,List([66, 79)))	He was capped another three times against the All Blacks, playing his last Test for South Africa on September 1 at Eden Park.
0.4978219019954182		SimpleArgument(Rand,List([0, 2)))	Relation(was capped,List([3, 13)))	TemporalArgument(another three times against the All Blacks,List([14, 56)))	He was capped another three times against the All Blacks, playing his last Test for South Africa on September 1 at Eden Park.
0.22506131975927415		SimpleArgument(Rand,List([0, 2)))	Relation(died in,List([3, 7), [8, 10)))	TemporalArgument(1979,List([11, 15)))	He died in 1979.
