0.9340463819568752		SimpleArgument(Fernand Collin,List([0, 14)))	Relation(was,List([63, 66)))	SimpleArgument(a Belgian businessman,List([67, 88)))	Fernand Collin (Antwerp, 18 December 1897 – 11 December 1990), was a Belgian businessman.
0.22506131975927415		SimpleArgument(Devos Lemmens,List([127, 129)))	Relation(was sold to Campbell Soup in,List([130, 138), [139, 155), [156, 158)))	TemporalArgument(1985,List([159, 163)))	He was CEO of the pudding producing company Imperial Products, which merged in 1968 with Devos Lemmens into Continental Foods (it was sold to Campbell Soup in 1985).
0.4978219019954182		SimpleArgument(Devos Lemmens,List([127, 129)))	Relation(was sold to,List([130, 138), [139, 141)))	SimpleArgument(Campbell Soup,List([142, 155)))	He was CEO of the pudding producing company Imperial Products, which merged in 1968 with Devos Lemmens into Continental Foods (it was sold to Campbell Soup in 1985).
0.8934644291176528		SimpleArgument(Imperial Products,List([44, 61)))	Relation(merged with Devos Lemmens into,List([69, 75), [84, 102), [103, 107)))	SimpleArgument(Continental Foods,List([108, 125)))	He was CEO of the pudding producing company Imperial Products, which merged in 1968 with Devos Lemmens into Continental Foods (it was sold to Campbell Soup in 1985).
0.8934644291176528		SimpleArgument(Imperial Products,List([44, 61)))	Relation(merged with,List([69, 75), [84, 88)))	SimpleArgument(Devos Lemmens,List([89, 102)))	He was CEO of the pudding producing company Imperial Products, which merged in 1968 with Devos Lemmens into Continental Foods (it was sold to Campbell Soup in 1985).
0.7853141995911036		SimpleArgument(Imperial Products,List([44, 61)))	Relation(merged with Devos Lemmens in,List([69, 75), [76, 94), [95, 102)))	TemporalArgument(1968,List([79, 83)))	He was CEO of the pudding producing company Imperial Products, which merged in 1968 with Devos Lemmens into Continental Foods (it was sold to Campbell Soup in 1985).
0.8942434158739456		SimpleArgument(pudding,List([18, 25)))	Relation(producing,List([26, 35)))	SimpleArgument(company,List([36, 43)))	He was CEO of the pudding producing company Imperial Products, which merged in 1968 with Devos Lemmens into Continental Foods (it was sold to Campbell Soup in 1985).
0.5222094630377523		SimpleArgument(Paul-Henri Spaak,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(CEO of the pudding producing company,List([7, 43)))	He was CEO of the pudding producing company Imperial Products, which merged in 1968 with Devos Lemmens into Continental Foods (it was sold to Campbell Soup in 1985).
0.5961061943937731		SimpleArgument(Paul-Henri Spaak,List([101, 103)))	Relation(expanded on the idea of a European currency,List([104, 112), [113, 147)))	SpatialArgument(the Yale Law Journal,List([36, 56)))	In 1962, he published an article in the Yale Law Journal, where in a note on the The Unit of Account he expanded on the idea of a European currency in order to revitalize the international money markets.
0.45170382506656653		SimpleArgument(Paul-Henri Spaak,List([101, 103)))	Relation(expanded on,List([104, 112), [113, 115)))	SimpleArgument(the idea of a European currency,List([116, 147)))	In 1962, he published an article in the Yale Law Journal, where in a note on the The Unit of Account he expanded on the idea of a European currency in order to revitalize the international money markets.
0.29886655727758943		SimpleArgument(Paul-Henri Spaak,List([9, 11)))	Relation(published an article in the Yale Law Journal In,List([0, 2), [12, 48), [49, 56)))	TemporalArgument(1962,List([3, 7)))	In 1962, he published an article in the Yale Law Journal, where in a note on the The Unit of Account he expanded on the idea of a European currency in order to revitalize the international money markets.
0.3497525988439521		SimpleArgument(Paul-Henri Spaak,List([9, 11)))	Relation(published an article in the Yale Law Journal in,List([12, 21), [22, 56), [148, 150)))	SimpleArgument(order,List([151, 156)))	In 1962, he published an article in the Yale Law Journal, where in a note on the The Unit of Account he expanded on the idea of a European currency in order to revitalize the international money markets.
0.4978219019954182		SimpleArgument(Paul-Henri Spaak,List([9, 11)))	Relation(published,List([12, 21)))	SimpleArgument(an article in the Yale Law Journal,List([22, 56)))	In 1962, he published an article in the Yale Law Journal, where in a note on the The Unit of Account he expanded on the idea of a European currency in order to revitalize the international money markets.
