0.9712589895050779		"SimpleArgument(William ""Willie"" D. Davenport (June 8, 1943,List([0, 43)))"	Relation(was,List([61, 64)))	SimpleArgument(an American sprint runner,List([65, 90)))	"William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002) was an American sprint runner."
0.292827695956731	Context(He competed,List([0, 11)))	"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed winning,List([3, 11), [64, 71)))	SimpleArgument(a gold medal,List([72, 84)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.3458137171542221		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed,List([3, 11)))	SimpleArgument(winning a gold medal in 1968 in 1976,List([64, 100)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.332563478582812		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed at,List([3, 11), [34, 36)))	SpatialArgument(the 1964 Summer Olympics,List([37, 61)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.3880890333449538		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([0, 2)))"	Relation(competed in,List([3, 11), [12, 14)))	SpatialArgument(the 110 m hurdlers,List([15, 33)))	He competed in the 110 m hurdlers at the 1964, 1968, 1972 and 1976 Summer Olympics, winning a gold medal in 1968 and a bronze in 1976, and finishing fourth in 1972.
0.29886655727758943		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([8, 10)))"	Relation(took part In,List([0, 2), [11, 15), [16, 20)))	TemporalArgument(1980,List([3, 7)))	In 1980 he took part in the Winter Olympics as a runner for the American bobsleigh team.
0.3497525988439521		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([8, 10)))"	Relation(took part as,List([11, 15), [16, 20), [44, 46)))	SimpleArgument(a runner for the American bobsleigh team,List([47, 87)))	In 1980 he took part in the Winter Olympics as a runner for the American bobsleigh team.
0.4978219019954182		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([8, 10)))"	Relation(took part in,List([11, 15), [16, 20), [21, 23)))	SpatialArgument(the Winter Olympics,List([24, 43)))	In 1980 he took part in the Winter Olympics as a runner for the American bobsleigh team.
0.45170382506656653		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([8, 10)))"	Relation(took,List([11, 15)))	SimpleArgument(part,List([16, 20)))	In 1980 he took part in the Winter Olympics as a runner for the American bobsleigh team.
0.9530647582435334		SimpleArgument(the only U.S. field athlete,List([88, 115)))	Relation(to participate in,List([116, 130), [131, 133)))	SimpleArgument(the 1980 Olympics,List([134, 151)))	Because of the boycott, and the quirk of participating in the Winter Olympics, he was the only U.S. track and field athlete to participate in the 1980 Olympics.
0.9681838090774921		SimpleArgument(the quirk of participating in the Winter Olympics,List([29, 78)))	Relation(was,List([84, 87)))	SimpleArgument(the only U.S. field athlete,List([88, 115)))	Because of the boycott, and the quirk of participating in the Winter Olympics, he was the only U.S. track and field athlete to participate in the 1980 Olympics.
0.9530647582435334		SimpleArgument(the only U.S. track athlete,List([88, 115)))	Relation(to participate in,List([116, 130), [131, 133)))	SimpleArgument(the 1980 Olympics,List([134, 151)))	Because of the boycott, and the quirk of participating in the Winter Olympics, he was the only U.S. track and field athlete to participate in the 1980 Olympics.
0.9681838090774921		SimpleArgument(the quirk of participating in the Winter Olympics,List([29, 78)))	Relation(was,List([84, 87)))	SimpleArgument(the only U.S. track athlete,List([88, 115)))	Because of the boycott, and the quirk of participating in the Winter Olympics, he was the only U.S. track and field athlete to participate in the 1980 Olympics.
0.8615585111461579		SimpleArgument(Davenport,List([0, 9)))	Relation(injured,List([10, 17)))	SimpleArgument(his thigh,List([18, 27)))	Davenport took part in his first Olympics in 1964, but injured his thigh and was eliminated in the semifinals.
0.7251886467849957		SimpleArgument(Davenport,List([0, 9)))	Relation(took part in,List([10, 14), [15, 19), [42, 44)))	TemporalArgument(1964,List([45, 49)))	Davenport took part in his first Olympics in 1964, but injured his thigh and was eliminated in the semifinals.
0.8821938819052391		SimpleArgument(Davenport,List([0, 9)))	Relation(took part in,List([10, 14), [15, 19), [20, 22)))	SpatialArgument(the Winter Olympics,List([23, 41)))	Davenport took part in his first Olympics in 1964, but injured his thigh and was eliminated in the semifinals.
0.9197759696552441		SimpleArgument(Davenport,List([0, 9)))	Relation(took,List([10, 14)))	SimpleArgument(part,List([15, 19)))	Davenport took part in his first Olympics in 1964, but injured his thigh and was eliminated in the semifinals.
0.5381082893716442	Context(I knew,List([60, 66)))	SimpleArgument(I,List({67}))	Relation(had won the race In,List([0, 72), [73, 80), [81, 85)))	SpatialArgument(Mexico City in 1968,List([3, 22)))	"In Mexico City in 1968, he reached the final and won: ""From the first step, the gun, I knew I had won the race."""
0.39746064682094406	Context(I knew,List([60, 66)))	SimpleArgument(I,List({67}))	Relation(had won,List([69, 76)))	SimpleArgument(the race,List([77, 85)))	"In Mexico City in 1968, he reached the final and won: ""From the first step, the gun, I knew I had won the race."""
0.3220463072594942		SimpleArgument(I,List({60}))	Relation(knew,List([62, 66)))	SimpleArgument(I had won the race,List([67, 85)))	"In Mexico City in 1968, he reached the final and won: ""From the first step, the gun, I knew I had won the race."""
0.5926659981335703		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([25, 27)))"	Relation(won In,List([0, 2), [28, 31)))	SpatialArgument(Mexico City in 1968,List([3, 22)))	"In Mexico City in 1968, he reached the final and won: ""From the first step, the gun, I knew I had won the race."""
0.5926659981335703		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([25, 27)))"	Relation(reached the final In,List([0, 2), [28, 39), [40, 45)))	SpatialArgument(Mexico City in 1968,List([3, 22)))	"In Mexico City in 1968, he reached the final and won: ""From the first step, the gun, I knew I had won the race."""
0.22506131975927415		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([25, 27)))"	Relation(reached,List([28, 35)))	SimpleArgument(the final,List([36, 45)))	"In Mexico City in 1968, he reached the final and won: ""From the first step, the gun, I knew I had won the race."""
0.29886655727758943		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([65, 67)))"	Relation(won a bronze medal in,List([55, 57), [68, 80), [81, 86)))	TemporalArgument(1976,List([58, 62)))	In 1972 he finished fourth, and in his third consecutive Olympic 110 m hurdles final, in 1976, he won a bronze medal.
0.44126879054002194		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([65, 67)))"	Relation(won a bronze medal in,List([0, 2), [68, 80), [81, 86)))	SpatialArgument(his third consecutive Olympic 110 m hurdles final,List([3, 52)))	In 1972 he finished fourth, and in his third consecutive Olympic 110 m hurdles final, in 1976, he won a bronze medal.
0.5222094630377523		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([65, 67)))"	Relation(won,List([68, 71)))	SimpleArgument(a bronze medal,List([72, 86)))	In 1972 he finished fourth, and in his third consecutive Olympic 110 m hurdles final, in 1976, he won a bronze medal.
0.29886655727758943		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([8, 10)))"	Relation(finished fourth In,List([0, 19), [20, 26)))	TemporalArgument(1972,List([3, 7)))	In 1972 he finished fourth, and in his third consecutive Olympic 110 m hurdles final, in 1976, he won a bronze medal.
0.3125601471068353		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([29, 31)))"	Relation(ending up in,List([56, 65), [71, 73)))	SpatialArgument(the four-man competition,List([74, 98)))	At his last Olympics in 1980 he was a bobsleigh runner, ending up 12th in the four-man competition.
0.19710908353723788		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([29, 31)))"	Relation(ending up,List([56, 65)))	TemporalArgument(12th,List([66, 70)))	At his last Olympics in 1980 he was a bobsleigh runner, ending up 12th in the four-man competition.
0.44126879054002194		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([29, 31)))"	Relation(was a bobsleigh runner At,List([0, 2), [32, 47), [48, 54)))	SpatialArgument(his last Olympics in 1980,List([3, 28)))	At his last Olympics in 1980 he was a bobsleigh runner, ending up 12th in the four-man competition.
0.5222094630377523		"SimpleArgument(Willie Davenport William ""Willie"" D. Davenport (June 8, 1943 – June 17, 2002),List([29, 31)))"	Relation(was,List([32, 35)))	SimpleArgument(a bobsleigh runner,List([36, 54)))	At his last Olympics in 1980 he was a bobsleigh runner, ending up 12th in the four-man competition.
0.9387281236502384		SimpleArgument(Davenport's other achievements,List([0, 30)))	Relation(include,List([31, 38)))	SimpleArgument(five national championships in the 60 yard hurdles,List([39, 89)))	Davenport's other achievements include five national championships in the 60 yard hurdles indoor event.
0.9324144673478683		SimpleArgument(Willie,List([40, 46)))	Relation(became,List([47, 53)))	SimpleArgument(the first African American,List([54, 80)))	By participating in the 1980 Bobsleigh, Willie became the first African American to compeat in the Winter Olympics for the USA.
0.38089450366724514		SimpleArgument(Willie,List([82, 84)))	Relation(was a Colonel in,List([85, 101)))	SimpleArgument(the United States Army National Guard,List([102, 139)))	Davenport was a U.S. Army private at the time of his first Olympic participation, he was a Colonel in the United States Army National Guard at the time of his death.
0.38089450366724514		SimpleArgument(Guard,List([134, 139)))	Relation([is] Army National [from],List([120, 133)))	SimpleArgument(United States,List([106, 119)))	Davenport was a U.S. Army private at the time of his first Olympic participation, he was a Colonel in the United States Army National Guard at the time of his death.
0.8273172415259126	Context(he was,List([82, 88)))	SimpleArgument(Davenport,List([0, 9)))	Relation(was a U.S. Army private at,List([10, 13), [14, 33), [34, 36)))	TemporalArgument(the time of his first Olympic participation,List([37, 80)))	Davenport was a U.S. Army private at the time of his first Olympic participation, he was a Colonel in the United States Army National Guard at the time of his death.
0.9337334399293727	Context(he was,List([82, 88)))	SimpleArgument(Davenport,List([0, 9)))	Relation(was,List([10, 13)))	SimpleArgument(a U.S. Army private,List([14, 33)))	Davenport was a U.S. Army private at the time of his first Olympic participation, he was a Colonel in the United States Army National Guard at the time of his death.
0.3135276058215937		SimpleArgument(Willie,List([82, 84)))	Relation(was a Colonel in the United States Army National Guard at,List([85, 88), [89, 139), [140, 142)))	TemporalArgument(the time of his death,List([143, 164)))	Davenport was a U.S. Army private at the time of his first Olympic participation, he was a Colonel in the United States Army National Guard at the time of his death.
0.5031023801911841		SimpleArgument(Willie,List([82, 84)))	Relation(was,List([85, 88)))	SimpleArgument(a Colonel in the United States Army National Guard,List([89, 139)))	Davenport was a U.S. Army private at the time of his first Olympic participation, he was a Colonel in the United States Army National Guard at the time of his death.
0.3929209860966329		SimpleArgument(Willie,List([0, 2)))	Relation(died on,List([3, 7), [78, 80)))	TemporalArgument(June 17, 2002,List([81, 94)))	He died of a heart attack at age 59 at Chicago's O'Hare International Airport on June 17, 2002.
0.3929209860966329		SimpleArgument(Willie,List([0, 2)))	Relation(died at,List([3, 7), [36, 38)))	SpatialArgument(Chicago's O'Hare International Airport,List([39, 77)))	He died of a heart attack at age 59 at Chicago's O'Hare International Airport on June 17, 2002.
0.3497525988439521		SimpleArgument(Willie,List([0, 2)))	Relation(died at,List([3, 7), [26, 28)))	TemporalArgument(age 59,List([29, 35)))	He died of a heart attack at age 59 at Chicago's O'Hare International Airport on June 17, 2002.
0.45170382506656653		SimpleArgument(Willie,List([0, 2)))	Relation(died of,List([3, 7), [8, 10)))	SimpleArgument(a heart attack,List([11, 25)))	He died of a heart attack at age 59 at Chicago's O'Hare International Airport on June 17, 2002.
0.45170382506656653		SimpleArgument(Willie,List([0, 2)))	Relation(was survived by,List([3, 15), [16, 18)))	SimpleArgument(sons,List([19, 23)))	He was survived by daughter Tanya, sons Willie and Mark and fiancee Barbara Henry.
0.4978219019954182		SimpleArgument(Willie,List([0, 2)))	Relation(was survived by,List([3, 15), [16, 18)))	SimpleArgument(fiancee Barbara Henry,List([19, 40)))	He was survived by daughter Tanya, sons Willie and Mark and fiancee Barbara Henry.
0.4978219019954182		SimpleArgument(Willie,List([0, 2)))	Relation(was survived by,List([3, 15), [16, 18)))	SimpleArgument(daughter Tanya,List([19, 33)))	He was survived by daughter Tanya, sons Willie and Mark and fiancee Barbara Henry.
0.9929999709129333		SimpleArgument(Willie,List([0, 0)))	Relation(was inducted In,List([0, 0)))	SimpleArgument(1977,List(null))	In 1977 he was inducted into the Mt.
0.29886655727758943		SimpleArgument(Willie,List([8, 10)))	Relation(was inducted into the Mt In,List([0, 14), [15, 32), [33, 35)))	TemporalArgument(1977,List([3, 7)))	In 1977 he was inducted into the Mt.
0.4978219019954182		SimpleArgument(Willie,List([8, 10)))	Relation(was inducted into,List([11, 23), [24, 28)))	SimpleArgument(the Mt,List([29, 35)))	In 1977 he was inducted into the Mt.
