0.8847641879927497		SimpleArgument(Edward Guinness,List([0, 15)))	Relation([is] 4th Earl of,List([17, 28)))	SimpleArgument(Iveagh,List([29, 35)))	Edward Guinness, 4th Earl of Iveagh
0.4953178616921359		SimpleArgument(October 27 , 2001,List([3, 20)))	Relation([is] the married interior designer [of],List([32, 57)))	SimpleArgument(earl,List([27, 31)))	On October 27, 2001, the earl married interior designer Clare Hazell, at the Church of St Andrew's and St Patrick's, Elveden, Suffolk.
0.38089450366724514		SimpleArgument(Clare Hazell,List([58, 70)))	Relation([is] married interior designer [of],List([32, 57)))	SimpleArgument(earl,List([27, 31)))	On October 27, 2001, the earl married interior designer Clare Hazell, at the Church of St Andrew's and St Patrick's, Elveden, Suffolk.
0.9570872704623956		SimpleArgument(the earl,List([23, 31)))	Relation(married interior designer On,List([0, 2), [32, 48), [49, 57)))	TemporalArgument(October 27 , 2001,List([3, 20)))	On October 27, 2001, the earl married interior designer Clare Hazell, at the Church of St Andrew's and St Patrick's, Elveden, Suffolk.
0.9084353254608957		SimpleArgument(the earl,List([23, 31)))	Relation(married interior designer at,List([32, 39), [40, 57), [73, 75)))	SpatialArgument(the Church of St Andrew 's , Elveden,List([76, 112)))	On October 27, 2001, the earl married interior designer Clare Hazell, at the Church of St Andrew's and St Patrick's, Elveden, Suffolk.
0.9266232318014763		SimpleArgument(the earl,List([23, 31)))	Relation(married,List([32, 39)))	SimpleArgument(interior designer,List([40, 57)))	On October 27, 2001, the earl married interior designer Clare Hazell, at the Church of St Andrew's and St Patrick's, Elveden, Suffolk.
0.9100029960835063	Context(It operates,List([82, 93)))	SimpleArgument(Edward Iveagh,List([0, 11)))	Relation(lives on,List([12, 17), [18, 20)))	SpatialArgument(the 22,486 acre,List([21, 36)))	Lord Iveagh lives on the 22,486 acre (91 km²) Elveden Estate in Suffolk, England, It operates as a 'one unit' farm concentrating on root vegetables with cereals as a break crop.
0.39746064682094406		SimpleArgument(Edward Iveagh,List([82, 84)))	Relation(operates as,List([85, 93), [94, 96)))	SimpleArgument(a 'one unit' farm,List([97, 114)))	Lord Iveagh lives on the 22,486 acre (91 km²) Elveden Estate in Suffolk, England, It operates as a 'one unit' farm concentrating on root vegetables with cereals as a break crop.
0.9320111551042786		SimpleArgument(a 'one unit' farm,List([97, 114)))	Relation(concentrating on,List([115, 128), [129, 131)))	SimpleArgument(root vegetables,List([132, 147)))	Lord Iveagh lives on the 22,486 acre (91 km²) Elveden Estate in Suffolk, England, It operates as a 'one unit' farm concentrating on root vegetables with cereals as a break crop.
0.9909999966621399		SimpleArgument(4000 acres,List([0, 0)))	Relation(comprises,List([0, 0)))	SimpleArgument(forest,List(null))	Approximately 4,000 acres (16 km²) comprises forest.
0.7440220930148851		SimpleArgument(Edward Iveagh,List([0, 11)))	Relation(sold Farmleigh in,List([12, 16), [17, 26), [77, 79)))	TemporalArgument(1999,List([80, 84)))	Lord Iveagh sold Farmleigh, the family's Irish home, to the Irish Government in 1999.
0.9084353254608957		SimpleArgument(Edward Iveagh,List([0, 11)))	Relation(sold Farmleigh to,List([12, 16), [17, 26), [53, 55)))	SimpleArgument(the Irish Government,List([56, 76)))	Lord Iveagh sold Farmleigh, the family's Irish home, to the Irish Government in 1999.
0.9527410621066101		SimpleArgument(Edward Iveagh,List([0, 11)))	Relation(sold,List([12, 16)))	SimpleArgument(Farmleigh,List([17, 26)))	Lord Iveagh sold Farmleigh, the family's Irish home, to the Irish Government in 1999.
