0.8847999636040884		SimpleArgument(I,List({0}))	Relation(am a Lecturer in,List([2, 18)))	SimpleArgument(Economics,List([19, 28)))	I am a Lecturer in Economics in the School of Economics in University College Cork, Ireland.
0.2724783810037946		SimpleArgument(I,List({0}))	Relation(am serving as a committee member of both the Regional Science Association International - Irish Section,List([2, 4), [15, 22), [23, 115)))	TemporalArgument(currently,List([5, 14)))	I am currently serving as a committee member of both the Regional Science Association International - British and Irish Section and the Regional Studies Association Irish Branch.
0.50931417287027		SimpleArgument(I,List({0}))	Relation(am serving as,List([2, 4), [15, 22), [23, 25)))	SimpleArgument(a committee member of both the Regional Science Association International - Irish Section,List([26, 115)))	I am currently serving as a committee member of both the Regional Science Association International - British and Irish Section and the Regional Studies Association Irish Branch.
0.2724783810037946		SimpleArgument(I,List({0}))	Relation(am serving as a committee member of both the Regional Science Association International - British Section,List([2, 4), [15, 22), [23, 117)))	TemporalArgument(currently,List([5, 14)))	I am currently serving as a committee member of both the Regional Science Association International - British and Irish Section and the Regional Studies Association Irish Branch.
0.50931417287027		SimpleArgument(I,List({0}))	Relation(am serving as,List([2, 4), [15, 22), [23, 25)))	SimpleArgument(a committee member of both the Regional Science Association International - British Section,List([26, 117)))	I am currently serving as a committee member of both the Regional Science Association International - British and Irish Section and the Regional Studies Association Irish Branch.
0.22015391053105568		SimpleArgument(I,List({0}))	Relation(am serving as a committee member of the Regional Studies Association Irish Branch,List([2, 4), [15, 22), [23, 93)))	TemporalArgument(currently,List([5, 14)))	I am currently serving as a committee member of both the Regional Science Association International - British and Irish Section and the Regional Studies Association Irish Branch.
0.50931417287027		SimpleArgument(I,List({0}))	Relation(am serving as,List([2, 4), [15, 22), [23, 25)))	SimpleArgument(a committee member of the Regional Studies Association Irish Branch,List([26, 93)))	I am currently serving as a committee member of both the Regional Science Association International - British and Irish Section and the Regional Studies Association Irish Branch.
0.8942434158739456		SimpleArgument(conferences,List([35, 46)))	Relation(organised by,List([47, 56), [57, 59)))	SimpleArgument(a number of other international events,List([60, 98)))	I regularly present my research at conferences organised by these societies as well as a number of other national and international events.
0.8942434158739456		SimpleArgument(conferences,List([35, 46)))	Relation(organised by,List([47, 56), [57, 59)))	SimpleArgument(a number of other national events,List([60, 93)))	I regularly present my research at conferences organised by these societies as well as a number of other national and international events.
0.8942434158739456		SimpleArgument(conferences,List([35, 46)))	Relation(organised by,List([47, 56), [57, 59)))	SimpleArgument(these societies,List([60, 75)))	I regularly present my research at conferences organised by these societies as well as a number of other national and international events.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(regularly present my research at,List([2, 19), [20, 31), [32, 34)))	SpatialArgument(conferences,List([35, 46)))	I regularly present my research at conferences organised by these societies as well as a number of other national and international events.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(regularly present,List([2, 19)))	SimpleArgument(my research,List([20, 31)))	I regularly present my research at conferences organised by these societies as well as a number of other national and international events.
0.5733539311623552		SimpleArgument(I,List({0}))	Relation(teach on,List([12, 17), [18, 20)))	SpatialArgument(BA ( Arts ) , MBS ( Business Information Systems ) , MEconSc programs,List([21, 90)))	I currently teach on BA(Arts), MBS(Business Information Systems), MA(Economics) and MEconSc programs.
0.3048426724432105		SimpleArgument(I,List({0}))	Relation(teach,List([12, 17)))	TemporalArgument(currently,List([2, 11)))	I currently teach on BA(Arts), MBS(Business Information Systems), MA(Economics) and MEconSc programs.
0.5733539311623552		SimpleArgument(I,List({0}))	Relation(teach on,List([12, 17), [18, 20)))	SpatialArgument(BA ( Arts ) , MBS ( Business Information Systems ) , MA ( Economics ) programs,List([21, 99)))	I currently teach on BA(Arts), MBS(Business Information Systems), MA(Economics) and MEconSc programs.
0.721851211023842		SimpleArgument(The areas in which I teach,List([0, 26)))	Relation(are,List([27, 30)))	SimpleArgument(Econometrics,List([31, 43)))	The areas in which I teach are Econometrics, Economic Growth, Macroeconomics, Innovation and Competitiveness.
0.8841701665203853		SimpleArgument(The areas,List([0, 9)))	Relation(teach,List([21, 26)))	SimpleArgument(I,List({19}))	The areas in which I teach are Econometrics, Economic Growth, Macroeconomics, Innovation and Competitiveness.
0.45592395356914683		SimpleArgument(I,List({0}))	Relation(supervise,List([7, 16)))	SimpleArgument(masters dissertations on the MA(Economics) program,List([17, 67)))	I also supervise masters dissertations on the MA(Economics) program.
