0.9397554176335701		SimpleArgument(Andrew Grant Chapman,List([0, 20)))	Relation(was,List([61, 64)))	SimpleArgument(an American politician,List([65, 87)))	Andrew Grant Chapman (January 17, 1839 – September 25, 1892) was an American politician.
0.38089450366724514		SimpleArgument(Port Tobacco Chapman,List([27, 47)))	Relation(was a member of,List([48, 63)))	SimpleArgument(the Maryland House,List([64, 82)))	In 1864, Chapman moved to Port Tobacco, Maryland and continued the practice of law and engaged in agricultural pursuits Chapman was a member of the Maryland House of Delegates in 1867, 1868, 1870, 1872, 1879, and 1885.
0.8557456177405949		SimpleArgument(Chapman,List([10, 17)))	Relation(engaged in agricultural pursuits In,List([0, 2), [40, 63), [64, 72)))	TemporalArgument(1864,List([3, 7)))	In 1864, Chapman moved to Port Tobacco, Maryland and continued the practice of law and engaged in agricultural pursuits Chapman was a member of the Maryland House of Delegates in 1867, 1868, 1870, 1872, 1879, and 1885.
0.9064683704715875		SimpleArgument(Chapman,List([10, 17)))	Relation(engaged in,List([40, 47), [48, 50)))	SimpleArgument(agricultural pursuits,List([51, 72)))	In 1864, Chapman moved to Port Tobacco, Maryland and continued the practice of law and engaged in agricultural pursuits Chapman was a member of the Maryland House of Delegates in 1867, 1868, 1870, 1872, 1879, and 1885.
0.9064683704715875		SimpleArgument(Chapman,List([10, 17)))	Relation(continued,List([40, 49)))	SimpleArgument(the practice of law,List([50, 69)))	In 1864, Chapman moved to Port Tobacco, Maryland and continued the practice of law and engaged in agricultural pursuits Chapman was a member of the Maryland House of Delegates in 1867, 1868, 1870, 1872, 1879, and 1885.
0.9197759696552441		SimpleArgument(Chapman,List([10, 17)))	Relation(moved to Port Tobacco,List([18, 23), [24, 39)))	TemporalArgument(continued the practice of law,List([40, 69)))	In 1864, Chapman moved to Port Tobacco, Maryland and continued the practice of law and engaged in agricultural pursuits Chapman was a member of the Maryland House of Delegates in 1867, 1868, 1870, 1872, 1879, and 1885.
0.8557456177405949		SimpleArgument(Chapman,List([10, 17)))	Relation(moved to Port Tobacco In,List([0, 2), [18, 31), [32, 39)))	TemporalArgument(1864,List([3, 7)))	In 1864, Chapman moved to Port Tobacco, Maryland and continued the practice of law and engaged in agricultural pursuits Chapman was a member of the Maryland House of Delegates in 1867, 1868, 1870, 1872, 1879, and 1885.
0.9324144673478683		SimpleArgument(Chapman,List([10, 17)))	Relation(moved to,List([18, 23), [24, 26)))	SimpleArgument(Port Tobacco,List([27, 39)))	In 1864, Chapman moved to Port Tobacco, Maryland and continued the practice of law and engaged in agricultural pursuits Chapman was a member of the Maryland House of Delegates in 1867, 1868, 1870, 1872, 1879, and 1885.
0.6138676038426771		SimpleArgument(Chapman,List([0, 2)))	Relation(was appointed,List([3, 16)))	SimpleArgument(inspector with rank of brigadier general in 1874 on the staff of Governor James Black Groome,List([17, 109)))	He was appointed aide and inspector with rank of brigadier general in 1874 on the staff of Governor James Black Groome, and was reappointed by Governor John Lee Carroll.
0.6138676038426771		SimpleArgument(Chapman,List([0, 2)))	Relation(was appointed,List([3, 16)))	SimpleArgument(aide with rank of brigadier general in 1874 on the staff of Governor James Black Groome,List([17, 104)))	He was appointed aide and inspector with rank of brigadier general in 1874 on the staff of Governor James Black Groome, and was reappointed by Governor John Lee Carroll.
0.4978219019954182		SimpleArgument(Chapman,List([0, 2)))	Relation(was reappointed by,List([3, 18), [19, 21)))	SimpleArgument(Governor John Lee Carroll,List([22, 47)))	He was appointed aide and inspector with rank of brigadier general in 1874 on the staff of Governor James Black Groome, and was reappointed by Governor John Lee Carroll.
0.4978219019954182		SimpleArgument(Chapman,List([0, 2)))	Relation(served from,List([3, 9), [10, 14)))	SimpleArgument(March 4 , 1881 to March 3,List([15, 40)))	He was elected from the fifth district of Maryland as a Democrat to the Forty-seventh Congress, and served from March 4, 1881 to March 3, 1883.
0.4978219019954182		SimpleArgument(Chapman,List([0, 2)))	Relation(was elected from,List([3, 14), [15, 19)))	SimpleArgument(the fifth district of Maryland,List([20, 50)))	He was elected from the fifth district of Maryland as a Democrat to the Forty-seventh Congress, and served from March 4, 1881 to March 3, 1883.
0.45170382506656653		SimpleArgument(Chapman,List([0, 2)))	Relation(resumed,List([3, 10)))	SimpleArgument(the practice of law,List([11, 30)))	He was an unsuccessful candidate for reelection in 1882 to the Forty-eighth Congress, and resumed the practice of law.
0.22506131975927415		SimpleArgument(Chapman,List([0, 2)))	Relation(was an unsuccessful candidate for reelection in,List([3, 6), [7, 47), [48, 50)))	TemporalArgument(1882,List([51, 55)))	He was an unsuccessful candidate for reelection in 1882 to the Forty-eighth Congress, and resumed the practice of law.
0.5222094630377523		SimpleArgument(Chapman,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(an unsuccessful candidate for reelection,List([7, 47)))	He was an unsuccessful candidate for reelection in 1882 to the Forty-eighth Congress, and resumed the practice of law.
0.45592395356914683		SimpleArgument(Chapman,List([0, 2)))	Relation(served as,List([8, 14), [15, 17)))	SimpleArgument(delegate to the Democratic National Convention in 1888,List([18, 72)))	He was appointed deputy collector of internal revenue in 1885 and collector in 1888, and also served as delegate to the Democratic National Convention in 1888.
0.9929999709129333		SimpleArgument(Chapman,List([0, 0)))	Relation(was appointed in,List([0, 0)))	SimpleArgument(1885,List(null))	He was appointed deputy collector of internal revenue in 1885 and collector in 1888, and also served as delegate to the Democratic National Convention in 1888.
0.22506131975927415		SimpleArgument(Chapman,List([0, 2)))	Relation(was appointed deputy collector of internal revenue in,List([3, 16), [17, 53), [54, 56)))	TemporalArgument(1885,List([57, 61)))	He was appointed deputy collector of internal revenue in 1885 and collector in 1888, and also served as delegate to the Democratic National Convention in 1888.
0.45170382506656653		SimpleArgument(Chapman,List([0, 2)))	Relation(was appointed,List([3, 16)))	SimpleArgument(deputy collector of internal revenue,List([17, 53)))	He was appointed deputy collector of internal revenue in 1885 and collector in 1888, and also served as delegate to the Democratic National Convention in 1888.
0.4978219019954182		SimpleArgument(Chapman,List([0, 2)))	Relation(is interred at,List([3, 14), [15, 17)))	SpatialArgument(Mount Rest Cemetery of La Plata,List([18, 49)))	He died at his home, Normandy, near La Plata, and is interred at Mount Rest Cemetery of La Plata.
0.3498441627223176		SimpleArgument(Chapman,List([0, 2)))	Relation(died at,List([3, 7), [8, 10)))	SpatialArgument(his home , Normandy , near La Plata,List([11, 46)))	He died at his home, Normandy, near La Plata, and is interred at Mount Rest Cemetery of La Plata.
0.8847999636040884		SimpleArgument(John Grant Chapman,List([18, 36)))	Relation([is] father [of],List([10, 16)))	SimpleArgument(Chapman,List([0, 7)))	Chapman's father, John Grant Chapman, was also a Congressman from Maryland.
0.9339862216393666		SimpleArgument(Chapman's father,List([0, 16)))	Relation(was also,List([38, 46)))	SimpleArgument(a Congressman from Maryland,List([47, 74)))	Chapman's father, John Grant Chapman, was also a Congressman from Maryland.
