0.9498112450143501		SimpleArgument(Joël Dieudonné Martin Epalle Newaka,List([0, 35)))	Relation(is,List([60, 62)))	SimpleArgument(a Cameroonian football player,List([63, 92)))	Joël Dieudonné Martin Epalle Newaka (born 20 February 1978) is a Cameroonian football player.
0.4978219019954182		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([40, 42)))	Relation(moved to,List([43, 48), [49, 51)))	SimpleArgument(Greece,List([52, 58)))	After his spell in Cameroon, in 1998, he moved to Greece where he played football for several clubs including Ethnikos, Panachaiki, Aris, Panathinaikos and Iraklis in a time span of nine and a half years.
0.45170382506656653		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([80, 82)))	Relation(played for,List([83, 89), [90, 93)))	TemporalArgument(a half years,List([94, 106)))	Subsequently, in January 2007, he moved to Bundesliga outfit VfL Bochum where he played for three and a half years.
0.5961061943937731		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([80, 82)))	Relation(played,List([83, 89)))	SpatialArgument(Bundesliga outfit VfL Bochum,List([45, 73)))	Subsequently, in January 2007, he moved to Bundesliga outfit VfL Bochum where he played for three and a half years.
0.45170382506656653		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([80, 82)))	Relation(played for,List([83, 89), [90, 93)))	TemporalArgument(three years,List([94, 105)))	Subsequently, in January 2007, he moved to Bundesliga outfit VfL Bochum where he played for three and a half years.
0.5926659981335703		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([33, 35)))	Relation(moved to Bundesliga outfit VfL Bochum in,List([15, 17), [36, 66), [67, 73)))	TemporalArgument(January 2007,List([18, 30)))	Subsequently, in January 2007, he moved to Bundesliga outfit VfL Bochum where he played for three and a half years.
0.3018651855507195		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([33, 35)))	Relation(moved to Bundesliga outfit VfL Bochum,List([36, 41), [42, 73)))	TemporalArgument(Subsequently,List([0, 12)))	Subsequently, in January 2007, he moved to Bundesliga outfit VfL Bochum where he played for three and a half years.
0.4978219019954182		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([33, 35)))	Relation(moved to,List([36, 41), [42, 44)))	SimpleArgument(Bundesliga outfit VfL Bochum,List([45, 73)))	Subsequently, in January 2007, he moved to Bundesliga outfit VfL Bochum where he played for three and a half years.
0.45592395356914683		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([64, 66)))	Relation(to have,List([86, 93)))	SimpleArgument(a second spell at Iraklis,List([94, 119)))	After a brief stay at Azerbaijani club FK Baku, in January 2011 he returned to Greece to have a second spell at Iraklis.
0.5926659981335703		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([64, 66)))	Relation(returned in,List([48, 50), [67, 75)))	TemporalArgument(January 2011,List([51, 63)))	After a brief stay at Azerbaijani club FK Baku, in January 2011 he returned to Greece to have a second spell at Iraklis.
0.5926659981335703		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([64, 66)))	Relation(returned After,List([0, 5), [67, 75)))	TemporalArgument(a brief stay at Azerbaijani club FK Baku,List([6, 46)))	After a brief stay at Azerbaijani club FK Baku, in January 2011 he returned to Greece to have a second spell at Iraklis.
0.3929209860966329		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([64, 66)))	Relation(returned to,List([67, 75), [86, 88)))	SimpleArgument(have a second spell at Iraklis,List([89, 119)))	After a brief stay at Azerbaijani club FK Baku, in January 2011 he returned to Greece to have a second spell at Iraklis.
0.4978219019954182		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([64, 66)))	Relation(returned to,List([67, 75), [76, 78)))	SimpleArgument(Greece,List([79, 85)))	After a brief stay at Azerbaijani club FK Baku, in January 2011 he returned to Greece to have a second spell at Iraklis.
0.9481947648689547		SimpleArgument(Epalle,List([0, 6)))	Relation(was,List([7, 10)))	SimpleArgument(Iraklis' top-scorer for the 2005-06 season,List([11, 53)))	Epalle was Iraklis' top-scorer for the 2005–06 season.
0.3853208301752743		SimpleArgument(Cameroon friend,List([41, 56)))	Relation([is] fellow [of],List([34, 40)))	SimpleArgument(him,List([30, 33)))	Started at the end of March 2012, he has made his first appearance and play for Sarawak FA alongside his fellow Cameroon friend, Guy Bwele.
0.5961061943937731		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([35, 37)))	Relation(has made,List([38, 46)))	TemporalArgument(Started at the end of March 2012,List([0, 32)))	Started at the end of March 2012, he has made his first appearance and play for Sarawak FA alongside his fellow Cameroon friend, Guy Bwele.
0.30899953469486874		SimpleArgument(Joël Epalle Joël Dieudonné Martin Epalle Newaka (born 20 February 1978),List([35, 37)))	Relation(has made,List([38, 46)))	SimpleArgument(his first appearance,List([47, 67)))	Started at the end of March 2012, he has made his first appearance and play for Sarawak FA alongside his fellow Cameroon friend, Guy Bwele.
0.9990000128746033		SimpleArgument(Epalle,List([0, 0)))	Relation(has won,List([0, 0)))	SimpleArgument(31 caps,List(null))	Epalle has won 31 caps for Cameroon.
0.9324144673478683		SimpleArgument(Epalle,List([0, 6)))	Relation(has won,List([7, 14)))	SimpleArgument(31 caps for Cameroon,List([15, 35)))	Epalle has won 31 caps for Cameroon.
0.8847999636040884		SimpleArgument(Epalle,List([0, 2)))	Relation(was a member of,List([3, 18)))	SimpleArgument(the Cameroon side,List([19, 36)))	He was a member of the Cameroon side that won the gold medal in the 2000 Summer Olympics football tournament.
0.9497646913932042		SimpleArgument(a member of the Cameroon side,List([7, 36)))	Relation(won the gold medal in,List([42, 45), [46, 60), [61, 63)))	SpatialArgument(the 2000 Summer Olympics football tournament,List([64, 108)))	He was a member of the Cameroon side that won the gold medal in the 2000 Summer Olympics football tournament.
0.9542225327267282		SimpleArgument(a member of the Cameroon side,List([7, 36)))	Relation(won,List([42, 45)))	SimpleArgument(the gold medal,List([46, 60)))	He was a member of the Cameroon side that won the gold medal in the 2000 Summer Olympics football tournament.
0.5680679595514976		SimpleArgument(Epalle,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a member of the Cameroon side,List([7, 36)))	He was a member of the Cameroon side that won the gold medal in the 2000 Summer Olympics football tournament.
0.9616605215587688		SimpleArgument(a member of the Cameroon squad,List([16, 46)))	Relation(won,List([52, 55)))	SimpleArgument(the 2002 African Cup of Nations,List([56, 87)))	Epalle was also a member of the Cameroon squad that won the 2002 African Cup of Nations.
0.9324144673478683		SimpleArgument(Epalle,List([0, 6)))	Relation(was also,List([7, 15)))	SimpleArgument(a member of the Cameroon squad,List([16, 46)))	Epalle was also a member of the Cameroon squad that won the 2002 African Cup of Nations.
