0.38089450366724514		SimpleArgument(July 2014,List([21, 30)))	Relation([is],List([21, 30)))	SimpleArgument(Suresh Sidhu was named edotco CEO,List([32, 65)))	Executive Summary In July 2014, Suresh Sidhu was named edotco CEO.
0.9210233335200773		SimpleArgument(Suresh Sidhu,List([0, 5)))	Relation(served as,List([17, 23), [24, 26)))	SimpleArgument(Chief Corporate,List([27, 42)))	Sidhu previously served as Chief Corporate and Operations Officer at Celcom, the Malaysian mobile subsidiary of the Axiata Group Berhad (Axiata), one of the leading telecommuni (there's more...) Personal Attributes and Interests Sidhu graduated from the Bukit Bintang Boys Secondary School, Petaling Jaya, Malaysia.
0.5337666212575038		SimpleArgument(Personal Attributes and Interests Sidhu,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a frequent speaker at other events , including the LTE World Summit , the premier 4G event for the tel ( there 's more ... ) Current Focus,List([6, 144)))	He is a frequent speaker at industry conferences, summits and other events, including the LTE World Summit, the premier 4G event for the tel (there's more...) Current Focus
0.5222094630377523		SimpleArgument(Personal Attributes and Interests Sidhu,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a frequent speaker at summits,List([6, 35)))	He is a frequent speaker at industry conferences, summits and other events, including the LTE World Summit, the premier 4G event for the tel (there's more...) Current Focus
0.5222094630377523		SimpleArgument(Personal Attributes and Interests Sidhu,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a frequent speaker at industry conferences,List([6, 48)))	He is a frequent speaker at industry conferences, summits and other events, including the LTE World Summit, the premier 4G event for the tel (there's more...) Current Focus
0.9726855614196764		SimpleArgument(Axiata Group Berhad,List([25, 44)))	Relation(is,List([45, 47)))	SimpleArgument(one of the largest telecommunications groups in Asia with over 260 million customers,List([48, 132)))	Parent Company Snapshot: Axiata Group Berhad is one of the largest telecommunications groups in Asia with over 260 million customers.
0.8739651883033833		SimpleArgument(Sidhu,List([94, 99)))	Relation(earned a Bachelor of Arts degree from,List([100, 106), [107, 132), [152, 156)))	SimpleArgument(the University of Cambridge in 1990,List([157, 192)))	Axiata is focused on high-growth, low-penetration e (there's more...) Biographical Highlights Sidhu earned a Bachelor of Arts degree in natural science from the University of Cambridge in 1990.
0.9139478779591064		SimpleArgument(Sidhu,List([94, 99)))	Relation(earned,List([100, 106)))	SimpleArgument(a Bachelor of Arts degree,List([107, 132)))	Axiata is focused on high-growth, low-penetration e (there's more...) Biographical Highlights Sidhu earned a Bachelor of Arts degree in natural science from the University of Cambridge in 1990.
0.1273814832686296	Context(He went on,List([0, 10)))	SimpleArgument(Suresh Sidhu,List([0, 2)))	Relation(went on to earn an MBA in,List([3, 10), [11, 18), [19, 25), [38, 40)))	TemporalArgument(1997,List([41, 45)))	He went on to earn an MBA from INSEAD in 1997.
0.4328394458044063	Context(He went on,List([0, 10)))	SimpleArgument(Suresh Sidhu,List([0, 2)))	Relation(went on to earn an MBA from,List([3, 10), [11, 18), [19, 25), [26, 30)))	SimpleArgument(INSEAD,List([31, 37)))	He went on to earn an MBA from INSEAD in 1997.
0.4328394458044063	Context(He went on,List([0, 10)))	SimpleArgument(Suresh Sidhu,List([0, 2)))	Relation(went on to earn,List([3, 10), [11, 18)))	SimpleArgument(an MBA,List([19, 25)))	He went on to earn an MBA from INSEAD in 1997.
0.4328394458044063		SimpleArgument(Suresh Sidhu,List([0, 2)))	Relation(went on to,List([3, 10), [11, 13)))	SimpleArgument(earn an MBA from INSEAD in 1997,List([14, 45)))	He went on to earn an MBA from INSEAD in 1997.
