0.8377499325031997	Context(I work helping,List([0, 63)))	SimpleArgument(the customer,List([64, 76)))	Relation(is,List([77, 79)))	SimpleArgument(our first priority,List([80, 98)))	I work at TNT Auto Center with a great group of people, helping the customer is our first priority.
0.4328394458044063		SimpleArgument(I,List({62}))	Relation(was at,List([64, 67), [68, 70)))	SimpleArgument(TNT Auto Center,List([71, 96)))	Then Sun Country was sold to the Cliff Findlay in about 1996, I was at Cliff Findlay Auto Center until 2000.
0.4978219019954182		SimpleArgument(I,List({5}))	Relation(worked at,List([7, 13), [14, 16)))	SpatialArgument(Arizona Printz,List([17, 31)))	Then I took a few years off from the car business to spend more time with my son and worked at Arizona Signs and Arizona Printz.
0.3018651855507195		SimpleArgument(I,List({5}))	Relation(worked,List([7, 13)))	TemporalArgument(Then,List([0, 4)))	Then I took a few years off from the car business to spend more time with my son and worked at Arizona Signs and Arizona Printz.
0.4978219019954182		SimpleArgument(I,List({5}))	Relation(worked at,List([7, 13), [14, 16)))	SpatialArgument(Arizona Signs,List([17, 30)))	Then I took a few years off from the car business to spend more time with my son and worked at Arizona Signs and Arizona Printz.
0.292827695956731	Context(I took off,List([5, 27)))	SimpleArgument(I,List({5}))	Relation(took off from the car business to spend,List([7, 11), [24, 27), [28, 36)))	SimpleArgument(more time,List([59, 68)))	Then I took a few years off from the car business to spend more time with my son and worked at Arizona Signs and Arizona Printz.
0.17853087458024205		SimpleArgument(I,List({5}))	Relation(took off from the car business,List([7, 11), [24, 27), [28, 49)))	TemporalArgument(Then,List([0, 4)))	Then I took a few years off from the car business to spend more time with my son and worked at Arizona Signs and Arizona Printz.
0.183516546672029		SimpleArgument(I,List({5}))	Relation(took off from the car business to,List([7, 11), [24, 27), [28, 49), [50, 52)))	SimpleArgument(spend more time with my son,List([53, 80)))	Then I took a few years off from the car business to spend more time with my son and worked at Arizona Signs and Arizona Printz.
0.292827695956731		SimpleArgument(I,List({5}))	Relation(took off from,List([7, 11), [24, 27), [28, 32)))	SimpleArgument(the car business,List([33, 49)))	Then I took a few years off from the car business to spend more time with my son and worked at Arizona Signs and Arizona Printz.
0.5623159137532286		SimpleArgument(I,List({76}))	Relation(was a dispatcher,List([78, 81), [82, 94)))	TemporalArgument(Then in 2007 I went back into the car business at Martin Swanty CDJ - Kia,List([0, 73)))	Then in 2007 I went back into the car business at Martin Swanty CDJ-Kia, I was a service advisor and dispatcher.
0.5222094630377523		SimpleArgument(I,List({76}))	Relation(was,List([78, 81)))	SimpleArgument(a dispatcher,List([82, 94)))	Then in 2007 I went back into the car business at Martin Swanty CDJ-Kia, I was a service advisor and dispatcher.
0.5623159137532286		SimpleArgument(I,List({76}))	Relation(was a service advisor,List([78, 81), [82, 99)))	TemporalArgument(Then in 2007 I went back into the car business at Martin Swanty CDJ - Kia,List([0, 73)))	Then in 2007 I went back into the car business at Martin Swanty CDJ-Kia, I was a service advisor and dispatcher.
0.5222094630377523		SimpleArgument(I,List({76}))	Relation(was,List([78, 81)))	SimpleArgument(a service advisor,List([82, 99)))	Then in 2007 I went back into the car business at Martin Swanty CDJ-Kia, I was a service advisor and dispatcher.
0.29886655727758943		SimpleArgument(I,List({13}))	Relation(went in,List([5, 7), [15, 19)))	TemporalArgument(2007,List([8, 12)))	Then in 2007 I went back into the car business at Martin Swanty CDJ-Kia, I was a service advisor and dispatcher.
0.36453221407562825		SimpleArgument(I,List({13}))	Relation(went,List([15, 19)))	TemporalArgument(Then,List([0, 4)))	Then in 2007 I went back into the car business at Martin Swanty CDJ-Kia, I was a service advisor and dispatcher.
0.3929209860966329		SimpleArgument(I,List({13}))	Relation(went at,List([15, 19), [47, 49)))	SpatialArgument(Martin Swanty CDJ - Kia,List([50, 73)))	Then in 2007 I went back into the car business at Martin Swanty CDJ-Kia, I was a service advisor and dispatcher.
0.5222094630377523		SimpleArgument(I,List({13}))	Relation(went,List([15, 19)))	SimpleArgument(back into the car business,List([20, 46)))	Then in 2007 I went back into the car business at Martin Swanty CDJ-Kia, I was a service advisor and dispatcher.
0.3547563121353094	Context(I have,List([44, 50)))	SimpleArgument(I,List({0}))	Relation(have been married,List([2, 19)))	TemporalArgument(this year,List([33, 42)))	I have been married for 27 years this year, I have the best son in the world.
0.39746064682094406	Context(I have,List([44, 50)))	SimpleArgument(I,List({0}))	Relation(have been married for,List([2, 19), [20, 23)))	TemporalArgument(27 years,List([24, 32)))	I have been married for 27 years this year, I have the best son in the world.
0.39746064682094406		SimpleArgument(I,List({44}))	Relation(have,List([46, 50)))	SimpleArgument(the best son in the world,List([51, 76)))	I have been married for 27 years this year, I have the best son in the world.
0.4978219019954182		SimpleArgument(the best son in the world,List([28, 30)))	Relation(spent 5 years in,List([31, 36), [37, 44), [45, 47)))	SpatialArgument(the Marines,List([48, 59)))	He is studying at ASU after he spent 5 years in the Marines.
0.5222094630377523		SimpleArgument(the best son in the world,List([28, 30)))	Relation(spent,List([31, 36)))	SimpleArgument(5 years,List([37, 44)))	He is studying at ASU after he spent 5 years in the Marines.
0.2599819742892717		SimpleArgument(the best son in the world,List([0, 2)))	Relation(is studying after,List([3, 14), [22, 27)))	TemporalArgument(he spent 5 years in the Marines,List([28, 59)))	He is studying at ASU after he spent 5 years in the Marines.
0.4978219019954182		SimpleArgument(the best son in the world,List([0, 2)))	Relation(is studying at,List([3, 14), [15, 17)))	SpatialArgument(ASU,List([18, 21)))	He is studying at ASU after he spent 5 years in the Marines.
0.15939332484157967		SimpleArgument(We,List([0, 2)))	Relation(have lived since,List([3, 13), [25, 30)))	TemporalArgument(1994,List([31, 35)))	We have lived in Kingman since 1994.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(have lived in,List([3, 13), [14, 16)))	SpatialArgument(Kingman,List([17, 24)))	We have lived in Kingman since 1994.
