0.8055616434616809		SimpleArgument(Your family's well-being,List([0, 24)))	Relation(is,List([25, 27)))	SimpleArgument(SYNERGY HomeCare's highest priority,List([28, 63)))	Your family's well-being is SYNERGY HomeCare's highest priority.
0.6639151797428681		SimpleArgument(your loved one,List([8, 22)))	Relation(living with,List([52, 58), [59, 63)))	SimpleArgument(Alzheimer needs just a little help,List([64, 98)))	Whether your loved one is recovering from surgery, living with Alzheimer's or needs just a little help, we assist our clients in maintaining their independence and enhance their overall quality of life.
0.30899953469486874		SimpleArgument(Our,List([79, 81)))	Relation(assist our clients in,List([82, 88), [89, 100), [101, 103)))	SimpleArgument(maintaining their independence,List([104, 134)))	Whether your loved one is recovering from surgery, living with Alzheimer's or needs just a little help, we assist our clients in maintaining their independence and enhance their overall quality of life.
0.30899953469486874		SimpleArgument(Our,List([79, 81)))	Relation(assist,List([82, 88)))	SimpleArgument(our clients,List([89, 100)))	Whether your loved one is recovering from surgery, living with Alzheimer's or needs just a little help, we assist our clients in maintaining their independence and enhance their overall quality of life.
0.6639151797428681		SimpleArgument(your loved one,List([8, 22)))	Relation(living with,List([52, 58), [59, 63)))	SimpleArgument(Alzheimer 's,List([64, 76)))	Whether your loved one is recovering from surgery, living with Alzheimer's or needs just a little help, we assist our clients in maintaining their independence and enhance their overall quality of life.
0.6601056213946704		SimpleArgument(your loved one,List([8, 22)))	Relation(is recovering from,List([23, 36), [37, 41)))	SimpleArgument(surgery,List([42, 49)))	Whether your loved one is recovering from surgery, living with Alzheimer's or needs just a little help, we assist our clients in maintaining their independence and enhance their overall quality of life.
0.41051436014453063		SimpleArgument(Our,List([0, 2)))	Relation(to assist your family with,List([13, 22), [23, 34), [35, 39)))	SimpleArgument(any home care need,List([40, 58)))	SYNERGY HomeCare has been providing care in the Greater Houston area for over a decade and we are ready to assist you and your family with any home care need.
0.2743125465364158		SimpleArgument(Our,List([0, 2)))	Relation(to assist,List([13, 22)))	SimpleArgument(Your family,List([23, 34)))	SYNERGY HomeCare has been providing care in the Greater Houston area for over a decade and we are ready to assist you and your family with any home care need.
0.41763505952380825		SimpleArgument(Our,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(ready to assist your family with any home care need,List([7, 58)))	SYNERGY HomeCare has been providing care in the Greater Houston area for over a decade and we are ready to assist you and your family with any home care need.
0.2743125465364158		SimpleArgument(Our,List([0, 2)))	Relation(to assist,List([13, 22)))	SimpleArgument(you,List([23, 26)))	SYNERGY HomeCare has been providing care in the Greater Houston area for over a decade and we are ready to assist you and your family with any home care need.
0.30899953469486874		SimpleArgument(Our,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(ready to assist you,List([7, 26)))	SYNERGY HomeCare has been providing care in the Greater Houston area for over a decade and we are ready to assist you and your family with any home care need.
0.8092760747931492		SimpleArgument(SYNERGY HomeCare,List([0, 16)))	Relation(has been providing care for,List([17, 35), [36, 40), [69, 72)))	TemporalArgument(over a decade,List([73, 86)))	SYNERGY HomeCare has been providing care in the Greater Houston area for over a decade and we are ready to assist you and your family with any home care need.
0.8866256386988218		SimpleArgument(SYNERGY HomeCare,List([0, 16)))	Relation(has been providing care in,List([17, 35), [36, 40), [41, 43)))	SpatialArgument(the Greater Houston area,List([44, 68)))	SYNERGY HomeCare has been providing care in the Greater Houston area for over a decade and we are ready to assist you and your family with any home care need.
0.8666492098582788		SimpleArgument(SYNERGY HomeCare,List([0, 16)))	Relation(has been providing,List([17, 35)))	SimpleArgument(care,List([36, 40)))	SYNERGY HomeCare has been providing care in the Greater Houston area for over a decade and we are ready to assist you and your family with any home care need.
0.6601056213946704		SimpleArgument(your family member,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(The Woodlands,List([28, 41)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.7003240400067219		SimpleArgument(your family member,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(Klein,List([28, 33)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.7003240400067219		SimpleArgument(your family member,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(Spring,List([28, 34)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.7003240400067219		SimpleArgument(your family member,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(Cypress,List([28, 35)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.7003240400067219		SimpleArgument(your family member,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(Tomball,List([28, 35)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.7003240400067219		SimpleArgument(your family member,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(North Houston,List([28, 41)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.6601056213946704		SimpleArgument(your senior parent,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(The Woodlands,List([28, 41)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.7003240400067219		SimpleArgument(your senior parent,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(Klein,List([28, 33)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.6601056213946704		SimpleArgument(your senior parent,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(Spring,List([28, 34)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.7003240400067219		SimpleArgument(your senior parent,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(Cypress,List([28, 35)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.6601056213946704		SimpleArgument(your senior parent,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(Tomball,List([28, 35)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.7003240400067219		SimpleArgument(your senior parent,List([3, 21)))	Relation(is in,List([22, 24), [25, 27)))	SimpleArgument(North Houston,List([28, 41)))	If your senior parent or family member is in North Houston, Tomball, Cypress, Spring, Klein, or The Woodlands and suffers from Alzheimer's, dementia, Parkinson's or simply needs assistance with activities of daily living, please contact us today.
0.263652756827333	Context(this is,List([49, 56)))	SimpleArgument(We,List([0, 2)))	Relation(can make,List([3, 11)))	SimpleArgument(a positive difference in their life,List([12, 47)))	We can make a positive difference in their life--this is our goal for every client we serve!
0.26177203257431003		SimpleArgument(this,List([49, 53)))	Relation(is,List([54, 56)))	SimpleArgument(our goal for every client,List([57, 82)))	We can make a positive difference in their life--this is our goal for every client we serve!
0.8841701665203853		SimpleArgument(every client,List([70, 82)))	Relation(serve,List([86, 91)))	SimpleArgument(We,List([83, 85)))	We can make a positive difference in their life--this is our goal for every client we serve!
0.9216169339561846		SimpleArgument(Chad's father,List([9, 22)))	Relation(of caring for himself,List([42, 51), [52, 63)))	TemporalArgument(following a major stroke,List([64, 88)))	In 2003, Chad's father was left incapable of caring for himself following a major stroke.
0.8645386818095685		SimpleArgument(Chad's father,List([9, 22)))	Relation(of caring for,List([42, 51), [52, 55)))	SimpleArgument(Chad's father,List([56, 63)))	In 2003, Chad's father was left incapable of caring for himself following a major stroke.
0.8780037064600699		SimpleArgument(Chad's father,List([9, 22)))	Relation(was left incapable of caring for himself following a major stroke In,List([0, 26), [27, 81), [82, 88)))	TemporalArgument(2003,List([3, 7)))	In 2003, Chad's father was left incapable of caring for himself following a major stroke.
0.883042269491254		SimpleArgument(Chad's father,List([9, 22)))	Relation(was left,List([23, 31)))	SimpleArgument(incapable of caring for himself following a major stroke,List([32, 88)))	In 2003, Chad's father was left incapable of caring for himself following a major stroke.
0.5853715946324679	Context(his family attempted,List([0, 20)))	SimpleArgument(his family,List([0, 10)))	Relation(attempted to care for him for,List([11, 20), [21, 28), [29, 36), [37, 40)))	TemporalArgument(10 months,List([41, 50)))	Chad and his family attempted to care for him for 10 months.
0.43385307460759115	Context(his family attempted,List([0, 20)))	SimpleArgument(his family,List([0, 10)))	Relation(attempted to care for,List([11, 20), [21, 28), [29, 32)))	SimpleArgument(Chad's father,List([33, 36)))	Chad and his family attempted to care for him for 10 months.
0.43385307460759115		SimpleArgument(his family,List([0, 10)))	Relation(attempted to,List([11, 20), [21, 23)))	SimpleArgument(care for him for 10 months,List([24, 50)))	Chad and his family attempted to care for him for 10 months.
0.8253106085824989	Context(Chad attempted,List([0, 14)))	SimpleArgument(Chad,List([0, 4)))	Relation(attempted to care for him for,List([5, 14), [15, 22), [23, 30), [31, 34)))	TemporalArgument(10 months,List([35, 44)))	Chad and his family attempted to care for him for 10 months.
0.7194506903534185	Context(Chad attempted,List([0, 14)))	SimpleArgument(Chad,List([0, 4)))	Relation(attempted to care for,List([5, 14), [15, 22), [23, 26)))	SimpleArgument(Chad's father,List([27, 30)))	Chad and his family attempted to care for him for 10 months.
0.7194506903534185		SimpleArgument(Chad,List([0, 4)))	Relation(attempted to,List([5, 14), [15, 17)))	SimpleArgument(care for him for 10 months,List([18, 44)))	Chad and his family attempted to care for him for 10 months.
0.6658065473928358		SimpleArgument(his family,List([32, 42)))	Relation(engaged a home care agency After,List([0, 5), [43, 62), [63, 69)))	TemporalArgument(reaching a crisis point,List([6, 29)))	After reaching a crisis point, he and his family engaged a home care agency to help.
0.32364892242304943		SimpleArgument(his family,List([32, 42)))	Relation(engaged a home care agency to,List([43, 50), [51, 69), [70, 72)))	SimpleArgument(help,List([73, 77)))	After reaching a crisis point, he and his family engaged a home care agency to help.
0.575803381446508		SimpleArgument(his family,List([32, 42)))	Relation(engaged,List([43, 50)))	SimpleArgument(a home care agency,List([51, 69)))	After reaching a crisis point, he and his family engaged a home care agency to help.
0.4820971422465561		SimpleArgument(Chad's father,List([32, 34)))	Relation(engaged a home care agency After,List([0, 5), [35, 54), [55, 61)))	TemporalArgument(reaching a crisis point,List([6, 29)))	After reaching a crisis point, he and his family engaged a home care agency to help.
0.18272787056513734		SimpleArgument(Chad's father,List([32, 34)))	Relation(engaged a home care agency to,List([35, 42), [43, 61), [62, 64)))	SimpleArgument(help,List([65, 69)))	After reaching a crisis point, he and his family engaged a home care agency to help.
0.3880890333449538		SimpleArgument(Chad's father,List([32, 34)))	Relation(engaged,List([35, 42)))	SimpleArgument(a home care agency,List([43, 61)))	After reaching a crisis point, he and his family engaged a home care agency to help.
0.4649296389869295		SimpleArgument(Chad and his family,List([14, 18)))	Relation(regained,List([19, 27)))	SimpleArgument(their connection with his father,List([28, 60)))	By doing so, they regained their lives and their connection with his father.
0.4649296389869295		SimpleArgument(Chad and his family,List([14, 18)))	Relation(regained,List([19, 27)))	SimpleArgument(their lives,List([28, 39)))	By doing so, they regained their lives and their connection with his father.
0.9180804252893389		SimpleArgument(this experience,List([0, 15)))	Relation(made,List([16, 20)))	SimpleArgument(a huge impact on Chad,List([21, 42)))	Two years later his father passed but this experience made a huge impact on Chad who decided to move away from his job in 2006 and start Synergy HomeCare of Houston.
0.724144061965746		SimpleArgument(Chad's father,List([16, 26)))	Relation(passed,List([27, 33)))	TemporalArgument(Two years later,List([0, 15)))	Two years later his father passed but this experience made a huge impact on Chad who decided to move away from his job in 2006 and start Synergy HomeCare of Houston.
0.8263291579382266	Context(Chad strive,List([11, 22)))	SimpleArgument(Chad,List([11, 15)))	Relation(strive to make,List([16, 22), [23, 30)))	SimpleArgument(the same positive impact on his clients lives through Synergy HomeCare,List([31, 101)))	Every day, Chad strive to make the same positive impact on his clients lives through Synergy HomeCare.
0.8711802376650796		SimpleArgument(Chad,List([11, 15)))	Relation(strive to make the same positive impact on his clients lives through Synergy HomeCare,List([16, 22), [23, 101)))	TemporalArgument(Every day,List([0, 9)))	Every day, Chad strive to make the same positive impact on his clients lives through Synergy HomeCare.
0.8263291579382266		SimpleArgument(Chad,List([11, 15)))	Relation(strive to,List([16, 22), [23, 25)))	SimpleArgument(make the same positive impact on his clients lives through Synergy HomeCare,List([26, 101)))	Every day, Chad strive to make the same positive impact on his clients lives through Synergy HomeCare.
