0.9040259452709256		SimpleArgument(Ltd,List([32, 35)))	Relation(is,List([36, 38)))	SimpleArgument(a wholly-owned subsidiary of Guangwei Garment Group,List([39, 90)))	Dongguan Zhijie Industrial CO., Ltd is a wholly-owned subsidiary of Guangwei Garment Group.
0.292827695956731	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(outdoor furniture cover portable bag,List([40, 76)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.292827695956731	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(outdoor furniture cover yacht cover,List([40, 75)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.292827695956731	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(outdoor furniture cover automobile / motorcycle cover,List([40, 93)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.332563478582812	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(outdoor furniture cover BBQ grill cover,List([40, 79)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.2920301316376038	Context(We specialized household appliances cover,List([0, 92)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(outdoor furniture cover,List([40, 63)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.18215293962348614	Context(household appliances cover,List([66, 92)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in,List([3, 14), [15, 17)))	SimpleArgument(designing,List([18, 27)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.3813762836812193	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing so on,List([3, 14), [15, 17), [18, 39)))	SimpleArgument(indoor furniture cover,List([40, 62)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.292827695956731	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(indoor furniture cover cloth shopping bag,List([40, 81)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.292827695956731	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(indoor furniture cover traveling bag,List([40, 76)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.9111779447320654		SimpleArgument(indoor furniture cover,List([40, 62)))	Relation(traveling,List([63, 72)))	SimpleArgument(bag,List([73, 76)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.292827695956731	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(indoor furniture cover,List([40, 62)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.292827695956731	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(indoor furniture cover yacht cover,List([40, 74)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.292827695956731	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(indoor furniture cover automobile / motorcycle cover,List([40, 92)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.332563478582812	Context(We specialized,List([0, 14)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in designing producing,List([3, 14), [15, 17)))	SimpleArgument(indoor furniture cover BBQ grill cover,List([40, 78)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.18272787056513734		SimpleArgument(We,List([0, 2)))	Relation(specialized in,List([3, 14), [15, 17)))	SimpleArgument(designing,List([18, 27)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.30022018359645397	Context(We specialized household appliances cover,List([0, 91)))	SimpleArgument(We,List([0, 2)))	Relation(specialized producing,List([3, 14), [30, 39)))	SimpleArgument(indoor furniture cover,List([40, 62)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.39653789921469046	Context(household appliances cover,List([65, 91)))	SimpleArgument(We,List([0, 2)))	Relation(specialized in,List([3, 14), [15, 17)))	SimpleArgument(designing , producing indoor furniture cover,List([18, 62)))	We specialized in designing, producing indoor and outdoor furniture cover, household appliances cover, BBQ grill cover, automobile/ motorcycle cover, yacht cover, portable bag, traveling bag, cloth shopping bag and so on.
0.9010000228881836		SimpleArgument(The factory,List([0, 0)))	Relation(has an area of,List([0, 0)))	SimpleArgument(12500 square meters,List(null))	The factory covers an area of 12,500 square meters.
0.9030401971054747		SimpleArgument(The factory,List([0, 11)))	Relation(covers,List([12, 18)))	SimpleArgument(an area of 12,500 square meters,List([19, 50)))	The factory covers an area of 12,500 square meters.
0.721851211023842		SimpleArgument(Both of technicians in our team,List([0, 31)))	Relation(have,List([32, 36)))	SimpleArgument(more than 20 years ' experience in the industry,List([37, 84)))	Both of our engineers, cutting and sewing technicians in our team have more than 20 years' experience in the industry.
0.9111779447320654		SimpleArgument(Both of sewing,List([0, 14)))	Relation(have,List([15, 19)))	SimpleArgument(more than 20 years ' experience in the industry,List([20, 67)))	Both of our engineers, cutting and sewing technicians in our team have more than 20 years' experience in the industry.
0.9111779447320654		SimpleArgument(Both of cutting,List([0, 15)))	Relation(have,List([16, 20)))	SimpleArgument(more than 20 years ' experience in the industry,List([21, 68)))	Both of our engineers, cutting and sewing technicians in our team have more than 20 years' experience in the industry.
0.6814400456876439		SimpleArgument(Both of our engineers,List([0, 21)))	Relation(have,List([22, 26)))	SimpleArgument(more than 20 years ' experience in the industry,List([27, 74)))	Both of our engineers, cutting and sewing technicians in our team have more than 20 years' experience in the industry.
0.45170382506656653		SimpleArgument(our,List([0, 2)))	Relation(dedicate to,List([3, 11), [12, 14)))	SimpleArgument(providing customers with customized service,List([15, 58)))	We dedicate to providing customers with professional, personalized and customized service.
0.45170382506656653		SimpleArgument(our,List([0, 2)))	Relation(dedicate to,List([3, 11), [12, 14)))	SimpleArgument(providing customers with personalized service,List([15, 60)))	We dedicate to providing customers with professional, personalized and customized service.
0.45170382506656653		SimpleArgument(our,List([0, 2)))	Relation(dedicate to,List([3, 11), [12, 14)))	SimpleArgument(providing customers with professional service,List([15, 60)))	We dedicate to providing customers with professional, personalized and customized service.
0.45170382506656653		SimpleArgument(our,List([0, 2)))	Relation(can customize,List([3, 16)))	SimpleArgument(sewing craft,List([17, 29)))	We can customize the fabric , UV grade, color and sewing craft according to your requirements.
0.45170382506656653		SimpleArgument(our,List([0, 2)))	Relation(can customize,List([3, 16)))	SimpleArgument(color,List([17, 22)))	We can customize the fabric , UV grade, color and sewing craft according to your requirements.
0.4978219019954182		SimpleArgument(our,List([0, 2)))	Relation(can customize,List([3, 16)))	SimpleArgument(UV grade,List([17, 25)))	We can customize the fabric , UV grade, color and sewing craft according to your requirements.
0.45170382506656653		SimpleArgument(our,List([0, 2)))	Relation(can customize,List([3, 16)))	SimpleArgument(the fabric,List([17, 27)))	We can customize the fabric , UV grade, color and sewing craft according to your requirements.
0.41051436014453063		SimpleArgument(our,List([15, 17)))	Relation(to show our quality assurance to,List([32, 39), [40, 61), [62, 64)))	SimpleArgument(the customers,List([65, 78)))	In these ways, we are confident to show our quality assurance to the customers.
0.2743125465364158		SimpleArgument(our,List([15, 17)))	Relation(to show,List([32, 39)))	SimpleArgument(our quality assurance,List([40, 61)))	In these ways, we are confident to show our quality assurance to the customers.
0.30899953469486874		SimpleArgument(our,List([15, 17)))	Relation(are,List([18, 21)))	SimpleArgument(confident to show our quality assurance to the customers,List([22, 78)))	In these ways, we are confident to show our quality assurance to the customers.
