0.896604430840561		SimpleArgument(an enthusiastic individual,List([5, 31)))	Relation(can adapt to,List([36, 45), [46, 48)))	SimpleArgument(any environment,List([49, 64)))	I am an enthusiastic individual who can adapt to any environment I am placed in.
0.24707677063501074		SimpleArgument(I,List({12}))	Relation(have done nails Since,List([0, 18), [19, 23), [24, 29)))	TemporalArgument(then,List([6, 10)))	Since then, I have done nails part-time while continuing my education.
0.3880890333449538		SimpleArgument(I,List({12}))	Relation(have done,List([14, 23)))	SimpleArgument(nails,List([24, 29)))	Since then, I have done nails part-time while continuing my education.
0.3880890333449538	Context(I would like,List([69, 81)))	SimpleArgument(I,List({69}))	Relation(would like to create,List([71, 81), [82, 91)))	SimpleArgument(new skin products,List([92, 109)))	I have always been interested in the nail products I use therefore, I would like to create new cosmetology hair, nails, and skin products.
0.3880890333449538		SimpleArgument(I,List({69}))	Relation(would like to,List([71, 81), [82, 84)))	SimpleArgument(create new skin products,List([85, 109)))	I have always been interested in the nail products I use therefore, I would like to create new cosmetology hair, nails, and skin products.
0.3880890333449538	Context(I would like,List([69, 81)))	SimpleArgument(I,List({69}))	Relation(would like to create,List([71, 81), [82, 91)))	SimpleArgument(new nails,List([92, 101)))	I have always been interested in the nail products I use therefore, I would like to create new cosmetology hair, nails, and skin products.
0.3880890333449538		SimpleArgument(I,List({69}))	Relation(would like to,List([71, 81), [82, 84)))	SimpleArgument(create new nails,List([85, 101)))	I have always been interested in the nail products I use therefore, I would like to create new cosmetology hair, nails, and skin products.
0.3880890333449538	Context(I would like,List([69, 81)))	SimpleArgument(I,List({69}))	Relation(would like to create,List([71, 81), [82, 91)))	SimpleArgument(new cosmetology hair,List([92, 112)))	I have always been interested in the nail products I use therefore, I would like to create new cosmetology hair, nails, and skin products.
0.3880890333449538		SimpleArgument(I,List({69}))	Relation(would like to,List([71, 81), [82, 84)))	SimpleArgument(create new cosmetology hair,List([85, 112)))	I have always been interested in the nail products I use therefore, I would like to create new cosmetology hair, nails, and skin products.
0.8937052396947953		SimpleArgument(the nail products,List([33, 50)))	Relation(use therefore,List([53, 66)))	SimpleArgument(I,List({51}))	I have always been interested in the nail products I use therefore, I would like to create new cosmetology hair, nails, and skin products.
0.22015391053105568		SimpleArgument(I,List({0}))	Relation(have been interested in the nail products,List([2, 6), [14, 18), [19, 50)))	TemporalArgument(always,List([7, 13)))	I have always been interested in the nail products I use therefore, I would like to create new cosmetology hair, nails, and skin products.
0.3497525988439521		SimpleArgument(I,List({0}))	Relation(have been,List([2, 6), [14, 18)))	SimpleArgument(interested in the nail products,List([19, 50)))	I have always been interested in the nail products I use therefore, I would like to create new cosmetology hair, nails, and skin products.
0.332563478582812	Context(I will pursue,List([0, 13)))	SimpleArgument(I,List({0}))	Relation(will pursue my PhD starting,List([2, 13), [14, 16)))	SimpleArgument(the Spring 2016 semester,List([46, 70)))	I will pursue my PhD in biochemistry starting the Spring 2016 semester.
0.38878662287464777		SimpleArgument(I,List({0}))	Relation(will pursue my PhD,List([2, 13), [14, 20)))	TemporalArgument(starting the Spring 2016 semester,List([37, 70)))	I will pursue my PhD in biochemistry starting the Spring 2016 semester.
0.2560951955542683		SimpleArgument(I,List({0}))	Relation(will pursue,List([2, 13)))	SimpleArgument(my PhD,List([14, 20)))	I will pursue my PhD in biochemistry starting the Spring 2016 semester.
0.3880890333449538	Context(I plan,List([24, 30)))	SimpleArgument(I,List({24}))	Relation(plan to meet,List([26, 30), [31, 38)))	SimpleArgument(people who have the same interests,List([39, 73)))	While pursuing my PhD, I plan to network and meet people who have similar or the same interests as I do.
0.8772656277736296		SimpleArgument(people,List([39, 45)))	Relation(have,List([50, 54)))	SimpleArgument(the same interests,List([55, 73)))	While pursuing my PhD, I plan to network and meet people who have similar or the same interests as I do.
0.3880890333449538	Context(I plan,List([24, 30)))	SimpleArgument(I,List({24}))	Relation(plan to meet,List([26, 30), [31, 38)))	SimpleArgument(people who have similar,List([39, 62)))	While pursuing my PhD, I plan to network and meet people who have similar or the same interests as I do.
0.3356692398220114		SimpleArgument(I,List({24}))	Relation(plan to meet people While,List([0, 5), [26, 38), [39, 45)))	TemporalArgument(pursuing my PhD,List([6, 21)))	While pursuing my PhD, I plan to network and meet people who have similar or the same interests as I do.
0.3880890333449538		SimpleArgument(I,List({24}))	Relation(plan to,List([26, 30), [31, 33)))	SimpleArgument(meet people,List([34, 45)))	While pursuing my PhD, I plan to network and meet people who have similar or the same interests as I do.
0.715890048016155		SimpleArgument(people,List([39, 45)))	Relation(have,List([50, 54)))	SimpleArgument(similar,List([55, 62)))	While pursuing my PhD, I plan to network and meet people who have similar or the same interests as I do.
0.3356692398220114		SimpleArgument(I,List({24}))	Relation(plan to network While,List([0, 5), [26, 33), [34, 41)))	TemporalArgument(pursuing my PhD,List([6, 21)))	While pursuing my PhD, I plan to network and meet people who have similar or the same interests as I do.
0.18272787056513734		SimpleArgument(I,List({24}))	Relation(plan to,List([26, 30), [31, 33)))	SimpleArgument(network,List([34, 41)))	While pursuing my PhD, I plan to network and meet people who have similar or the same interests as I do.
0.22598218974525264		SimpleArgument(I,List({12}))	Relation(will have,List([14, 18), [28, 32)))	SimpleArgument(the education to achieve my connections as well,List([33, 80)))	With that, I will not only have the education to achieve my goal but the social skills and connections as well.
0.3497525988439521		SimpleArgument(I,List({12}))	Relation(will have,List([14, 18), [28, 32)))	SimpleArgument(the education to achieve the social skills as well,List([33, 83)))	With that, I will not only have the education to achieve my goal but the social skills and connections as well.
0.22598218974525264		SimpleArgument(I,List({12}))	Relation(will have,List([14, 18), [28, 32)))	SimpleArgument(the education to achieve my goal as well,List([33, 73)))	With that, I will not only have the education to achieve my goal but the social skills and connections as well.
