0.9729999899864197		SimpleArgument(I,List([0, 0)))	Relation(am,List([0, 0)))	SimpleArgument(67 yr old nurse !!,List(null))	I am a 67 yr old Nurse!!
0.3497525988439521		SimpleArgument(I,List({0}))	Relation(ended my time as,List([2, 7), [8, 15), [22, 24)))	SimpleArgument(a band,List([25, 31)))	I ended my time there as a band g in charge of a 8 ward Hospital in Night sphere of operations.
0.22506131975927415		SimpleArgument(I,List({0}))	Relation(ended my time,List([2, 7), [8, 15)))	SpatialArgument(there,List([16, 21)))	I ended my time there as a band g in charge of a 8 ward Hospital in Night sphere of operations.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(ended,List([2, 7)))	SimpleArgument(my time,List([8, 15)))	I ended my time there as a band g in charge of a 8 ward Hospital in Night sphere of operations.
0.4401162253007579		SimpleArgument(this,List([0, 4)))	Relation(was,List([5, 8)))	SimpleArgument(very enjoyable.I now do adhoc work,List([9, 43)))	When I retired from NHS I entered Private care being accepted by the then care standards commision as a suitible person to manage Residential care,I have ran several homes from 1998 til2014 and this was very enjoyable.I now do adhoc work and am still registered as a nurse.
0.38147126962081884	Context(I have ran,List([149, 159)))	SimpleArgument(I,List({24}))	Relation(entered Private care being accepted by the then care standards commision as a suitible person,List([26, 33), [34, 119)))	TemporalArgument(When I retired from NHS,List([0, 23)))	When I retired from NHS I entered Private care being accepted by the then care standards commision as a suitible person to manage Residential care,I have ran several homes from 1998 til2014 and this was very enjoyable.I now do adhoc work and am still registered as a nurse.
0.5042397497049353	Context(I have ran,List([149, 159)))	SimpleArgument(I,List({24}))	Relation(entered,List([26, 33)))	SimpleArgument(Private care being accepted by the then care standards commision as a suitible person,List([34, 119)))	When I retired from NHS I entered Private care being accepted by the then care standards commision as a suitible person to manage Residential care,I have ran several homes from 1998 til2014 and this was very enjoyable.I now do adhoc work and am still registered as a nurse.
0.3880890333449538		SimpleArgument(I,List({149}))	Relation(have ran several homes from,List([151, 159), [160, 173), [174, 178)))	SimpleArgument(1998 til2014,List([179, 191)))	When I retired from NHS I entered Private care being accepted by the then care standards commision as a suitible person to manage Residential care,I have ran several homes from 1998 til2014 and this was very enjoyable.I now do adhoc work and am still registered as a nurse.
0.3880890333449538		SimpleArgument(I,List({149}))	Relation(have ran,List([151, 159)))	SimpleArgument(several homes,List([160, 173)))	When I retired from NHS I entered Private care being accepted by the then care standards commision as a suitible person to manage Residential care,I have ran several homes from 1998 til2014 and this was very enjoyable.I now do adhoc work and am still registered as a nurse.
0.9111779447320654		SimpleArgument(a suitible person,List([102, 119)))	Relation(to manage,List([120, 129)))	SimpleArgument(Residential care,List([130, 146)))	When I retired from NHS I entered Private care being accepted by the then care standards commision as a suitible person to manage Residential care,I have ran several homes from 1998 til2014 and this was very enjoyable.I now do adhoc work and am still registered as a nurse.
0.9030401971054747		SimpleArgument(Private care,List([34, 46)))	Relation(being accepted by,List([47, 61), [62, 64)))	SimpleArgument(the then care standards commision as a suitible person,List([65, 119)))	When I retired from NHS I entered Private care being accepted by the then care standards commision as a suitible person to manage Residential care,I have ran several homes from 1998 til2014 and this was very enjoyable.I now do adhoc work and am still registered as a nurse.
0.4978219019954182		SimpleArgument(I,List({5}))	Relation(retired from,List([7, 14), [15, 19)))	SimpleArgument(NHS,List([20, 23)))	When I retired from NHS I entered Private care being accepted by the then care standards commision as a suitible person to manage Residential care,I have ran several homes from 1998 til2014 and this was very enjoyable.I now do adhoc work and am still registered as a nurse.
