0.9383119524695255		SimpleArgument(Vicki,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(a licensed specialist in school psychology,List([9, 51)))	Vicki is a licensed specialist in school psychology.
0.9180804252893389		SimpleArgument(a ministry,List([24, 34)))	Relation(serving children in,List([35, 42), [43, 51), [52, 54)))	SpatialArgument(Leadership Worth,List([55, 71)))	Lilies of the Valley is a ministry serving women and children in the Rio Grande Valley and Leadership Worth Following is a consulting group of psychologists helping organizations identify and develop leadership.
0.9180804252893389		SimpleArgument(a ministry,List([24, 34)))	Relation(serving children in,List([35, 42), [43, 51), [52, 54)))	SpatialArgument(the Rio Grande Valley Following,List([55, 86)))	Lilies of the Valley is a ministry serving women and children in the Rio Grande Valley and Leadership Worth Following is a consulting group of psychologists helping organizations identify and develop leadership.
0.9030401971054747		SimpleArgument(a ministry,List([24, 34)))	Relation(serving,List([35, 42)))	SimpleArgument(children,List([43, 51)))	Lilies of the Valley is a ministry serving women and children in the Rio Grande Valley and Leadership Worth Following is a consulting group of psychologists helping organizations identify and develop leadership.
0.9180804252893389		SimpleArgument(a ministry,List([24, 34)))	Relation(serving women in,List([35, 42), [43, 48), [49, 51)))	SpatialArgument(Leadership Worth,List([52, 68)))	Lilies of the Valley is a ministry serving women and children in the Rio Grande Valley and Leadership Worth Following is a consulting group of psychologists helping organizations identify and develop leadership.
0.8713075742434684		SimpleArgument(psychologists,List([109, 122)))	Relation(helping,List([123, 130)))	SimpleArgument(organizations identify,List([131, 153)))	Lilies of the Valley is a ministry serving women and children in the Rio Grande Valley and Leadership Worth Following is a consulting group of psychologists helping organizations identify and develop leadership.
0.9180804252893389		SimpleArgument(a ministry,List([24, 34)))	Relation(serving women in,List([35, 42), [43, 48), [49, 51)))	SpatialArgument(the Rio Grande Valley Following,List([52, 83)))	Lilies of the Valley is a ministry serving women and children in the Rio Grande Valley and Leadership Worth Following is a consulting group of psychologists helping organizations identify and develop leadership.
0.9030401971054747		SimpleArgument(a ministry,List([24, 34)))	Relation(serving,List([35, 42)))	SimpleArgument(women,List([43, 48)))	Lilies of the Valley is a ministry serving women and children in the Rio Grande Valley and Leadership Worth Following is a consulting group of psychologists helping organizations identify and develop leadership.
0.22506131975927415		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(celebrates life,List([4, 14), [15, 19)))	TemporalArgument(daily,List([20, 25)))	She is a breast cancer survivor and celebrates life daily.
0.45170382506656653		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(celebrates,List([4, 14)))	SimpleArgument(life,List([15, 19)))	She is a breast cancer survivor and celebrates life daily.
0.5222094630377523		SimpleArgument(Vicki Thompson Vicki,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(a breast cancer survivor,List([7, 31)))	She is a breast cancer survivor and celebrates life daily.
