0.9449993708870406		SimpleArgument(Adam Ant ( born,List([0, 15)))	Relation(is,List([58, 60)))	SimpleArgument(musician,List([61, 69)))	Adam Ant (born Stuart Leslie Goddard; 3 November 1954) is an English singer and musician.
0.6168278390792674	Context(Ant has undertaken,List([13, 31)))	SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career performing live regularly in,List([17, 31), [32, 57), [58, 60)))	SpatialArgument(his hometown,List([111, 123)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.7986199891631889		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live regularly in his hometown beyond and with three full - length UK national tours,List([82, 177)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.7986199891631889		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live regularly in his hometown of London and with three full - length UK national tours,List([82, 180)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.8585898599144384		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live regularly releasing a new album and with a short Australian tour,List([82, 162)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.5716762143753374		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live,List([82, 97)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.8796058886782385		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live regularly releasing a new album and with three full - length UK national tours,List([82, 176)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.7910581449595752		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live recording and with a short Australian tour,List([82, 140)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.7947428580413749		SimpleArgument(a short Australian tour,List([117, 140)))	Relation(all completed,List([141, 144), [149, 158)))	TemporalArgument(now,List([145, 148)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.8200065569481534		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live recording and with two US national tours,List([82, 138)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.890772039609223		SimpleArgument(two US national tours,List([117, 138)))	Relation(completed,List([147, 156)))	TemporalArgument(now,List([143, 146)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.7478385192013411	Context(Ant has undertaken,List([13, 31)))	SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career performing,List([17, 31), [32, 34)))	SimpleArgument(live recording,List([93, 107)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.7015193137725686		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career Since,List([0, 20), [21, 72), [73, 79)))	TemporalArgument(2010,List([6, 10)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.8796058886782385		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken an intensive reactivation of his musical career,List([17, 31), [32, 79)))	SimpleArgument(performing live recording and with three full - length UK national tours,List([82, 154)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.7114513897534515		SimpleArgument(Adam Ant Adam Ant (born Stuart Leslie Goddard; 3 November 1954),List([13, 16)))	Relation(has undertaken,List([17, 31)))	SimpleArgument(an intensive reactivation of his musical career,List([32, 79)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
0.9159499592224981		SimpleArgument(three full - length UK national tours,List([117, 154)))	Relation(completed,List([163, 172)))	TemporalArgument(now,List([159, 162)))	Since 2010, Ant has undertaken an intensive reactivation of his musical career, performing live regularly in his hometown of London and beyond, recording and releasing a new album and with three full-length UK national tours, two US national tours and a short Australian tour all now completed.
