0.886660024554648		SimpleArgument(Totoro,List([12, 18)))	Relation([is] Neighbor [of],List([3, 11)))	SimpleArgument(Mine,List([0, 2)))	My Neighbor Totoro
0.930882026918769		SimpleArgument(Chika,List([40, 45)))	Relation(tells,List([57, 62)))	SimpleArgument(the story of the two young daughters ( Mei ) of their interactions with friendly wood spirits in postwar rural Japan,List([63, 179)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.9612584105285736		SimpleArgument(Chika,List([40, 45)))	Relation(tells,List([57, 62)))	SimpleArgument(the story of the two young daughters ( Mei ) of a professor,List([63, 122)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.930882026918769		SimpleArgument(Chika,List([40, 45)))	Relation(tells,List([57, 62)))	SimpleArgument(the story of the two young daughters ( Satsuki ) of their interactions with friendly wood spirits in postwar rural Japan,List([63, 183)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.9612584105285736		SimpleArgument(Chika,List([40, 45)))	Relation(tells,List([57, 62)))	SimpleArgument(the story of the two young daughters ( Satsuki ) of a professor,List([63, 126)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.930882026918769		SimpleArgument(Noriko,List([40, 46)))	Relation(tells,List([56, 61)))	SimpleArgument(the story of the two young daughters ( Mei ) of their interactions with friendly wood spirits in postwar rural Japan,List([62, 178)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.9612584105285736		SimpleArgument(Noriko,List([40, 46)))	Relation(tells,List([56, 61)))	SimpleArgument(the story of the two young daughters ( Mei ) of a professor,List([62, 121)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.930882026918769		SimpleArgument(Noriko,List([40, 46)))	Relation(tells,List([56, 61)))	SimpleArgument(the story of the two young daughters ( Satsuki ) of their interactions with friendly wood spirits in postwar rural Japan,List([62, 182)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.9612584105285736		SimpleArgument(Noriko,List([40, 46)))	Relation(tells,List([56, 61)))	SimpleArgument(the story of the two young daughters ( Satsuki ) of a professor,List([62, 125)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.9126241552108846		SimpleArgument(The film,List([0, 8)))	Relation(stars,List([17, 22)))	SimpleArgument(the voice actors,List([23, 39)))	The film – which stars the voice actors Noriko Hidaka, Chika Sakamoto, and Hitoshi Takagi – tells the story of the two young daughters (Satsuki and Mei) of a professor and their interactions with friendly wood spirits in postwar rural Japan.
0.681898541880026		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(won Kinema Junpo Award in,List([9, 12), [13, 31), [46, 48)))	TemporalArgument(1988,List([49, 53)))	The film won the Animage Anime Grand Prix prize and the Mainichi Film Award and Kinema Junpo Award for Best Film in 1988.
0.9369813267476892		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(won,List([9, 12)))	SimpleArgument(Kinema Junpo Award,List([13, 31)))	The film won the Animage Anime Grand Prix prize and the Mainichi Film Award and Kinema Junpo Award for Best Film in 1988.
0.7665350501724939		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(won the Mainichi Film Award in,List([9, 12), [13, 36), [37, 39)))	TemporalArgument(1988,List([40, 44)))	The film won the Animage Anime Grand Prix prize and the Mainichi Film Award and Kinema Junpo Award for Best Film in 1988.
0.9369813267476892		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(won,List([9, 12)))	SimpleArgument(the Mainichi Film Award,List([13, 36)))	The film won the Animage Anime Grand Prix prize and the Mainichi Film Award and Kinema Junpo Award for Best Film in 1988.
0.9369813267476892		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(won,List([9, 12)))	SimpleArgument(the Animage Anime Grand Prix prize,List([13, 47)))	The film won the Animage Anime Grand Prix prize and the Mainichi Film Award and Kinema Junpo Award for Best Film in 1988.
0.3125601471068353		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 2)))	Relation(received the Special Award in,List([8, 16), [17, 34), [61, 63)))	TemporalArgument(the same year,List([64, 77)))	It also received the Special Award at the Blue Ribbon Awards in the same year.
0.45592395356914683		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 2)))	Relation(received the Special Award at,List([8, 16), [17, 34), [35, 37)))	SpatialArgument(the Blue Ribbon Awards,List([38, 60)))	It also received the Special Award at the Blue Ribbon Awards in the same year.
0.45592395356914683		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 2)))	Relation(received,List([8, 16)))	SimpleArgument(the Special Award,List([17, 34)))	It also received the Special Award at the Blue Ribbon Awards in the same year.
0.3853208301752743		SimpleArgument(Totoro,List([110, 116)))	Relation([is] Friend [of],List([103, 109)))	SimpleArgument(Mine,List([100, 102)))	The film was released on VHS and laserdisc in the United States by Tokuma Japan Communications' US subsidiary in 1993 under the title My Friend Totoro.
0.681898541880026		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(was released in,List([9, 21), [76, 78)))	TemporalArgument(1993,List([79, 83)))	The film was released on VHS and laserdisc in the United States by Tokuma Japan Communications' US subsidiary in 1993 under the title My Friend Totoro.
0.8797652531099371		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(was released by,List([9, 21), [29, 31)))	SimpleArgument(Tokuma Japan Communications ' US subsidiary,List([32, 75)))	The film was released on VHS and laserdisc in the United States by Tokuma Japan Communications' US subsidiary in 1993 under the title My Friend Totoro.
0.9180804252893389		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(was released on,List([9, 21), [22, 24)))	SpatialArgument(VHS,List([25, 28)))	The film was released on VHS and laserdisc in the United States by Tokuma Japan Communications' US subsidiary in 1993 under the title My Friend Totoro.
0.8672693270989391		SimpleArgument(Streamline Pictures,List([9, 28)))	Relation(produced an exclusive dub for use on transpacific flights by Japan Airlines In,List([0, 2), [29, 95), [96, 104)))	TemporalArgument(1988,List([3, 7)))	In 1988, Streamline Pictures produced an exclusive dub for use on transpacific flights by Japan Airlines.
0.9605824069728295		SimpleArgument(Streamline Pictures,List([9, 28)))	Relation(produced,List([29, 37)))	SimpleArgument(an exclusive dub for use on transpacific flights by Japan Airlines,List([38, 104)))	In 1988, Streamline Pictures produced an exclusive dub for use on transpacific flights by Japan Airlines.
0.9180804252893389		SimpleArgument(the film,List([71, 79)))	Relation(co-produced by,List([80, 91), [92, 94)))	SimpleArgument(Jerry Beck,List([95, 105)))	Troma Films, under their 50th St. Films banner, distributed the dub of the film co-produced by Jerry Beck.
0.871422495118269		SimpleArgument(Troma Films,List([0, 11)))	Relation(distributed the dub of the film under,List([13, 18), [48, 74), [75, 79)))	SpatialArgument(their 50th St. Films banner,List([19, 46)))	Troma Films, under their 50th St. Films banner, distributed the dub of the film co-produced by Jerry Beck.
0.9143456855143793		SimpleArgument(Troma Films,List([0, 11)))	Relation(distributed,List([48, 59)))	SimpleArgument(the dub of the film,List([60, 79)))	Troma Films, under their 50th St. Films banner, distributed the dub of the film co-produced by Jerry Beck.
0.3929209860966329		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 2)))	Relation(was released by,List([3, 15), [23, 25)))	SimpleArgument(Fox Video,List([26, 35)))	It was released on VHS and DVD by Fox Video.
0.8675936798977921		SimpleArgument(Fox 's rights to this version,List([0, 29)))	Relation(expired in,List([30, 37), [38, 40)))	TemporalArgument(2004,List([41, 45)))	Troma's and Fox's rights to this version expired in 2004.
0.816575697747956		SimpleArgument(Troma 's,List([0, 8)))	Relation(expired in,List([9, 16), [17, 19)))	TemporalArgument(2004,List([20, 24)))	Troma's and Fox's rights to this version expired in 2004.
0.8797652531099371		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(was re-released on,List([9, 24), [67, 69)))	TemporalArgument(March 15,List([70, 78)))	The film was re-released by Walt Disney Pictures on March 7, 2006 and by Madman on March 15, 2006.
0.8797652531099371		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(was re-released on,List([9, 24), [49, 51)))	TemporalArgument(March 7,List([52, 59)))	The film was re-released by Walt Disney Pictures on March 7, 2006 and by Madman on March 15, 2006.
0.9180804252893389		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 8)))	Relation(was re-released by,List([9, 24), [25, 27)))	SimpleArgument(Walt Disney Pictures,List([28, 48)))	The film was re-released by Walt Disney Pictures on March 7, 2006 and by Madman on March 15, 2006.
0.45170382506656653		SimpleArgument(a 1988 Japanese animated fantasy film written and directed by Hayao Miyazaki and produced by Studio Ghibli,List([0, 2)))	Relation(features,List([3, 11)))	SimpleArgument(a new dub cast,List([12, 26)))	It features a new dub cast.
0.8550806581371961		SimpleArgument(Fox,List([117, 120)))	Relation(did not have,List([121, 133)))	SimpleArgument(the rights to the Japanese audio track,List([134, 172)))	This DVD release is the first version of the film in the United States to include both Japanese and English language tracks, as Fox did not have the rights to the Japanese audio track for their version.
0.9662804662077509		SimpleArgument(the first version of the film in the United States,List([20, 70)))	Relation(to include,List([71, 81)))	SimpleArgument(both Japanese language tracks , as Fox did not have the rights to the Japanese audio track for their version,List([82, 190)))	This DVD release is the first version of the film in the United States to include both Japanese and English language tracks, as Fox did not have the rights to the Japanese audio track for their version.
0.9633207887638083		SimpleArgument(This DVD release,List([0, 16)))	Relation(is,List([17, 19)))	SimpleArgument(the first version of the film in the United States,List([20, 70)))	This DVD release is the first version of the film in the United States to include both Japanese and English language tracks, as Fox did not have the rights to the Japanese audio track for their version.
0.6214516678571286		SimpleArgument(its titular character,List([0, 21)))	Relation(have become,List([33, 44)))	SimpleArgument(cultural icons,List([45, 59)))	The movie and its titular character, Totoro, have become cultural icons.
0.8872966301155124		SimpleArgument(The movie,List([0, 9)))	Relation(have become,List([12, 23)))	SimpleArgument(cultural icons,List([24, 38)))	The movie and its titular character, Totoro, have become cultural icons.
0.9990000128746033		SimpleArgument(My Neighbor Totoro,List([0, 0)))	Relation(ranked,List([0, 0)))	SimpleArgument(41,List(null))	"My Neighbor Totoro ranked #41 in Empire magazine's ""The 100 Best Films Of World Cinema"" in 2010."
0.886695286966665		SimpleArgument(Totoro,List([12, 18)))	Relation([is] Neighbor [of],List([3, 11)))	SimpleArgument(Mine,List([0, 2)))	"My Neighbor Totoro ranked #41 in Empire magazine's ""The 100 Best Films Of World Cinema"" in 2010."
0.37737005901412135		SimpleArgument(My Neighbor Totoro,List([0, 18)))	Relation(ranked # 41 in,List([19, 25), [26, 29), [88, 90)))	TemporalArgument(2010,List([91, 95)))	"My Neighbor Totoro ranked #41 in Empire magazine's ""The 100 Best Films Of World Cinema"" in 2010."
0.8355689989149226		SimpleArgument(My Neighbor Totoro,List([0, 18)))	Relation(ranked # 41 in,List([19, 25), [26, 29), [30, 32)))	"SpatialArgument(Empire magazine's ""The 100 Best Films Of World Cinema,List([33, 86)))"	"My Neighbor Totoro ranked #41 in Empire magazine's ""The 100 Best Films Of World Cinema"" in 2010."
0.4814115499370402		SimpleArgument(My Neighbor Totoro,List([0, 18)))	Relation(ranked,List([19, 25)))	SimpleArgument(#41,List([26, 29)))	"My Neighbor Totoro ranked #41 in Empire magazine's ""The 100 Best Films Of World Cinema"" in 2010."
0.9314904193639496		SimpleArgument(the greatest animated films,List([10, 37)))	Relation(compiled by,List([38, 46), [47, 49)))	SimpleArgument(Terry Gilliam in Time Out,List([50, 75)))	A list of the greatest animated films compiled by Terry Gilliam in Time Out ranked the film number 1.
0.9030401971054747		SimpleArgument(3.The character,List([74, 89)))	Relation(made,List([90, 94)))	SimpleArgument(multiple cameo appearances in a number of video games,List([95, 148)))	A similar list compiled by the editors of Time Out ranked the film number 3.The character made multiple cameo appearances in a number of Studio Ghibli films and video games and is recognized as one of the most popular characters in Japanese animation.
0.9472929138282772		SimpleArgument(3.The character,List([74, 89)))	Relation(made,List([90, 94)))	SimpleArgument(multiple cameo appearances in a number of Studio Ghibli films,List([95, 156)))	A similar list compiled by the editors of Time Out ranked the film number 3.The character made multiple cameo appearances in a number of Studio Ghibli films and video games and is recognized as one of the most popular characters in Japanese animation.
0.9111779447320654		SimpleArgument(A similar list,List([0, 14)))	Relation(is recognized as,List([15, 28), [29, 31)))	SimpleArgument(one of the most popular characters in Japanese animation,List([32, 88)))	A similar list compiled by the editors of Time Out ranked the film number 3.The character made multiple cameo appearances in a number of Studio Ghibli films and video games and is recognized as one of the most popular characters in Japanese animation.
0.9929999709129333		SimpleArgument(Totoro,List([0, 0)))	Relation(was ranked on,List([0, 0)))	SimpleArgument(25 anime characters,List(null))	Totoro was ranked 24th on IGN's top 25 anime characters.
0.9105129651916236		SimpleArgument(Totoro,List([0, 6)))	Relation(was ranked 24th on,List([7, 17), [18, 22), [23, 25)))	SpatialArgument(IGN's top 25 anime characters,List([26, 55)))	Totoro was ranked 24th on IGN's top 25 anime characters.
0.7487987465728897		SimpleArgument(Totoro,List([0, 6)))	Relation(was ranked,List([7, 17)))	SimpleArgument(24th,List([18, 22)))	Totoro was ranked 24th on IGN's top 25 anime characters.
