0.9929999709129333		SimpleArgument(James Jones Signature James Jones,List([0, 0)))	Relation(was born in,List([0, 0)))	SimpleArgument(1734,List(null))	James Jones Signature James Jones was born in 1734.
0.45170382506656653		SimpleArgument(James Jones James Jones Signature James Jones,List([0, 2)))	Relation(had erected,List([3, 14)))	SimpleArgument(a good log house,List([15, 31)))	He cleared about 20 acres and had erected a good log house with an apple orchard.
0.45170382506656653		SimpleArgument(James Jones James Jones Signature James Jones,List([0, 2)))	Relation(cleared,List([3, 10)))	SimpleArgument(about 20 acres,List([11, 25)))	He cleared about 20 acres and had erected a good log house with an apple orchard.
0.6381012045821894		SimpleArgument(His livestock,List([0, 13)))	Relation(consisted of,List([14, 23), [24, 26)))	SimpleArgument(14 hogs,List([27, 34)))	His livestock consisted of 10 horned cattle, 2 horses, and 14 hogs.
0.6381012045821894		SimpleArgument(His livestock,List([0, 13)))	Relation(consisted of,List([14, 23), [24, 26)))	SimpleArgument(2 horses,List([27, 35)))	His livestock consisted of 10 horned cattle, 2 horses, and 14 hogs.
0.6381012045821894		SimpleArgument(His livestock,List([0, 13)))	Relation(consisted of,List([14, 23), [24, 26)))	SimpleArgument(10 horned cattle,List([27, 43)))	His livestock consisted of 10 horned cattle, 2 horses, and 14 hogs.
0.7393090190779722		SimpleArgument(his family,List([0, 10)))	Relation(were living,List([11, 22)))	TemporalArgument(when the revolutionary war between Great Britain and the United States broke out,List([28, 108)))	He and his family were living here when the revolutionary war between Great Britain and the United States broke out.
0.3833177039030785		SimpleArgument(his family,List([0, 10)))	Relation(were living,List([11, 22)))	SpatialArgument(here,List([23, 27)))	He and his family were living here when the revolutionary war between Great Britain and the United States broke out.
0.5699038993321599		SimpleArgument(James Jones James Jones Signature James Jones,List([0, 2)))	Relation(were living,List([3, 14)))	TemporalArgument(when the revolutionary war between Great Britain and the United States broke out,List([20, 100)))	He and his family were living here when the revolutionary war between Great Britain and the United States broke out.
0.22506131975927415		SimpleArgument(James Jones James Jones Signature James Jones,List([0, 2)))	Relation(were living,List([3, 14)))	SpatialArgument(here,List([15, 19)))	He and his family were living here when the revolutionary war between Great Britain and the United States broke out.
0.45170382506656653		SimpleArgument(James Jones James Jones Signature James Jones,List([39, 41)))	Relation(was imprisoned for,List([42, 56), [57, 60)))	TemporalArgument(2 months,List([61, 69)))	Because he would not join the Rebels, he was imprisoned for 3 years and 2 months, in close confinement, with nine months in irons.
0.45170382506656653		SimpleArgument(James Jones James Jones Signature James Jones,List([39, 41)))	Relation(was imprisoned for,List([42, 56), [57, 60)))	TemporalArgument(3 years,List([61, 68)))	Because he would not join the Rebels, he was imprisoned for 3 years and 2 months, in close confinement, with nine months in irons.
0.4978219019954182		SimpleArgument(James Jones James Jones Signature James Jones,List([8, 10)))	Relation(would not join,List([11, 25)))	SimpleArgument(the Rebels,List([26, 36)))	Because he would not join the Rebels, he was imprisoned for 3 years and 2 months, in close confinement, with nine months in irons.
0.8309113630831395		SimpleArgument(The trustees,List([0, 12)))	Relation(warned off,List([13, 19), [29, 32)))	SimpleArgument(his wife,List([20, 28)))	The trustees of the Corporation sold his land under the pretense of rent being due and warned his wife off.
0.6053786123423853		SimpleArgument(rent,List([68, 72)))	Relation(being,List([73, 78)))	SimpleArgument(due,List([79, 82)))	The trustees of the Corporation sold his land under the pretense of rent being due and warned his wife off.
0.944056173886228		SimpleArgument(The trustees of the Corporation,List([0, 31)))	Relation(sold his land under,List([32, 36), [37, 45), [46, 51)))	SpatialArgument(the pretense of rent being due,List([52, 82)))	The trustees of the Corporation sold his land under the pretense of rent being due and warned his wife off.
0.9239671476179944		SimpleArgument(The trustees of the Corporation,List([0, 31)))	Relation(sold,List([32, 36)))	SimpleArgument(his land,List([37, 45)))	The trustees of the Corporation sold his land under the pretense of rent being due and warned his wife off.
0.45170382506656653		SimpleArgument(his wife,List([0, 3)))	Relation(saved,List([4, 9)))	SimpleArgument(one wagon load of furniture,List([10, 37)))	She managed to sell some cattle and saved one wagon load of furniture.
0.39746064682094406	Context(She managed,List([0, 11)))	SimpleArgument(his wife,List([0, 3)))	Relation(managed to sell,List([4, 11), [12, 19)))	SimpleArgument(some cattle,List([20, 31)))	She managed to sell some cattle and saved one wagon load of furniture.
0.39746064682094406		SimpleArgument(his wife,List([0, 3)))	Relation(managed to,List([4, 11), [12, 14)))	SimpleArgument(sell some cattle,List([15, 31)))	She managed to sell some cattle and saved one wagon load of furniture.
0.8821938819052391		SimpleArgument(James,List([0, 5)))	Relation(states,List([6, 12)))	SimpleArgument(his losses as £250 New York currency,List([13, 49)))	James filed a claim for losses suffered during the war and states his losses as £250 New York currency.
0.8942434158739456		SimpleArgument(losses,List([24, 30)))	Relation(suffered during,List([31, 39), [40, 46)))	TemporalArgument(the war,List([47, 54)))	James filed a claim for losses suffered during the war and states his losses as £250 New York currency.
0.9197759696552441		SimpleArgument(James,List([0, 5)))	Relation(filed,List([6, 11)))	SimpleArgument(a claim for losses,List([12, 30)))	James filed a claim for losses suffered during the war and states his losses as £250 New York currency.
0.7993302626692174		SimpleArgument(Images of the claim,List([0, 19)))	Relation(can be found,List([20, 32)))	SpatialArgument(here,List([33, 37)))	Images of the claim can be found here.
0.50931417287027		SimpleArgument(James,List([0, 2)))	Relation(appeared on,List([3, 11), [30, 32)))	SpatialArgument(the census of 17 September 1787 at district of Niagara,List([33, 87)))	He appeared as household head on the census of 17 September 1787 at district of Niagara, Upper Canada.
0.45170382506656653		SimpleArgument(James,List([0, 2)))	Relation(appeared as,List([3, 11), [12, 14)))	SimpleArgument(household head,List([15, 29)))	He appeared as household head on the census of 17 September 1787 at district of Niagara, Upper Canada.
0.45170382506656653		SimpleArgument(James,List([0, 2)))	Relation(was listed as,List([3, 13), [14, 16)))	SimpleArgument(a head of household with 1 woman,List([17, 49)))	He was listed as a head of household with 1 woman, 2 sons (over 16), 1 boy under 10 and 3 girls.
0.515999972820282		SimpleArgument(James,List([0, 0)))	Relation(had volume of wheat sowen of,List([0, 0)))	SimpleArgument(3 bushels,List(null))	He had 5 acres of land cleared and 3 bushels of wheat sowen.
0.9950000047683716		SimpleArgument(James,List([0, 0)))	Relation(had wheat sowen of,List([0, 0)))	SimpleArgument(3 bushels,List(null))	He had 5 acres of land cleared and 3 bushels of wheat sowen.
0.9990000128746033		SimpleArgument(James,List([0, 0)))	Relation(had,List([0, 0)))	SimpleArgument(3 bushels,List(null))	He had 5 acres of land cleared and 3 bushels of wheat sowen.
0.42176996788694965		SimpleArgument(James,List([0, 2)))	Relation(had,List([3, 6)))	SimpleArgument(3 bushels of wheat sowen,List([35, 59)))	He had 5 acres of land cleared and 3 bushels of wheat sowen.
0.3853208301752743		SimpleArgument(Jonathan,List([120, 128)))	Relation([is] son [of],List([116, 119)))	SimpleArgument(him,List([112, 115)))	Total persons 8. James died in 1792 at Niagara District, Upper Canada, at age 58 years, This date is based upon his son Jonathan's Land Petition.
0.8588213959830759		SimpleArgument(This date,List([88, 97)))	Relation(is based upon,List([98, 106), [107, 111)))	SimpleArgument(his son Jonathan's,List([112, 130)))	Total persons 8. James died in 1792 at Niagara District, Upper Canada, at age 58 years, This date is based upon his son Jonathan's Land Petition.
0.9052669669539261		SimpleArgument(James,List([17, 22)))	Relation(died,List([23, 27)))	TemporalArgument(58 years,List([78, 86)))	Total persons 8. James died in 1792 at Niagara District, Upper Canada, at age 58 years, This date is based upon his son Jonathan's Land Petition.
0.8821520356066511		SimpleArgument(James,List([17, 22)))	Relation(died at,List([23, 27), [71, 73)))	TemporalArgument(age,List([74, 77)))	Total persons 8. James died in 1792 at Niagara District, Upper Canada, at age 58 years, This date is based upon his son Jonathan's Land Petition.
0.9000738595917936		SimpleArgument(James,List([17, 22)))	Relation(died at,List([23, 27), [36, 38)))	SpatialArgument(Niagara District,List([39, 55)))	Total persons 8. James died in 1792 at Niagara District, Upper Canada, at age 58 years, This date is based upon his son Jonathan's Land Petition.
0.8016573080327372		SimpleArgument(James,List([17, 22)))	Relation(died in,List([23, 27), [28, 30)))	TemporalArgument(1792,List([31, 35)))	Total persons 8. James died in 1792 at Niagara District, Upper Canada, at age 58 years, This date is based upon his son Jonathan's Land Petition.
