0.9250606141558615		SimpleArgument(an historic house,List([21, 38)))	Relation(located at,List([39, 46), [47, 49)))	SpatialArgument(19 Main Street, Stockbridge,List([50, 77)))	The Mission House is an historic house located at 19 Main Street, Stockbridge, Massachusetts.
0.9494979268841206		SimpleArgument(the Indians,List([43, 54)))	Relation(lived,List([55, 60)))	SpatialArgument(the valley,List([26, 36)))	His first house, built in the valley where the Indians lived, has not survived; this house was built in the white community on the hill above the town following his marriage in 1739.
0.6214516678571286		SimpleArgument(His first house,List([0, 15)))	Relation(built in,List([17, 22), [23, 25)))	SpatialArgument(the valley,List([26, 36)))	His first house, built in the valley where the Indians lived, has not survived; this house was built in the white community on the hill above the town following his marriage in 1739.
0.4978219019954182		SimpleArgument(The Mission House,List([0, 2)))	Relation(survived,List([3, 11)))	SimpleArgument(Gilded Age developments of the late 19th century,List([12, 60)))	It remained in the Sergeant family until the 1870s, and survived Gilded Age developments of the late 19th century.
0.3497525988439521		SimpleArgument(The Mission House,List([0, 2)))	Relation(remained until,List([3, 11), [35, 40)))	TemporalArgument(the 1870 s,List([41, 51)))	It remained in the Sergeant family until the 1870s, and survived Gilded Age developments of the late 19th century.
0.4978219019954182		SimpleArgument(The Mission House,List([0, 2)))	Relation(remained in,List([3, 11), [12, 14)))	SimpleArgument(the Sergeant family,List([15, 34)))	It remained in the Sergeant family until the 1870s, and survived Gilded Age developments of the late 19th century.
0.9929999709129333		SimpleArgument(The Mission House,List([0, 0)))	Relation(was moved In,List([0, 0)))	SimpleArgument(1920 s,List(null))	In the 1920s the house was purchased by Mabel Choate, owner of the nearby Naumkeag estate, and moved down into the valley.
0.9318322056713951		SimpleArgument(The Mission House,List([14, 23)))	Relation(was moved into the valley In,List([0, 27), [28, 47), [48, 54)))	SpatialArgument(the 1920 s,List([3, 13)))	In the 1920s the house was purchased by Mabel Choate, owner of the nearby Naumkeag estate, and moved down into the valley.
0.858772576540734		SimpleArgument(The Mission House,List([14, 23)))	Relation(was moved into,List([24, 33), [39, 43)))	SimpleArgument(the valley,List([44, 54)))	In the 1920s the house was purchased by Mabel Choate, owner of the nearby Naumkeag estate, and moved down into the valley.
0.7614217007482424		SimpleArgument(The Mission House,List([14, 23)))	Relation(was moved into the valley,List([24, 33), [39, 54)))	SimpleArgument(down,List([34, 38)))	In the 1920s the house was purchased by Mabel Choate, owner of the nearby Naumkeag estate, and moved down into the valley.
0.9929999709129333		SimpleArgument(The Mission House,List([0, 0)))	Relation(was purchased In,List([0, 0)))	SimpleArgument(1920 s,List(null))	In the 1920s the house was purchased by Mabel Choate, owner of the nearby Naumkeag estate, and moved down into the valley.
0.38089450366724514		SimpleArgument(Mabel Choate,List([41, 53)))	Relation([is] owner of,List([56, 64)))	SimpleArgument(the nearby Naumkeag estate,List([65, 91)))	In the 1920s the house was purchased by Mabel Choate, owner of the nearby Naumkeag estate, and moved down into the valley.
0.9318322056713951		SimpleArgument(The Mission House,List([14, 23)))	Relation(was purchased In,List([0, 27), [28, 37)))	SpatialArgument(the 1920 s,List([3, 13)))	In the 1920s the house was purchased by Mabel Choate, owner of the nearby Naumkeag estate, and moved down into the valley.
0.9180804252893389		SimpleArgument(The Mission House,List([14, 23)))	Relation(was purchased by,List([24, 37), [38, 40)))	SimpleArgument(Mabel Choate,List([41, 53)))	In the 1920s the house was purchased by Mabel Choate, owner of the nearby Naumkeag estate, and moved down into the valley.
0.9387281236502384		SimpleArgument(landscape designer Fletcher Steele,List([0, 34)))	Relation(designed,List([35, 43)))	SimpleArgument(gardens,List([44, 51)))	She and landscape designer Fletcher Steele restored the building, furnished it with 18th century pieces, and designed gardens to Steele's vision of what a colonial landscape might have been.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(designed,List([4, 12)))	SimpleArgument(gardens,List([13, 20)))	She and landscape designer Fletcher Steele restored the building, furnished it with 18th century pieces, and designed gardens to Steele's vision of what a colonial landscape might have been.
0.9387281236502384		SimpleArgument(landscape designer Fletcher Steele,List([0, 34)))	Relation(furnished it with,List([35, 44), [45, 47), [48, 52)))	SimpleArgument(18th century pieces,List([53, 72)))	She and landscape designer Fletcher Steele restored the building, furnished it with 18th century pieces, and designed gardens to Steele's vision of what a colonial landscape might have been.
0.8926589187155131		SimpleArgument(landscape designer Fletcher Steele,List([0, 34)))	Relation(furnished,List([35, 44)))	SimpleArgument(She and,List([45, 47)))	She and landscape designer Fletcher Steele restored the building, furnished it with 18th century pieces, and designed gardens to Steele's vision of what a colonial landscape might have been.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(furnished it with,List([4, 13), [14, 16), [17, 21)))	SimpleArgument(18th century pieces,List([22, 41)))	She and landscape designer Fletcher Steele restored the building, furnished it with 18th century pieces, and designed gardens to Steele's vision of what a colonial landscape might have been.
0.30899953469486874		SimpleArgument(She,List([0, 3)))	Relation(furnished,List([4, 13)))	SimpleArgument(She and,List([14, 16)))	She and landscape designer Fletcher Steele restored the building, furnished it with 18th century pieces, and designed gardens to Steele's vision of what a colonial landscape might have been.
0.9387281236502384		SimpleArgument(landscape designer Fletcher Steele,List([0, 34)))	Relation(restored,List([35, 43)))	SimpleArgument(the building,List([44, 56)))	She and landscape designer Fletcher Steele restored the building, furnished it with 18th century pieces, and designed gardens to Steele's vision of what a colonial landscape might have been.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(restored,List([4, 12)))	SimpleArgument(the building,List([13, 25)))	She and landscape designer Fletcher Steele restored the building, furnished it with 18th century pieces, and designed gardens to Steele's vision of what a colonial landscape might have been.
0.8691627739576013		SimpleArgument(Mabel Choate,List([0, 6)))	Relation(donated it to,List([7, 14), [15, 17), [22, 24)))	SimpleArgument(the Trustees of Reservations,List([25, 53)))	Choate opened the house as a museum in 1930, and donated it (and eventually Naumkeag as well) to the Trustees of Reservations, who operate both properties as museums.
0.8211012035398638		SimpleArgument(Mabel Choate,List([0, 6)))	Relation(donated,List([7, 14)))	SimpleArgument(The Mission House,List([15, 17)))	Choate opened the house as a museum in 1930, and donated it (and eventually Naumkeag as well) to the Trustees of Reservations, who operate both properties as museums.
0.9197759696552441		SimpleArgument(Mabel Choate,List([0, 6)))	Relation(opened the house as,List([7, 13), [14, 23), [24, 26)))	SimpleArgument(a museum in 1930,List([27, 43)))	Choate opened the house as a museum in 1930, and donated it (and eventually Naumkeag as well) to the Trustees of Reservations, who operate both properties as museums.
0.9197759696552441		SimpleArgument(Mabel Choate,List([0, 6)))	Relation(opened,List([7, 13)))	SimpleArgument(The Mission House,List([14, 23)))	Choate opened the house as a museum in 1930, and donated it (and eventually Naumkeag as well) to the Trustees of Reservations, who operate both properties as museums.
