0.38089450366724514		SimpleArgument(LLP,List([55, 58)))	Relation([is] a founding member of,List([9, 29)))	SimpleArgument(Bolen Robinson & Ellis,List([30, 52)))	Chris is the managing partner and a founding member of Bolen Robinson & Ellis, LLP.
0.9058816630255875		SimpleArgument(Christopher Ellis Chris,List([9, 14)))	Relation(actively involved in,List([26, 43), [44, 46)))	SimpleArgument(the prosecution of multiple class actions throughout the United States,List([47, 117)))	Recently Chris has become actively involved in the prosecution of multiple class actions throughout the United States where he has served as lead counsel, liaison counsel and on various executive and steering committees.
0.7559082184995922		SimpleArgument(Christopher Ellis Chris,List([9, 14)))	Relation(has become actively involved in the prosecution of multiple class actions throughout the United States,List([15, 25), [26, 117)))	TemporalArgument(Recently,List([0, 8)))	Recently Chris has become actively involved in the prosecution of multiple class actions throughout the United States where he has served as lead counsel, liaison counsel and on various executive and steering committees.
0.9192653036176239		SimpleArgument(Christopher Ellis Chris,List([9, 14)))	Relation(has become,List([15, 25)))	SimpleArgument(actively involved in the prosecution of multiple class actions throughout the United States,List([26, 117)))	Recently Chris has become actively involved in the prosecution of multiple class actions throughout the United States where he has served as lead counsel, liaison counsel and on various executive and steering committees.
0.8329899967105379		SimpleArgument(Christopher Ellis Chris,List([0, 5)))	Relation(serves as,List([11, 17), [18, 20)))	SimpleArgument(lead counsel for multiple local corporations,List([21, 65)))	Chris also serves as lead counsel for multiple local corporations.
0.547338059826203		SimpleArgument(Christopher Ellis Chris,List([17, 19)))	Relation(advises business professionals On,List([0, 2), [20, 36), [37, 50)))	TemporalArgument(a daily basis,List([3, 16)))	On a daily basis he advises business owners and professionals on matters varying from contract interpretation to employment issues.
0.45170382506656653		SimpleArgument(Christopher Ellis Chris,List([17, 19)))	Relation(advises business professionals on,List([20, 27), [28, 50), [51, 53)))	SimpleArgument(matters,List([54, 61)))	On a daily basis he advises business owners and professionals on matters varying from contract interpretation to employment issues.
0.45170382506656653		SimpleArgument(Christopher Ellis Chris,List([17, 19)))	Relation(advises,List([20, 27)))	SimpleArgument(business professionals,List([28, 50)))	On a daily basis he advises business owners and professionals on matters varying from contract interpretation to employment issues.
0.8942434158739456		SimpleArgument(matters,List([47, 54)))	Relation(varying from,List([55, 62), [63, 67)))	SimpleArgument(contract interpretation to employment issues,List([68, 112)))	On a daily basis he advises business owners and professionals on matters varying from contract interpretation to employment issues.
0.547338059826203		SimpleArgument(Christopher Ellis Chris,List([17, 19)))	Relation(advises business owners On,List([0, 2), [20, 36), [37, 43)))	TemporalArgument(a daily basis,List([3, 16)))	On a daily basis he advises business owners and professionals on matters varying from contract interpretation to employment issues.
0.45170382506656653		SimpleArgument(Christopher Ellis Chris,List([17, 19)))	Relation(advises business owners on,List([20, 27), [28, 43), [44, 46)))	SimpleArgument(matters,List([47, 54)))	On a daily basis he advises business owners and professionals on matters varying from contract interpretation to employment issues.
0.45170382506656653		SimpleArgument(Christopher Ellis Chris,List([17, 19)))	Relation(advises,List([20, 27)))	SimpleArgument(business owners,List([28, 43)))	On a daily basis he advises business owners and professionals on matters varying from contract interpretation to employment issues.
0.547338059826203		SimpleArgument(Christopher Ellis Chris,List([73, 75)))	Relation(has held the roles of Campaign Chair in,List([61, 79), [80, 106), [107, 112)))	TemporalArgument(the past,List([64, 72)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.5961061943937731		SimpleArgument(Christopher Ellis Chris,List([73, 75)))	Relation(has held the roles of Campaign Chair,List([76, 84), [85, 112)))	SpatialArgument(the local United Way Board,List([26, 52)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.4978219019954182		SimpleArgument(Christopher Ellis Chris,List([73, 75)))	Relation(has held,List([76, 84)))	SimpleArgument(the roles of Campaign Chair,List([85, 112)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.547338059826203		SimpleArgument(Christopher Ellis Chris,List([73, 75)))	Relation(has held the roles of Vice-Chairman in,List([61, 79), [80, 97), [98, 111)))	TemporalArgument(the past,List([64, 72)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.5961061943937731		SimpleArgument(Christopher Ellis Chris,List([73, 75)))	Relation(has held the roles of Vice-Chairman,List([76, 84), [85, 111)))	SpatialArgument(the local United Way Board,List([26, 52)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.4978219019954182		SimpleArgument(Christopher Ellis Chris,List([73, 75)))	Relation(has held,List([76, 84)))	SimpleArgument(the roles of Vice-Chairman,List([85, 111)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.547338059826203		SimpleArgument(Christopher Ellis Chris,List([73, 75)))	Relation(has held the roles of Chairman in,List([61, 79), [80, 97), [98, 106)))	TemporalArgument(the past,List([64, 72)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.5961061943937731		SimpleArgument(Christopher Ellis Chris,List([73, 75)))	Relation(has held the roles of Chairman,List([76, 84), [85, 106)))	SpatialArgument(the local United Way Board,List([26, 52)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.4978219019954182		SimpleArgument(Christopher Ellis Chris,List([73, 75)))	Relation(has held,List([76, 84)))	SimpleArgument(the roles of Chairman,List([85, 106)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.7584984743952914		SimpleArgument(Christopher Ellis Chris,List([0, 5)))	Relation(serves on the local United Way Board,List([16, 22), [23, 52)))	TemporalArgument(currently,List([6, 15)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.8571777395282005		SimpleArgument(Christopher Ellis Chris,List([0, 5)))	Relation(serves on,List([16, 22), [23, 25)))	SimpleArgument(the local United Way Board,List([26, 52)))	Chris currently serves on the local United Way Board, where in the past he has held the roles of Chairman, Vice-Chairman and Campaign Chair.
0.5961061943937731		SimpleArgument(Christopher Ellis Chris,List([84, 86)))	Relation(has served on the Capital Campaign Committee,List([87, 97), [98, 131)))	SpatialArgument(the St. Mary 's Hospital Foundation Board,List([34, 75)))	He is also actively involved with the St. Mary's Hospital Foundation Board, where he has served as Chairman, Vice-Chairman and on the Capital Campaign Committee.
0.4978219019954182		SimpleArgument(Christopher Ellis Chris,List([84, 86)))	Relation(has served on,List([87, 97), [98, 100)))	SimpleArgument(the Capital Campaign Committee,List([101, 131)))	He is also actively involved with the St. Mary's Hospital Foundation Board, where he has served as Chairman, Vice-Chairman and on the Capital Campaign Committee.
0.5961061943937731		SimpleArgument(Christopher Ellis Chris,List([84, 86)))	Relation(has served as Chairman,List([87, 97), [98, 109)))	SpatialArgument(the St. Mary 's Hospital Foundation Board,List([34, 75)))	He is also actively involved with the St. Mary's Hospital Foundation Board, where he has served as Chairman, Vice-Chairman and on the Capital Campaign Committee.
0.4978219019954182		SimpleArgument(Christopher Ellis Chris,List([84, 86)))	Relation(has served as,List([87, 97), [98, 100)))	SimpleArgument(Chairman,List([101, 109)))	He is also actively involved with the St. Mary's Hospital Foundation Board, where he has served as Chairman, Vice-Chairman and on the Capital Campaign Committee.
0.45592395356914683		SimpleArgument(Christopher Ellis Chris,List([0, 2)))	Relation(actively involved with,List([11, 28), [29, 33)))	SimpleArgument(the St. Mary 's Hospital Foundation Board,List([34, 75)))	He is also actively involved with the St. Mary's Hospital Foundation Board, where he has served as Chairman, Vice-Chairman and on the Capital Campaign Committee.
0.6138676038426771		SimpleArgument(Christopher Ellis Chris,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(actively involved with the St. Mary 's Hospital Foundation Board,List([11, 75)))	He is also actively involved with the St. Mary's Hospital Foundation Board, where he has served as Chairman, Vice-Chairman and on the Capital Campaign Committee.
0.8964816034508865		SimpleArgument(Christopher Ellis Chris,List([12, 17)))	Relation(held varying roles In,List([0, 2), [18, 30), [31, 36)))	TemporalArgument(the past,List([3, 11)))	In the past Chris has served on various other civic boards and held varying titles and roles.
0.8867237254315935		SimpleArgument(Christopher Ellis Chris,List([12, 17)))	Relation(held,List([18, 22)))	SimpleArgument(varying roles,List([23, 36)))	In the past Chris has served on various other civic boards and held varying titles and roles.
0.8964816034508865		SimpleArgument(Christopher Ellis Chris,List([12, 17)))	Relation(held varying titles In,List([0, 2), [18, 30), [31, 37)))	TemporalArgument(the past,List([3, 11)))	In the past Chris has served on various other civic boards and held varying titles and roles.
0.8867237254315935		SimpleArgument(Christopher Ellis Chris,List([12, 17)))	Relation(held,List([18, 22)))	SimpleArgument(varying titles,List([23, 37)))	In the past Chris has served on various other civic boards and held varying titles and roles.
0.8964816034508865		SimpleArgument(Christopher Ellis Chris,List([12, 17)))	Relation(has served on various other civic boards In,List([0, 21), [22, 51), [52, 58)))	TemporalArgument(the past,List([3, 11)))	In the past Chris has served on various other civic boards and held varying titles and roles.
0.8550806581371961		SimpleArgument(Christopher Ellis Chris,List([12, 17)))	Relation(has served on,List([18, 28), [29, 31)))	SimpleArgument(various other civic boards,List([32, 58)))	In the past Chris has served on various other civic boards and held varying titles and roles.
0.6814400456876439		SimpleArgument(All of his efforts,List([0, 18)))	Relation(have been geared towards,List([19, 35), [36, 43)))	SimpleArgument(making the surrounding communities a better place for everyone,List([44, 106)))	All of his efforts have been geared towards making Decatur and the surrounding communities a better place for everyone, particularly those less fortunate.
0.7202040575434281		SimpleArgument(All of his efforts,List([0, 18)))	Relation(have been geared towards,List([19, 35), [36, 43)))	SimpleArgument(making Decatur a better place for everyone,List([44, 86)))	All of his efforts have been geared towards making Decatur and the surrounding communities a better place for everyone, particularly those less fortunate.
0.3853208301752743		SimpleArgument(Kelli,List([64, 69)))	Relation([is] high school sweetheart [of],List([39, 61)))	SimpleArgument(him,List([35, 38)))	Chris has been married 11 years to his beautiful wife and high school sweetheart, Kelli.
0.6764858500841986		SimpleArgument(Christopher Ellis Chris,List([0, 5)))	Relation(has been married to,List([6, 22), [32, 34)))	SimpleArgument(his high school sweetheart,List([35, 61)))	Chris has been married 11 years to his beautiful wife and high school sweetheart, Kelli.
0.8515310096065818		SimpleArgument(Christopher Ellis Chris,List([0, 5)))	Relation(has been married to his high school sweetheart,List([6, 22), [32, 61)))	TemporalArgument(11 years,List([23, 31)))	Chris has been married 11 years to his beautiful wife and high school sweetheart, Kelli.
0.6764858500841986		SimpleArgument(Christopher Ellis Chris,List([0, 5)))	Relation(has been married to,List([6, 22), [32, 34)))	SimpleArgument(his beautiful wife,List([35, 53)))	Chris has been married 11 years to his beautiful wife and high school sweetheart, Kelli.
0.8515310096065818		SimpleArgument(Christopher Ellis Chris,List([0, 5)))	Relation(has been married to his beautiful wife,List([6, 22), [32, 53)))	TemporalArgument(11 years,List([23, 31)))	Chris has been married 11 years to his beautiful wife and high school sweetheart, Kelli.
0.8245836932748777		SimpleArgument(Christopher Ellis Chris,List([18, 23)))	Relation(enjoys coaching every team that his kids play on , from football to soccer In,List([0, 30), [31, 91), [92, 98)))	TemporalArgument(his spare time,List([3, 17)))	In his spare time Chris enjoys coaching every team that his kids play on, from baseball and football to softball and soccer.
0.6523147319998038		SimpleArgument(Christopher Ellis Chris,List([18, 23)))	Relation(enjoys coaching,List([24, 39)))	SimpleArgument(every team that his kids play on , from football to soccer,List([40, 98)))	In his spare time Chris enjoys coaching every team that his kids play on, from baseball and football to softball and soccer.
0.8841701665203853		SimpleArgument(every team,List([40, 50)))	Relation(play,List([65, 69)))	SimpleArgument(his kids,List([56, 64)))	In his spare time Chris enjoys coaching every team that his kids play on, from baseball and football to softball and soccer.
0.8245836932748777		SimpleArgument(Christopher Ellis Chris,List([18, 23)))	Relation(enjoys coaching every team that his kids play on , from football to softball In,List([0, 30), [31, 91), [92, 100)))	TemporalArgument(his spare time,List([3, 17)))	In his spare time Chris enjoys coaching every team that his kids play on, from baseball and football to softball and soccer.
0.6523147319998038		SimpleArgument(Christopher Ellis Chris,List([18, 23)))	Relation(enjoys coaching,List([24, 39)))	SimpleArgument(every team that his kids play on , from football to softball,List([40, 100)))	In his spare time Chris enjoys coaching every team that his kids play on, from baseball and football to softball and soccer.
0.8245836932748777		SimpleArgument(Christopher Ellis Chris,List([18, 23)))	Relation(enjoys coaching every team that his kids play on In,List([0, 30), [31, 69), [70, 72)))	TemporalArgument(his spare time,List([3, 17)))	In his spare time Chris enjoys coaching every team that his kids play on, from baseball and football to softball and soccer.
0.5391492205278351		SimpleArgument(Christopher Ellis Chris,List([18, 23)))	Relation(enjoys coaching,List([24, 39)))	SimpleArgument(every team that his kids play on,List([40, 72)))	In his spare time Chris enjoys coaching every team that his kids play on, from baseball and football to softball and soccer.
