0.9542225327267282		SimpleArgument(Szymon Szewczyk (born December 21,List([0, 33)))	Relation(is,List([41, 43)))	SimpleArgument(a Polish professional basketball player,List([44, 83)))	Szymon Szewczyk (born December 21, 1982) is a Polish professional basketball player.
0.44126879054002194		SimpleArgument(Szewczyk,List([61, 63)))	Relation(was evaluated After,List([0, 67), [68, 77)))	TemporalArgument(he played two successful seasons in his native Poland,List([6, 59)))	After he played two successful seasons in his native Poland, he was evaluated by several top teams in Europe before signing with Braunschweig of Germany's top division (Bundesliga I) for the 2002-03 season.
0.50931417287027		SimpleArgument(Szewczyk,List([61, 63)))	Relation(was evaluated before,List([64, 77), [109, 115)))	TemporalArgument(signing with Braunschweig of Germany's top division (Bundesliga I) for the 2002-03 season,List([116, 205)))	After he played two successful seasons in his native Poland, he was evaluated by several top teams in Europe before signing with Braunschweig of Germany's top division (Bundesliga I) for the 2002-03 season.
0.4978219019954182		SimpleArgument(Szewczyk,List([61, 63)))	Relation(was evaluated by,List([64, 77), [78, 80)))	SimpleArgument(several top teams in Europe,List([81, 108)))	After he played two successful seasons in his native Poland, he was evaluated by several top teams in Europe before signing with Braunschweig of Germany's top division (Bundesliga I) for the 2002-03 season.
0.3498441627223176		SimpleArgument(Szewczyk,List([6, 8)))	Relation(played two successful seasons in,List([9, 15), [16, 38), [39, 41)))	SpatialArgument(his native Poland,List([42, 59)))	After he played two successful seasons in his native Poland, he was evaluated by several top teams in Europe before signing with Braunschweig of Germany's top division (Bundesliga I) for the 2002-03 season.
0.45170382506656653		SimpleArgument(Szewczyk,List([6, 8)))	Relation(played,List([9, 15)))	SimpleArgument(two successful seasons,List([16, 38)))	After he played two successful seasons in his native Poland, he was evaluated by several top teams in Europe before signing with Braunschweig of Germany's top division (Bundesliga I) for the 2002-03 season.
0.555885685017515		SimpleArgument(Many,List([0, 4)))	Relation(considered him at,List([5, 15), [16, 19), [20, 22)))	TemporalArgument(the time as the best prospect from Poland in his age group,List([23, 81)))	Many considered him at the time as the best prospect from Poland in his age group.
0.3934323354627163		SimpleArgument(Many,List([0, 4)))	Relation(considered,List([5, 15)))	SimpleArgument(Szewczyk,List([16, 19)))	Many considered him at the time as the best prospect from Poland in his age group.
0.9197759696552441		SimpleArgument(Szewczyk,List([0, 8)))	Relation(did not play for,List([9, 21), [22, 25)))	SimpleArgument(the Polish National Team,List([26, 34)))	Szewczyk was a second round draft pick of the Milwaukee Bucks in the 2003 NBA Draft (#35), but did not play for the team.
0.9670538616899376		SimpleArgument(Szewczyk,List([0, 8)))	Relation(was,List([9, 12)))	SimpleArgument(a second round draft pick of the Milwaukee Bucks in the 2003 NBA Draft,List([13, 83)))	Szewczyk was a second round draft pick of the Milwaukee Bucks in the 2003 NBA Draft (#35), but did not play for the team.
0.9267899601589662		SimpleArgument(a three-team trade,List([53, 71)))	Relation(brought Kevin Martin to,List([77, 84), [85, 97), [98, 100)))	SimpleArgument(the Minnesota Timberwolves,List([101, 127)))	His rights were sent to the Oklahoma City Thunder in a three-team trade that brought Kevin Martin to the Minnesota Timberwolves.
0.9267899601589662		SimpleArgument(a three-team trade,List([53, 71)))	Relation(brought,List([77, 84)))	SimpleArgument(Kevin Martin,List([85, 97)))	His rights were sent to the Oklahoma City Thunder in a three-team trade that brought Kevin Martin to the Minnesota Timberwolves.
0.6381012045821894		SimpleArgument(His rights,List([0, 10)))	Relation(were sent to the Oklahoma City Thunder in,List([11, 20), [21, 49), [50, 52)))	SimpleArgument(a three-team trade,List([53, 71)))	His rights were sent to the Oklahoma City Thunder in a three-team trade that brought Kevin Martin to the Minnesota Timberwolves.
0.6796597830231682		SimpleArgument(His rights,List([0, 10)))	Relation(were sent to,List([11, 20), [21, 23)))	SimpleArgument(the Oklahoma City Thunder,List([24, 49)))	His rights were sent to the Oklahoma City Thunder in a three-team trade that brought Kevin Martin to the Minnesota Timberwolves.
0.4978219019954182		SimpleArgument(Szewczyk,List([0, 2)))	Relation(played at,List([3, 9), [10, 12)))	SpatialArgument(the 2009 Las Vegas Summer League,List([13, 45)))	He played at the 2009 Las Vegas Summer League.
