0.9485955390117107		SimpleArgument(Christian W.E. Haub,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(a businessman,List([23, 36)))	Christian W.E. Haub is a businessman.
0.6138676038426771		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(Chairman of New Jersey 's Great Atlantic from December 3 , 1991,List([11, 74)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.4978219019954182		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also CEO of Montvale from,List([3, 10), [11, 26), [27, 31)))	TemporalArgument(December 3 , 1991,List([32, 49)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.4978219019954182		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(CEO of Montvale,List([11, 26)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.6138676038426771		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(a former board member of Montvale from December 3 , 1991 until February 22,List([11, 85)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.4978219019954182		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also President of Montvale from,List([3, 10), [11, 32), [33, 37)))	TemporalArgument(December 3 , 1991,List([38, 55)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.4978219019954182		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(President of Montvale,List([11, 32)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.4978219019954182		SimpleArgument(W.E. Haub,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(Chairman of Montvale from December 3 , 1991,List([11, 54)))	He is also Chairman and President of Emil Capital Partners and a former board member and CEO of Montvale, New Jersey's Great Atlantic and Pacific Tea Company (A&P) from December 3, 1991 until February 22, 2002.
0.38089450366724514		SimpleArgument(Officer,List([31, 38)))	Relation([is] Executive [of],List([21, 30)))	SimpleArgument(Co-Chief,List([12, 20)))	Mr. Haub is a partner and Co-Chief Executive Officer of Tengelmann.
0.9527410621066101		SimpleArgument(W.E. Haub,List([0, 8)))	Relation(is,List([9, 11)))	SimpleArgument(Co-Chief Executive Officer of Tengelmann,List([12, 52)))	Mr. Haub is a partner and Co-Chief Executive Officer of Tengelmann.
0.8847999636040884		SimpleArgument(W.E. Haub,List([0, 8)))	Relation(is a partner of,List([9, 24)))	SimpleArgument(Tengelmann,List([25, 35)))	Mr. Haub is a partner and Co-Chief Executive Officer of Tengelmann.
0.9527410621066101		SimpleArgument(W.E. Haub,List([0, 8)))	Relation(is,List([9, 11)))	SimpleArgument(a partner of Tengelmann,List([12, 35)))	Mr. Haub is a partner and Co-Chief Executive Officer of Tengelmann.
0.9481947648689547		SimpleArgument(W.E. Haub,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(Montreal , Quebec,List([8, 25)))	Haub is a member of the Board of Directors of Metro Inc., Montreal, Quebec, and was on the board of directors of the Food Marketing Institute, while also being Director of BrightFarms as of 2015.
0.8847999636040884		SimpleArgument(W.E. Haub,List([0, 4)))	Relation(is a member of,List([5, 19)))	SimpleArgument(the Board,List([20, 29)))	Haub is a member of the Board of Directors of Metro Inc., Montreal, Quebec, and was on the board of directors of the Food Marketing Institute, while also being Director of BrightFarms as of 2015.
0.9210233335200773		SimpleArgument(W.E. Haub,List([0, 4)))	Relation(was on,List([64, 67), [68, 70)))	SimpleArgument(the board of directors of the Food Marketing Institute,List([71, 125)))	Haub is a member of the Board of Directors of Metro Inc., Montreal, Quebec, and was on the board of directors of the Food Marketing Institute, while also being Director of BrightFarms as of 2015.
0.9670538616899376		SimpleArgument(W.E. Haub,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(a member of the Board of Directors of Metro Inc,List([8, 55)))	Haub is a member of the Board of Directors of Metro Inc., Montreal, Quebec, and was on the board of directors of the Food Marketing Institute, while also being Director of BrightFarms as of 2015.
0.38089450366724514		SimpleArgument(May 1 , 1998 ),List([34, 48)))	Relation([is] Executive Chairman of,List([51, 72)))	SimpleArgument(the Board (,List([73, 84)))	In A&P, he served as CEO (since May 1, 1998), Executive Chairman of the Board (since August 15, 2005) and Chair of the Executive Committee (since May 1, 2001).
0.5926659981335703		SimpleArgument(W.E. Haub,List([9, 11)))	Relation(served as CEO In,List([0, 2), [12, 21), [22, 25)))	SpatialArgument(A&P,List([3, 6)))	In A&P, he served as CEO (since May 1, 1998), Executive Chairman of the Board (since August 15, 2005) and Chair of the Executive Committee (since May 1, 2001).
0.45170382506656653		SimpleArgument(W.E. Haub,List([9, 11)))	Relation(served as,List([12, 18), [19, 21)))	SimpleArgument(CEO,List([22, 25)))	In A&P, he served as CEO (since May 1, 1998), Executive Chairman of the Board (since August 15, 2005) and Chair of the Executive Committee (since May 1, 2001).
0.9537030813373246		SimpleArgument(W.E. Haub,List([14, 22)))	Relation(served as President of the Company from,List([28, 34), [35, 62), [63, 67)))	TemporalArgument(December 7 , 1993 through from November 4 , 2002 through November 15 , 2004,List([68, 143)))	In addition, Mr. Haub also served as President of the Company from December 7, 1993 through February 24, 2002, and from November 4, 2002 through November 15, 2004.
0.9277724913494431		SimpleArgument(W.E. Haub,List([14, 22)))	Relation(served as President of the Company from,List([28, 34), [35, 62), [63, 67)))	TemporalArgument(December 7 , 1993,List([68, 85)))	In addition, Mr. Haub also served as President of the Company from December 7, 1993 through February 24, 2002, and from November 4, 2002 through November 15, 2004.
0.9277724913494431		SimpleArgument(W.E. Haub,List([14, 22)))	Relation(served as,List([28, 34), [35, 37)))	SimpleArgument(President of the Company,List([38, 62)))	In addition, Mr. Haub also served as President of the Company from December 7, 1993 through February 24, 2002, and from November 4, 2002 through November 15, 2004.
