0.9267899601589662		SimpleArgument(a South Korean business group,List([16, 45)))	Relation(associated with,List([56, 66), [67, 71)))	SimpleArgument(the Unification Church,List([72, 94)))	Tongil Group is a South Korean business group (chaebol) associated with the Unification Church.
0.41051436014453063		"SimpleArgument(""Tongilgyo,List([14, 16)))"	Relation(by acquiring businesses in,List([26, 38), [39, 49), [50, 52)))	SpatialArgument(pharmaceuticals,List([53, 68)))	Its core focus was manufacturing but in the 1970s and 1980s it expanded by founding or acquiring businesses in pharmaceuticals, tourism, and publishing.
0.41051436014453063		"SimpleArgument(""Tongilgyo,List([14, 16)))"	Relation(by acquiring,List([26, 38)))	SimpleArgument(businesses,List([39, 49)))	Its core focus was manufacturing but in the 1970s and 1980s it expanded by founding or acquiring businesses in pharmaceuticals, tourism, and publishing.
0.547338059826203		"SimpleArgument(""Tongilgyo,List([14, 16)))"	Relation(expanded in,List([0, 2), [17, 25)))	SpatialArgument(the 1980 s,List([3, 13)))	Its core focus was manufacturing but in the 1970s and 1980s it expanded by founding or acquiring businesses in pharmaceuticals, tourism, and publishing.
0.547338059826203		"SimpleArgument(""Tongilgyo,List([14, 16)))"	Relation(expanded in,List([0, 2), [17, 25)))	SpatialArgument(the 1970 s,List([3, 13)))	Its core focus was manufacturing but in the 1970s and 1980s it expanded by founding or acquiring businesses in pharmaceuticals, tourism, and publishing.
0.7659719401119304		SimpleArgument(the South Korean government,List([80, 107)))	Relation(had forbidden relationships between South Korean businesses,List([114, 117), [129, 138), [139, 184)))	TemporalArgument(previously,List([118, 128)))	In 1998 Tongil Group was about 35th in size among South Korean business groups and was in the process of expanding into North Korea, with the blessing of the South Korean government which had previously forbidden relationships between North Korea and South Korean businesses.
0.861803099174675		SimpleArgument(the South Korean government,List([80, 107)))	Relation(had forbidden,List([114, 117), [129, 138)))	SimpleArgument(relationships between South Korean businesses,List([139, 184)))	In 1998 Tongil Group was about 35th in size among South Korean business groups and was in the process of expanding into North Korea, with the blessing of the South Korean government which had previously forbidden relationships between North Korea and South Korean businesses.
0.7659719401119304		SimpleArgument(the South Korean government,List([80, 107)))	Relation(had forbidden relationships between North Korea,List([114, 117), [129, 138), [139, 172)))	TemporalArgument(previously,List([118, 128)))	In 1998 Tongil Group was about 35th in size among South Korean business groups and was in the process of expanding into North Korea, with the blessing of the South Korean government which had previously forbidden relationships between North Korea and South Korean businesses.
0.8824069888821766		SimpleArgument(the South Korean government,List([80, 107)))	Relation(had forbidden,List([114, 117), [129, 138)))	SimpleArgument(relationships between North Korea,List([139, 172)))	In 1998 Tongil Group was about 35th in size among South Korean business groups and was in the process of expanding into North Korea, with the blessing of the South Korean government which had previously forbidden relationships between North Korea and South Korean businesses.
0.8672693270989391		SimpleArgument(Tongil Group,List([8, 20)))	Relation(was about 35th in size among South Korean business groups In,List([0, 2), [21, 71), [72, 78)))	TemporalArgument(1998,List([3, 7)))	In 1998 Tongil Group was about 35th in size among South Korean business groups and was in the process of expanding into North Korea, with the blessing of the South Korean government which had previously forbidden relationships between North Korea and South Korean businesses.
0.9266232318014763		SimpleArgument(Tongil Group,List([8, 20)))	Relation(was about,List([21, 24), [25, 30)))	SimpleArgument(35th in size among South Korean business groups,List([31, 78)))	In 1998 Tongil Group was about 35th in size among South Korean business groups and was in the process of expanding into North Korea, with the blessing of the South Korean government which had previously forbidden relationships between North Korea and South Korean businesses.
0.8669999837875366		SimpleArgument(Tongil Group,List([0, 0)))	Relation(had debt of,List([0, 0)))	SimpleArgument($ 3.6 billion,List(null))	By 2004 it was losing money and was $3.6 billion in debt.
0.9729999899864197		SimpleArgument(Tongil Group,List([0, 0)))	Relation(was,List([0, 0)))	SimpleArgument($ 3.6 billion,List(null))	By 2004 it was losing money and was $3.6 billion in debt.
0.29886655727758943		SimpleArgument(Tongil Group,List([8, 10)))	Relation(was $ 3.6 billion in debt By,List([0, 2), [11, 31), [32, 36)))	TemporalArgument(2004,List([3, 7)))	By 2004 it was losing money and was $3.6 billion in debt.
0.5222094630377523		SimpleArgument(Tongil Group,List([8, 10)))	Relation(was,List([11, 14)))	SimpleArgument($ 3.6 billion in debt,List([15, 36)))	By 2004 it was losing money and was $3.6 billion in debt.
0.29886655727758943		SimpleArgument(Tongil Group,List([8, 10)))	Relation(was losing money By,List([0, 14), [15, 21), [22, 27)))	TemporalArgument(2004,List([3, 7)))	By 2004 it was losing money and was $3.6 billion in debt.
0.45170382506656653		SimpleArgument(Tongil Group,List([8, 10)))	Relation(was losing,List([11, 21)))	SimpleArgument(money,List([22, 27)))	By 2004 it was losing money and was $3.6 billion in debt.
0.38089450366724514		SimpleArgument(Kook,List([30, 34)))	Relation([is] son [of],List([25, 28)))	SimpleArgument(Sun Myung Moon,List([8, 22)))	In 2005 Sun Myung Moon's son, Kook-jin Moon was appointed chairman of Tongil Group.
0.8879820886958647		SimpleArgument(Kook-jin Moon,List([30, 43)))	Relation(was appointed chairman of Tongil Group In,List([0, 47), [48, 76), [77, 82)))	TemporalArgument(2005,List([3, 7)))	In 2005 Sun Myung Moon's son, Kook-jin Moon was appointed chairman of Tongil Group.
0.9485479188231729		SimpleArgument(Kook-jin Moon,List([30, 43)))	Relation(was appointed,List([44, 57)))	SimpleArgument(chairman of Tongil Group,List([58, 82)))	In 2005 Sun Myung Moon's son, Kook-jin Moon was appointed chairman of Tongil Group.
0.29886655727758943		SimpleArgument(Kook-jin Moon,List([11, 13)))	Relation(was in the process of reforming its businesses by closing unprofitable operations As,List([0, 2), [14, 84), [85, 95)))	TemporalArgument(of 2010,List([3, 10)))	As of 2010 he was in the process of reforming its businesses by hiring new managers and by closing unprofitable operations.
0.41763505952380825		SimpleArgument(Kook-jin Moon,List([11, 13)))	Relation(was in,List([14, 17), [18, 20)))	SimpleArgument(the process of reforming its businesses by closing unprofitable operations,List([21, 95)))	As of 2010 he was in the process of reforming its businesses by hiring new managers and by closing unprofitable operations.
0.29886655727758943		SimpleArgument(Kook-jin Moon,List([11, 13)))	Relation(was in the process of reforming its businesses by hiring new managers As,List([0, 2), [14, 74), [75, 83)))	TemporalArgument(of 2010,List([3, 10)))	As of 2010 he was in the process of reforming its businesses by hiring new managers and by closing unprofitable operations.
0.41763505952380825		SimpleArgument(Kook-jin Moon,List([11, 13)))	Relation(was in,List([14, 17), [18, 20)))	SimpleArgument(the process of reforming its businesses by hiring new managers,List([21, 83)))	As of 2010 he was in the process of reforming its businesses by hiring new managers and by closing unprofitable operations.
0.9216169339561846		SimpleArgument(The Ilwha Company,List([43, 60)))	Relation(produces,List([69, 77)))	SimpleArgument(ginseng products,List([78, 94)))	Among Tongil Group's chief holdings are: The Ilwha Company, which produces ginseng and related products; Ilshin Stone, building materials; and Tongil Heavy Industries, machine parts including hardware for the South Korean military.
0.38089450366724514		SimpleArgument(Tongil Heavy,List([63, 75)))	Relation([is] Company [of],List([53, 60)))	SimpleArgument(Ilwha,List([47, 52)))	Among Tongil Group's chief holdings are: The Ilwha Company, which produces ginseng and related products; Ilshin Stone, building materials; and Tongil Heavy Industries, machine parts including hardware for the South Korean military.
0.9676331472344503		SimpleArgument(Among Tongil Group 's chief holdings,List([0, 36)))	Relation(are,List([37, 40)))	SimpleArgument(The Ilwha Company , Tongil Heavy Industries , machine parts including hardware for the South Korean military,List([43, 151)))	Among Tongil Group's chief holdings are: The Ilwha Company, which produces ginseng and related products; Ilshin Stone, building materials; and Tongil Heavy Industries, machine parts including hardware for the South Korean military.
0.38089450366724514		SimpleArgument(Ilshin Stone,List([63, 75)))	Relation([is] Company [of],List([53, 60)))	SimpleArgument(Ilwha,List([47, 52)))	Among Tongil Group's chief holdings are: The Ilwha Company, which produces ginseng and related products; Ilshin Stone, building materials; and Tongil Heavy Industries, machine parts including hardware for the South Korean military.
0.9490881889514471		SimpleArgument(Among Tongil Group 's chief holdings,List([0, 36)))	Relation(are,List([37, 40)))	SimpleArgument(The Ilwha Company,List([43, 60)))	Among Tongil Group's chief holdings are: The Ilwha Company, which produces ginseng and related products; Ilshin Stone, building materials; and Tongil Heavy Industries, machine parts including hardware for the South Korean military.
0.9577875027776527		SimpleArgument(the Tongil Foundation,List([23, 44)))	Relation(supports,List([51, 59)))	SimpleArgument(Unification Church projects including the Little Angels Children 's Folk Ballet of Korea,List([60, 148)))	The Tongil Group funds the Tongil Foundation which supports Unification Church projects including schools and the Little Angels Children's Folk Ballet of Korea.
0.9339862216393666		SimpleArgument(the Tongil Foundation,List([23, 44)))	Relation(supports,List([51, 59)))	SimpleArgument(Unification Church projects including schools,List([60, 105)))	The Tongil Group funds the Tongil Foundation which supports Unification Church projects including schools and the Little Angels Children's Folk Ballet of Korea.
0.9569065201547587		SimpleArgument(Tongil Group,List([0, 16)))	Relation(funds,List([17, 22)))	SimpleArgument(the Tongil Foundation,List([23, 44)))	The Tongil Group funds the Tongil Foundation which supports Unification Church projects including schools and the Little Angels Children's Folk Ballet of Korea.
