0.9449993708870406		SimpleArgument(Edward Henry John Craufurd,List([0, 26)))	Relation(was,List([62, 65)))	SimpleArgument(a Scottish Radical politician,List([66, 95)))	Edward Henry John Craufurd (9 December 1816 – 29 August 1881) was a Scottish Radical politician.
0.5680679595514976		SimpleArgument(Edward Henry John Craufurd Edward Henry John Craufurd (9 December 1816 – 29 August 1881),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(the eldest son of John Craufurd of Auchenames,List([7, 52)))	He was the eldest son of John Craufurd of Auchenames and Kerse in the counties of Renfrewshire and Ayr, Treasurer General of the Ionian Islands, and Sophia Marianne Churchill, daughter of Major General Churchill and great-granddaughter of Sir Robert Walpole.
0.5961061943937731		SimpleArgument(Sir Robert Walpole,List([53, 55)))	Relation(graduated as 12th senior optime,List([56, 65), [66, 87)))	SpatialArgument(Trinity College,List([19, 34)))	He was educated at Trinity College, Cambridge where he obtained a scholarship in 1840 and graduated as 12th senior optime.
0.45170382506656653		SimpleArgument(Sir Robert Walpole,List([53, 55)))	Relation(graduated as,List([56, 65), [66, 68)))	SimpleArgument(12th senior optime,List([69, 87)))	He was educated at Trinity College, Cambridge where he obtained a scholarship in 1840 and graduated as 12th senior optime.
0.5961061943937731		SimpleArgument(Sir Robert Walpole,List([53, 55)))	Relation(obtained a scholarship,List([56, 64), [65, 78)))	SpatialArgument(Trinity College,List([19, 34)))	He was educated at Trinity College, Cambridge where he obtained a scholarship in 1840 and graduated as 12th senior optime.
0.45170382506656653		SimpleArgument(Sir Robert Walpole,List([53, 55)))	Relation(obtained,List([56, 64)))	SimpleArgument(a scholarship,List([65, 78)))	He was educated at Trinity College, Cambridge where he obtained a scholarship in 1840 and graduated as 12th senior optime.
0.4978219019954182		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was educated at,List([3, 15), [16, 18)))	SpatialArgument(Trinity College,List([19, 34)))	He was educated at Trinity College, Cambridge where he obtained a scholarship in 1840 and graduated as 12th senior optime.
0.4978219019954182		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(attended,List([3, 11)))	SimpleArgument(the Surrey Sessions,List([12, 31)))	He was called to the bar at the Inner Temple in 1845 and practised on the Home Circuit and attended the Surrey Sessions.
0.4978219019954182		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(practised on,List([3, 12), [13, 15)))	SpatialArgument(the Home Circuit,List([16, 32)))	He was called to the bar at the Inner Temple in 1845 and practised on the Home Circuit and attended the Surrey Sessions.
0.22506131975927415		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was called to the bar at the Inner Temple in,List([3, 13), [14, 44), [45, 47)))	TemporalArgument(1845,List([48, 52)))	He was called to the bar at the Inner Temple in 1845 and practised on the Home Circuit and attended the Surrey Sessions.
0.4978219019954182		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was called to,List([3, 13), [14, 16)))	SimpleArgument(the bar at the Inner Temple,List([17, 44)))	He was called to the bar at the Inner Temple in 1845 and practised on the Home Circuit and attended the Surrey Sessions.
0.8847999636040884		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was editor of,List([3, 16)))	SimpleArgument(The Legal Examiner,List([17, 35)))	He was editor of The Legal Examiner In 1860 he married Frances, daughter of the Rev William Molesworth, Rector of St. Breock, Cornwall, and sister of the Rev Sir Paul William Molesworth, 10th Baronet of Pencarrow and niece of James Wentworth Buller, MP for North Devon.
0.38089450366724514		SimpleArgument(James Wentworth Buller,List([140, 162)))	Relation([is] MP for,List([165, 171)))	SimpleArgument(North Devon,List([172, 183)))	He was editor of The Legal Examiner In 1860 he married Frances, daughter of the Rev William Molesworth, Rector of St. Breock, Cornwall, and sister of the Rev Sir Paul William Molesworth, 10th Baronet of Pencarrow and niece of James Wentworth Buller, MP for North Devon.
0.38089450366724514		SimpleArgument(Frances,List([55, 62)))	Relation([is] daughter of,List([65, 76)))	SimpleArgument(the Rev William Molesworth,List([77, 103)))	He was editor of The Legal Examiner In 1860 he married Frances, daughter of the Rev William Molesworth, Rector of St. Breock, Cornwall, and sister of the Rev Sir Paul William Molesworth, 10th Baronet of Pencarrow and niece of James Wentworth Buller, MP for North Devon.
0.2544592271348163	Context(He was,List([0, 6)))	SimpleArgument(Sir Robert Walpole,List([44, 46)))	Relation(married Frances In,List([36, 38), [47, 54), [55, 62)))	TemporalArgument(1860,List([39, 43)))	He was editor of The Legal Examiner In 1860 he married Frances, daughter of the Rev William Molesworth, Rector of St. Breock, Cornwall, and sister of the Rev Sir Paul William Molesworth, 10th Baronet of Pencarrow and niece of James Wentworth Buller, MP for North Devon.
0.44251022175651566	Context(He was,List([0, 6)))	SimpleArgument(Sir Robert Walpole,List([44, 46)))	Relation(married,List([47, 54)))	SimpleArgument(Frances,List([55, 62)))	He was editor of The Legal Examiner In 1860 he married Frances, daughter of the Rev William Molesworth, Rector of St. Breock, Cornwall, and sister of the Rev Sir Paul William Molesworth, 10th Baronet of Pencarrow and niece of James Wentworth Buller, MP for North Devon.
0.5129232809985469		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(editor of The Legal Examiner,List([7, 35)))	He was editor of The Legal Examiner In 1860 he married Frances, daughter of the Rev William Molesworth, Rector of St. Breock, Cornwall, and sister of the Rev Sir Paul William Molesworth, 10th Baronet of Pencarrow and niece of James Wentworth Buller, MP for North Devon.
0.5680679595514976		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a JP for Ayrshire,List([7, 24)))	He was a Deputy Lieutenant and Justice of the Peace for Buteshire and a JP for Ayrshire.
0.5680679595514976		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a Justice,List([7, 16)))	He was a Deputy Lieutenant and Justice of the Peace for Buteshire and a JP for Ayrshire.
0.5680679595514976		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a Deputy Lieutenant,List([7, 26)))	He was a Deputy Lieutenant and Justice of the Peace for Buteshire and a JP for Ayrshire.
0.8847999636040884		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was a member of,List([3, 18)))	SimpleArgument(the Scottish Society,List([19, 39)))	he was a member of the English Law Amendment Society and the Scottish Society for promoting the Amendment of the Law.
0.6783685094789625		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a member of the Scottish Society for promoting the Amendment of the Law,List([7, 78)))	he was a member of the English Law Amendment Society and the Scottish Society for promoting the Amendment of the Law.
0.8847999636040884		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was a member of,List([3, 18)))	SimpleArgument(the English Law Amendment Society,List([19, 52)))	he was a member of the English Law Amendment Society and the Scottish Society for promoting the Amendment of the Law.
0.5680679595514976		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(a member of the English Law Amendment Society,List([7, 52)))	he was a member of the English Law Amendment Society and the Scottish Society for promoting the Amendment of the Law.
0.4978219019954182		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(promoted,List([3, 11)))	SimpleArgument(the Judgments Extension Act 1868,List([12, 44)))	He promoted the Scotch Affirmation Act, the Jurors Affirmation Act and the Judgments Extension Act 1868.
0.4978219019954182		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(promoted,List([3, 11)))	SimpleArgument(the Jurors Affirmation Act,List([12, 38)))	He promoted the Scotch Affirmation Act, the Jurors Affirmation Act and the Judgments Extension Act 1868.
0.4978219019954182		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(promoted,List([3, 11)))	SimpleArgument(the Scotch Affirmation Act,List([12, 38)))	He promoted the Scotch Affirmation Act, the Jurors Affirmation Act and the Judgments Extension Act 1868.
0.8847999636040884		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was Member of,List([3, 16)))	SimpleArgument(Parliament,List([17, 27)))	He was Member of Parliament for Ayr Burghs from 1852 until 1874.
0.5680679595514976		SimpleArgument(Sir Robert Walpole,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(Member of Parliament,List([7, 27)))	He was Member of Parliament for Ayr Burghs from 1852 until 1874.
