0.876543225140763		SimpleArgument(Ken,List([0, 3)))	Relation(was born on,List([4, 12), [13, 15)))	TemporalArgument(January 13,List([16, 26)))	Ken was born on January 13, 1924 in Camborne, Cornwall, England.
0.6582659227599074		SimpleArgument(they,List([0, 4)))	Relation(shared 32 happy years in,List([5, 11), [12, 26), [27, 29)))	SpatialArgument(Red Lake,List([30, 38)))	In 1973, he married Dora and they shared 32 happy years in Red Lake, Ontario and Morris, Manitoba.
0.6155020116081594		SimpleArgument(they,List([0, 4)))	Relation(shared,List([5, 11)))	SimpleArgument(32 happy years,List([12, 26)))	In 1973, he married Dora and they shared 32 happy years in Red Lake, Ontario and Morris, Manitoba.
0.29886655727758943		SimpleArgument(Kenneth Hunkin Ken,List([10, 12)))	Relation(married Dora In,List([0, 2), [13, 20), [21, 25)))	TemporalArgument(1973,List([3, 7)))	In 1973, he married Dora and they shared 32 happy years in Red Lake, Ontario and Morris, Manitoba.
0.4978219019954182		SimpleArgument(Kenneth Hunkin Ken,List([10, 12)))	Relation(married,List([13, 20)))	SimpleArgument(Dora,List([21, 25)))	In 1973, he married Dora and they shared 32 happy years in Red Lake, Ontario and Morris, Manitoba.
0.7251886467849957		SimpleArgument(Dora,List([0, 4)))	Relation(passed away in,List([5, 16), [27, 29)))	TemporalArgument(2005,List([30, 34)))	Dora passed away in Morris in 2005.
0.9324144673478683		SimpleArgument(Dora,List([0, 4)))	Relation(passed away in,List([5, 16), [17, 19)))	SpatialArgument(Morris,List([20, 26)))	Dora passed away in Morris in 2005.
0.6155020116081594		SimpleArgument(his friend, ElLayn RiDalen,List([54, 58)))	Relation(faithfully followed,List([59, 78)))	SimpleArgument(the Canadian curling scene,List([79, 105)))	He will be missed by his friend, ElLayn RiDalen, as they shared many suppers together and faithfully followed the Canadian curling scene.
0.22598218974525264		SimpleArgument(Kenneth Hunkin Ken,List([0, 2)))	Relation(will be missed as,List([3, 17), [51, 53)))	TemporalArgument(they faithfully followed the Canadian curling scene,List([54, 105)))	He will be missed by his friend, ElLayn RiDalen, as they shared many suppers together and faithfully followed the Canadian curling scene.
0.3853208301752743		SimpleArgument(ElLayn RiDalen,List([34, 48)))	Relation([is] friend [of],List([25, 31)))	SimpleArgument(him,List([21, 24)))	He will be missed by his friend, ElLayn RiDalen, as they shared many suppers together and faithfully followed the Canadian curling scene.
0.6087690648592687		SimpleArgument(his friend, ElLayn RiDalen,List([54, 58)))	Relation(shared together,List([59, 65), [79, 87)))	SimpleArgument(many suppers,List([66, 78)))	He will be missed by his friend, ElLayn RiDalen, as they shared many suppers together and faithfully followed the Canadian curling scene.
0.22598218974525264		SimpleArgument(Kenneth Hunkin Ken,List([0, 2)))	Relation(will be missed as,List([3, 17), [51, 53)))	TemporalArgument(they shared many suppers together,List([54, 87)))	He will be missed by his friend, ElLayn RiDalen, as they shared many suppers together and faithfully followed the Canadian curling scene.
0.30899953469486874		SimpleArgument(Kenneth Hunkin Ken,List([0, 2)))	Relation(will be missed by,List([3, 17), [18, 20)))	SimpleArgument(his friend,List([21, 31)))	He will be missed by his friend, ElLayn RiDalen, as they shared many suppers together and faithfully followed the Canadian curling scene.
