0.8847641879927497		SimpleArgument(Dentistry,List([13, 22)))	Relation([is] Family [of],List([6, 12)))	SimpleArgument(Guido,List([0, 5)))	Guido Family Dentistry
0.18272787056513734		SimpleArgument(We,List([44, 46)))	Relation(want to,List([47, 51), [52, 54)))	SimpleArgument(Listen to,List([55, 64)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.45170382506656653		SimpleArgument(We,List([7, 9)))	Relation(recommend,List([10, 19)))	SimpleArgument(any type of treatment,List([20, 41)))	Before we recommend any type of treatment, we want to Listen to and Understand your desires, your likes and dislikes, and your concerns about your dental care.
0.8937052396947953		SimpleArgument(the excellent care,List([42, 60)))	Relation(deserve,List([65, 72)))	SimpleArgument(you,List([61, 64)))	Only then are we able to provide you with the excellent care you deserve.
0.41051436014453063		SimpleArgument(We,List([14, 16)))	Relation(to provide you with,List([22, 32), [33, 36), [37, 41)))	SimpleArgument(the excellent care,List([42, 60)))	Only then are we able to provide you with the excellent care you deserve.
0.2743125465364158		SimpleArgument(We,List([14, 16)))	Relation(to provide,List([22, 32)))	SimpleArgument(you,List([33, 36)))	Only then are we able to provide you with the excellent care you deserve.
0.3853208301752743		SimpleArgument(Sherri,List([72, 78)))	Relation([is] wife [of],List([67, 71)))	SimpleArgument(him,List([63, 66)))	Dr. Vincent Guido was born and raised in the suburbs of Chicago, and moved to Indiana where he now lives in West Lafayette with his wife Sherri.
0.3048426724432105		SimpleArgument(Guido,List([27, 29)))	Relation(lives,List([34, 39)))	TemporalArgument(now,List([30, 33)))	Dr. Vincent Guido was born and raised in the suburbs of Chicago, and moved to Indiana where he now lives in West Lafayette with his wife Sherri.
0.5550796376654444		SimpleArgument(Guido,List([27, 29)))	Relation(lives,List([34, 39)))	SpatialArgument(Indiana,List([13, 20)))	Dr. Vincent Guido was born and raised in the suburbs of Chicago, and moved to Indiana where he now lives in West Lafayette with his wife Sherri.
0.45592395356914683		SimpleArgument(Guido,List([27, 29)))	Relation(lives in,List([34, 39), [40, 42)))	SpatialArgument(West Lafayette,List([43, 57)))	Dr. Vincent Guido was born and raised in the suburbs of Chicago, and moved to Indiana where he now lives in West Lafayette with his wife Sherri.
0.876543225140763		SimpleArgument(Dr.,List([0, 3)))	Relation(moved to,List([4, 9), [10, 12)))	SimpleArgument(Indiana,List([13, 20)))	Dr. Vincent Guido was born and raised in the suburbs of Chicago, and moved to Indiana where he now lives in West Lafayette with his wife Sherri.
0.5222094630377523		SimpleArgument(Guido,List([0, 2)))	Relation(has,List([3, 6)))	SimpleArgument(three children,List([7, 21)))	He has three children: Dominic, Valeri, and Maria.
0.41051436014453063		SimpleArgument(Guido,List([0, 2)))	Relation(to be active in,List([13, 18), [19, 25), [26, 28)))	SpatialArgument(dentistry,List([29, 38)))	He received his D.D.S. from Indiana University School of Dentistry and continues to be active in dentistry and the Lafayette community as a: * Member of American Dental Association * Member of Indiana Dental Association * Former President of the IU School of Dentistry  Alumni Association and West Central Dental  Society * Member and Past Deacon of Our Saviour  Lutheran Church * Former President of Friends of Purdue  Convocations * Many youth sports teams and civic organizations
0.19710908353723788		SimpleArgument(Guido,List([0, 2)))	Relation(to be,List([13, 18)))	SimpleArgument(active,List([19, 25)))	He received his D.D.S. from Indiana University School of Dentistry and continues to be active in dentistry and the Lafayette community as a: * Member of American Dental Association * Member of Indiana Dental Association * Former President of the IU School of Dentistry  Alumni Association and West Central Dental  Society * Member and Past Deacon of Our Saviour  Lutheran Church * Former President of Friends of Purdue  Convocations * Many youth sports teams and civic organizations
0.6138676038426771		SimpleArgument(Guido,List([0, 2)))	Relation(continues to,List([3, 12), [13, 15)))	SimpleArgument(be active in dentistry as a : * Member of American Dental Association * Member of Indiana Dental Association,List([16, 124)))	He received his D.D.S. from Indiana University School of Dentistry and continues to be active in dentistry and the Lafayette community as a: * Member of American Dental Association * Member of Indiana Dental Association * Former President of the IU School of Dentistry  Alumni Association and West Central Dental  Society * Member and Past Deacon of Our Saviour  Lutheran Church * Former President of Friends of Purdue  Convocations * Many youth sports teams and civic organizations
0.3853208301752743		SimpleArgument(Lutheran Church,List([252, 267)))	Relation([is] Saviour [of],List([244, 251)))	SimpleArgument(Ours,List([240, 243)))	He received his D.D.S. from Indiana University School of Dentistry and continues to be active in dentistry and the Lafayette community as a: * Member of American Dental Association * Member of Indiana Dental Association * Former President of the IU School of Dentistry  Alumni Association and West Central Dental  Society * Member and Past Deacon of Our Saviour  Lutheran Church * Former President of Friends of Purdue  Convocations * Many youth sports teams and civic organizations
0.4978219019954182		SimpleArgument(Guido,List([0, 2)))	Relation(received his D.D.S. from,List([3, 11), [12, 22), [23, 27)))	SimpleArgument(Indiana University School of Dentistry as,List([28, 69)))	He received his D.D.S. from Indiana University School of Dentistry and continues to be active in dentistry and the Lafayette community as a: * Member of American Dental Association * Member of Indiana Dental Association * Former President of the IU School of Dentistry  Alumni Association and West Central Dental  Society * Member and Past Deacon of Our Saviour  Lutheran Church * Former President of Friends of Purdue  Convocations * Many youth sports teams and civic organizations
0.3498441627223176		SimpleArgument(Guido,List([0, 2)))	Relation(received,List([3, 11)))	SimpleArgument(his D.D.S.,List([12, 22)))	He received his D.D.S. from Indiana University School of Dentistry and continues to be active in dentistry and the Lafayette community as a: * Member of American Dental Association * Member of Indiana Dental Association * Former President of the IU School of Dentistry  Alumni Association and West Central Dental  Society * Member and Past Deacon of Our Saviour  Lutheran Church * Former President of Friends of Purdue  Convocations * Many youth sports teams and civic organizations
