0.9676245771062721		SimpleArgument(a newspaper based in Bay City, Texas,,List([24, 61)))	Relation(covering,List([62, 70)))	SimpleArgument(the Matagorda County area,List([71, 96)))	The Bay City Tribune is a newspaper based in Bay City, Texas, covering the Matagorda County area.
0.8615585111461579		SimpleArgument(Carey,List([0, 5)))	Relation(owned,List([6, 11)))	SimpleArgument(Carey Smith Sr.,List([12, 14)))	Carey Smith Sr. bought the Tribune in 1919 and owned it until his death in 1937.
0.8056360478309452		SimpleArgument(Carey Smith Sr,List([0, 14)))	Relation(bought the Tribune in,List([17, 23), [24, 35), [36, 38)))	TemporalArgument(1919,List([39, 43)))	Carey Smith Sr. bought the Tribune in 1919 and owned it until his death in 1937.
0.9339862216393666		SimpleArgument(Carey Smith Sr,List([0, 14)))	Relation(bought,List([17, 23)))	SimpleArgument(Bay City Tribune,List([24, 35)))	Carey Smith Sr. bought the Tribune in 1919 and owned it until his death in 1937.
0.15939332484157967		SimpleArgument(Carey Smith Sr.,List([65, 67)))	Relation(was bought in,List([68, 78), [102, 104)))	TemporalArgument(1958,List([105, 109)))	He was succeeded by son Carey Smith Jr., who led the paper until it was bought by Southern Newspapers in 1958.
0.4978219019954182		SimpleArgument(Carey Smith Sr.,List([65, 67)))	Relation(was bought by,List([68, 78), [79, 81)))	SimpleArgument(Southern Newspapers,List([82, 101)))	He was succeeded by son Carey Smith Jr., who led the paper until it was bought by Southern Newspapers in 1958.
0.31264665573320355		SimpleArgument(Carey Smith Sr.,List([0, 2)))	Relation(led the paper until,List([45, 48), [49, 58), [59, 64)))	TemporalArgument(it was bought by Southern Newspapers in 1958,List([65, 109)))	He was succeeded by son Carey Smith Jr., who led the paper until it was bought by Southern Newspapers in 1958.
0.4802217740069371		SimpleArgument(Carey Smith Sr.,List([0, 2)))	Relation(led,List([45, 48)))	SimpleArgument(the paper,List([49, 58)))	He was succeeded by son Carey Smith Jr., who led the paper until it was bought by Southern Newspapers in 1958.
0.4978219019954182		SimpleArgument(Carey Smith Sr.,List([0, 2)))	Relation(was succeeded by,List([3, 16), [17, 19)))	SimpleArgument(son Carey Smith Jr,List([20, 38)))	He was succeeded by son Carey Smith Jr., who led the paper until it was bought by Southern Newspapers in 1958.
0.7351279940478935		SimpleArgument(a position,List([57, 67)))	Relation(held until,List([71, 75), [76, 81)))	TemporalArgument(1981,List([82, 86)))	Southern president Glenn J. Sedam then became publisher, a position he held until 1981.
0.8998252222211205		SimpleArgument(Southern president Glenn J. Sedam,List([0, 33)))	Relation(became publisher,List([39, 45), [46, 55)))	TemporalArgument(then,List([34, 38)))	Southern president Glenn J. Sedam then became publisher, a position he held until 1981.
0.9344893211562376		SimpleArgument(Southern president Glenn J. Sedam,List([0, 33)))	Relation(became,List([39, 45)))	SimpleArgument(publisher,List([46, 55)))	Southern president Glenn J. Sedam then became publisher, a position he held until 1981.
0.9266232318014763		SimpleArgument(Bay City Tribune,List([0, 11)))	Relation(received the Texas Press Association 's general excellence award in,List([12, 20), [21, 75), [76, 78)))	TemporalArgument(1968 for newspapers under 25,000 circulation,List([79, 123)))	The Tribune received the Texas Press Association's general excellence award in 1968 for newspapers under 25,000 circulation.
0.9382554258342916		SimpleArgument(Bay City Tribune,List([0, 11)))	Relation(received,List([12, 20)))	SimpleArgument(the Texas Press Association's general excellence award,List([21, 75)))	The Tribune received the Texas Press Association's general excellence award in 1968 for newspapers under 25,000 circulation.
