0.9369813267476892		SimpleArgument(West End,List([0, 8)))	Relation(is,List([9, 11)))	SimpleArgument(a neighborhood in Greenville,List([12, 40)))	West End is a neighborhood in Greenville, South Carolina.
0.22506131975927415		SimpleArgument(Chicora College for Women,List([1, 3)))	Relation(merged with Queens University of Charlotte in North Carolina in,List([4, 10), [11, 64), [65, 67)))	TemporalArgument(1930,List([68, 72)))	(It merged with Queens University of Charlotte in North Carolina in 1930.)
0.4978219019954182		SimpleArgument(Chicora College for Women,List([1, 3)))	Relation(merged with,List([4, 10), [11, 15)))	SimpleArgument(Queens University of Charlotte in North Carolina,List([16, 64)))	(It merged with Queens University of Charlotte in North Carolina in 1930.)
0.9377201239337142		SimpleArgument(many textile mills,List([41, 59)))	Relation(moved into the area After,List([0, 5), [60, 74), [75, 79)))	TemporalArgument(the turn of the twentieth century,List([6, 39)))	After the turn of the twentieth century, many textile mills moved into the area from locations nearer to Greenville's center.
0.9250606141558615		SimpleArgument(many textile mills,List([41, 59)))	Relation(moved into the area from,List([60, 65), [66, 79), [80, 84)))	SimpleArgument(locations nearer to Greenville's center,List([85, 124)))	After the turn of the twentieth century, many textile mills moved into the area from locations nearer to Greenville's center.
0.9111779447320654		SimpleArgument(many textile mills,List([41, 59)))	Relation(moved into,List([60, 65), [66, 70)))	SimpleArgument(the area,List([71, 79)))	After the turn of the twentieth century, many textile mills moved into the area from locations nearer to Greenville's center.
0.9045631113589112		SimpleArgument(the shift from textile mills to soft drink manufacturing,List([12, 68)))	Relation(had begun by,List([4, 72), [73, 78)))	TemporalArgument(1930,List([7, 11)))	But by 1930 the shift from textile mills to soft drink manufacturing and bottling had begun.
0.9318322056713951		SimpleArgument(repair shops,List([27, 39)))	Relation(also were constructed As,List([0, 49), [50, 61)))	TemporalArgument(more automobiles became,List([3, 26)))	As more and more automobiles became common, dealerships and repair shops also were constructed, Since the 1970s the West End has been revitalized after many years of decline.
0.9214722411807292		SimpleArgument(repair shops,List([27, 39)))	Relation(also were constructed Since,List([40, 61), [64, 69)))	SimpleArgument(the 1970 s the West End has been revitalized after many years of decline,List([70, 142)))	As more and more automobiles became common, dealerships and repair shops also were constructed, Since the 1970s the West End has been revitalized after many years of decline.
0.9254319101252583		SimpleArgument(dealerships,List([27, 38)))	Relation(also were constructed As,List([0, 48), [49, 60)))	TemporalArgument(more automobiles became,List([3, 26)))	As more and more automobiles became common, dealerships and repair shops also were constructed, Since the 1970s the West End has been revitalized after many years of decline.
0.9141888199947669		SimpleArgument(dealerships,List([27, 38)))	Relation(also were constructed Since,List([39, 60), [63, 68)))	SimpleArgument(the 1970 s the West End has been revitalized after many years of decline,List([69, 141)))	As more and more automobiles became common, dealerships and repair shops also were constructed, Since the 1970s the West End has been revitalized after many years of decline.
0.896604430840561		SimpleArgument(the 1970 s,List([64, 74)))	Relation(has been revitalized after,List([88, 108), [109, 114)))	TemporalArgument(many years of decline,List([115, 136)))	As more and more automobiles became common, dealerships and repair shops also were constructed, Since the 1970s the West End has been revitalized after many years of decline.
0.7665350501724939		SimpleArgument(more automobiles,List([3, 19)))	Relation(became,List([20, 26)))	SimpleArgument(common,List([27, 33)))	As more and more automobiles became common, dealerships and repair shops also were constructed, Since the 1970s the West End has been revitalized after many years of decline.
0.9611919915212034		SimpleArgument(the West End Historic District,List([14, 44)))	Relation(has become the entertainment center of the city In,List([0, 48), [49, 87), [88, 92)))	SpatialArgument(the 2010 s,List([3, 13)))	In the 2010s the West End Historic District has become the arts and entertainment center of the city.
0.944056173886228		SimpleArgument(the West End Historic District,List([14, 44)))	Relation(has become,List([45, 55)))	SimpleArgument(the entertainment center of the city,List([56, 92)))	In the 2010s the West End Historic District has become the arts and entertainment center of the city.
0.9611919915212034		SimpleArgument(the West End Historic District,List([14, 44)))	Relation(has become the arts In,List([0, 48), [49, 59), [60, 64)))	SpatialArgument(the 2010 s,List([3, 13)))	In the 2010s the West End Historic District has become the arts and entertainment center of the city.
0.944056173886228		SimpleArgument(the West End Historic District,List([14, 44)))	Relation(has become,List([45, 55)))	SimpleArgument(the arts,List([56, 64)))	In the 2010s the West End Historic District has become the arts and entertainment center of the city.
0.9401624716630546		SimpleArgument(Fluor Field at the West End,List([78, 105)))	Relation(provides,List([108, 116)))	SimpleArgument(seasonal home,List([117, 130)))	The Peace Center provides a venue for a large range of cultural events, while Fluor Field at the West End a provides seasonal home for the Greenville Drive, a minor league affiliate of the Boston Red Sox.
0.9329286852051247		SimpleArgument(The Peace Center,List([0, 16)))	Relation(provides,List([17, 25)))	SimpleArgument(a venue for a large range of cultural events,List([26, 70)))	The Peace Center provides a venue for a large range of cultural events, while Fluor Field at the West End a provides seasonal home for the Greenville Drive, a minor league affiliate of the Boston Red Sox.
