0.949419443712137		SimpleArgument(Charles Nicholas Monsarrat,List([0, 26)))	Relation(was,List([58, 61)))	SimpleArgument(a Canadian-born bridge designer,List([62, 93)))	Charles Nicholas Monsarrat (July 2, 1871 – March 1, 1940) was a Canadian-born bridge designer.
0.4978219019954182		SimpleArgument(Charles Monsarrat,List([0, 2)))	Relation(became,List([3, 9)))	SimpleArgument(a member of the Canadian Society of Civil Engineers,List([10, 61)))	He became a member of the Canadian Society of Civil Engineers (later the Engineering Institute of Canada) in 1898 and was vice-president in 1917.
0.22506131975927415		SimpleArgument(Charles Monsarrat,List([0, 2)))	Relation(married Mary Alice Foster in,List([3, 10), [11, 28), [29, 31)))	TemporalArgument(1898,List([32, 36)))	He married Mary Alice Foster in 1898.
0.4978219019954182		SimpleArgument(Charles Monsarrat,List([0, 2)))	Relation(married,List([3, 10)))	SimpleArgument(Mary Alice Foster,List([11, 28)))	He married Mary Alice Foster in 1898.
0.9000738595917936		SimpleArgument(Charles Monsarrat,List([0, 9)))	Relation(served during,List([10, 16), [54, 60)))	TemporalArgument(World War I,List([61, 72)))	Monsarrat served with the Royal Highlanders in France during World War I, becoming lieutenant-colonel in 1915.
0.9000738595917936		SimpleArgument(Charles Monsarrat,List([0, 9)))	Relation(served in,List([10, 16), [44, 46)))	SpatialArgument(France,List([47, 53)))	Monsarrat served with the Royal Highlanders in France during World War I, becoming lieutenant-colonel in 1915.
0.9324144673478683		SimpleArgument(Charles Monsarrat,List([0, 9)))	Relation(served with,List([10, 16), [17, 21)))	SimpleArgument(the Royal Highlanders,List([22, 43)))	Monsarrat served with the Royal Highlanders in France during World War I, becoming lieutenant-colonel in 1915.
0.29886655727758943		SimpleArgument(Charles Monsarrat,List([20, 22)))	Relation(was chief engineer of the Quebec Bridge Board From,List([0, 4), [23, 62), [63, 68)))	TemporalArgument(1911 to 1918,List([5, 17)))	From 1911 to 1918, he was president and chief engineer of the Quebec Bridge Board.
0.5680679595514976		SimpleArgument(Charles Monsarrat,List([20, 22)))	Relation(was,List([23, 26)))	SimpleArgument(chief engineer of the Quebec Bridge Board,List([27, 68)))	From 1911 to 1918, he was president and chief engineer of the Quebec Bridge Board.
0.29886655727758943		SimpleArgument(Charles Monsarrat,List([20, 22)))	Relation(was president From,List([0, 4), [23, 26), [27, 36)))	TemporalArgument(1911 to 1918,List([5, 17)))	From 1911 to 1918, he was president and chief engineer of the Quebec Bridge Board.
0.5222094630377523		SimpleArgument(Charles Monsarrat,List([20, 22)))	Relation(was,List([23, 26)))	SimpleArgument(president,List([27, 36)))	From 1911 to 1918, he was president and chief engineer of the Quebec Bridge Board.
0.38089450366724514		SimpleArgument(Railway,List([72, 79)))	Relation([is] National [from],List([63, 71)))	SimpleArgument(Canada,List([54, 62)))	Monsarrat also served as a consulting engineer to the Canadian government and to the Canadian National Railway.
0.9210233335200773		SimpleArgument(Charles Monsarrat,List([0, 9)))	Relation(served as,List([15, 21), [22, 24)))	SimpleArgument(a consulting engineer to the Canadian National Railway,List([25, 79)))	Monsarrat also served as a consulting engineer to the Canadian government and to the Canadian National Railway.
0.9064683704715875		SimpleArgument(Charles Monsarrat,List([0, 9)))	Relation(served as,List([15, 21), [22, 24)))	SimpleArgument(a consulting engineer to the Canadian government,List([25, 73)))	Monsarrat also served as a consulting engineer to the Canadian government and to the Canadian National Railway.
0.29886655727758943		SimpleArgument(Charles Monsarrat,List([9, 11)))	Relation(became a partner in a consulting company with Philip Louis Pratley In,List([0, 2), [12, 70), [71, 78)))	TemporalArgument(1921,List([3, 7)))	In 1921, he became a partner in a consulting company with Philip Louis Pratley.
0.6138676038426771		SimpleArgument(Charles Monsarrat,List([9, 11)))	Relation(became,List([12, 18)))	SimpleArgument(a partner in a consulting company with Philip Louis Pratley,List([19, 78)))	In 1921, he became a partner in a consulting company with Philip Louis Pratley.
0.9597492605074653		SimpleArgument(a consulting company with Philip Louis Pratley,List([0, 11)))	Relation(was,List([12, 15)))	SimpleArgument(responsible for the supervision of construction for the Jacques Cartier Bridge at Montreal , the Île d'Orléans Bridge at Quebec City,List([16, 148)))	The company was responsible for the design and supervision of construction for the Jacques Cartier Bridge at Montreal, the Île d'Orléans Bridge at Quebec City, the Ambassador Bridge between Detroit and Windsor, the Lions Gate Bridge at Vancouver and the Angus L. Macdonald Bridge at Halifax, Nova Scotia.
0.9597492605074653		SimpleArgument(a consulting company with Philip Louis Pratley,List([0, 11)))	Relation(was,List([12, 15)))	SimpleArgument(responsible for the supervision of construction for the Jacques Cartier Bridge at Montreal,List([16, 106)))	The company was responsible for the design and supervision of construction for the Jacques Cartier Bridge at Montreal, the Île d'Orléans Bridge at Quebec City, the Ambassador Bridge between Detroit and Windsor, the Lions Gate Bridge at Vancouver and the Angus L. Macdonald Bridge at Halifax, Nova Scotia.
0.9597492605074653		SimpleArgument(a consulting company with Philip Louis Pratley,List([0, 11)))	Relation(was,List([12, 15)))	SimpleArgument(responsible for the design for the Jacques Cartier Bridge at Montreal , the Île d'Orléans Bridge at Quebec City,List([16, 127)))	The company was responsible for the design and supervision of construction for the Jacques Cartier Bridge at Montreal, the Île d'Orléans Bridge at Quebec City, the Ambassador Bridge between Detroit and Windsor, the Lions Gate Bridge at Vancouver and the Angus L. Macdonald Bridge at Halifax, Nova Scotia.
0.9597492605074653		SimpleArgument(a consulting company with Philip Louis Pratley,List([0, 11)))	Relation(was,List([12, 15)))	SimpleArgument(responsible for the design for the Jacques Cartier Bridge at Montreal , the Île d'Orléans Bridge at Quebec City , the Ambassador Bridge between , the Lions Gate Bridge at Vancouver,List([16, 196)))	The company was responsible for the design and supervision of construction for the Jacques Cartier Bridge at Montreal, the Île d'Orléans Bridge at Quebec City, the Ambassador Bridge between Detroit and Windsor, the Lions Gate Bridge at Vancouver and the Angus L. Macdonald Bridge at Halifax, Nova Scotia.
0.9597492605074653		SimpleArgument(a consulting company with Philip Louis Pratley,List([0, 11)))	Relation(was,List([12, 15)))	SimpleArgument(responsible for the design for the Jacques Cartier Bridge at Montreal,List([16, 85)))	The company was responsible for the design and supervision of construction for the Jacques Cartier Bridge at Montreal, the Île d'Orléans Bridge at Quebec City, the Ambassador Bridge between Detroit and Windsor, the Lions Gate Bridge at Vancouver and the Angus L. Macdonald Bridge at Halifax, Nova Scotia.
0.3497525988439521		SimpleArgument(Charles Monsarrat,List([0, 2)))	Relation(died at,List([3, 7), [20, 22)))	TemporalArgument(the age of 68,List([23, 36)))	He died in Montreal at the age of 68.
0.4978219019954182		SimpleArgument(Charles Monsarrat,List([0, 2)))	Relation(died in,List([3, 7), [8, 10)))	SpatialArgument(Montreal,List([11, 19)))	He died in Montreal at the age of 68.
