0.886695286966665		SimpleArgument(William Clucas Kinley ( 1866-1920 ),List([0, 35)))	Relation([is],List([0, 35)))	SimpleArgument(playwright,List([38, 48)))	William Clucas Kinley (1866-1920), Manx journalist and playwright.
0.4978219019954182		SimpleArgument(it,List([0, 2)))	Relation(was judged to,List([3, 13), [14, 16)))	SimpleArgument(come behind the plays of John Kneen,List([17, 52)))	The play had earlier been submitted to the Manx Language Society competition organised by Sophia Morrison in 1913, but it was judged to come behind the plays of Christopher R. Shimmin and John Kneen, despite receiving special praise by Alfred Perceval Graves.
0.45592395356914683		SimpleArgument(it,List([0, 2)))	Relation(despite receiving special praise by,List([67, 84), [85, 99), [100, 102)))	TemporalArgument(Alfred Perceval Graves,List([103, 125)))	The play had earlier been submitted to the Manx Language Society competition organised by Sophia Morrison in 1913, but it was judged to come behind the plays of Christopher R. Shimmin and John Kneen, despite receiving special praise by Alfred Perceval Graves.
0.41051436014453063		SimpleArgument(it,List([0, 2)))	Relation(despite receiving,List([67, 84)))	SimpleArgument(special praise,List([85, 99)))	The play had earlier been submitted to the Manx Language Society competition organised by Sophia Morrison in 1913, but it was judged to come behind the plays of Christopher R. Shimmin and John Kneen, despite receiving special praise by Alfred Perceval Graves.
0.45592395356914683		SimpleArgument(it,List([0, 2)))	Relation(to come behind,List([14, 21), [22, 28)))	SimpleArgument(the plays of Christopher R. Shimmin,List([29, 64)))	The play had earlier been submitted to the Manx Language Society competition organised by Sophia Morrison in 1913, but it was judged to come behind the plays of Christopher R. Shimmin and John Kneen, despite receiving special praise by Alfred Perceval Graves.
0.4978219019954182		SimpleArgument(it,List([0, 2)))	Relation(was judged to,List([3, 13), [14, 16)))	SimpleArgument(come behind the plays of Christopher R. Shimmin,List([17, 64)))	The play had earlier been submitted to the Manx Language Society competition organised by Sophia Morrison in 1913, but it was judged to come behind the plays of Christopher R. Shimmin and John Kneen, despite receiving special praise by Alfred Perceval Graves.
0.7952517424317863		SimpleArgument(the Manx Language Society competition,List([39, 76)))	Relation(organised in,List([77, 86), [106, 108)))	TemporalArgument(1913,List([109, 113)))	The play had earlier been submitted to the Manx Language Society competition organised by Sophia Morrison in 1913, but it was judged to come behind the plays of Christopher R. Shimmin and John Kneen, despite receiving special praise by Alfred Perceval Graves.
0.9530647582435334		SimpleArgument(the Manx Language Society competition,List([39, 76)))	Relation(organised by,List([77, 86), [87, 89)))	SimpleArgument(Sophia Morrison,List([90, 105)))	The play had earlier been submitted to the Manx Language Society competition organised by Sophia Morrison in 1913, but it was judged to come behind the plays of Christopher R. Shimmin and John Kneen, despite receiving special praise by Alfred Perceval Graves.
0.7614217007482424		SimpleArgument(the play,List([0, 8)))	Relation(had been submitted to the Manx Language Society competition,List([9, 12), [21, 35), [36, 76)))	TemporalArgument(earlier,List([13, 20)))	The play had earlier been submitted to the Manx Language Society competition organised by Sophia Morrison in 1913, but it was judged to come behind the plays of Christopher R. Shimmin and John Kneen, despite receiving special praise by Alfred Perceval Graves.
0.8797652531099371		SimpleArgument(the play,List([0, 8)))	Relation(had been submitted to,List([9, 12), [21, 35), [36, 38)))	SimpleArgument(the Manx Language Society competition,List([39, 76)))	The play had earlier been submitted to the Manx Language Society competition organised by Sophia Morrison in 1913, but it was judged to come behind the plays of Christopher R. Shimmin and John Kneen, despite receiving special praise by Alfred Perceval Graves.
0.9180804252893389		SimpleArgument(some time,List([137, 146)))	Relation(staying with,List([147, 154), [155, 159)))	SimpleArgument(an aunt in the popular tourist destination of Douglas,List([160, 213)))	The play, sub-titled ‘A Manx Domestic Comedy', centres on the man Ellie Clague returns home with to her highly traditional parents after some time staying with an aunt in the popular tourist destination of Douglas.
0.861803099174675		SimpleArgument(centres on the man,List([47, 65)))	Relation(returns after,List([79, 86), [131, 136)))	TemporalArgument(some time,List([137, 146)))	The play, sub-titled ‘A Manx Domestic Comedy', centres on the man Ellie Clague returns home with to her highly traditional parents after some time staying with an aunt in the popular tourist destination of Douglas.
0.7710170944286929		SimpleArgument(centres on the man,List([47, 65)))	Relation(returns,List([79, 86)))	SimpleArgument(home,List([87, 91)))	The play, sub-titled ‘A Manx Domestic Comedy', centres on the man Ellie Clague returns home with to her highly traditional parents after some time staying with an aunt in the popular tourist destination of Douglas.
0.8875899555238906		SimpleArgument(The play,List([0, 8)))	Relation(sub-titled,List([10, 20)))	SimpleArgument(A Manx Domestic Comedy,List([22, 44)))	The play, sub-titled ‘A Manx Domestic Comedy', centres on the man Ellie Clague returns home with to her highly traditional parents after some time staying with an aunt in the popular tourist destination of Douglas.
0.9929999709129333		SimpleArgument(It,List([0, 0)))	Relation(was produced in,List([0, 0)))	SimpleArgument(1920,List(null))	It was produced on the Isle of Man in 1920, shortly after his death.
0.27151678565896326		SimpleArgument(It,List([0, 2)))	Relation(was produced,List([3, 15)))	TemporalArgument(shortly after his death,List([44, 67)))	It was produced on the Isle of Man in 1920, shortly after his death.
0.15939332484157967		SimpleArgument(It,List([0, 2)))	Relation(was produced in,List([3, 15), [35, 37)))	TemporalArgument(1920,List([38, 42)))	It was produced on the Isle of Man in 1920, shortly after his death.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(was produced on,List([3, 15), [16, 18)))	SpatialArgument(the Isle of Man,List([19, 34)))	It was produced on the Isle of Man in 1920, shortly after his death.
