0.9413957910477321		SimpleArgument(Tom Gibbs Chevrolet,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(your one stop shop for all of your automotive needs,List([23, 74)))	Tom Gibbs Chevrolet is your one stop shop for all of your automotive needs.
0.9100029960835063	Context(daughter Christina hope,List([0, 23)))	SimpleArgument(daughter Christina,List([0, 18)))	Relation(hope to bring the family business to,List([19, 23), [24, 32), [33, 52), [53, 55)))	SimpleArgument(new levels of success in future decades,List([56, 95)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.9100029960835063	Context(daughter Christina hope,List([0, 23)))	SimpleArgument(daughter Christina,List([0, 18)))	Relation(hope to bring,List([19, 23), [24, 32)))	SimpleArgument(the family business,List([33, 52)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.9419136512012737		SimpleArgument(daughter Christina,List([0, 18)))	Relation(hope to,List([19, 23), [24, 26)))	SimpleArgument(bring the family business to new levels of success in future decades,List([27, 95)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.9017692064117712	Context(Tommy hope,List([11, 21)))	SimpleArgument(Tommy,List([11, 16)))	Relation(hope to bring the family business to,List([17, 21), [22, 30), [31, 50), [51, 53)))	SimpleArgument(new levels of success in future decades,List([54, 93)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.9017692064117712	Context(Tommy hope,List([11, 21)))	SimpleArgument(Tommy,List([11, 16)))	Relation(hope to bring,List([17, 21), [22, 30)))	SimpleArgument(the family business,List([31, 50)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.903980248647561	Context(Tom 's son hope,List([0, 25)))	SimpleArgument(Tom 's son,List([0, 10)))	Relation(hope to bring the family business to,List([21, 25), [26, 34), [35, 54), [55, 57)))	SimpleArgument(new levels of success in future decades,List([58, 97)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.903980248647561	Context(Tom 's son hope,List([0, 25)))	SimpleArgument(Tom 's son,List([0, 10)))	Relation(hope to bring,List([21, 25), [26, 34)))	SimpleArgument(the family business,List([35, 54)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.937880641113922		SimpleArgument(Tom 's son,List([0, 10)))	Relation(hope to,List([21, 25), [26, 28)))	SimpleArgument(bring the family business to new levels of success in future decades,List([29, 97)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.9216169339561846		SimpleArgument(Tom 's son,List([0, 10)))	Relation(to bring the family business to,List([24, 32), [33, 52), [53, 55)))	SimpleArgument(new levels of success in future decades,List([56, 95)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.9216169339561846		SimpleArgument(Tom 's son,List([0, 10)))	Relation(to bring,List([24, 32)))	SimpleArgument(the family business,List([33, 52)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.9484177987969541		SimpleArgument(Tommy,List([13, 18)))	Relation(hope to,List([19, 23), [24, 26)))	SimpleArgument(bring the family business to new levels of success in future decades,List([27, 95)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.8745224542492824		SimpleArgument(daughter Christina,List([0, 18)))	Relation(have also started in,List([21, 38), [62, 64)))	TemporalArgument(the recent past,List([65, 80)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.9277724913494431		SimpleArgument(daughter Christina,List([0, 18)))	Relation(have also started at,List([21, 38), [39, 41)))	SpatialArgument(Tom Gibbs Chevrolet Tom Gibbs Chevrolet,List([42, 61)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.8235300475714378		SimpleArgument(daughter,List([0, 8)))	Relation(have also started in,List([19, 36), [60, 62)))	TemporalArgument(the recent past,List([63, 78)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.8958428165666725		SimpleArgument(daughter,List([0, 8)))	Relation(have also started at,List([19, 36), [37, 39)))	SpatialArgument(Tom Gibbs Chevrolet Tom Gibbs Chevrolet,List([40, 59)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.8847999636040884		SimpleArgument(Christina,List([11, 20)))	Relation([is] son [of],List([7, 10)))	SimpleArgument(Tom,List([0, 3)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.8847482001694347		SimpleArgument(Tom 's son,List([0, 10)))	Relation(have also started in,List([21, 38), [62, 64)))	TemporalArgument(the recent past,List([65, 80)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.9339862216393666		SimpleArgument(Tom 's son,List([0, 10)))	Relation(have also started at,List([21, 38), [39, 41)))	SpatialArgument(Tom Gibbs Chevrolet Tom Gibbs Chevrolet,List([42, 61)))	Tom's son and daughter (Tommy and Christina) have also started at Tom Gibbs Chevrolet in the recent past and hope to bring the family business to new levels of success in future decades.
0.8247751551634085		SimpleArgument(the family atmosphere,List([22, 43)))	Relation(is at,List([49, 51), [52, 54)))	SimpleArgument(the forefront of our dealership culture,List([55, 94)))	We pride ourselves on the family atmosphere that is at the forefront of our dealership culture.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(pride ourselves on,List([3, 8), [9, 18), [19, 21)))	SimpleArgument(the family atmosphere,List([22, 43)))	We pride ourselves on the family atmosphere that is at the forefront of our dealership culture.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(pride,List([3, 8)))	SimpleArgument(We,List([9, 18)))	We pride ourselves on the family atmosphere that is at the forefront of our dealership culture.
0.6155020116081594		SimpleArgument(you,List([124, 127)))	Relation('ll have,List([128, 136)))	SimpleArgument(an unbeatable experience,List([137, 161)))	Customer satisfaction is the primary goal in all of our departments, so whether you are in for sales, service, or collision repair we are confident that you'll have an unbeatable experience!
0.14040994240343602		SimpleArgument(We,List([102, 104)))	Relation(are,List([105, 108)))	SimpleArgument(confident that you 'll have an unbeatable experience,List([109, 161)))	Customer satisfaction is the primary goal in all of our departments, so whether you are in for sales, service, or collision repair we are confident that you'll have an unbeatable experience!
0.8702469497263584		SimpleArgument(Customer satisfaction,List([0, 21)))	Relation(is,List([22, 24)))	SimpleArgument(the primary goal in all of our departments,List([25, 67)))	Customer satisfaction is the primary goal in all of our departments, so whether you are in for sales, service, or collision repair we are confident that you'll have an unbeatable experience!
0.9240540007105948	Context(Tommy Gibbs started,List([0, 19)))	SimpleArgument(Dennis Gibbs,List([0, 11)))	Relation(started working in,List([12, 19), [20, 27), [28, 30)))	SpatialArgument(the Tom Gibbs Chevrolet Sales Department,List([31, 71)))	Tommy Gibbs started working in the Tom Gibbs Chevrolet Sales Department following his graduation from the University of Florida in 2009.
0.9240540007105948		SimpleArgument(Dennis Gibbs,List([0, 11)))	Relation(started,List([12, 19)))	SimpleArgument(working in the Tom Gibbs Chevrolet Sales Department,List([20, 71)))	Tommy Gibbs started working in the Tom Gibbs Chevrolet Sales Department following his graduation from the University of Florida in 2009.
0.5691839633287576		SimpleArgument(Dennis Gibbs,List([84, 86)))	Relation(plays a helping hand in,List([87, 92), [93, 107), [108, 110)))	SpatialArgument(ensuring all customers (sales, service, parts, collision) have memorable encounters with the store,List([111, 209)))	Although he is currently the manager of the dealership's Internet Sales Department, he plays a helping hand in ensuring all customers (sales, service, parts, collision) have memorable encounters with the store.
0.45170382506656653		SimpleArgument(Dennis Gibbs,List([84, 86)))	Relation(plays,List([87, 92)))	SimpleArgument(a helping hand,List([93, 107)))	Although he is currently the manager of the dealership's Internet Sales Department, he plays a helping hand in ensuring all customers (sales, service, parts, collision) have memorable encounters with the store.
0.5229421046090251		SimpleArgument(Dennis Gibbs,List([9, 11)))	Relation(is,List([12, 14)))	SimpleArgument(the manager of the dealership's Internet Sales Department,List([25, 82)))	Although he is currently the manager of the dealership's Internet Sales Department, he plays a helping hand in ensuring all customers (sales, service, parts, collision) have memorable encounters with the store.
0.22015391053105568		SimpleArgument(Dennis Gibbs,List([9, 11)))	Relation(is the manager of the dealership 's Internet Sales Department,List([12, 14), [25, 82)))	TemporalArgument(currently,List([15, 24)))	Although he is currently the manager of the dealership's Internet Sales Department, he plays a helping hand in ensuring all customers (sales, service, parts, collision) have memorable encounters with the store.
0.30899953469486874		SimpleArgument(Dennis Gibbs,List([0, 2)))	Relation('ll even wash your car for,List([2, 15), [16, 24), [25, 28)))	SimpleArgument(Dennis Gibbs,List([29, 32)))	He'll even wash your car for you!
0.30899953469486874		SimpleArgument(Dennis Gibbs,List([0, 2)))	Relation('ll even wash,List([2, 15)))	SimpleArgument(your car,List([16, 24)))	He'll even wash your car for you!
