0.3853208301752743		SimpleArgument(Chairman,List([72, 80)))	Relation([is] businessman [from],List([59, 70)))	SimpleArgument(United Kingdom,List([51, 58)))	Sir Roger Martyn Carr (born 22 December 1946) is a British businessman, Chairman of BAE Systems.
0.9382554258342916		SimpleArgument(Williams Holdings,List([8, 25)))	Relation(demerged into,List([26, 34), [35, 39)))	SimpleArgument(Chubb,List([40, 45)))	In 2000 Williams Holdings demerged into Chubb and Kidde, Carr became the chairman of Chubb.
0.29886655727758943		SimpleArgument(Roger Carr (businessman),List([14, 16)))	Relation(stepped down as chairman of Thames Water in,List([5, 24), [25, 51), [52, 57)))	TemporalArgument(2000,List([8, 12)))	Also in 2000, he stepped down as chairman of Thames Water.
0.4978219019954182		SimpleArgument(Roger Carr (businessman),List([14, 16)))	Relation(stepped down as,List([17, 29), [30, 32)))	SimpleArgument(chairman of Thames Water,List([33, 57)))	Also in 2000, he stepped down as chairman of Thames Water.
0.9200287634688749		SimpleArgument(a British company,List([58, 75)))	Relation(owns,List([81, 85)))	SimpleArgument(restaurants,List([86, 97)))	In 2003, he became the chairman of Mitchells & Butlers, a British company that owns over 2,000 pubs and restaurants.
0.3853208301752743		SimpleArgument(Mitchells & Butlers,List([36, 55)))	Relation([is] a company [from],List([68, 75)))	SimpleArgument(United Kingdom,List([60, 67)))	In 2003, he became the chairman of Mitchells & Butlers, a British company that owns over 2,000 pubs and restaurants.
0.896604430840561		SimpleArgument(a British company,List([58, 75)))	Relation(owns over,List([81, 85), [86, 90)))	SimpleArgument(2,000 pubs,List([91, 101)))	In 2003, he became the chairman of Mitchells & Butlers, a British company that owns over 2,000 pubs and restaurants.
0.29886655727758943		SimpleArgument(Roger Carr (businessman),List([10, 12)))	Relation(became the chairman of Mitchells & Butlers In,List([0, 2), [13, 47), [48, 55)))	TemporalArgument(2003,List([3, 7)))	In 2003, he became the chairman of Mitchells & Butlers, a British company that owns over 2,000 pubs and restaurants.
0.4978219019954182		SimpleArgument(Roger Carr (businessman),List([10, 12)))	Relation(became,List([13, 19)))	SimpleArgument(the chairman of Mitchells & Butlers,List([20, 55)))	In 2003, he became the chairman of Mitchells & Butlers, a British company that owns over 2,000 pubs and restaurants.
0.38089450366724514		SimpleArgument(Cadbury plc,List([60, 71)))	Relation([is] largest confectionery manufacturer [of],List([96, 130)))	SimpleArgument(the United Kingdom,List([74, 92)))	He resigned in 2008 and in June of the same year became the chairman of Cadbury plc, the United Kingdom's largest confectionery manufacturer.
0.45592395356914683		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(became,List([37, 43)))	SimpleArgument(the chairman of Cadbury plc,List([44, 71)))	He resigned in 2008 and in June of the same year became the chairman of Cadbury plc, the United Kingdom's largest confectionery manufacturer.
0.45243121649964957		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(resigned,List([3, 11)))	TemporalArgument(became the chairman of Cadbury plc,List([37, 71)))	He resigned in 2008 and in June of the same year became the chairman of Cadbury plc, the United Kingdom's largest confectionery manufacturer.
0.4978219019954182		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(resigned in,List([3, 11), [12, 14)))	TemporalArgument(June of the same year,List([15, 36)))	He resigned in 2008 and in June of the same year became the chairman of Cadbury plc, the United Kingdom's largest confectionery manufacturer.
0.22506131975927415		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(resigned in,List([3, 11), [12, 14)))	TemporalArgument(2008,List([15, 19)))	He resigned in 2008 and in June of the same year became the chairman of Cadbury plc, the United Kingdom's largest confectionery manufacturer.
0.9180804252893389		SimpleArgument(Cadbury,List([37, 48)))	Relation(was bought by,List([49, 59), [60, 62)))	SimpleArgument(Kraft Foods,List([63, 74)))	He resigned on 3 February 2010, when the company was bought by Kraft Foods.
0.4978219019954182		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(resigned on,List([3, 11), [12, 14)))	TemporalArgument(3 February 2010,List([15, 30)))	He resigned on 3 February 2010, when the company was bought by Kraft Foods.
0.22506131975927415		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(has been the chairman of Centrica since,List([3, 11), [12, 36), [37, 42)))	TemporalArgument(2004,List([43, 47)))	He has been the chairman of Centrica since 2004.
0.4978219019954182		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(has been,List([3, 11)))	SimpleArgument(the chairman of Centrica,List([12, 36)))	He has been the chairman of Centrica since 2004.
0.8847999636040884		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(was President of,List([3, 19)))	SimpleArgument(the CBI,List([20, 27)))	He was President of the CBI (an unpaid role) from June 2011.
0.3929209860966329		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(was President of the CBI from,List([3, 6), [7, 27), [45, 49)))	TemporalArgument(June 2011,List([50, 59)))	He was President of the CBI (an unpaid role) from June 2011.
0.5680679595514976		SimpleArgument(Roger Carr (businessman),List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(President of the CBI,List([7, 27)))	He was President of the CBI (an unpaid role) from June 2011.
0.8225553370134596		SimpleArgument(Roger Carr (businessman),List([0, 4)))	Relation(was succeeded by,List([5, 18), [31, 33)))	SimpleArgument(Sir Michael Rake,List([34, 50)))	Carr was succeeded in the role by Sir Michael Rake in June 2013.
0.8550806581371961		SimpleArgument(Roger Carr (businessman),List([0, 4)))	Relation(was succeeded in,List([5, 18), [19, 21)))	SpatialArgument(the role,List([22, 30)))	Carr was succeeded in the role by Sir Michael Rake in June 2013.
0.3497525988439521		SimpleArgument(Roger Carr (businessman),List([126, 128)))	Relation(would succeed Dick Olver in,List([129, 142), [143, 153), [166, 168)))	TemporalArgument(the first quarter of 2014,List([169, 194)))	On 12 June 2013 BAE Systems announced that Carr was to join the Board as a non-executive director and Chairman designate on 1 October 2013, and that he would succeed Dick Olver as Chairman in the first quarter of 2014.
0.4978219019954182		SimpleArgument(Roger Carr (businessman),List([126, 128)))	Relation(would succeed Dick Olver as,List([129, 142), [143, 153), [154, 156)))	SimpleArgument(Chairman,List([157, 165)))	On 12 June 2013 BAE Systems announced that Carr was to join the Board as a non-executive director and Chairman designate on 1 October 2013, and that he would succeed Dick Olver as Chairman in the first quarter of 2014.
0.4978219019954182		SimpleArgument(Roger Carr (businessman),List([126, 128)))	Relation(would succeed,List([129, 142)))	SimpleArgument(Dick Olver,List([143, 153)))	On 12 June 2013 BAE Systems announced that Carr was to join the Board as a non-executive director and Chairman designate on 1 October 2013, and that he would succeed Dick Olver as Chairman in the first quarter of 2014.
0.8571777395282005		SimpleArgument(Roger Carr (businessman),List([43, 47)))	Relation(to join the Board as,List([52, 59), [60, 69), [70, 72)))	SimpleArgument(a non-executive director designate on 1 October,List([73, 120)))	On 12 June 2013 BAE Systems announced that Carr was to join the Board as a non-executive director and Chairman designate on 1 October 2013, and that he would succeed Dick Olver as Chairman in the first quarter of 2014.
0.8571777395282005		SimpleArgument(Roger Carr (businessman),List([43, 47)))	Relation(to join the Board as,List([52, 59), [60, 69), [70, 72)))	SimpleArgument(Chairman,List([73, 81)))	On 12 June 2013 BAE Systems announced that Carr was to join the Board as a non-executive director and Chairman designate on 1 October 2013, and that he would succeed Dick Olver as Chairman in the first quarter of 2014.
0.8571777395282005		SimpleArgument(Roger Carr (businessman),List([43, 47)))	Relation(to join the Board as,List([52, 59), [60, 69), [70, 72)))	SimpleArgument(a non-executive director designate on 1 October 2013,List([73, 125)))	On 12 June 2013 BAE Systems announced that Carr was to join the Board as a non-executive director and Chairman designate on 1 October 2013, and that he would succeed Dick Olver as Chairman in the first quarter of 2014.
0.8571777395282005		SimpleArgument(Roger Carr (businessman),List([43, 47)))	Relation(to join,List([52, 59)))	SimpleArgument(the Board,List([60, 69)))	On 12 June 2013 BAE Systems announced that Carr was to join the Board as a non-executive director and Chairman designate on 1 October 2013, and that he would succeed Dick Olver as Chairman in the first quarter of 2014.
0.944056173886228		SimpleArgument(the Vice-Chairman of the BBC,List([66, 94)))	Relation(will serve on the BBC 's governing body for,List([95, 105), [106, 134), [135, 138)))	TemporalArgument(4 years,List([139, 146)))	On 20 March 2015 it was announced that Carr had been appointed as the Vice-Chairman of the BBC Trust and will serve on the BBC's governing body for 4 years.
0.9530647582435334		SimpleArgument(the Vice-Chairman of the BBC,List([66, 94)))	Relation(will serve on,List([95, 105), [106, 108)))	SimpleArgument(the BBC 's governing body,List([109, 134)))	On 20 March 2015 it was announced that Carr had been appointed as the Vice-Chairman of the BBC Trust and will serve on the BBC's governing body for 4 years.
0.9929999709129333		SimpleArgument(it,List([0, 0)))	Relation(was announced On,List([0, 0)))	SimpleArgument(20 march 2015,List(null))	On 20 March 2015 it was announced that Carr had been appointed as the Vice-Chairman of the BBC Trust and will serve on the BBC's governing body for 4 years.
0.9929999709129333		SimpleArgument(Roger Carr (businessman),List([0, 0)))	Relation(was knighted in,List([0, 0)))	SimpleArgument(2011 new year honours,List(null))	Carr was knighted in the 2011 New Year Honours for services to business.
0.876543225140763		SimpleArgument(Roger Carr (businessman),List([0, 4)))	Relation(was knighted in,List([5, 17), [18, 20)))	SpatialArgument(the 2011 New Year Honours,List([21, 46)))	Carr was knighted in the 2011 New Year Honours for services to business.
