0.9180804252893389		SimpleArgument(a ferry,List([17, 24)))	Relation(owned by,List([25, 30), [31, 33)))	SimpleArgument(BC Ferries,List([34, 44)))	The MV Tenaka is a ferry owned by BC Ferries.
0.45243121649964957		SimpleArgument(MV Tenaka,List([35, 38)))	Relation(was renamed Tenaka,List([39, 50), [51, 57)))	TemporalArgument(when the routes were transferred to BC Ferries,List([66, 112)))	Originally named the Comox Queen, she was renamed Tenaka in 1977 and became part of BC Ferries' fleet in 1985 when the Ministry of Transportation's saltwater ferries and routes were transferred to BC Ferries.
0.9929999709129333		SimpleArgument(MV Tenaka,List([0, 0)))	Relation(was renamed in,List([0, 0)))	SimpleArgument(1977,List(null))	Originally named the Comox Queen, she was renamed Tenaka in 1977 and became part of BC Ferries' fleet in 1985 when the Ministry of Transportation's saltwater ferries and routes were transferred to BC Ferries.
0.9609912497205363		SimpleArgument(the Ministry of Transportation 's saltwater ferries,List([71, 122)))	Relation(were transferred to,List([123, 139), [140, 142)))	SimpleArgument(BC Ferries,List([143, 153)))	Originally named the Comox Queen, she was renamed Tenaka in 1977 and became part of BC Ferries' fleet in 1985 when the Ministry of Transportation's saltwater ferries and routes were transferred to BC Ferries.
0.5961061943937731		SimpleArgument(MV Tenaka,List([35, 38)))	Relation(was renamed Tenaka,List([39, 50), [51, 57)))	TemporalArgument(Originally named the Comox Queen,List([0, 32)))	Originally named the Comox Queen, she was renamed Tenaka in 1977 and became part of BC Ferries' fleet in 1985 when the Ministry of Transportation's saltwater ferries and routes were transferred to BC Ferries.
0.5699038993321599		SimpleArgument(MV Tenaka,List([35, 38)))	Relation(was renamed Tenaka,List([39, 50), [51, 57)))	TemporalArgument(when the Ministry of Transportation 's saltwater ferries were transferred to BC Ferries,List([66, 153)))	Originally named the Comox Queen, she was renamed Tenaka in 1977 and became part of BC Ferries' fleet in 1985 when the Ministry of Transportation's saltwater ferries and routes were transferred to BC Ferries.
0.22506131975927415		SimpleArgument(MV Tenaka,List([35, 38)))	Relation(was renamed Tenaka in,List([39, 50), [51, 57), [58, 60)))	TemporalArgument(1977,List([61, 65)))	Originally named the Comox Queen, she was renamed Tenaka in 1977 and became part of BC Ferries' fleet in 1985 when the Ministry of Transportation's saltwater ferries and routes were transferred to BC Ferries.
0.4978219019954182		SimpleArgument(MV Tenaka,List([35, 38)))	Relation(was renamed,List([39, 50)))	SimpleArgument(Tenaka,List([51, 57)))	Originally named the Comox Queen, she was renamed Tenaka in 1977 and became part of BC Ferries' fleet in 1985 when the Ministry of Transportation's saltwater ferries and routes were transferred to BC Ferries.
0.9052256377408016		SimpleArgument(a single ended ferry,List([14, 34)))	Relation(carries,List([40, 47)))	SimpleArgument(30 150 passengers,List([48, 65)))	The Tenaka is a single ended ferry that carries 30 cars and 150 passengers.
0.8595474528518292		SimpleArgument(MV Tenaka,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(a single ended ferry that carries 30 150 passengers,List([14, 65)))	The Tenaka is a single ended ferry that carries 30 cars and 150 passengers.
0.9052256377408016		SimpleArgument(a single ended ferry,List([14, 34)))	Relation(carries,List([40, 47)))	SimpleArgument(30 cars,List([48, 55)))	The Tenaka is a single ended ferry that carries 30 cars and 150 passengers.
0.8595474528518292		SimpleArgument(MV Tenaka,List([0, 10)))	Relation(is,List([11, 13)))	SimpleArgument(a single ended ferry that carries 30 cars,List([14, 55)))	The Tenaka is a single ended ferry that carries 30 cars and 150 passengers.
0.9909999966621399		SimpleArgument(two caterpillar engines,List([0, 0)))	Relation(provide,List([0, 0)))	SimpleArgument(1700 horsepower,List(null))	Two Caterpillar engines provide 1700 horsepower and give the Tenaka a speed of 12 knots.
0.9329286852051247		SimpleArgument(Two Caterpillar engines,List([0, 23)))	Relation(provide,List([24, 31)))	SimpleArgument(1700 horsepower,List([32, 47)))	Two Caterpillar engines provide 1700 horsepower and give the Tenaka a speed of 12 knots.
0.9273436369335116		SimpleArgument(two lounges on the lower passenger level,List([10, 50)))	Relation(are on,List([56, 59), [60, 62)))	SimpleArgument(each side of the overheight car lane,List([63, 99)))	There are two lounges on the lower passenger level that are on each side of the overheight car lane.
0.9256263201643982		SimpleArgument(Another passenger lounge directly above,List([0, 39)))	Relation(extends across,List([40, 47), [48, 54)))	SimpleArgument(the width of the ferry,List([55, 77)))	Another passenger lounge directly above extends across the width of the ferry.
0.9436740204769645		SimpleArgument(MV Tenaka,List([0, 10)))	Relation(has,List([11, 14)))	SimpleArgument(washrooms,List([15, 24)))	The Tenaka has a vending machine and washrooms, but no other passenger amenities.
0.9436740204769645		SimpleArgument(MV Tenaka,List([0, 10)))	Relation(has,List([11, 14)))	SimpleArgument(a vending machine,List([15, 32)))	The Tenaka has a vending machine and washrooms, but no other passenger amenities.
0.8914690235753817	Context(It has,List([0, 6)))	SimpleArgument(two outside decks,List([7, 24)))	Relation(astern of,List([25, 31), [32, 34)))	SimpleArgument(each passenger cabin,List([35, 55)))	It has two outside decks astern of each passenger cabin.
0.4667063855863067		SimpleArgument(MV Tenaka,List([0, 2)))	Relation(has,List([3, 6)))	SimpleArgument(two outside decks astern of each passenger cabin,List([7, 55)))	It has two outside decks astern of each passenger cabin.
0.3929209860966329		SimpleArgument(MV Tenaka,List([98, 100)))	Relation(began there on,List([101, 106), [115, 120), [121, 123)))	TemporalArgument(March 25 , 1965,List([124, 139)))	The Comox Queen, as she was originally called, was built for the Powell River-Comox route, and it began service there on March 25, 1965.
0.9339862216393666		SimpleArgument(the Comox Queen,List([0, 15)))	Relation(was built for,List([47, 56), [57, 60)))	SimpleArgument(the Powell River-Comox route,List([61, 91)))	The Comox Queen, as she was originally called, was built for the Powell River-Comox route, and it began service there on March 25, 1965.
0.22015391053105568		SimpleArgument(the Comox Queen,List([19, 22)))	Relation(was called,List([23, 26), [38, 44)))	TemporalArgument(originally,List([27, 37)))	The Comox Queen, as she was originally called, was built for the Powell River-Comox route, and it began service there on March 25, 1965.
0.8672693270989391		SimpleArgument(the Ministry of Transportation's,List([20, 32)))	Relation(borrowed BC Ferries ' Queen of the Islands from,List([0, 4), [33, 67), [68, 75)))	TemporalArgument(1969 to 1976,List([5, 17)))	Traffic on that route soon outgrew the Comox Queen, and from 1969 to 1976, the Ministry borrowed BC Ferries' Queen of the Islands in the summer for use on the route.
0.8918329165024274		SimpleArgument(the Ministry of Transportation's,List([20, 32)))	Relation(borrowed BC Ferries ' Queen of the Islands for,List([33, 41), [42, 75), [90, 93)))	SimpleArgument(use on the route,List([94, 110)))	Traffic on that route soon outgrew the Comox Queen, and from 1969 to 1976, the Ministry borrowed BC Ferries' Queen of the Islands in the summer for use on the route.
0.9266232318014763		SimpleArgument(the Ministry of Transportation's,List([20, 32)))	Relation(borrowed BC Ferries ' Queen of the Islands in,List([33, 41), [42, 75), [76, 78)))	TemporalArgument(the summer,List([79, 89)))	Traffic on that route soon outgrew the Comox Queen, and from 1969 to 1976, the Ministry borrowed BC Ferries' Queen of the Islands in the summer for use on the route.
0.9382554258342916		SimpleArgument(the Ministry of Transportation's,List([20, 32)))	Relation(borrowed,List([33, 41)))	SimpleArgument(BC Ferries ' Queen of the Islands,List([42, 75)))	Traffic on that route soon outgrew the Comox Queen, and from 1969 to 1976, the Ministry borrowed BC Ferries' Queen of the Islands in the summer for use on the route.
0.8574392832114158		SimpleArgument(Traffic on that route,List([0, 21)))	Relation(outgrew the Comox Queen,List([27, 34), [35, 50)))	TemporalArgument(soon,List([22, 26)))	Traffic on that route soon outgrew the Comox Queen, and from 1969 to 1976, the Ministry borrowed BC Ferries' Queen of the Islands in the summer for use on the route.
0.9199569125504766		SimpleArgument(Traffic on that route,List([0, 21)))	Relation(outgrew,List([27, 34)))	SimpleArgument(the Comox Queen,List([35, 50)))	Traffic on that route soon outgrew the Comox Queen, and from 1969 to 1976, the Ministry borrowed BC Ferries' Queen of the Islands in the summer for use on the route.
0.8780037064600699		SimpleArgument(the Comox Queen,List([9, 24)))	Relation(was replaced with the much - larger MV Sechelt Queen In,List([0, 28), [29, 69), [70, 75)))	TemporalArgument(1976,List([3, 7)))	In 1976, the Comox Queen was replaced with the much-larger MV Sechelt Queen.
0.9436221120476838		SimpleArgument(the Comox Queen,List([9, 24)))	Relation(was replaced with,List([25, 37), [38, 42)))	SimpleArgument(the much-larger MV Sechelt Queen,List([43, 75)))	In 1976, the Comox Queen was replaced with the much-larger MV Sechelt Queen.
0.816575697747956		SimpleArgument(The Comox,List([0, 9)))	Relation(was renamed the Tenaka in,List([10, 21), [22, 32), [33, 35)))	TemporalArgument(1977,List([36, 40)))	The Comox Queen received new engines and was renamed the Tenaka in 1977.
0.9382554258342916		SimpleArgument(The Comox,List([0, 9)))	Relation(was renamed,List([10, 21)))	SimpleArgument(MV Tenaka,List([22, 32)))	The Comox Queen received new engines and was renamed the Tenaka in 1977.
0.9329286852051247		SimpleArgument(the Comox Queen,List([0, 15)))	Relation(received,List([16, 24)))	SimpleArgument(new engines,List([25, 36)))	The Comox Queen received new engines and was renamed the Tenaka in 1977.
0.45592395356914683		SimpleArgument(the Comox Queen,List([9, 12)))	Relation(replacing,List([72, 81)))	SimpleArgument(the MV Nimpkish,List([82, 97)))	In 1979, she was assigned to the Port McNeill–Sointula–Alert Bay route, replacing the MV Nimpkish.
0.36123317708488234		SimpleArgument(the Comox Queen,List([9, 12)))	Relation(was assigned to the Port McNeill - Sointula - Alert Bay route In,List([0, 16), [17, 64), [65, 70)))	TemporalArgument(1979,List([3, 7)))	In 1979, she was assigned to the Port McNeill–Sointula–Alert Bay route, replacing the MV Nimpkish.
0.4978219019954182		SimpleArgument(the Comox Queen,List([9, 12)))	Relation(was assigned to,List([13, 25), [26, 28)))	SimpleArgument(the Port McNeill-Sointula-Alert Bay route,List([29, 70)))	In 1979, she was assigned to the Port McNeill–Sointula–Alert Bay route, replacing the MV Nimpkish.
0.9929999709129333		SimpleArgument(the ferries,List([0, 0)))	Relation(were transferred In,List([0, 0)))	SimpleArgument(1985,List(null))	In 1985, the Ministry's coastal routes and ferries were transferred to BC Ferries, including the Tenaka.
0.8281480256057071		SimpleArgument(the ferries,List([10, 21)))	Relation(were transferred to BC Ferries In,List([0, 26), [27, 44), [45, 52)))	TemporalArgument(1985,List([3, 7)))	In 1985, the Ministry's coastal routes and ferries were transferred to BC Ferries, including the Tenaka.
0.9180804252893389		SimpleArgument(the ferries,List([10, 21)))	Relation(were transferred to,List([22, 38), [39, 41)))	SimpleArgument(BC Ferries,List([42, 52)))	In 1985, the Ministry's coastal routes and ferries were transferred to BC Ferries, including the Tenaka.
0.9929999709129333		SimpleArgument(the Ministry 's coastal routes,List([0, 0)))	Relation(were transferred In,List([0, 0)))	SimpleArgument(1985,List(null))	In 1985, the Ministry's coastal routes and ferries were transferred to BC Ferries, including the Tenaka.
0.8972398357775778		SimpleArgument(the Ministry 's coastal routes,List([10, 40)))	Relation(were transferred to BC Ferries In,List([0, 45), [46, 63), [64, 71)))	TemporalArgument(1985,List([3, 7)))	In 1985, the Ministry's coastal routes and ferries were transferred to BC Ferries, including the Tenaka.
0.9530647582435334		SimpleArgument(the Ministry 's coastal routes,List([10, 40)))	Relation(were transferred to,List([41, 57), [58, 60)))	SimpleArgument(BC Ferries,List([61, 71)))	In 1985, the Ministry's coastal routes and ferries were transferred to BC Ferries, including the Tenaka.
0.547338059826203		SimpleArgument(the Comox Queen,List([25, 28)))	Relation(served on a variety of routes for BC Ferries Over,List([0, 4), [29, 65), [66, 73)))	TemporalArgument(the next few years,List([5, 23)))	Over the next few years, she served on a variety of routes for BC Ferries.
0.4978219019954182		SimpleArgument(the Comox Queen,List([25, 28)))	Relation(served on,List([29, 35), [36, 38)))	SimpleArgument(a variety of routes for BC Ferries,List([39, 73)))	Over the next few years, she served on a variety of routes for BC Ferries.
0.5503378535116643	Context(she started,List([9, 20)))	SimpleArgument(the Comox Queen,List([9, 12)))	Relation(started working on,List([13, 20), [21, 28), [29, 31)))	SimpleArgument(the Heriot Bay-Whaletown route between Quadra Island and Cortes Island,List([32, 102)))	In 1994, she started working on the Heriot Bay–Whaletown route between Quadra Island and Cortes Island.
0.30331131827796104		SimpleArgument(the Comox Queen,List([9, 12)))	Relation(started working on the Heriot Bay - Whaletown route between Quadra Island and Cortes Island In,List([0, 2), [13, 95), [96, 102)))	TemporalArgument(1994,List([3, 7)))	In 1994, she started working on the Heriot Bay–Whaletown route between Quadra Island and Cortes Island.
0.5503378535116643		SimpleArgument(the Comox Queen,List([9, 12)))	Relation(started,List([13, 20)))	SimpleArgument(working on the Heriot Bay-Whaletown route between Quadra Island and Cortes Island,List([21, 102)))	In 1994, she started working on the Heriot Bay–Whaletown route between Quadra Island and Cortes Island.
0.7853141995911036		SimpleArgument(the Nimpkish,List([19, 31)))	Relation(was working on this route,List([37, 40), [50, 57), [58, 71)))	TemporalArgument(formerly,List([41, 49)))	She again replaced the Nimpkish that was formerly working on this route.
0.8745224542492824		SimpleArgument(the Nimpkish,List([19, 31)))	Relation(was working on,List([37, 40), [50, 57), [58, 60)))	SimpleArgument(the Powell River-Comox route,List([61, 71)))	She again replaced the Nimpkish that was formerly working on this route.
0.3048426724432105		SimpleArgument(the Comox Queen,List([0, 3)))	Relation(replaced the Nimpkish,List([10, 18), [19, 31)))	TemporalArgument(again,List([4, 9)))	She again replaced the Nimpkish that was formerly working on this route.
0.45592395356914683		SimpleArgument(the Comox Queen,List([0, 3)))	Relation(replaced,List([10, 18)))	SimpleArgument(the Nimpkish,List([19, 31)))	She again replaced the Nimpkish that was formerly working on this route.
0.8704999223335219		SimpleArgument(MV Tenaka,List([17, 27)))	Relation(sails,List([34, 39)))	TemporalArgument(still,List([28, 33)))	As of June 2014, the Tenaka still sails on this route.
0.9143456855143793		SimpleArgument(MV Tenaka,List([17, 27)))	Relation(sails on,List([34, 39), [40, 42)))	SimpleArgument(the Powell River-Comox route,List([43, 53)))	As of June 2014, the Tenaka still sails on this route.
