0.8437742409533863		SimpleArgument(Metrowest 's Genesis dealership,List([0, 31)))	Relation(Established in,List([32, 43), [44, 46)))	TemporalArgument(1918,List([47, 51)))	Metrowest's Premier Hyundai and Genesis dealership Established in 1918.
0.8306090960787457		SimpleArgument(Herb Connolly Auto Group,List([0, 24)))	Relation(was founded in,List([25, 36), [37, 39)))	TemporalArgument(1918,List([40, 44)))	Herb Connolly Automotive was founded in 1918 as Connolly's Aberdeen Garage by Herb Connolly Sr. His son, Herb Connolly, Jr. took over in 1940 when Herb Sr. died unexpectedly.
0.22598218974525264		SimpleArgument(Herb Connolly Auto Group,List([0, 2)))	Relation(ran the dealership for 55 years , in Framingham until,List([3, 6), [7, 50), [53, 58)))	TemporalArgument(his death in 1995,List([59, 76)))	He ran the dealership for 55 years, in Boston and Framingham, until his death in 1995.
0.5680679595514976		SimpleArgument(Herb Connolly Auto Group,List([0, 2)))	Relation(ran,List([3, 6)))	SimpleArgument(the dealership for 55 years , in Framingham,List([7, 50)))	He ran the dealership for 55 years, in Boston and Framingham, until his death in 1995.
0.5337666212575038		SimpleArgument(Herb Connolly Auto Group,List([0, 2)))	Relation(ran,List([3, 6)))	SimpleArgument(the dealership for 55 years , in Boston , until his death in 1995,List([7, 72)))	He ran the dealership for 55 years, in Boston and Framingham, until his death in 1995.
0.7301850566355494		SimpleArgument(Herb Connolly Jr,List([0, 16)))	Relation(moved the dealership in,List([18, 23), [24, 38), [89, 91)))	TemporalArgument(1975,List([92, 96)))	Herb Connolly Jr. moved the dealership to its current location on Route 9 in Framingham, in 1975.
0.902318928242591		SimpleArgument(Herb Connolly Jr,List([0, 16)))	Relation(moved the dealership on,List([18, 23), [24, 38), [63, 65)))	SpatialArgument(Route 9,List([66, 73)))	Herb Connolly Jr. moved the dealership to its current location on Route 9 in Framingham, in 1975.
0.8645386818095685		SimpleArgument(Herb Connolly Jr,List([0, 16)))	Relation(moved the dealership to,List([18, 23), [24, 38), [39, 41)))	SimpleArgument(its current location,List([42, 62)))	Herb Connolly Jr. moved the dealership to its current location on Route 9 in Framingham, in 1975.
0.9216169339561846		SimpleArgument(Herb Connolly Jr,List([0, 16)))	Relation(moved,List([18, 23)))	SimpleArgument(Herb Connolly Hyundai Metrowest's Premier Hyundai and Genesis dealership Established in 1918,List([24, 38)))	Herb Connolly Jr. moved the dealership to its current location on Route 9 in Framingham, in 1975.
0.45243121649964957		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(Herb Connolly Hyundai Metrowest's Premier Hyundai and Genesis dealership Established in 1918,List([11, 64)))	We are now the fastest growing Acura dealership in the Northeast.
0.22015391053105568		SimpleArgument(We,List([0, 2)))	Relation(are the fastest growing Acura dealership in the Northeast,List([3, 6), [11, 64)))	TemporalArgument(now,List([7, 10)))	We are now the fastest growing Acura dealership in the Northeast.
0.9527410621066101		SimpleArgument(His son, Herb Connolly, Jr.,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(General Manager of Herb Connolly Hyundai,List([17, 57)))	Doug Connolly is General Manager of Herb Connolly Hyundai.
