0.8847641879927497		SimpleArgument(Dentistry,List([28, 37)))	Relation([is] Family [of],List([21, 27)))	SimpleArgument(Riccobene Associates,List([0, 20)))	Riccobene Associates Family Dentistry
0.6406664004203719		SimpleArgument(Our implant dentistry services,List([0, 30)))	Relation(include,List([31, 38)))	SimpleArgument(multiple - tooth replacement,List([52, 80)))	Our implant dentistry services include single- and multiple-tooth replacement, as well as implant-supported dentures.
0.6601056213946704		SimpleArgument(Our pediatric dentistry,List([0, 23)))	Relation(include,List([24, 31)))	SimpleArgument(fluoride treatments,List([32, 51)))	Our pediatric dentistry services focus on providing gentle and compassionate dental care to children from infancy through adolescence and include infant oral health exams, sealants, and fluoride treatments.
0.6601056213946704		SimpleArgument(Our pediatric dentistry,List([0, 23)))	Relation(include,List([24, 31)))	SimpleArgument(sealants,List([32, 40)))	Our pediatric dentistry services focus on providing gentle and compassionate dental care to children from infancy through adolescence and include infant oral health exams, sealants, and fluoride treatments.
0.6601056213946704		SimpleArgument(Our pediatric dentistry,List([0, 23)))	Relation(include,List([24, 31)))	SimpleArgument(infant oral health exams,List([32, 56)))	Our pediatric dentistry services focus on providing gentle and compassionate dental care to children from infancy through adolescence and include infant oral health exams, sealants, and fluoride treatments.
0.7742923597681717		SimpleArgument(Our implant dentistry services,List([0, 32)))	Relation(focus on,List([33, 38), [39, 41)))	SimpleArgument(providing compassionate dental care to children from infancy through adolescence,List([42, 122)))	Our pediatric dentistry services focus on providing gentle and compassionate dental care to children from infancy through adolescence and include infant oral health exams, sealants, and fluoride treatments.
0.7742923597681717		SimpleArgument(Our implant dentistry services,List([0, 32)))	Relation(focus on,List([33, 38), [39, 41)))	SimpleArgument(providing gentle dental care to children from infancy through adolescence,List([42, 115)))	Our pediatric dentistry services focus on providing gentle and compassionate dental care to children from infancy through adolescence and include infant oral health exams, sealants, and fluoride treatments.
0.40081383130177484	Context(our sedation dentistry options will allow,List([106, 147)))	SimpleArgument(you,List([148, 151)))	Relation(to receive,List([152, 162)))	SimpleArgument(the dental treatments you need without pain,List([163, 206)))	From the mildly relaxing effects of nitrous oxide to the deeply restful state that IV sedation provides, our sedation dentistry options will allow you to receive the dental treatments you need without fear or pain.
0.4719850289167451		SimpleArgument(our sedation dentistry options,List([106, 136)))	Relation(will allow,List([137, 147)))	SimpleArgument(you to receive the dental treatments,List([148, 184)))	From the mildly relaxing effects of nitrous oxide to the deeply restful state that IV sedation provides, our sedation dentistry options will allow you to receive the dental treatments you need without fear or pain.
0.40081383130177484	Context(our sedation dentistry options will allow,List([106, 147)))	SimpleArgument(you,List([148, 151)))	Relation(to receive,List([152, 162)))	SimpleArgument(the dental treatments you need,List([163, 193)))	From the mildly relaxing effects of nitrous oxide to the deeply restful state that IV sedation provides, our sedation dentistry options will allow you to receive the dental treatments you need without fear or pain.
0.5890728824956868		SimpleArgument(our sedation dentistry options,List([106, 136)))	Relation(will allow,List([137, 147)))	SimpleArgument(you to receive the dental treatments you need without fear,List([148, 206)))	From the mildly relaxing effects of nitrous oxide to the deeply restful state that IV sedation provides, our sedation dentistry options will allow you to receive the dental treatments you need without fear or pain.
0.8937052396947953		SimpleArgument(the dental treatments,List([163, 184)))	Relation(need,List([189, 193)))	SimpleArgument(you,List([185, 188)))	From the mildly relaxing effects of nitrous oxide to the deeply restful state that IV sedation provides, our sedation dentistry options will allow you to receive the dental treatments you need without fear or pain.
0.9535529028724352		SimpleArgument(the deeply restful state,List([53, 77)))	Relation(provides,List([95, 103)))	SimpleArgument(IV sedation,List([83, 94)))	From the mildly relaxing effects of nitrous oxide to the deeply restful state that IV sedation provides, our sedation dentistry options will allow you to receive the dental treatments you need without fear or pain.
0.38089450366724514		SimpleArgument(Dentistry,List([39, 48)))	Relation([is] opened Family [of],List([32, 38)))	SimpleArgument(Riccobene Associates,List([11, 31)))	Dr. Riccobene has lived in the NC Research Triangle area for nearly 20 years and opened Riccobene Associates Family Dentistry 15 years ago.
0.8550806581371961		SimpleArgument(Dr.,List([0, 3)))	Relation(opened Riccobene Associates Family Dentistry,List([4, 10), [11, 48)))	TemporalArgument(15 years ago,List([49, 61)))	Dr. Riccobene has lived in the NC Research Triangle area for nearly 20 years and opened Riccobene Associates Family Dentistry 15 years ago.
0.876543225140763		SimpleArgument(Dr.,List([0, 3)))	Relation(opened,List([4, 10)))	SimpleArgument(Riccobene Associates Family Dentistry,List([11, 48)))	Dr. Riccobene has lived in the NC Research Triangle area for nearly 20 years and opened Riccobene Associates Family Dentistry 15 years ago.
0.8918329165024274		SimpleArgument(Dr. Riccobene,List([0, 13)))	Relation(has lived for,List([14, 23), [57, 60)))	TemporalArgument(nearly 20 years,List([61, 76)))	Dr. Riccobene has lived in the NC Research Triangle area for nearly 20 years and opened Riccobene Associates Family Dentistry 15 years ago.
0.9382554258342916		SimpleArgument(Dr. Riccobene,List([0, 13)))	Relation(has lived in,List([14, 23), [24, 26)))	SpatialArgument(the NC Research Triangle area,List([27, 56)))	Dr. Riccobene has lived in the NC Research Triangle area for nearly 20 years and opened Riccobene Associates Family Dentistry 15 years ago.
0.183516546672029	Context(he graduated,List([36, 48)))	SimpleArgument(Dr. Riccobene,List([36, 38)))	Relation(graduated from New York University seeking,List([39, 48), [49, 53)))	SimpleArgument(a cozy place to raise his family,List([84, 116)))	He moved here from New York (where he graduated from New York University) seeking a safe and cozy place to raise his family and fell in love with this area.
0.183516546672029	Context(he graduated,List([36, 48)))	SimpleArgument(Dr. Riccobene,List([36, 38)))	Relation(graduated from New York University seeking,List([39, 48), [49, 53)))	SimpleArgument(a safe place to raise his family,List([84, 116)))	He moved here from New York (where he graduated from New York University) seeking a safe and cozy place to raise his family and fell in love with this area.
0.4328394458044063		SimpleArgument(Dr. Riccobene,List([36, 38)))	Relation(graduated from,List([39, 48), [49, 53)))	SimpleArgument(New York University,List([54, 73)))	He moved here from New York (where he graduated from New York University) seeking a safe and cozy place to raise his family and fell in love with this area.
0.45170382506656653		SimpleArgument(Dr. Riccobene,List([36, 38)))	Relation(fell in,List([39, 43), [44, 46)))	SimpleArgument(love,List([47, 51)))	He moved here from New York (where he graduated from New York University) seeking a safe and cozy place to raise his family and fell in love with this area.
0.4978219019954182		SimpleArgument(Dr. Riccobene,List([0, 2)))	Relation(moved here from,List([3, 8), [9, 13), [14, 18)))	SimpleArgument(New York,List([19, 27)))	He moved here from New York (where he graduated from New York University) seeking a safe and cozy place to raise his family and fell in love with this area.
0.22506131975927415		SimpleArgument(Dr. Riccobene,List([0, 2)))	Relation(moved,List([3, 8)))	SimpleArgument(here,List([9, 13)))	He moved here from New York (where he graduated from New York University) seeking a safe and cozy place to raise his family and fell in love with this area.
0.8979792830984052		SimpleArgument(Dr. Riccobene,List([0, 13)))	Relation(strives to,List([14, 21), [22, 24)))	SimpleArgument(provide his patients the highest - quality dental care through state - of - the - art technology,List([25, 121)))	Dr. Riccobene strives to provide his patients the highest-quality oral and dental care through expertise and state-of-the-art technology.
0.9100029960835063	Context(Dr. Riccobene strives,List([0, 21)))	SimpleArgument(Dr. Riccobene,List([0, 13)))	Relation(strives to provide his patients,List([14, 21), [22, 32), [33, 45)))	SimpleArgument(the highest - quality dental care,List([46, 79)))	Dr. Riccobene strives to provide his patients the highest-quality oral and dental care through expertise and state-of-the-art technology.
0.8979792830984052		SimpleArgument(Dr. Riccobene,List([0, 13)))	Relation(strives to,List([14, 21), [22, 24)))	SimpleArgument(provide his patients the highest - quality dental care through expertise,List([25, 97)))	Dr. Riccobene strives to provide his patients the highest-quality oral and dental care through expertise and state-of-the-art technology.
0.8979792830984052		SimpleArgument(Dr. Riccobene,List([0, 13)))	Relation(strives to,List([14, 21), [22, 24)))	SimpleArgument(provide his patients the highest - quality oral care through state - of - the - art technology,List([25, 119)))	Dr. Riccobene strives to provide his patients the highest-quality oral and dental care through expertise and state-of-the-art technology.
0.9100029960835063	Context(Dr. Riccobene strives,List([0, 21)))	SimpleArgument(Dr. Riccobene,List([0, 13)))	Relation(strives to provide his patients,List([14, 21), [22, 32), [33, 45)))	SimpleArgument(the highest - quality oral care,List([46, 77)))	Dr. Riccobene strives to provide his patients the highest-quality oral and dental care through expertise and state-of-the-art technology.
0.8458817854216879	Context(Dr. Riccobene strives,List([0, 21)))	SimpleArgument(Dr. Riccobene,List([0, 13)))	Relation(strives to provide,List([14, 21), [22, 32)))	SimpleArgument(his patients,List([33, 45)))	Dr. Riccobene strives to provide his patients the highest-quality oral and dental care through expertise and state-of-the-art technology.
0.8979792830984052		SimpleArgument(Dr. Riccobene,List([0, 13)))	Relation(strives to,List([14, 21), [22, 24)))	SimpleArgument(provide his patients the highest - quality oral care through expertise,List([25, 95)))	Dr. Riccobene strives to provide his patients the highest-quality oral and dental care through expertise and state-of-the-art technology.
0.38089450366724514		SimpleArgument(Dentistry,List([58, 67)))	Relation([is] expanded Family [of],List([51, 57)))	SimpleArgument(Riccobene Associates,List([30, 50)))	As Dr. Riccobene has expanded Riccobene Associates Family Dentistry throughout the Raleigh area, the dentists who've joined his practices have adopted his philosophy of care: 'We appreciate you allowing us to serve you.'
0.2560951955542683	Context(the dentists who 've joined his practices have adopted We appreciate you allowing,List([97, 202)))	SimpleArgument(We,List([203, 205)))	Relation(to serve,List([206, 214)))	SimpleArgument(you,List([215, 218)))	As Dr. Riccobene has expanded Riccobene Associates Family Dentistry throughout the Raleigh area, the dentists who've joined his practices have adopted his philosophy of care: 'We appreciate you allowing us to serve you.'
0.40081383130177484	Context(the dentists who 've joined his practices have adopted We appreciate,List([97, 189)))	SimpleArgument(you,List([190, 193)))	Relation(allowing,List([194, 202)))	SimpleArgument(us to serve you,List([203, 218)))	As Dr. Riccobene has expanded Riccobene Associates Family Dentistry throughout the Raleigh area, the dentists who've joined his practices have adopted his philosophy of care: 'We appreciate you allowing us to serve you.'
0.2560951955542683	Context(the dentists who 've joined his practices have adopted,List([97, 150)))	SimpleArgument(We,List([176, 178)))	Relation(appreciate,List([179, 189)))	SimpleArgument(you allowing us to serve you,List([190, 218)))	As Dr. Riccobene has expanded Riccobene Associates Family Dentistry throughout the Raleigh area, the dentists who've joined his practices have adopted his philosophy of care: 'We appreciate you allowing us to serve you.'
0.7668921714511497	Context(the dentists who 've joined his practices have adopted,List([97, 150)))	SimpleArgument(the dentists,List([97, 109)))	Relation('ve joined,List([113, 123)))	SimpleArgument(his practices,List([124, 137)))	As Dr. Riccobene has expanded Riccobene Associates Family Dentistry throughout the Raleigh area, the dentists who've joined his practices have adopted his philosophy of care: 'We appreciate you allowing us to serve you.'
0.5443135630358296		SimpleArgument(the dentists who've joined his practices,List([97, 137)))	Relation(have adopted,List([138, 150)))	SimpleArgument(his philosophy of care,List([151, 173)))	As Dr. Riccobene has expanded Riccobene Associates Family Dentistry throughout the Raleigh area, the dentists who've joined his practices have adopted his philosophy of care: 'We appreciate you allowing us to serve you.'
0.9382554258342916		SimpleArgument(Dr. Riccobene,List([3, 16)))	Relation(has expanded Riccobene Associates Family Dentistry throughout,List([17, 29), [30, 67), [68, 78)))	SpatialArgument(the NC Research Triangle area,List([79, 95)))	As Dr. Riccobene has expanded Riccobene Associates Family Dentistry throughout the Raleigh area, the dentists who've joined his practices have adopted his philosophy of care: 'We appreciate you allowing us to serve you.'
0.9382554258342916		SimpleArgument(Dr. Riccobene,List([3, 16)))	Relation(has expanded,List([17, 29)))	SimpleArgument(Riccobene Associates Family Dentistry,List([30, 67)))	As Dr. Riccobene has expanded Riccobene Associates Family Dentistry throughout the Raleigh area, the dentists who've joined his practices have adopted his philosophy of care: 'We appreciate you allowing us to serve you.'
0.8247751551634085		SimpleArgument(only the care,List([82, 95)))	Relation(can fit into,List([100, 107), [108, 112)))	SpatialArgument(your family 's budget,List([113, 134)))	Each of our dentists is given autonomy in acting in your best interest to provide only the care you want, need, and can fit into your family's budget.
0.8937052396947953		SimpleArgument(only the care,List([82, 95)))	Relation(need,List([100, 104)))	SimpleArgument(you,List([96, 99)))	Each of our dentists is given autonomy in acting in your best interest to provide only the care you want, need, and can fit into your family's budget.
0.9177261156516936		SimpleArgument(only the care,List([82, 95)))	Relation(want,List([100, 104)))	SimpleArgument(you,List([96, 99)))	Each of our dentists is given autonomy in acting in your best interest to provide only the care you want, need, and can fit into your family's budget.
0.6814400456876439		SimpleArgument(Each of our dentists,List([0, 20)))	Relation(is given,List([21, 29)))	SimpleArgument(autonomy,List([30, 38)))	Each of our dentists is given autonomy in acting in your best interest to provide only the care you want, need, and can fit into your family's budget.
