0.9216169339561846		SimpleArgument(North East England,List([36, 54)))	Relation(wrote,List([60, 65)))	SimpleArgument(original comedy sketches,List([66, 90)))	Straitjacket were a comedy duo from North East England, who wrote original comedy sketches.
0.923025082640948	Context(This original blend of comedy helped,List([0, 36)))	SimpleArgument(This original blend of comedy,List([0, 29)))	Relation(helped establish them as,List([30, 36), [37, 46), [47, 51), [52, 54)))	SimpleArgument(regular contributors to BBC Radio 1 show,List([55, 95)))	This original blend of comedy helped establish them as regular contributors to BBC Radio 1 show The Milk Run.
0.8439726149238781	Context(This original blend of comedy helped,List([0, 36)))	SimpleArgument(This original blend of comedy,List([0, 29)))	Relation(helped establish,List([30, 36), [37, 46)))	SimpleArgument(Tom and Ian,List([47, 51)))	This original blend of comedy helped establish them as regular contributors to BBC Radio 1 show The Milk Run.
0.9125739935186687		SimpleArgument(This original blend of comedy,List([0, 29)))	Relation(helped,List([30, 36)))	SimpleArgument(establish them as regular contributors to BBC Radio 1 show,List([37, 95)))	This original blend of comedy helped establish them as regular contributors to BBC Radio 1 show The Milk Run.
0.9045207649554154		SimpleArgument(the screen,List([31, 41)))	Relation(were regularly seen at,List([48, 67), [68, 70)))	SpatialArgument(comedy festivals across the United Kingdom,List([71, 113)))	They contributed to a sketch show on E4 called 'Dog Face' and produced sketch shows for the screen which were regularly seen in the Newcastle area and at comedy festivals across the United Kingdom.
0.9045207649554154		SimpleArgument(the screen,List([31, 41)))	Relation(were regularly seen in,List([48, 67), [68, 70)))	SpatialArgument(the Newcastle area,List([71, 89)))	They contributed to a sketch show on E4 called 'Dog Face' and produced sketch shows for the screen which were regularly seen in the Newcastle area and at comedy festivals across the United Kingdom.
0.6155020116081594		SimpleArgument(Tom and Ian,List([0, 4)))	Relation(produced,List([5, 13)))	SimpleArgument(sketch shows for the screen,List([14, 41)))	They contributed to a sketch show on E4 called 'Dog Face' and produced sketch shows for the screen which were regularly seen in the Newcastle area and at comedy festivals across the United Kingdom.
0.9442110632705061		SimpleArgument(a sketch show on E4,List([20, 39)))	Relation(called,List([40, 46)))	SimpleArgument(Dog Face,List([49, 57)))	They contributed to a sketch show on E4 called 'Dog Face' and produced sketch shows for the screen which were regularly seen in the Newcastle area and at comedy festivals across the United Kingdom.
0.6582659227599074		SimpleArgument(Tom and Ian,List([0, 4)))	Relation(contributed to,List([5, 16), [17, 19)))	SimpleArgument(a sketch show on E4,List([20, 39)))	They contributed to a sketch show on E4 called 'Dog Face' and produced sketch shows for the screen which were regularly seen in the Newcastle area and at comedy festivals across the United Kingdom.
0.9397001286877047		SimpleArgument(North East music talent,List([0, 23)))	Relation(contributed their material to,List([29, 40), [41, 55), [56, 58)))	SimpleArgument(Straitjacket,List([59, 71)))	North East music talent also contributed their material to Straitjacket, establishing a unique soundtrack for the sketch shows.
0.8754621861077135		SimpleArgument(North East music talent,List([0, 23)))	Relation(contributed,List([29, 40)))	SimpleArgument(their material,List([41, 55)))	North East music talent also contributed their material to Straitjacket, establishing a unique soundtrack for the sketch shows.
0.891531335477076		SimpleArgument(Straitjacket,List([0, 12)))	Relation(attracted nationally,List([13, 22), [46, 56)))	SimpleArgument(praise,List([23, 29)))	Straitjacket attracted praise from press both locally and nationally.
0.891531335477076		SimpleArgument(Straitjacket,List([0, 12)))	Relation(attracted locally,List([13, 22), [46, 53)))	SimpleArgument(praise,List([23, 29)))	Straitjacket attracted praise from press both locally and nationally.
0.3853208301752743		SimpleArgument(Bob Odenkirk,List([86, 98)))	Relation([is] husband [of],List([78, 85)))	SimpleArgument(hers,List([74, 77)))	In 2006 the group was discovered by Naomi Odenkirk who introduced them to her husband Bob Odenkirk who championed their comedy in America, entering their work into festivals and screenings.
0.8745666244973122		SimpleArgument(Bob Odenkirk,List([86, 98)))	Relation(championed,List([103, 113)))	SimpleArgument(their comedy in America,List([114, 137)))	In 2006 the group was discovered by Naomi Odenkirk who introduced them to her husband Bob Odenkirk who championed their comedy in America, entering their work into festivals and screenings.
0.8528181305510196		SimpleArgument(Naomi Odenkirk,List([36, 50)))	Relation(introduced them to,List([55, 65), [66, 70), [71, 73)))	SimpleArgument(her husband,List([74, 85)))	In 2006 the group was discovered by Naomi Odenkirk who introduced them to her husband Bob Odenkirk who championed their comedy in America, entering their work into festivals and screenings.
0.8528181305510196		SimpleArgument(Naomi Odenkirk,List([36, 50)))	Relation(introduced,List([55, 65)))	SimpleArgument(the group,List([66, 70)))	In 2006 the group was discovered by Naomi Odenkirk who introduced them to her husband Bob Odenkirk who championed their comedy in America, entering their work into festivals and screenings.
0.8281480256057071		SimpleArgument(the group,List([8, 17)))	Relation(was discovered In,List([0, 21), [22, 32)))	TemporalArgument(2006,List([3, 7)))	In 2006 the group was discovered by Naomi Odenkirk who introduced them to her husband Bob Odenkirk who championed their comedy in America, entering their work into festivals and screenings.
0.9180804252893389		SimpleArgument(the group,List([8, 17)))	Relation(was discovered by,List([18, 32), [33, 35)))	SimpleArgument(Naomi Odenkirk,List([36, 50)))	In 2006 the group was discovered by Naomi Odenkirk who introduced them to her husband Bob Odenkirk who championed their comedy in America, entering their work into festivals and screenings.
0.5898102672166055		SimpleArgument(2007,List([88, 92)))	Relation(introduced by,List([93, 103), [104, 106)))	SimpleArgument(David Cross,List([107, 118)))	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.5898102672166055		SimpleArgument(2007,List([88, 92)))	Relation(introduced by,List([93, 103), [104, 106)))	SimpleArgument(Naomi Odenkirk,List([107, 119)))	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.671724081120623	Context(Straitjacket had,List([0, 16)))	SimpleArgument(they,List([120, 124)))	Relation(won,List([125, 128)))	SimpleArgument(Channel4's 4Talent Award,List([129, 153)))	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.6630013790704553	Context(Straitjacket introduced,List([0, 103)))	SimpleArgument(they,List([122, 126)))	Relation(won,List([127, 130)))	SimpleArgument(Channel4's 4Talent Award,List([131, 155)))	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.8024405280407726		SimpleArgument(Straitjacket,List([0, 12)))	Relation(introduced,List([93, 103)))	SimpleArgument(they won Channel4's 4Talent Award,List([122, 155)))	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.8971924071623115		SimpleArgument(Straitjacket,List([0, 12)))	Relation(introduced they won Channel4's 4Talent Award in,List([93, 103), [104, 149), [150, 155)))	TemporalArgument(September 2007,List([107, 121)))	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.2452523194237878	Context(Straitjacket had,List([0, 16)))	SimpleArgument(their work,List([17, 27)))	Relation(screened in,List([28, 36), [85, 87)))	TemporalArgument(2007,List([88, 92)))	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.6294692549458004	Context(Straitjacket had,List([0, 16)))	SimpleArgument(their work,List([17, 27)))	Relation(screened at,List([28, 36), [37, 39)))	SpatialArgument(the Montreal Just For Laughs Comedy Festival,List([40, 84)))	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.9273110820143678		SimpleArgument(Straitjacket,List([0, 12)))	Relation(had,List([13, 16)))	SimpleArgument(their work screened at the Montreal Just For Laughs Comedy Festival in 2007,List([17, 92)))	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.9640827750857294		SimpleArgument(Channel4's 4Talent Award,List([131, 155)))	Relation(designed to,List([156, 164), [165, 167)))	"SimpleArgument(find the "" UK 's most exciting young creative talent,List([168, 220)))"	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.9339862216393666		SimpleArgument(Channel4's 4Talent Award,List([131, 155)))	Relation(to find,List([165, 172)))	"SimpleArgument(the "" UK 's most exciting young creative talent,List([173, 220)))"	"Straitjacket had their work screened at the Montreal Just For Laughs Comedy Festival in 2007 introduced by Bob Odenkirk and David Cross and in September 2007 they won Channel4's 4Talent Award designed to find the ""UK's most exciting young creative talent."""
0.8989624667941865		SimpleArgument(Naomi Odenkirk,List([59, 71)))	Relation(titled,List([74, 80)))	SimpleArgument(Straitjacket,List([83, 95)))	In 2008, Straitjacket finished developing a TV pilot with Bob Odenkirk, titled ‘Straitjacket: Reel Life.' Tom Bennett is currently developing sitcoms and recording voiceovers.
0.9449628438952096		SimpleArgument(Naomi Odenkirk,List([59, 71)))	Relation(titled,List([74, 80)))	SimpleArgument(Straitjacket : Reel Life . ' Tom Bennett is currently developing sitcoms,List([83, 155)))	In 2008, Straitjacket finished developing a TV pilot with Bob Odenkirk, titled ‘Straitjacket: Reel Life.' Tom Bennett is currently developing sitcoms and recording voiceovers.
0.8557456177405949		SimpleArgument(Straitjacket,List([10, 22)))	Relation(finished developing a TV pilot with Bob Odenkirk In,List([0, 2), [23, 62), [63, 71)))	TemporalArgument(2008,List([3, 7)))	In 2008, Straitjacket finished developing a TV pilot with Bob Odenkirk, titled ‘Straitjacket: Reel Life.' Tom Bennett is currently developing sitcoms and recording voiceovers.
0.9324144673478683		SimpleArgument(Straitjacket,List([10, 22)))	Relation(finished,List([23, 31)))	SimpleArgument(developing a TV pilot with Bob Odenkirk,List([32, 71)))	In 2008, Straitjacket finished developing a TV pilot with Bob Odenkirk, titled ‘Straitjacket: Reel Life.' Tom Bennett is currently developing sitcoms and recording voiceovers.
