0.9197759696552441		SimpleArgument(Professional,List([0, 12)))	Relation(eyecare witha,List([13, 20), [21, 26)))	SimpleArgument(personal touch,List([27, 41)))	Professional eyecare witha personal touch.
0.45170382506656653		SimpleArgument(Jean Bergstrom,List([0, 3)))	Relation(became,List([4, 10)))	SimpleArgument(known as the premier lens fitter in the area,List([11, 55)))	She was named 1994-1995 Optician of the Year by the New York State Society of Opticians and became known as the premier lens fitter in the area.
0.4978219019954182		SimpleArgument(Jean Bergstrom,List([0, 3)))	Relation(was named 1994-1995 Optician of the Year by,List([4, 13), [14, 44), [45, 47)))	SimpleArgument(the New York State Society of Opticians,List([48, 87)))	She was named 1994-1995 Optician of the Year by the New York State Society of Opticians and became known as the premier lens fitter in the area.
0.4978219019954182		SimpleArgument(Jean Bergstrom,List([0, 3)))	Relation(was named,List([4, 13)))	SimpleArgument(1994-1995 Optician of the Year,List([14, 44)))	She was named 1994-1995 Optician of the Year by the New York State Society of Opticians and became known as the premier lens fitter in the area.
0.8780037064600699		SimpleArgument(Burnt Hills Optical,List([10, 29)))	Relation(had moved to a new , custom - designed , 3000 square foot building on Route 50 By,List([0, 33), [34, 105), [106, 108)))	TemporalArgument(1997,List([3, 7)))	By 1997, Burnt Hills Optical had outgrown its original location and moved to a new,custom-designed, 3000 square foot building on Route 50.
0.9640827750857294		SimpleArgument(Burnt Hills Optical,List([10, 29)))	Relation(had moved to,List([30, 39), [40, 42)))	SimpleArgument(a new , custom - designed , 3000 square foot building on Route 50,List([43, 108)))	By 1997, Burnt Hills Optical had outgrown its original location and moved to a new,custom-designed, 3000 square foot building on Route 50.
0.8780037064600699		SimpleArgument(Burnt Hills Optical,List([10, 29)))	Relation(had outgrown its original location By,List([0, 33), [34, 55), [56, 64)))	TemporalArgument(1997,List([3, 7)))	By 1997, Burnt Hills Optical had outgrown its original location and moved to a new,custom-designed, 3000 square foot building on Route 50.
0.883042269491254		SimpleArgument(Burnt Hills Optical,List([10, 29)))	Relation(had outgrown,List([30, 42)))	SimpleArgument(its original location,List([43, 64)))	By 1997, Burnt Hills Optical had outgrown its original location and moved to a new,custom-designed, 3000 square foot building on Route 50.
0.9045207649554154		SimpleArgument(the business,List([7, 19)))	Relation(to thrive under,List([30, 39), [40, 45)))	SimpleArgument(Jean's leadership,List([46, 63)))	There, the business continued to thrive under Jean's leadership.
0.830169322587399		SimpleArgument(the business,List([7, 19)))	Relation(continued,List([20, 29)))	SpatialArgument(There,List([0, 5)))	There, the business continued to thrive under Jean's leadership.
0.9064683704715875		SimpleArgument(Jean Bergstrom,List([15, 19)))	Relation(after fighting ovarian cancer for,List([25, 39), [40, 54), [55, 58)))	TemporalArgument(nearly five years,List([59, 76)))	In March 2009, Jean died after fighting ovarian cancer for nearly five years.
0.9064683704715875		SimpleArgument(Jean Bergstrom,List([15, 19)))	Relation(after fighting,List([25, 39)))	SimpleArgument(ovarian cancer,List([40, 54)))	In March 2009, Jean died after fighting ovarian cancer for nearly five years.
0.9529384246512104		SimpleArgument(Jean Bergstrom,List([15, 19)))	Relation(died In,List([0, 2), [20, 24)))	TemporalArgument(March 2009,List([3, 13)))	In March 2009, Jean died after fighting ovarian cancer for nearly five years.
0.9197759696552441		SimpleArgument(Jean Bergstrom,List([15, 19)))	Relation(died after,List([20, 24), [25, 30)))	TemporalArgument(fighting ovarian cancer for nearly five years,List([31, 76)))	In March 2009, Jean died after fighting ovarian cancer for nearly five years.
0.3853208301752743		SimpleArgument(Dave,List([94, 98)))	Relation([is] husband [of],List([86, 93)))	SimpleArgument(hers,List([82, 85)))	Today, Burnt Hills Optical continues as Jean had planned under the leadership of Kris Cameron and her husband Dave.
0.8615585111461579		SimpleArgument(Jean Bergstrom,List([41, 45)))	Relation(had planned under,List([46, 57), [58, 63)))	SpatialArgument(the leadership of her husband,List([64, 93)))	Today, Burnt Hills Optical continues as Jean had planned under the leadership of Kris Cameron and her husband Dave.
0.9008439278303834		SimpleArgument(Burnt Hills Optical,List([8, 27)))	Relation(continues as,List([28, 37), [38, 40)))	TemporalArgument(Jean had planned under the leadership of her husband,List([41, 93)))	Today, Burnt Hills Optical continues as Jean had planned under the leadership of Kris Cameron and her husband Dave.
0.9324144673478683		SimpleArgument(Jean Bergstrom,List([41, 45)))	Relation(had planned under,List([46, 57), [58, 63)))	SpatialArgument(the leadership of Kris Cameron,List([64, 94)))	Today, Burnt Hills Optical continues as Jean had planned under the leadership of Kris Cameron and her husband Dave.
0.9539354177697028		SimpleArgument(Burnt Hills Optical,List([8, 27)))	Relation(continues,List([28, 37)))	TemporalArgument(Today,List([0, 5)))	Today, Burnt Hills Optical continues as Jean had planned under the leadership of Kris Cameron and her husband Dave.
0.9436221120476838		SimpleArgument(Burnt Hills Optical,List([8, 27)))	Relation(continues as,List([28, 37), [38, 40)))	TemporalArgument(Jean had planned under the leadership of Kris Cameron,List([41, 94)))	Today, Burnt Hills Optical continues as Jean had planned under the leadership of Kris Cameron and her husband Dave.
0.6461229776195765		SimpleArgument(The principles of service on which Jean based her business,List([0, 58)))	Relation(remain,List([59, 65)))	SimpleArgument(unchanged,List([66, 75)))	The principles of superb patient care and service on which Jean based her business remain unchanged.
0.8383054502364456		SimpleArgument(The principles of service,List([0, 25)))	Relation(based,List([40, 45)))	SimpleArgument(her business,List([46, 58)))	The principles of superb patient care and service on which Jean based her business remain unchanged.
0.8033442315966071		SimpleArgument(The principles of superb patient care,List([0, 37)))	Relation(remain,List([71, 77)))	SimpleArgument(unchanged,List([78, 87)))	The principles of superb patient care and service on which Jean based her business remain unchanged.
0.8247751551634085		SimpleArgument(superb patient care,List([18, 37)))	Relation(based,List([52, 57)))	SimpleArgument(her business,List([58, 70)))	The principles of superb patient care and service on which Jean based her business remain unchanged.
0.9929999709129333		SimpleArgument(I,List([0, 0)))	Relation(have been licensed for,List([0, 0)))	SimpleArgument(over 12 years,List(null))	Dave and I have been licensed opticians for over 12 years.
0.2743125465364158		SimpleArgument(We,List([0, 2)))	Relation(take pride in,List([8, 12), [13, 18), [19, 21)))	SimpleArgument(our work,List([22, 30)))	We both take pride in our work and derive a great amount of satisfaction out of what we do.
0.41051436014453063		SimpleArgument(We,List([0, 2)))	Relation(take,List([8, 12)))	SimpleArgument(pride,List([13, 18)))	We both take pride in our work and derive a great amount of satisfaction out of what we do.
0.40081383130177484	Context(they tell,List([25, 34)))	SimpleArgument(they,List([47, 51)))	Relation(love,List([52, 56)))	SimpleArgument(their glasses,List([57, 70)))	We especially ejnoy when we run into a patient outside of work and they tell us how much they love their glasses.
0.40081383130177484		SimpleArgument(they,List([25, 29)))	Relation(tell us,List([30, 34), [35, 37)))	SimpleArgument(how much they love their glasses,List([38, 70)))	We especially ejnoy when we run into a patient outside of work and they tell us how much they love their glasses.
0.4701878916447046		SimpleArgument(they,List([25, 29)))	Relation(tell,List([30, 34)))	SimpleArgument(Dave and I,List([35, 37)))	We especially ejnoy when we run into a patient outside of work and they tell us how much they love their glasses.
0.41763505952380825		SimpleArgument(Dave and I,List([0, 2)))	Relation(especially ejnoy,List([3, 19)))	TemporalArgument(when they tell us how much they love their glasses,List([20, 70)))	We especially ejnoy when we run into a patient outside of work and they tell us how much they love their glasses.
0.45170382506656653		SimpleArgument(Dave and I,List([25, 27)))	Relation(run into,List([28, 31), [32, 36)))	SimpleArgument(a patient outside of work,List([37, 62)))	We especially ejnoy when we run into a patient outside of work and they tell us how much they love their glasses.
0.3880890333449538	Context(we get to watch,List([20, 35)))	SimpleArgument(Dave and I,List([20, 22)))	Relation(get to watch them grow up maybe even try out,List([23, 26), [27, 35), [36, 54)))	SimpleArgument(contact lenses,List([68, 82)))	Even better is when we see the kids coming back and get to watch them grow up from kids glasses to teens and maybe even try out contact lenses.
0.2560951955542683	Context(we get,List([20, 26)))	SimpleArgument(Dave and I,List([20, 22)))	Relation(get to watch,List([23, 26), [27, 35)))	SimpleArgument(them grow up,List([36, 48)))	Even better is when we see the kids coming back and get to watch them grow up from kids glasses to teens and maybe even try out contact lenses.
0.3557055808979406		SimpleArgument(Dave and I,List([20, 22)))	Relation(get to,List([23, 26), [27, 29)))	SimpleArgument(watch them grow up maybe even try out contact lenses,List([30, 82)))	Even better is when we see the kids coming back and get to watch them grow up from kids glasses to teens and maybe even try out contact lenses.
0.2560951955542683	Context(we get,List([20, 26)))	SimpleArgument(Dave and I,List([20, 22)))	Relation(get to watch,List([23, 26), [27, 35)))	SimpleArgument(them grow up from kids glasses to teens,List([36, 75)))	Even better is when we see the kids coming back and get to watch them grow up from kids glasses to teens and maybe even try out contact lenses.
0.2560951955542683		SimpleArgument(Dave and I,List([20, 22)))	Relation(get to,List([23, 26), [27, 29)))	SimpleArgument(watch them grow up from kids glasses to teens,List([30, 75)))	Even better is when we see the kids coming back and get to watch them grow up from kids glasses to teens and maybe even try out contact lenses.
0.716524217511846	Context(we see,List([20, 26)))	SimpleArgument(the kids,List([27, 35)))	Relation(coming,List([36, 42)))	SimpleArgument(back,List([43, 47)))	Even better is when we see the kids coming back and get to watch them grow up from kids glasses to teens and maybe even try out contact lenses.
0.3880890333449538		SimpleArgument(Dave and I,List([20, 22)))	Relation(see,List([23, 26)))	SimpleArgument(the kids coming back,List([27, 47)))	Even better is when we see the kids coming back and get to watch them grow up from kids glasses to teens and maybe even try out contact lenses.
0.3880890333449538	Context(We have worked hard,List([0, 19)))	SimpleArgument(Dave and I,List([0, 2)))	Relation(have worked hard to have,List([3, 19), [20, 27)))	SimpleArgument(a good selection of frames,List([28, 54)))	We have worked hard to have a good selection of frames so everyone can find a style they like AND look good in.
0.3880890333449538		SimpleArgument(Dave and I,List([0, 2)))	Relation(have worked hard to,List([3, 19), [20, 22)))	SimpleArgument(have a good selection of frames,List([23, 54)))	We have worked hard to have a good selection of frames so everyone can find a style they like AND look good in.
0.8841701665203853		SimpleArgument(a style,List([76, 83)))	Relation(like,List([89, 93)))	SimpleArgument(the kids,List([84, 88)))	We have worked hard to have a good selection of frames so everyone can find a style they like AND look good in.
0.364761346574243		SimpleArgument(Dave and I,List([0, 2)))	Relation(hope to,List([3, 7), [8, 10)))	SimpleArgument(be able to take good care of the families in our community through all their stages of vision,List([11, 104)))	We value family - and we hope to be able to take good care of the families in our community through all their stages of life and vision.
0.3774138073928754		SimpleArgument(Dave and I,List([0, 2)))	Relation(to be,List([8, 13)))	SimpleArgument(able to take good care of the families in our community through all their stages of vision,List([14, 104)))	We value family - and we hope to be able to take good care of the families in our community through all their stages of life and vision.
0.18947780198484504	Context(we hope,List([0, 7)))	SimpleArgument(Dave and I,List([0, 2)))	Relation(hope to take of,List([3, 7), [19, 26), [37, 39)))	SimpleArgument(the families in our community,List([40, 69)))	We value family - and we hope to be able to take good care of the families in our community through all their stages of life and vision.
0.39068929374758027	Context(we hope,List([0, 7)))	SimpleArgument(Dave and I,List([0, 2)))	Relation(hope to take of the families in our community,List([3, 7), [19, 26), [37, 69)))	SimpleArgument(good care,List([27, 36)))	We value family - and we hope to be able to take good care of the families in our community through all their stages of life and vision.
0.364761346574243		SimpleArgument(Dave and I,List([0, 2)))	Relation(hope to,List([3, 7), [8, 10)))	SimpleArgument(be able to take good care of the families in our community through all their stages of life,List([11, 102)))	We value family - and we hope to be able to take good care of the families in our community through all their stages of life and vision.
0.3774138073928754		SimpleArgument(Dave and I,List([0, 2)))	Relation(to be,List([8, 13)))	SimpleArgument(able to take good care of the families in our community through all their stages of life,List([14, 102)))	We value family - and we hope to be able to take good care of the families in our community through all their stages of life and vision.
0.45170382506656653		SimpleArgument(Dave and I,List([0, 2)))	Relation(value,List([3, 8)))	SimpleArgument(family,List([9, 15)))	We value family - and we hope to be able to take good care of the families in our community through all their stages of life and vision.
