0.9699974998635915		SimpleArgument(Nick Ferraro,List([0, 12)))	Relation(is,List([13, 15)))	SimpleArgument(a rising third year student at The University of Chicago,List([16, 72)))	Nick Ferraro is a rising third year student at The University of Chicago.
0.837033312846149		SimpleArgument(Nick,List([0, 4)))	Relation(graduated high school as,List([5, 14), [15, 26), [27, 29)))	SimpleArgument(a captain of his wrestling team , and as defensive end in football,List([30, 96)))	Nick graduated high school as a captain of his wrestling team, ranked 22nd in the country upon graduation, and as an all-conference punter and defensive end in football.
0.7620599808598616		SimpleArgument(Nick,List([0, 4)))	Relation(graduated high school as,List([5, 14), [15, 26), [27, 29)))	SimpleArgument(a captain of his wrestling team,List([30, 61)))	Nick graduated high school as a captain of his wrestling team, ranked 22nd in the country upon graduation, and as an all-conference punter and defensive end in football.
0.8550806581371961		SimpleArgument(Nick,List([0, 4)))	Relation(graduated,List([5, 14)))	SimpleArgument(high school,List([15, 26)))	Nick graduated high school as a captain of his wrestling team, ranked 22nd in the country upon graduation, and as an all-conference punter and defensive end in football.
0.45170382506656653		SimpleArgument(he,List([15, 17)))	Relation(received All - Academic awards for,List([18, 26), [27, 48), [49, 52)))	SimpleArgument(wrestling,List([53, 62)))	Additionally, he received All-Academic awards for both football and wrestling.
0.45170382506656653		SimpleArgument(he,List([15, 17)))	Relation(received All - Academic awards for,List([18, 26), [27, 48), [49, 52)))	SimpleArgument(both football,List([53, 66)))	Additionally, he received All-Academic awards for both football and wrestling.
0.45170382506656653		SimpleArgument(he,List([15, 17)))	Relation(received,List([18, 26)))	SimpleArgument(All - Academic awards,List([27, 48)))	Additionally, he received All-Academic awards for both football and wrestling.
0.38089450366724514		SimpleArgument(Wrestling Club,List([63, 77)))	Relation([is] Youth [of],List([57, 62)))	SimpleArgument(SCN,List([53, 56)))	Nick has taken positions as a wrestling coach in the SCN Youth Wrestling Club based in St. Charles, IL on several occasions during the off season of high school.
0.9389549877632789		SimpleArgument(a wrestling coach in the SCN Youth Wrestling Club,List([28, 77)))	Relation(based in,List([78, 83), [84, 86)))	SpatialArgument(St. Charles,List([87, 98)))	Nick has taken positions as a wrestling coach in the SCN Youth Wrestling Club based in St. Charles, IL on several occasions during the off season of high school.
0.876543225140763		SimpleArgument(Nick,List([0, 4)))	Relation(has taken positions as,List([5, 14), [15, 24), [25, 27)))	SimpleArgument(a wrestling coach in the SCN Youth Wrestling Club,List([28, 77)))	Nick has taken positions as a wrestling coach in the SCN Youth Wrestling Club based in St. Charles, IL on several occasions during the off season of high school.
0.8550806581371961		SimpleArgument(Nick,List([0, 4)))	Relation(has taken,List([5, 14)))	SimpleArgument(positions,List([15, 24)))	Nick has taken positions as a wrestling coach in the SCN Youth Wrestling Club based in St. Charles, IL on several occasions during the off season of high school.
0.8942434158739456		SimpleArgument(books,List([109, 114)))	Relation(written by,List([115, 122), [123, 125)))	SimpleArgument(successful portfolio managers,List([126, 155)))	In his personal life, Nick has experience managing his personal brokerage account with skills acquired from his father and books written by successful portfolio managers.
0.8131408756488548		SimpleArgument(skills,List([88, 94)))	Relation(acquired from,List([95, 103), [104, 108)))	SimpleArgument(books,List([109, 114)))	In his personal life, Nick has experience managing his personal brokerage account with skills acquired from his father and books written by successful portfolio managers.
0.5		SimpleArgument(Nick,List([23, 27)))	Relation([is] personal life [of],List([7, 20)))	SimpleArgument(him,List([3, 6)))	In his personal life, Nick has experience managing his personal brokerage account with skills acquired from his father and books written by successful portfolio managers.
0.7025640273538944		SimpleArgument(skills,List([88, 94)))	Relation(acquired from,List([95, 103), [104, 108)))	SimpleArgument(his father,List([109, 119)))	In his personal life, Nick has experience managing his personal brokerage account with skills acquired from his father and books written by successful portfolio managers.
0.8245836932748777		SimpleArgument(Nick,List([23, 27)))	Relation(has experience managing his personal brokerage account with skills In,List([0, 2), [28, 87), [88, 94)))	SpatialArgument(his personal life,List([3, 20)))	In his personal life, Nick has experience managing his personal brokerage account with skills acquired from his father and books written by successful portfolio managers.
0.8094887904394057		SimpleArgument(Nick,List([23, 27)))	Relation(has,List([28, 31)))	SimpleArgument(experience managing his personal brokerage account with skills,List([32, 94)))	In his personal life, Nick has experience managing his personal brokerage account with skills acquired from his father and books written by successful portfolio managers.
0.9990000128746033		SimpleArgument(His investments,List([0, 0)))	Relation(have earned,List([0, 0)))	SimpleArgument(16.3 % return,List(null))	His investments have earned him a 3 year return of +35.67% and a +16.3% return since inception (as of February 2015).
0.7728580355942064		SimpleArgument(His investments,List([0, 15)))	Relation(have earned him,List([16, 27), [28, 31)))	SimpleArgument(a +16.3 % return since inception ( as of February 2015,List([32, 86)))	His investments have earned him a 3 year return of +35.67% and a +16.3% return since inception (as of February 2015).
0.9990000128746033		SimpleArgument(His investments,List([0, 0)))	Relation(have earned,List([0, 0)))	SimpleArgument(3 year return,List(null))	His investments have earned him a 3 year return of +35.67% and a +16.3% return since inception (as of February 2015).
0.6381012045821894		SimpleArgument(His investments,List([0, 15)))	Relation(have earned him,List([16, 27), [28, 31)))	SimpleArgument(a 3 year return of +35.67 %,List([32, 59)))	His investments have earned him a 3 year return of +35.67% and a +16.3% return since inception (as of February 2015).
0.48903187625367955		SimpleArgument(His investments,List([0, 15)))	Relation(have earned,List([16, 27)))	SimpleArgument(him,List([28, 31)))	His investments have earned him a 3 year return of +35.67% and a +16.3% return since inception (as of February 2015).
0.9098215829180352		SimpleArgument(Nick 's athletic experience from athletics,List([0, 42)))	Relation(would make,List([43, 53)))	SimpleArgument(him an excellent addition to any team,List([54, 91)))	Nick's personal and athletic experience as well as his competitive nature and discipline from athletics would make him an excellent addition to any team.
0.9098215829180352		SimpleArgument(Nick 's personal experience from athletics,List([0, 42)))	Relation(would make,List([43, 53)))	SimpleArgument(him an excellent addition to any team,List([54, 91)))	Nick's personal and athletic experience as well as his competitive nature and discipline from athletics would make him an excellent addition to any team.
0.8477538091726738		SimpleArgument(discipline from athletics,List([0, 25)))	Relation(would make,List([26, 36)))	SimpleArgument(him an excellent addition to any team,List([37, 74)))	Nick's personal and athletic experience as well as his competitive nature and discipline from athletics would make him an excellent addition to any team.
0.561196248470269		SimpleArgument(his competitive nature from athletics,List([0, 37)))	Relation(would make,List([38, 48)))	SimpleArgument(him an excellent addition to any team,List([49, 86)))	Nick's personal and athletic experience as well as his competitive nature and discipline from athletics would make him an excellent addition to any team.
