0.8847999636040884		SimpleArgument(Matthew Hay ( 1855-1932 ),List([0, 25)))	Relation(was champion of,List([26, 41)))	SimpleArgument(Public Health,List([42, 55)))	Matthew Hay (1855–1932) was a Scottish doctor and champion of Public Health.
0.9210233335200773		SimpleArgument(Hay,List([0, 3)))	Relation(attending,List([28, 37)))	SimpleArgument(Dollar Academy,List([38, 52)))	Hay was academically gifted attending Dollar Academy before going on to Glasgow and Edinburgh universities, graduating from the University of Edinburgh Medical School with the degree of MB, CM with distinction in 1878.
0.8428211120858269		SimpleArgument(Hay,List([0, 3)))	Relation(was,List([4, 7)))	SimpleArgument(academically gifted,List([8, 27)))	Hay was academically gifted attending Dollar Academy before going on to Glasgow and Edinburgh universities, graduating from the University of Edinburgh Medical School with the degree of MB, CM with distinction in 1878.
0.4328394458044063	Context(he distinguished,List([13, 29)))	SimpleArgument(he,List([13, 15)))	Relation(distinguished himself by winning,List([16, 29), [30, 40)))	SimpleArgument(the Ettles prize for the Goodsir Fellowship,List([49, 92)))	At Edinburgh he distinguished himself by winning the Ettles prize for medicine and the Goodsir Fellowship and worked as an assistant to Richard Fraser, professor of Materia Medica.
0.4328394458044063	Context(he distinguished,List([13, 29)))	SimpleArgument(he,List([13, 15)))	Relation(distinguished himself by winning,List([16, 29), [30, 40)))	SimpleArgument(the Ettles prize for medicine,List([49, 78)))	At Edinburgh he distinguished himself by winning the Ettles prize for medicine and the Goodsir Fellowship and worked as an assistant to Richard Fraser, professor of Materia Medica.
0.5283282283527726		SimpleArgument(he,List([13, 15)))	Relation(distinguished himself At,List([0, 2), [16, 29), [30, 37)))	SpatialArgument(Edinburgh,List([3, 12)))	At Edinburgh he distinguished himself by winning the Ettles prize for medicine and the Goodsir Fellowship and worked as an assistant to Richard Fraser, professor of Materia Medica.
0.2560951955542683		SimpleArgument(he,List([13, 15)))	Relation(distinguished,List([16, 29)))	SimpleArgument(himself,List([30, 37)))	At Edinburgh he distinguished himself by winning the Ettles prize for medicine and the Goodsir Fellowship and worked as an assistant to Richard Fraser, professor of Materia Medica.
0.38089450366724514		SimpleArgument(Richard Fraser,List([42, 56)))	Relation([is] professor of,List([59, 71)))	SimpleArgument(Materia Medica,List([72, 86)))	At Edinburgh he distinguished himself by winning the Ettles prize for medicine and the Goodsir Fellowship and worked as an assistant to Richard Fraser, professor of Materia Medica.
0.5926659981335703		SimpleArgument(he,List([13, 15)))	Relation(worked as an assistant to Richard Fraser At,List([0, 2), [16, 49), [50, 56)))	SpatialArgument(Edinburgh,List([3, 12)))	At Edinburgh he distinguished himself by winning the Ettles prize for medicine and the Goodsir Fellowship and worked as an assistant to Richard Fraser, professor of Materia Medica.
0.4978219019954182		SimpleArgument(he,List([13, 15)))	Relation(worked as,List([16, 22), [23, 25)))	SimpleArgument(an assistant to Richard Fraser,List([26, 56)))	At Edinburgh he distinguished himself by winning the Ettles prize for medicine and the Goodsir Fellowship and worked as an assistant to Richard Fraser, professor of Materia Medica.
0.9909999966621399		SimpleArgument(1884 hay,List([0, 0)))	Relation(accepted,List([0, 0)))	SimpleArgument(the chair of therapeutics at Johns Hopkins University medical school , Baltimore,List(null))	In 1884 Hay was offered and accepted the chair of pharmacology and therapeutics at Johns Hopkins University medical school, Baltimore.
0.8557456177405949		SimpleArgument(Hay,List([8, 11)))	Relation(accepted the chair of therapeutics at Johns Hopkins University medical school In,List([0, 2), [12, 82), [83, 89)))	TemporalArgument(1884,List([3, 7)))	In 1884 Hay was offered and accepted the chair of pharmacology and therapeutics at Johns Hopkins University medical school, Baltimore.
0.9567562066335041		SimpleArgument(Hay,List([8, 11)))	Relation(accepted,List([12, 20)))	SimpleArgument(the chair of therapeutics at Johns Hopkins University medical school,List([21, 89)))	In 1884 Hay was offered and accepted the chair of pharmacology and therapeutics at Johns Hopkins University medical school, Baltimore.
0.9909999966621399		SimpleArgument(1884 hay,List([0, 0)))	Relation(accepted,List([0, 0)))	SimpleArgument(the chair of pharmacology,List(null))	In 1884 Hay was offered and accepted the chair of pharmacology and therapeutics at Johns Hopkins University medical school, Baltimore.
0.8557456177405949		SimpleArgument(Hay,List([8, 11)))	Relation(accepted the chair of pharmacology In,List([0, 2), [12, 33), [34, 46)))	TemporalArgument(1884,List([3, 7)))	In 1884 Hay was offered and accepted the chair of pharmacology and therapeutics at Johns Hopkins University medical school, Baltimore.
0.9197759696552441		SimpleArgument(Hay,List([8, 11)))	Relation(accepted,List([12, 20)))	SimpleArgument(the chair of pharmacology,List([21, 46)))	In 1884 Hay was offered and accepted the chair of pharmacology and therapeutics at Johns Hopkins University medical school, Baltimore.
0.8557456177405949		SimpleArgument(Hay,List([8, 11)))	Relation(was offered In,List([0, 15), [16, 23)))	TemporalArgument(1884,List([3, 7)))	In 1884 Hay was offered and accepted the chair of pharmacology and therapeutics at Johns Hopkins University medical school, Baltimore.
0.3498441627223176		SimpleArgument(He,List([0, 2)))	Relation(did not take up the positions because,List([3, 18), [19, 32), [33, 40)))	SimpleArgument(of a dispute with Johns Hopkins over his intention,List([41, 91)))	He did not take up the positions because of a dispute with Johns Hopkins over his intention to continue treating private patients.
0.45170382506656653		SimpleArgument(He,List([0, 2)))	Relation(did not take up,List([3, 18)))	SimpleArgument(the positions,List([19, 32)))	He did not take up the positions because of a dispute with Johns Hopkins over his intention to continue treating private patients.
0.7400991314571976		SimpleArgument(Hay,List([57, 60)))	Relation(aged,List([62, 66)))		Baltimore's loss was to prove to be Aberdeen's gain when Hay, aged 27, successfully applied for the Chair of Forensic Medicine at Aberdeen University.
0.9339862216393666		SimpleArgument(Baltimore's loss,List([0, 16)))	Relation(to be,List([30, 35)))	SimpleArgument(Aberdeen's gain,List([36, 51)))	Baltimore's loss was to prove to be Aberdeen's gain when Hay, aged 27, successfully applied for the Chair of Forensic Medicine at Aberdeen University.
0.9436221120476838		SimpleArgument(Baltimore's loss,List([0, 16)))	Relation(was to,List([17, 20), [21, 23)))	SimpleArgument(prove to be Aberdeen's gain,List([24, 51)))	Baltimore's loss was to prove to be Aberdeen's gain when Hay, aged 27, successfully applied for the Chair of Forensic Medicine at Aberdeen University.
0.9530647582435334		SimpleArgument(Hay's career in Aberdeen,List([0, 24)))	Relation(was not limited simply to,List([25, 47), [48, 50)))	SimpleArgument(the lecture theatres of the University,List([51, 89)))	Hay's career in Aberdeen was not limited simply to the lecture theatres of the University.
0.29886655727758943		SimpleArgument(he,List([9, 11)))	Relation(was appointed the city 's Medical Officer of Health In,List([0, 15), [16, 55), [56, 62)))	TemporalArgument(1888,List([3, 7)))	In 1888, he was appointed the city's Medical Officer of Health.
0.4978219019954182		SimpleArgument(he,List([9, 11)))	Relation(was appointed,List([12, 25)))	SimpleArgument(the city's Medical Officer of Health,List([26, 62)))	In 1888, he was appointed the city's Medical Officer of Health.
0.9567562066335041		SimpleArgument(Hay,List([53, 56)))	Relation(made,List([57, 61)))	SimpleArgument(an important contribution to solving the public health issues of Aberdeen's working class housing problem through the promotion of the Aberdeen (Housing of the Working Classes) Improvement Scheme 1894,List([62, 262)))	It was in his capacity as the Medical of Health that Hay made an important contribution to solving the public health issues of Aberdeen's working class housing problem through the promotion of the Aberdeen (Housing of the Working Classes) Improvement Scheme 1894.
0.3498441627223176		SimpleArgument(It,List([0, 2)))	Relation(was in,List([3, 6), [7, 9)))	SimpleArgument(his capacity as the Medical of Health,List([10, 47)))	It was in his capacity as the Medical of Health that Hay made an important contribution to solving the public health issues of Aberdeen's working class housing problem through the promotion of the Aberdeen (Housing of the Working Classes) Improvement Scheme 1894.
