0.5680679595514976		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(part of the Forzani Group,List([6, 31)))	It is part of the Forzani Group.
0.9250606141558615		SimpleArgument(The combined company,List([0, 20)))	Relation(took on,List([21, 28)))	SimpleArgument(the name Sports Experts Inc and the Arlington locations,List([29, 84)))	The combined company took on the name Sports Experts Inc and the Arlington locations were converted into the Sports Experts banner.
0.8557456177405949		SimpleArgument(Provigo,List([9, 16)))	Relation(sold Sports Experts In,List([0, 2), [17, 28), [29, 36)))	TemporalArgument(1994,List([3, 7)))	In 1994, Provigo sold Sports Experts to the Forzani Group.
0.9324144673478683		SimpleArgument(Provigo,List([9, 16)))	Relation(sold Sports Experts to,List([17, 21), [22, 36), [37, 39)))	SimpleArgument(the Forzani Group,List([40, 57)))	In 1994, Provigo sold Sports Experts to the Forzani Group.
0.9481947648689547		SimpleArgument(Provigo,List([9, 16)))	Relation(sold,List([17, 21)))	SimpleArgument(Sports Experts,List([22, 36)))	In 1994, Provigo sold Sports Experts to the Forzani Group.
0.946266837389259		SimpleArgument(the abandonment of shopping malls by supermarket chains in the early 2000 s,List([0, 75)))	Relation(gave,List([76, 80)))	SimpleArgument(the opportunity to introduce Atmosphere , its sub-banner,List([81, 137)))	The bankruptcy of Eaton's in 1999 and the abandonment of shopping malls by supermarket chains in the early 2000s gave the opportunity for Sports Experts to move many of its stores to larger mall spaces and to introduce Atmosphere, its sub-banner which specializes in outdoor sports clothing.
0.9658024614054057		SimpleArgument(the abandonment of shopping malls by supermarket chains in the early 2000 s,List([0, 75)))	Relation(gave,List([76, 80)))	SimpleArgument(the opportunity for Sports Experts to move many of its stores to larger mall spaces,List([81, 164)))	The bankruptcy of Eaton's in 1999 and the abandonment of shopping malls by supermarket chains in the early 2000s gave the opportunity for Sports Experts to move many of its stores to larger mall spaces and to introduce Atmosphere, its sub-banner which specializes in outdoor sports clothing.
0.598467018900354		SimpleArgument(its sub-banner,List([82, 96)))	Relation(specializes in,List([103, 114), [115, 117)))	SimpleArgument(outdoor sports clothing,List([118, 141)))	The bankruptcy of Eaton's in 1999 and the abandonment of shopping malls by supermarket chains in the early 2000s gave the opportunity for Sports Experts to move many of its stores to larger mall spaces and to introduce Atmosphere, its sub-banner which specializes in outdoor sports clothing.
0.930420554052974		SimpleArgument(The bankruptcy of Eaton 's in 1999,List([0, 34)))	Relation(gave,List([35, 39)))	SimpleArgument(the opportunity to introduce Atmosphere , its sub-banner,List([40, 96)))	The bankruptcy of Eaton's in 1999 and the abandonment of shopping malls by supermarket chains in the early 2000s gave the opportunity for Sports Experts to move many of its stores to larger mall spaces and to introduce Atmosphere, its sub-banner which specializes in outdoor sports clothing.
0.9266232318014763		SimpleArgument(Sports Experts,List([60, 74)))	Relation(to move many of its stores to,List([75, 82), [83, 101), [102, 104)))	SimpleArgument(larger mall spaces,List([105, 123)))	The bankruptcy of Eaton's in 1999 and the abandonment of shopping malls by supermarket chains in the early 2000s gave the opportunity for Sports Experts to move many of its stores to larger mall spaces and to introduce Atmosphere, its sub-banner which specializes in outdoor sports clothing.
0.8726869446304376		SimpleArgument(Sports Experts,List([60, 74)))	Relation(to move,List([75, 82)))	SimpleArgument(many of its stores,List([83, 101)))	The bankruptcy of Eaton's in 1999 and the abandonment of shopping malls by supermarket chains in the early 2000s gave the opportunity for Sports Experts to move many of its stores to larger mall spaces and to introduce Atmosphere, its sub-banner which specializes in outdoor sports clothing.
0.8525643398286977		SimpleArgument(The bankruptcy of Eaton 's,List([0, 26)))	Relation(gave the opportunity for Sports Experts to move many of its stores to larger mall spaces in,List([27, 29), [35, 116), [117, 123)))	TemporalArgument(1999,List([30, 34)))	The bankruptcy of Eaton's in 1999 and the abandonment of shopping malls by supermarket chains in the early 2000s gave the opportunity for Sports Experts to move many of its stores to larger mall spaces and to introduce Atmosphere, its sub-banner which specializes in outdoor sports clothing.
0.9372718506518032		SimpleArgument(The bankruptcy of Eaton 's,List([0, 26)))	Relation(gave,List([35, 39)))	SimpleArgument(the opportunity for Sports Experts to move many of its stores to larger mall spaces,List([40, 123)))	The bankruptcy of Eaton's in 1999 and the abandonment of shopping malls by supermarket chains in the early 2000s gave the opportunity for Sports Experts to move many of its stores to larger mall spaces and to introduce Atmosphere, its sub-banner which specializes in outdoor sports clothing.
0.515999972820282		SimpleArgument(Sports Experts,List([0, 0)))	Relation(have [number of] stores are in Quebec,List([0, 0)))	SimpleArgument(71,List(null))	Sports Experts currently has 71 stores nationwide, 62 of which are in Quebec.
0.9990000128746033		SimpleArgument(Sports Experts,List([0, 0)))	Relation(has,List([0, 0)))	SimpleArgument(71 stores,List(null))	Sports Experts currently has 71 stores nationwide, 62 of which are in Quebec.
0.9125462839307745		SimpleArgument(71 stores nationwide,List([29, 49)))	Relation(are in,List([63, 66), [67, 69)))	SimpleArgument(Quebec,List([70, 76)))	Sports Experts currently has 71 stores nationwide, 62 of which are in Quebec.
0.8321465232489272		SimpleArgument(Sports Experts,List([0, 14)))	Relation(has 71 stores nationwide , 62 of which are in Quebec,List([25, 28), [29, 76)))	TemporalArgument(currently,List([15, 24)))	Sports Experts currently has 71 stores nationwide, 62 of which are in Quebec.
0.9527316856636409		SimpleArgument(Sports Experts,List([0, 14)))	Relation(has,List([25, 28)))	SimpleArgument(71 stores nationwide, 62 of which are in Quebec,List([29, 76)))	Sports Experts currently has 71 stores nationwide, 62 of which are in Quebec.
