0.9382554258342916		SimpleArgument(Clyde Williams,List([0, 14)))	Relation(is running for Congress in,List([15, 25), [26, 38), [39, 41)))	SpatialArgument(New York's 13th Congressional District,List([42, 80)))	Clyde Williams is running for Congress in New York's 13th Congressional District.
0.9105213233336688		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which New York University 's Stern School of Business , provided managerial support expand small business in Harlem,List([0, 185)))	Relation(was,List([188, 191)))	SimpleArgument(the extensive partnership of its kind,List([192, 229)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8592168710407613		SimpleArgument(New York University 's Stern School of Business,List([76, 123)))	Relation(provided managerial support expand small business in Harlem,List([126, 134), [135, 185)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9008682934560129		SimpleArgument(New York University 's Stern School of Business,List([76, 123)))	Relation(provided,List([126, 134)))	SimpleArgument(managerial support expand small business in Harlem,List([135, 185)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9105213233336688		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which New York University 's Stern School of Business , provided managerial support expand small business in Harlem,List([0, 185)))	Relation(was,List([188, 191)))	SimpleArgument(the most comprehensive partnership of its kind,List([192, 238)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8839232934952382		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which New York University 's Stern School of Business , provided managerial support to foster,List([0, 163)))	Relation(was,List([166, 169)))	SimpleArgument(the extensive partnership of its kind,List([170, 207)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8839232934952382		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which New York University 's Stern School of Business , provided managerial support to foster,List([0, 163)))	Relation(was,List([166, 169)))	SimpleArgument(the most comprehensive partnership of its kind,List([170, 216)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8879891578784005		SimpleArgument(New York University 's Stern School of Business,List([76, 123)))	Relation(provided managerial support,List([126, 134), [135, 153)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.907492569057519		SimpleArgument(New York University 's Stern School of Business,List([76, 123)))	Relation(provided managerial support to,List([126, 134), [135, 153), [154, 156)))	SimpleArgument(foster,List([157, 163)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.907492569057519		SimpleArgument(New York University 's Stern School of Business,List([76, 123)))	Relation(provided,List([126, 134)))	SimpleArgument(managerial support,List([135, 153)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8625761834466619		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which New York University 's Stern School of Business , provided technical support,List([0, 152)))	Relation(was,List([187, 190)))	SimpleArgument(the extensive partnership of its kind,List([191, 228)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8625761834466619		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which New York University 's Stern School of Business , provided technical support,List([0, 152)))	Relation(was,List([187, 190)))	SimpleArgument(the most comprehensive partnership of its kind,List([191, 237)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8839232934952382		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which New York University 's Stern School of Business , provided technical support to foster,List([0, 162)))	Relation(was,List([165, 168)))	SimpleArgument(the extensive partnership of its kind,List([169, 206)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8839232934952382		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which New York University 's Stern School of Business , provided technical support to foster,List([0, 162)))	Relation(was,List([165, 168)))	SimpleArgument(the most comprehensive partnership of its kind,List([169, 215)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8879891578784005		SimpleArgument(New York University 's Stern School of Business,List([76, 123)))	Relation(provided technical support,List([126, 134), [135, 152)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.907492569057519		SimpleArgument(New York University 's Stern School of Business,List([76, 123)))	Relation(provided technical support to,List([126, 134), [135, 152), [153, 155)))	SimpleArgument(foster,List([156, 162)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.907492569057519		SimpleArgument(New York University 's Stern School of Business,List([76, 123)))	Relation(provided,List([126, 134)))	SimpleArgument(technical support,List([135, 152)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8244736273134677		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the National Black MBA Association , provided managerial support,List([0, 140)))	Relation(was,List([175, 178)))	SimpleArgument(the extensive partnership of its kind,List([179, 216)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.850715151117466		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the National Black MBA Association , provided managerial support to foster,List([0, 150)))	Relation(was,List([153, 156)))	SimpleArgument(the extensive partnership of its kind,List([157, 194)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.850715151117466		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the National Black MBA Association , provided managerial support to foster,List([0, 150)))	Relation(was,List([153, 156)))	SimpleArgument(the most comprehensive partnership of its kind,List([157, 203)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8557543908231003		SimpleArgument(the National Black MBA Association,List([76, 110)))	Relation(provided managerial support,List([113, 121), [122, 140)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.880112768549101		SimpleArgument(the National Black MBA Association,List([76, 110)))	Relation(provided managerial support to,List([113, 121), [122, 140), [141, 143)))	SimpleArgument(foster,List([144, 150)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.880112768549101		SimpleArgument(the National Black MBA Association,List([76, 110)))	Relation(provided,List([113, 121)))	SimpleArgument(managerial support,List([122, 140)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8839232934952382		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the National Black MBA Association , provided technical support expand small business in Harlem,List([0, 171)))	Relation(was,List([174, 177)))	SimpleArgument(the extensive partnership of its kind,List([178, 215)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8961335868436368	Context(the National Black MBA Association provided,List([76, 121)))	SimpleArgument(technical support,List([122, 139)))	Relation(expand small business in,List([140, 146), [147, 161), [162, 164)))	SpatialArgument(Harlem,List([165, 171)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8776011732811596	Context(the National Black MBA Association provided,List([76, 121)))	SimpleArgument(technical support,List([122, 139)))	Relation(expand,List([140, 146)))	SimpleArgument(small business,List([147, 161)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8203768593017635		SimpleArgument(the National Black MBA Association,List([76, 110)))	Relation(provided technical support expand small business in Harlem,List([113, 121), [122, 171)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.87180484142354		SimpleArgument(the National Black MBA Association,List([76, 110)))	Relation(provided,List([113, 121)))	SimpleArgument(technical support expand small business in Harlem,List([122, 171)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8839232934952382		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the National Black MBA Association , provided technical support expand small business in Harlem,List([0, 171)))	Relation(was,List([174, 177)))	SimpleArgument(the most comprehensive partnership of its kind,List([178, 224)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.850715151117466		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the National Black MBA Association , provided technical support to foster,List([0, 149)))	Relation(was,List([152, 155)))	SimpleArgument(the extensive partnership of its kind,List([156, 193)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.850715151117466		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which the National Black MBA Association , provided technical support to foster,List([0, 149)))	Relation(was,List([152, 155)))	SimpleArgument(the most comprehensive partnership of its kind,List([156, 202)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8557543908231003		SimpleArgument(the National Black MBA Association,List([76, 110)))	Relation(provided technical support,List([113, 121), [122, 139)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.880112768549101		SimpleArgument(the National Black MBA Association,List([76, 110)))	Relation(provided technical support to,List([113, 121), [122, 139), [140, 142)))	SimpleArgument(foster,List([143, 149)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.880112768549101		SimpleArgument(the National Black MBA Association,List([76, 110)))	Relation(provided,List([113, 121)))	SimpleArgument(technical support,List([122, 139)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8625761834466619		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which Booz Allen Hamilton , provided managerial support expand small business in Harlem,List([0, 157)))	Relation(was,List([160, 163)))	SimpleArgument(the extensive partnership of its kind,List([164, 201)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8797353188582072		SimpleArgument(Booz Allen Hamilton,List([76, 95)))	Relation(provided managerial support expand small business in Harlem,List([98, 106), [107, 157)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9159103568718928		SimpleArgument(Booz Allen Hamilton,List([76, 95)))	Relation(provided,List([98, 106)))	SimpleArgument(managerial support expand small business in Harlem,List([107, 157)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8625761834466619		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which Booz Allen Hamilton , provided managerial support expand small business in Harlem,List([0, 157)))	Relation(was,List([160, 163)))	SimpleArgument(the most comprehensive partnership of its kind,List([164, 210)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8244736273134677		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which Booz Allen Hamilton , provided managerial support to foster,List([0, 135)))	Relation(was,List([138, 141)))	SimpleArgument(the extensive partnership of its kind,List([142, 179)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8244736273134677		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which Booz Allen Hamilton , provided managerial support to foster,List([0, 135)))	Relation(was,List([138, 141)))	SimpleArgument(the most comprehensive partnership of its kind,List([142, 188)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9047789143153221		SimpleArgument(Booz Allen Hamilton,List([76, 95)))	Relation(provided managerial support,List([98, 106), [107, 125)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9216169339561846		SimpleArgument(Booz Allen Hamilton,List([76, 95)))	Relation(provided managerial support to,List([98, 106), [107, 125), [126, 128)))	SimpleArgument(foster,List([129, 135)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9216169339561846		SimpleArgument(Booz Allen Hamilton,List([76, 95)))	Relation(provided,List([98, 106)))	SimpleArgument(managerial support,List([107, 125)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8625761834466619		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which Booz Allen Hamilton , provided technical support expand small business in Harlem,List([0, 156)))	Relation(was,List([159, 162)))	SimpleArgument(the extensive partnership of its kind,List([163, 200)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8797353188582072		SimpleArgument(Booz Allen Hamilton,List([76, 95)))	Relation(provided technical support expand small business in Harlem,List([98, 106), [107, 156)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9159103568718928		SimpleArgument(Booz Allen Hamilton,List([76, 95)))	Relation(provided,List([98, 106)))	SimpleArgument(technical support expand small business in Harlem,List([107, 156)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8625761834466619		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which Booz Allen Hamilton , provided technical support expand small business in Harlem,List([0, 156)))	Relation(was,List([159, 162)))	SimpleArgument(the most comprehensive partnership of its kind,List([163, 209)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8244736273134677		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which Booz Allen Hamilton , provided technical support to foster,List([0, 134)))	Relation(was,List([137, 140)))	SimpleArgument(the extensive partnership of its kind,List([141, 178)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.8244736273134677		SimpleArgument(His signature partnership - the Harlem Small Business Initiative - in which Booz Allen Hamilton , provided technical support to foster,List([0, 134)))	Relation(was,List([137, 140)))	SimpleArgument(the most comprehensive partnership of its kind,List([141, 187)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
0.9047789143153221		SimpleArgument(Booz Allen Hamilton,List([76, 95)))	Relation(provided technical support,List([98, 106), [107, 124)))	SpatialArgument(His signature partnership,List([0, 25)))	His signature partnership - the Harlem Small Business Initiative - in which the Foundation, Booz Allen Hamilton, the National Black MBA Association and New York University's Stern School of Business, provided technical and managerial support to foster and expand small business in Harlem, was the most comprehensive and extensive partnership of its kind.
