0.9569065201547587		SimpleArgument(Sachs Electric Company,List([0, 22)))	Relation(is,List([23, 25)))	SimpleArgument(the largest electrical contractor in Missouri,List([26, 71)))	Sachs Electric Company is the largest electrical contractor in Missouri.
0.9100029960835063	Context(Louis Sachs was followed,List([105, 129)))	SimpleArgument(Samuel Sachs,List([0, 12)))	Relation(served as,List([13, 19), [20, 22)))	SimpleArgument(chief executive,List([23, 38)))	Samuel Sachs served as chief executive until 1953, when his son Louis Sachs was promoted to president. Louis Sachs was followed as president by Norman Krause in 1978 and Larry Plunkett in 1983, though the company remained family owned through 1990.
0.9100029960835063		SimpleArgument(Louis Sachs,List([105, 116)))	Relation(was followed as,List([117, 129), [130, 132)))	SimpleArgument(president,List([133, 142)))	Samuel Sachs served as chief executive until 1953, when his son Louis Sachs was promoted to president. Louis Sachs was followed as president by Norman Krause in 1978 and Larry Plunkett in 1983, though the company remained family owned through 1990.
0.7351279940478935		SimpleArgument(the company,List([185, 196)))	Relation(owned through,List([213, 218), [219, 226)))	TemporalArgument(1990,List([227, 231)))	Samuel Sachs served as chief executive until 1953, when his son Louis Sachs was promoted to president. Louis Sachs was followed as president by Norman Krause in 1978 and Larry Plunkett in 1983, though the company remained family owned through 1990.
0.9030401971054747		SimpleArgument(the company,List([185, 196)))	Relation(remained,List([197, 205)))	SimpleArgument(family owned through 1990,List([206, 231)))	Samuel Sachs served as chief executive until 1953, when his son Louis Sachs was promoted to president. Louis Sachs was followed as president by Norman Krause in 1978 and Larry Plunkett in 1983, though the company remained family owned through 1990.
0.43891636896555186		SimpleArgument(his son,List([57, 64)))	Relation(was promoted to president,List([77, 89), [90, 102)))	TemporalArgument(1953,List([45, 49)))	Samuel Sachs served as chief executive until 1953, when his son Louis Sachs was promoted to president. Louis Sachs was followed as president by Norman Krause in 1978 and Larry Plunkett in 1983, though the company remained family owned through 1990.
0.598467018900354		SimpleArgument(his son,List([57, 64)))	Relation(was promoted to,List([77, 89), [90, 92)))	SimpleArgument(president,List([93, 102)))	Samuel Sachs served as chief executive until 1953, when his son Louis Sachs was promoted to president. Louis Sachs was followed as president by Norman Krause in 1978 and Larry Plunkett in 1983, though the company remained family owned through 1990.
0.9052256377408016		SimpleArgument(a five year loan,List([137, 153)))	Relation(paid off in,List([171, 179), [180, 182)))	TemporalArgument(a half years,List([183, 195)))	In 1990, Plunkett, as president and CEO, oversaw his most ambitious project, the employee buyout of the company from the Sachs family, with a five year loan that the company paid off in three and a half years.
0.9052256377408016		SimpleArgument(a five year loan,List([137, 153)))	Relation(paid off in,List([171, 179), [180, 182)))	TemporalArgument(three years,List([183, 194)))	In 1990, Plunkett, as president and CEO, oversaw his most ambitious project, the employee buyout of the company from the Sachs family, with a five year loan that the company paid off in three and a half years.
0.8557456177405949		SimpleArgument(Plunkett,List([10, 18)))	Relation(oversaw his most ambitious project In,List([0, 2), [36, 62), [63, 70)))	TemporalArgument(1990,List([3, 7)))	In 1990, Plunkett, as president and CEO, oversaw his most ambitious project, the employee buyout of the company from the Sachs family, with a five year loan that the company paid off in three and a half years.
0.8402708408862619		SimpleArgument(Plunkett,List([10, 18)))	Relation(oversaw,List([36, 43)))	SimpleArgument(his most ambitious project,List([44, 70)))	In 1990, Plunkett, as president and CEO, oversaw his most ambitious project, the employee buyout of the company from the Sachs family, with a five year loan that the company paid off in three and a half years.
0.9111779447320654		SimpleArgument(the CEO position,List([10, 26)))	Relation(went to,List([27, 31), [32, 34)))	SimpleArgument(the presidency,List([35, 49)))	In 2000, the CEO position went to Robert Murdick and the presidency to Clayton Scharff, and Scharff replaced Murdick as CEO in 2002.
0.8414679387687999		SimpleArgument(the CEO position,List([10, 26)))	Relation(went In,List([0, 2), [27, 31)))	TemporalArgument(2000,List([3, 7)))	In 2000, the CEO position went to Robert Murdick and the presidency to Clayton Scharff, and Scharff replaced Murdick as CEO in 2002.
0.9250606141558615		SimpleArgument(the CEO position,List([10, 26)))	Relation(went to,List([27, 31), [32, 34)))	SimpleArgument(Robert Murdick,List([35, 49)))	In 2000, the CEO position went to Robert Murdick and the presidency to Clayton Scharff, and Scharff replaced Murdick as CEO in 2002.
0.5759228702523534		SimpleArgument(Scharff,List([0, 7)))	Relation(replaced in,List([8, 16), [32, 34)))	TemporalArgument(2002,List([35, 39)))	In 2000, the CEO position went to Robert Murdick and the presidency to Clayton Scharff, and Scharff replaced Murdick as CEO in 2002.
0.8225553370134596		SimpleArgument(Scharff,List([0, 7)))	Relation(replaced as,List([8, 16), [25, 27)))	SimpleArgument(CEO,List([28, 31)))	In 2000, the CEO position went to Robert Murdick and the presidency to Clayton Scharff, and Scharff replaced Murdick as CEO in 2002.
0.876543225140763		SimpleArgument(Scharff,List([0, 7)))	Relation(replaced,List([8, 16)))	SimpleArgument(Murdick,List([17, 24)))	In 2000, the CEO position went to Robert Murdick and the presidency to Clayton Scharff, and Scharff replaced Murdick as CEO in 2002.
0.9449486126097173		SimpleArgument(Detroit - based McGraw Electric,List([15, 46)))	Relation(to expand into,List([57, 66), [67, 71)))	SimpleArgument(the Michigan automotive sector,List([72, 102)))	Sachs acquired Detroit-based McGraw Electric in 2003, to expand into the Michigan industrial and automotive sector.
0.8225553370134596		SimpleArgument(Sachs,List([0, 5)))	Relation(acquired Detroit - based McGraw Electric to,List([6, 14), [15, 46), [57, 59)))	SimpleArgument(expand into the Michigan automotive sector,List([60, 102)))	Sachs acquired Detroit-based McGraw Electric in 2003, to expand into the Michigan industrial and automotive sector.
0.9449486126097173		SimpleArgument(Detroit - based McGraw Electric,List([15, 46)))	Relation(to expand into,List([57, 66), [67, 71)))	SimpleArgument(the Michigan industrial sector,List([72, 102)))	Sachs acquired Detroit-based McGraw Electric in 2003, to expand into the Michigan industrial and automotive sector.
0.8225553370134596		SimpleArgument(Sachs,List([0, 5)))	Relation(acquired Detroit - based McGraw Electric to,List([6, 14), [15, 46), [57, 59)))	SimpleArgument(expand into the Michigan industrial sector,List([60, 102)))	Sachs acquired Detroit-based McGraw Electric in 2003, to expand into the Michigan industrial and automotive sector.
0.6753309180785847		SimpleArgument(Sachs,List([0, 5)))	Relation(acquired Detroit - based McGraw Electric in,List([6, 14), [15, 46), [47, 49)))	TemporalArgument(2003,List([50, 54)))	Sachs acquired Detroit-based McGraw Electric in 2003, to expand into the Michigan industrial and automotive sector.
0.876543225140763		SimpleArgument(Sachs,List([0, 5)))	Relation(acquired,List([6, 14)))	SimpleArgument(Detroit - based McGraw Electric,List([15, 46)))	Sachs acquired Detroit-based McGraw Electric in 2003, to expand into the Michigan industrial and automotive sector.
0.9197759696552441		SimpleArgument(Plunkett,List([54, 62)))	Relation(joined the company as,List([63, 69), [70, 81), [82, 84)))	SimpleArgument(an engineer,List([85, 96)))	Company revenue grew from $17 million in 1969, when Plunkett joined the company as an engineer, to $100 million in 1995, $220 million in 2001, and $293 million in 2007.
0.9520931233728187		SimpleArgument(Company revenue,List([0, 15)))	Relation(grew,List([16, 20)))	TemporalArgument(when Plunkett joined the company as an engineer , to $ 100,List([49, 107)))	Company revenue grew from $17 million in 1969, when Plunkett joined the company as an engineer, to $100 million in 1995, $220 million in 2001, and $293 million in 2007.
0.681898541880026		SimpleArgument(Company revenue,List([0, 15)))	Relation(grew in,List([16, 20), [39, 41)))	TemporalArgument(1969,List([42, 46)))	Company revenue grew from $17 million in 1969, when Plunkett joined the company as an engineer, to $100 million in 1995, $220 million in 2001, and $293 million in 2007.
0.7665350501724939		SimpleArgument(Company revenue,List([0, 15)))	Relation(grew from,List([16, 20), [21, 25)))	SimpleArgument($ 17 million,List([26, 38)))	Company revenue grew from $17 million in 1969, when Plunkett joined the company as an engineer, to $100 million in 1995, $220 million in 2001, and $293 million in 2007.
0.9197759696552441		SimpleArgument(Plunkett,List([54, 62)))	Relation(joined the company as,List([63, 69), [70, 81), [82, 84)))	SimpleArgument(an engineer , to $ 100 million in 1995,List([85, 123)))	Company revenue grew from $17 million in 1969, when Plunkett joined the company as an engineer, to $100 million in 1995, $220 million in 2001, and $293 million in 2007.
0.9197759696552441		SimpleArgument(Plunkett,List([54, 62)))	Relation(joined,List([63, 69)))	SimpleArgument(the company,List([70, 81)))	Company revenue grew from $17 million in 1969, when Plunkett joined the company as an engineer, to $100 million in 1995, $220 million in 2001, and $293 million in 2007.
0.7665350501724939		SimpleArgument(Company revenue,List([0, 15)))	Relation(grew from,List([16, 20), [21, 25)))	SimpleArgument($ 17 million in 1969,List([26, 46)))	Company revenue grew from $17 million in 1969, when Plunkett joined the company as an engineer, to $100 million in 1995, $220 million in 2001, and $293 million in 2007.
