0.8306090960787457		SimpleArgument(1973 Free Estimates,List([35, 54)))	Relation(Established in,List([55, 66), [67, 69)))	TemporalArgument(1973,List([70, 74)))	'Floor Covering Specialists' Since 1973 Free Estimates Established in 1973.
0.5111219853149934		SimpleArgument(Glenn,List([0, 5)))	Relation(partially retired in,List([6, 23), [25, 27)))	TemporalArgument(2007,List([28, 32)))	Glenn partially retired, in 2007, selling the business to Craig Main, who has worked with Glenn Since 1987.
0.7107293693420784		SimpleArgument(Craig Main,List([58, 68)))	Relation(has worked Since,List([74, 84), [96, 101)))	TemporalArgument(1987,List([102, 106)))	Glenn partially retired, in 2007, selling the business to Craig Main, who has worked with Glenn Since 1987.
0.9277724913494431		SimpleArgument(Craig Main,List([58, 68)))	Relation(has worked with,List([74, 84), [85, 89)))	SimpleArgument(Glenn,List([90, 95)))	Glenn partially retired, in 2007, selling the business to Craig Main, who has worked with Glenn Since 1987.
0.669082370911038		SimpleArgument(Glenn,List([10, 15)))	Relation(works as estimator,List([16, 21), [34, 46)))	TemporalArgument(Currently,List([0, 9)))	Currently Glenn works part- time as a salesperson and estimator.
0.7939138237950305		SimpleArgument(Glenn,List([10, 15)))	Relation(works as,List([16, 21), [34, 36)))	SimpleArgument(estimator,List([37, 46)))	Currently Glenn works part- time as a salesperson and estimator.
0.669082370911038		SimpleArgument(Glenn,List([10, 15)))	Relation(works as a salesperson,List([16, 21), [34, 50)))	TemporalArgument(Currently,List([0, 9)))	Currently Glenn works part- time as a salesperson and estimator.
0.7939138237950305		SimpleArgument(Glenn,List([10, 15)))	Relation(works as,List([16, 21), [34, 36)))	SimpleArgument(a salesperson,List([37, 50)))	Currently Glenn works part- time as a salesperson and estimator.
0.7372865414614487		SimpleArgument(the new exciting products,List([37, 62)))	Relation(are being introduced,List([68, 88)))		We are excited about our Future, and the new exciting products that are being introduced.
0.3498441627223176		SimpleArgument(We,List([0, 2)))	Relation(are,List([3, 6)))	SimpleArgument(excited about our Future,List([7, 31)))	We are excited about our Future, and the new exciting products that are being introduced.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(was educated through,List([2, 14), [15, 22)))	SimpleArgument(the Paradise School System,List([23, 49)))	I was born and raised in Paradise California, and educated through the Paradise School System.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(was raised in,List([2, 12), [13, 15)))	SpatialArgument(Paradise California,List([16, 35)))	I was born and raised in Paradise California, and educated through the Paradise School System.
0.1948871917044894		SimpleArgument(I,List({0}))	Relation(was born,List([2, 10)))		I was born and raised in Paradise California, and educated through the Paradise School System.
0.5599718734517644		SimpleArgument(My Family,List([0, 9)))	Relation(lives,List([16, 21)))	TemporalArgument(still,List([10, 15)))	My Family still lives in the Paradise area.
0.7086068104491424		SimpleArgument(My Family,List([0, 9)))	Relation(lives in,List([16, 21), [22, 24)))	SpatialArgument(the Paradise area,List([25, 42)))	My Family still lives in the Paradise area.
0.3929209860966329		SimpleArgument(I,List({0}))	Relation(started at,List([2, 9), [29, 31)))	SpatialArgument(Wood Brothers Carpet,List([32, 52)))	I started in Floor Coverings at Wood Brothers Carpet, immediately after my Military Service was completed.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(started in,List([2, 9), [10, 12)))	SpatialArgument(Floor Coverings,List([13, 28)))	I started in Floor Coverings at Wood Brothers Carpet, immediately after my Military Service was completed.
0.6835988029987862		SimpleArgument(an industry of design,List([11, 32)))	Relation(allows,List([38, 44)))	SimpleArgument(enjoy both,List([51, 61)))	I have enjoyed the numerous outdoor opportunities our area has to offer, and working in an industry of design that allows to me enjoy both.
0.8853046930070027		SimpleArgument(the numerous outdoor opportunities,List([15, 49)))	Relation(to offer,List([63, 71)))	SimpleArgument(our area,List([50, 58)))	I have enjoyed the numerous outdoor opportunities our area has to offer, and working in an industry of design that allows to me enjoy both.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(have enjoyed,List([2, 14)))	SimpleArgument(the numerous outdoor opportunities our area has to offer,List([15, 71)))	I have enjoyed the numerous outdoor opportunities our area has to offer, and working in an industry of design that allows to me enjoy both.
0.16986108911692605		SimpleArgument(I,List({0}))	Relation(to design,List([8, 17)))		I stared sweeping floors here in 1987, moved to sales and design, and in 1993 became store manager.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(moved to,List([2, 7), [8, 10)))	SimpleArgument(sales,List([11, 16)))	I stared sweeping floors here in 1987, moved to sales and design, and in 1993 became store manager.
0.6601056213946704		SimpleArgument(I in 1993,List([0, 9)))	Relation(became,List([10, 16)))	SimpleArgument(store manager,List([17, 30)))	I stared sweeping floors here in 1987, moved to sales and design, and in 1993 became store manager.
0.15939332484157967		SimpleArgument(I,List({0}))	Relation(stared here in,List([2, 8), [25, 29), [30, 32)))	TemporalArgument(1987,List([33, 37)))	I stared sweeping floors here in 1987, moved to sales and design, and in 1993 became store manager.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(purchased the Business in,List([2, 11), [12, 24), [25, 27)))	TemporalArgument(September of 2007,List([28, 45)))	I purchased the Business in September of 2007.
0.4978219019954182		SimpleArgument(I,List({0}))	Relation(purchased,List([2, 11)))	SimpleArgument(the Business,List([12, 24)))	I purchased the Business in September of 2007.
0.1948871917044894		SimpleArgument(I,List({0}))	Relation(look forward,List([2, 14)))		I look forward to the Future
