0.9729999899864197		SimpleArgument(We,List([0, 0)))	Relation(are,List([0, 0)))	SimpleArgument(12000 square foot facility,List(null))	We are a 12,000 Square foot facility.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(have been serving our surrounding neighbors for,List([3, 20), [21, 46), [47, 50)))	TemporalArgument(the last 24 years,List([51, 68)))	We have been serving the City of McMinnville and our surrounding neighbors for the last 24 years.
0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(have been serving,List([3, 20)))	SimpleArgument(our surrounding neighbors,List([21, 46)))	We have been serving the City of McMinnville and our surrounding neighbors for the last 24 years.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(have been serving the City of McMinnville for,List([3, 20), [21, 44), [45, 48)))	TemporalArgument(the last 24 years,List([49, 66)))	We have been serving the City of McMinnville and our surrounding neighbors for the last 24 years.
0.4978219019954182		SimpleArgument(We,List([0, 2)))	Relation(have been serving,List([3, 20)))	SimpleArgument(the City of McMinnville,List([21, 44)))	We have been serving the City of McMinnville and our surrounding neighbors for the last 24 years.
0.8704999223335219		SimpleArgument(a Chiropractor,List([62, 76)))	Relation(has been in a hands,List([82, 90), [91, 101)))	SpatialArgument(here,List([77, 81)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.8989624667941865		SimpleArgument(a Chiropractor,List([62, 76)))	Relation(has been in a hands,List([82, 90), [91, 101)))	TemporalArgument(38 years,List([114, 122)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.9143456855143793		SimpleArgument(a Chiropractor,List([62, 76)))	Relation(has been in,List([82, 90), [91, 93)))	SimpleArgument(a hands,List([94, 101)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.8704999223335219		SimpleArgument(a Chiropractor,List([62, 76)))	Relation(has been in a energetic 38 years,List([82, 90), [91, 114)))	SpatialArgument(here,List([77, 81)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.9143456855143793		SimpleArgument(a Chiropractor,List([62, 76)))	Relation(has been in,List([82, 90), [91, 93)))	SimpleArgument(a energetic 38 years,List([94, 114)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.9416642240893746	Context(Trying to meet all of their fitness needs,List([0, 41)))	SimpleArgument(Leland Northcutt,List([42, 58)))	Relation(is,List([59, 61)))	SimpleArgument(a Chiropractor,List([62, 76)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.7336271259409868		SimpleArgument(Trying to meet all of their fitness,List([0, 35)))	Relation(needs,List([36, 41)))	SimpleArgument(Leland Northcutt is a Chiropractor,List([42, 76)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.8704999223335219		SimpleArgument(a Chiropractor,List([62, 76)))	Relation(has been in a productive 38 years,List([82, 90), [91, 115)))	SpatialArgument(here,List([77, 81)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.9143456855143793		SimpleArgument(a Chiropractor,List([62, 76)))	Relation(has been in,List([82, 90), [91, 93)))	SimpleArgument(a productive 38 years,List([94, 115)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.9416642240893746	Context(Trying to meet all of their fitness needs,List([0, 41)))	SimpleArgument(Leland Northcutt,List([42, 58)))	Relation(is,List([59, 61)))	SimpleArgument(a Chiropractor here in McMinnville,List([62, 96)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.7336271259409868		SimpleArgument(Trying to meet all of their fitness,List([0, 35)))	Relation(needs,List([36, 41)))	SimpleArgument(Leland Northcutt is a Chiropractor here in McMinnville,List([42, 96)))	Trying to meet all of their fitness needs Leland Northcutt is a Chiropractor here in McMinnville and has been in a productive,energetic, and hands on practice 38 years.
0.886695286966665		SimpleArgument(Paige Northcutt,List([9, 24)))	Relation([is] wife [of],List([4, 8)))	SimpleArgument(Him,List([0, 3)))	His wife Paige Northcutt moved to McMinnville in 1992.
0.3444466732705899		SimpleArgument(His wife,List([0, 8)))	Relation(moved to McMinnville in,List([25, 30), [31, 45), [46, 48)))	TemporalArgument(1992,List([49, 53)))	His wife Paige Northcutt moved to McMinnville in 1992.
0.6420236436771103		SimpleArgument(His wife,List([0, 8)))	Relation(moved to,List([25, 30), [31, 33)))	SimpleArgument(McMinnville,List([34, 45)))	His wife Paige Northcutt moved to McMinnville in 1992.
0.9670538616899376		SimpleArgument(Paige,List([35, 40)))	Relation(is,List([41, 43)))	SimpleArgument(a Bronze Medalist from the 1988 Olympic Games in Seoul,List([44, 98)))	She started with USA GYM on Day 1. Paige is a Bronze Medalist from the 1988 Olympic Games in Seoul, South Korea in the Swimming events.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(started with,List([4, 11), [12, 16)))	SimpleArgument(USA GYM on Day 1,List([17, 33)))	She started with USA GYM on Day 1. Paige is a Bronze Medalist from the 1988 Olympic Games in Seoul, South Korea in the Swimming events.
0.9383119524695255		SimpleArgument(Paige,List([0, 5)))	Relation(is very hands on in every aspect of USA GYM from,List([6, 8), [9, 49), [50, 54)))	TemporalArgument(the day to day,List([55, 69)))	Paige is very hands on in every aspect of USA GYM from the day to day running of the facility to programming workouts and even working with the local doctors, orthopedics, and physical therapists .
0.9481947648689547		SimpleArgument(Paige,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(very hands on in every aspect of USA GYM,List([9, 49)))	Paige is very hands on in every aspect of USA GYM from the day to day running of the facility to programming workouts and even working with the local doctors, orthopedics, and physical therapists .
0.8321465232489272		SimpleArgument(the community,List([19, 32)))	Relation(promoting Health,List([40, 49), [50, 56)))	TemporalArgument(always,List([33, 39)))	Paige is active in the community always promoting Fitness and Health.
0.9045207649554154		SimpleArgument(the community,List([19, 32)))	Relation(promoting,List([40, 49)))	SimpleArgument(Health,List([50, 56)))	Paige is active in the community always promoting Fitness and Health.
0.9197759696552441		SimpleArgument(Paige,List([0, 5)))	Relation(is active in,List([6, 8), [9, 15), [16, 18)))	SpatialArgument(the community,List([19, 32)))	Paige is active in the community always promoting Fitness and Health.
0.8428211120858269		SimpleArgument(Paige,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(active,List([9, 15)))	Paige is active in the community always promoting Fitness and Health.
0.886695286966665		SimpleArgument(Paige,List([0, 5)))	Relation(is active in,List([6, 18)))	SimpleArgument(the community,List([19, 32)))	Paige is active in the community always promoting Fitness and Health.
0.8592111619294878		SimpleArgument(Paige,List([0, 5)))	Relation(promoting Fitness,List([40, 49), [50, 57)))	TemporalArgument(always,List([33, 39)))	Paige is active in the community always promoting Fitness and Health.
0.9064683704715875		SimpleArgument(Paige,List([0, 5)))	Relation(promoting,List([40, 49)))	SimpleArgument(Fitness,List([50, 57)))	Paige is active in the community always promoting Fitness and Health.
0.9383119524695255		SimpleArgument(Paige,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(active in the community,List([9, 32)))	Paige is active in the community always promoting Fitness and Health.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(coaches,List([4, 11)))	SimpleArgument(the local summer league Swim Team,List([12, 45)))	She coaches the local summer league Swim Team.
0.19488885705601863		SimpleArgument(She,List([0, 3)))	Relation(has attained College Scholarships,List([4, 16), [17, 37)))	SimpleArgument(as well,List([55, 62)))	She has taught numerous children how to swim and has attained College Scholarships for her swimmers as well.
0.30899953469486874		SimpleArgument(She,List([0, 3)))	Relation(has attained College Scholarships for,List([4, 16), [17, 37), [38, 41)))	SimpleArgument(her swimmers,List([42, 54)))	She has taught numerous children how to swim and has attained College Scholarships for her swimmers as well.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(has attained,List([4, 16)))	SimpleArgument(College Scholarships,List([17, 37)))	She has taught numerous children how to swim and has attained College Scholarships for her swimmers as well.
0.22506131975927415		SimpleArgument(She,List([0, 3)))	Relation(has taught numerous children,List([4, 14), [15, 32)))	SimpleArgument(how to swim,List([33, 44)))	She has taught numerous children how to swim and has attained College Scholarships for her swimmers as well.
0.45170382506656653		SimpleArgument(She,List([0, 3)))	Relation(has taught,List([4, 14)))	SimpleArgument(numerous children,List([15, 32)))	She has taught numerous children how to swim and has attained College Scholarships for her swimmers as well.
