0.9710295142851655		SimpleArgument(Marcus Michael Riccelli (born June 7, 1978,List([0, 42)))	Relation(is,List([44, 46)))	SimpleArgument(an American politician of the Democratic Party,List([47, 93)))	Marcus Michael Riccelli (born June 7, 1978) is an American politician of the Democratic Party.
0.4978219019954182		SimpleArgument(he,List([15, 17)))	Relation(is on,List([18, 20), [21, 23)))	SimpleArgument(the Capital Transportation,List([24, 50)))	In the House, he is on the Capital Budget, Health Care & Wellness, Higher Education and Transportation committees.
0.5926659981335703		SimpleArgument(he,List([15, 17)))	Relation(is on the Capital Higher Education In,List([0, 2), [18, 42), [43, 52)))	SpatialArgument(the House,List([3, 12)))	In the House, he is on the Capital Budget, Health Care & Wellness, Higher Education and Transportation committees.
0.4978219019954182		SimpleArgument(he,List([15, 17)))	Relation(is on,List([18, 20), [21, 23)))	SimpleArgument(the Capital Higher Education,List([24, 52)))	In the House, he is on the Capital Budget, Health Care & Wellness, Higher Education and Transportation committees.
0.5926659981335703		SimpleArgument(he,List([15, 17)))	Relation(is on the Capital Health Care & Wellness In,List([0, 2), [18, 49), [50, 58)))	SpatialArgument(the House,List([3, 12)))	In the House, he is on the Capital Budget, Health Care & Wellness, Higher Education and Transportation committees.
0.4978219019954182		SimpleArgument(he,List([15, 17)))	Relation(is on,List([18, 20), [21, 23)))	SimpleArgument(the Capital Health Care & Wellness,List([24, 58)))	In the House, he is on the Capital Budget, Health Care & Wellness, Higher Education and Transportation committees.
0.5926659981335703		SimpleArgument(he,List([15, 17)))	Relation(is on the Capital Budget In,List([0, 2), [18, 35), [36, 42)))	SpatialArgument(the House,List([3, 12)))	In the House, he is on the Capital Budget, Health Care & Wellness, Higher Education and Transportation committees.
0.4978219019954182		SimpleArgument(he,List([15, 17)))	Relation(is on,List([18, 20), [21, 23)))	SimpleArgument(the Capital Budget,List([24, 42)))	In the House, he is on the Capital Budget, Health Care & Wellness, Higher Education and Transportation committees.
0.9197759696552441		SimpleArgument(Marcus,List([0, 6)))	Relation(is married with,List([7, 17), [18, 22)))	SimpleArgument(one child,List([23, 32)))	Marcus is married with one child.
0.8016573080327372		SimpleArgument(Marcus,List([0, 6)))	Relation(was elected to the Washington State House of Representatives in,List([7, 18), [19, 67), [68, 70)))	TemporalArgument(2012,List([71, 75)))	Marcus was elected to the Washington State House of Representatives in 2012.
0.9324144673478683		SimpleArgument(Marcus,List([0, 6)))	Relation(was elected to,List([7, 18), [19, 21)))	SimpleArgument(the Washington State House of Representatives,List([22, 67)))	Marcus was elected to the Washington State House of Representatives in 2012.
