0.816575697747956		SimpleArgument(Spring Rolls,List([25, 37)))	Relation(Established in,List([38, 49), [50, 52)))	TemporalArgument(2015,List([53, 57)))	Bánh mì, Bun Thit Nuong, Spring Rolls Established in 2015.
0.8557456177405949		SimpleArgument(Thuy,List([8, 12)))	Relation(decided to move back to America In,List([0, 2), [13, 36), [37, 44)))	TemporalArgument(2013,List([3, 7)))	In 2013 Chad and Thuy decided to move back to America.
0.9324144673478683		SimpleArgument(Thuy,List([8, 12)))	Relation(decided to,List([13, 20), [21, 23)))	SimpleArgument(move back to America,List([24, 44)))	In 2013 Chad and Thuy decided to move back to America.
0.8571777395282005		SimpleArgument(Chad,List([8, 12)))	Relation(to move,List([21, 28)))	SimpleArgument(back to America,List([29, 44)))	In 2013 Chad and Thuy decided to move back to America.
0.7532657647087118		SimpleArgument(Chad,List([8, 12)))	Relation(decided to move back to America In,List([0, 2), [13, 36), [37, 44)))	TemporalArgument(2013,List([3, 7)))	In 2013 Chad and Thuy decided to move back to America.
0.876543225140763		SimpleArgument(Chad,List([8, 12)))	Relation(decided to,List([13, 20), [21, 23)))	SimpleArgument(move back to America,List([24, 44)))	In 2013 Chad and Thuy decided to move back to America.
0.8872966301155124		SimpleArgument(the flavors,List([32, 43)))	Relation(fell in,List([52, 56), [57, 59)))	SimpleArgument(love,List([60, 64)))	Chad is now focused on bringing the flavors that he fell in love with to Philadelphia.
0.6561661277449692		SimpleArgument(Chad,List([0, 4)))	Relation(on bringing,List([20, 31)))	SimpleArgument(the flavors that he fell in love with to Philadelphia,List([32, 85)))	Chad is now focused on bringing the flavors that he fell in love with to Philadelphia.
0.7584984743952914		SimpleArgument(Chad,List([0, 4)))	Relation(focused on bringing the flavors,List([12, 19), [20, 43)))	TemporalArgument(now,List([8, 11)))	Chad is now focused on bringing the flavors that he fell in love with to Philadelphia.
0.8329899967105379		SimpleArgument(Chad,List([0, 4)))	Relation(focused on,List([12, 19), [20, 22)))	SimpleArgument(bringing the flavors,List([23, 43)))	Chad is now focused on bringing the flavors that he fell in love with to Philadelphia.
0.8867237254315935		SimpleArgument(Chad,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(now focused on bringing the flavors,List([8, 43)))	Chad is now focused on bringing the flavors that he fell in love with to Philadelphia.
0.8688598640918826		SimpleArgument(his wife,List([69, 77)))	Relation(opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food after,List([8, 13), [78, 163), [164, 168)))	TemporalArgument(working as a Head Chef in Ho Chi Minh City for 3 years,List([14, 68)))	In 2010 after working as a Head Chef in Ho Chi Minh City for 3 years Chad and his wife opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food.
0.5475819237785802		SimpleArgument(his wife,List([69, 77)))	Relation(opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food In,List([0, 2), [78, 163), [164, 168)))	TemporalArgument(2010,List([3, 7)))	In 2010 after working as a Head Chef in Ho Chi Minh City for 3 years Chad and his wife opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food.
0.5541447517857593		SimpleArgument(his wife,List([69, 77)))	Relation(opened,List([78, 84)))	SimpleArgument(a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food,List([85, 168)))	In 2010 after working as a Head Chef in Ho Chi Minh City for 3 years Chad and his wife opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food.
0.9644566551015289		SimpleArgument(a company that offers Motorcycle Tours in Vietnam,List([81, 130)))	Relation(showcasing,List([131, 141)))	SimpleArgument(Vietnamese Street Food,List([142, 164)))	In 2010 after working as a Head Chef in Ho Chi Minh City for 3 years Chad and his wife opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food.
0.9568432826909291		SimpleArgument(Chad,List([69, 73)))	Relation(opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food after,List([8, 13), [74, 159), [160, 164)))	TemporalArgument(working as a Head Chef in Ho Chi Minh City for 3 years,List([14, 68)))	In 2010 after working as a Head Chef in Ho Chi Minh City for 3 years Chad and his wife opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food.
0.8019920579143587		SimpleArgument(Chad,List([69, 73)))	Relation(opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food In,List([0, 2), [74, 159), [160, 164)))	TemporalArgument(2010,List([3, 7)))	In 2010 after working as a Head Chef in Ho Chi Minh City for 3 years Chad and his wife opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food.
0.8061707222026662		SimpleArgument(Chad,List([69, 73)))	Relation(opened,List([74, 80)))	SimpleArgument(a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food,List([81, 164)))	In 2010 after working as a Head Chef in Ho Chi Minh City for 3 years Chad and his wife opened a company that offers Motorcycle Tours in Vietnam showcasing Vietnamese Street Food.
0.6420236436771103		SimpleArgument(his wife,List([8, 16)))	Relation(to move,List([25, 32)))	SimpleArgument(back to America,List([33, 48)))	In 2013 Chad and his wife decided to move back to America.
0.4770711278220272		SimpleArgument(his wife,List([8, 16)))	Relation(decided to move back to America In,List([0, 2), [17, 40), [41, 48)))	TemporalArgument(2013,List([3, 7)))	In 2013 Chad and his wife decided to move back to America.
0.6796597830231682		SimpleArgument(his wife,List([8, 16)))	Relation(decided to,List([17, 24), [25, 27)))	SimpleArgument(move back to America,List([28, 48)))	In 2013 Chad and his wife decided to move back to America.
0.8571777395282005		SimpleArgument(Chad,List([8, 12)))	Relation(to move,List([21, 28)))	SimpleArgument(back to America,List([29, 44)))	In 2013 Chad and his wife decided to move back to America.
0.7532657647087118		SimpleArgument(Chad,List([8, 12)))	Relation(decided to move back to America In,List([0, 2), [13, 36), [37, 44)))	TemporalArgument(2013,List([3, 7)))	In 2013 Chad and his wife decided to move back to America.
0.876543225140763		SimpleArgument(Chad,List([8, 12)))	Relation(decided to,List([13, 20), [21, 23)))	SimpleArgument(move back to America,List([24, 44)))	In 2013 Chad and his wife decided to move back to America.
0.8872966301155124		SimpleArgument(the flavors,List([32, 43)))	Relation(fell in,List([52, 56), [57, 59)))	SimpleArgument(love,List([60, 64)))	Chad is now focused on bringing the flavors that he fell in love with to Northern Liberties, Philadelphia.
0.6561661277449692		SimpleArgument(Chad,List([0, 4)))	Relation(on bringing,List([20, 31)))	SimpleArgument(the flavors that he fell in love with to Northern Liberties, Philadelphia,List([32, 105)))	Chad is now focused on bringing the flavors that he fell in love with to Northern Liberties, Philadelphia.
0.7584984743952914		SimpleArgument(Chad,List([0, 4)))	Relation(focused on bringing the flavors,List([12, 19), [20, 43)))	TemporalArgument(now,List([8, 11)))	Chad is now focused on bringing the flavors that he fell in love with to Northern Liberties, Philadelphia.
0.8329899967105379		SimpleArgument(Chad,List([0, 4)))	Relation(focused on,List([12, 19), [20, 22)))	SimpleArgument(bringing the flavors,List([23, 43)))	Chad is now focused on bringing the flavors that he fell in love with to Northern Liberties, Philadelphia.
0.8867237254315935		SimpleArgument(Chad,List([0, 4)))	Relation(is,List([5, 7)))	SimpleArgument(now focused on bringing the flavors,List([8, 43)))	Chad is now focused on bringing the flavors that he fell in love with to Northern Liberties, Philadelphia.
