0.9397554176335701		SimpleArgument(Jean Patrick Hennessy,List([0, 21)))	Relation(was,List([56, 59)))	SimpleArgument(a French politician,List([60, 79)))	Jean Patrick Hennessy (26 April 1874 – 4 November 1944) was a French politician.
0.8588213959830759		SimpleArgument(the tradition,List([27, 40)))	Relation(begun by,List([41, 46), [47, 49)))	SimpleArgument(his great - grandfather Jacques Hennessy,List([50, 90)))	In doing so, he continued the tradition begun by his great-grandfather Jacques Hennessy, an Orléanist deputy from 1824 to 1842, and his grand-uncle Auguste Hennessy, senator from 1876 to 1879.
0.46321337686369213		SimpleArgument(he,List([14, 16)))	Relation(continued,List([17, 26)))	SimpleArgument(the tradition begun by his great - grandfather Jacques Hennessy , an Orléanist deputy from 1824 to 1842,List([27, 130)))	In doing so, he continued the tradition begun by his great-grandfather Jacques Hennessy, an Orléanist deputy from 1824 to 1842, and his grand-uncle Auguste Hennessy, senator from 1876 to 1879.
0.9000738595917936		SimpleArgument(Hennessy,List([0, 8)))	Relation(was as,List([9, 12), [18, 20)))	SimpleArgument(French ambassador to Switzerland,List([21, 53)))	Hennessy was re-elected in the election of 1928 and served as agriculture minister from 1928 to 1930, and then as French ambassador to Switzerland.
0.7971095979125887		SimpleArgument(Hennessy,List([0, 8)))	Relation(was as French ambassador to Switzerland,List([9, 12), [18, 53)))	TemporalArgument(then,List([13, 17)))	Hennessy was re-elected in the election of 1928 and served as agriculture minister from 1928 to 1930, and then as French ambassador to Switzerland.
0.8016573080327372		SimpleArgument(Hennessy,List([0, 8)))	Relation(served as agriculture minister from,List([9, 15), [16, 39), [40, 44)))	TemporalArgument(1928 to 1930,List([45, 57)))	Hennessy was re-elected in the election of 1928 and served as agriculture minister from 1928 to 1930, and then as French ambassador to Switzerland.
0.9197759696552441		SimpleArgument(Hennessy,List([0, 8)))	Relation(served as,List([9, 15), [16, 18)))	SimpleArgument(agriculture minister,List([19, 39)))	Hennessy was re-elected in the election of 1928 and served as agriculture minister from 1928 to 1930, and then as French ambassador to Switzerland.
0.9197759696552441		SimpleArgument(Hennessy,List([0, 8)))	Relation(was re-elected in,List([9, 23), [24, 26)))	SpatialArgument(the election of 1928,List([27, 47)))	Hennessy was re-elected in the election of 1928 and served as agriculture minister from 1928 to 1930, and then as French ambassador to Switzerland.
0.45592395356914683		SimpleArgument(he,List([20, 22)))	Relation(sitting with the Independent Left group in,List([75, 82), [83, 114), [115, 117)))	SpatialArgument(the Chamber of Deputies,List([118, 141)))	Out of parliament, he founded the Social-National Party and was elected again as deputy for Alpes-Maritimes, sitting with the Independent Left group in the Chamber of Deputies.
0.45592395356914683		SimpleArgument(he,List([20, 22)))	Relation(sitting with,List([75, 82), [83, 87)))	SimpleArgument(the Independent Left group,List([88, 114)))	Out of parliament, he founded the Social-National Party and was elected again as deputy for Alpes-Maritimes, sitting with the Independent Left group in the Chamber of Deputies.
0.547338059826203		SimpleArgument(he,List([20, 22)))	Relation(was elected as deputy for Alpes - Maritimes Out,List([0, 26), [27, 62), [63, 72)))	SpatialArgument(of parliament,List([4, 17)))	Out of parliament, he founded the Social-National Party and was elected again as deputy for Alpes-Maritimes, sitting with the Independent Left group in the Chamber of Deputies.
0.3929209860966329		SimpleArgument(he,List([20, 22)))	Relation(was elected as,List([23, 34), [41, 43)))	SimpleArgument(deputy for Alpes - Maritimes,List([44, 72)))	Out of parliament, he founded the Social-National Party and was elected again as deputy for Alpes-Maritimes, sitting with the Independent Left group in the Chamber of Deputies.
0.22015391053105568		SimpleArgument(he,List([20, 22)))	Relation(was elected as deputy for Alpes - Maritimes,List([23, 34), [41, 72)))	TemporalArgument(again,List([35, 40)))	Out of parliament, he founded the Social-National Party and was elected again as deputy for Alpes-Maritimes, sitting with the Independent Left group in the Chamber of Deputies.
0.547338059826203		SimpleArgument(he,List([20, 22)))	Relation(founded the Social - National Party Out,List([0, 3), [23, 52), [53, 58)))	TemporalArgument(of parliament,List([4, 17)))	Out of parliament, he founded the Social-National Party and was elected again as deputy for Alpes-Maritimes, sitting with the Independent Left group in the Chamber of Deputies.
0.4978219019954182		SimpleArgument(he,List([20, 22)))	Relation(founded,List([23, 30)))	SimpleArgument(the Social - National Party,List([31, 58)))	Out of parliament, he founded the Social-National Party and was elected again as deputy for Alpes-Maritimes, sitting with the Independent Left group in the Chamber of Deputies.
0.12800000607967377		SimpleArgument(the joint session of the French parliament which granted extraordinary powers to Marshal Philippe Pétain,List([0, 0)))	Relation(had Hennessy of,List([0, 0)))	SimpleArgument(one of the 80 parliamentarians,List(null))	On 10 July 1940, at the joint session of the French parliament which granted extraordinary powers to Marshal Philippe Pétain, Hennessy was one of the 80 parliamentarians who opposed the measure.
0.5860000252723694		SimpleArgument(Hennessy,List([0, 0)))	Relation(had the parliamentarians opposed of,List([0, 0)))	SimpleArgument(one of the 80 parliamentarians,List(null))	On 10 July 1940, at the joint session of the French parliament which granted extraordinary powers to Marshal Philippe Pétain, Hennessy was one of the 80 parliamentarians who opposed the measure.
0.896604430840561		SimpleArgument(the 80 parliamentarians,List([146, 169)))	Relation(opposed,List([174, 181)))	SimpleArgument(the measure,List([182, 193)))	On 10 July 1940, at the joint session of the French parliament which granted extraordinary powers to Marshal Philippe Pétain, Hennessy was one of the 80 parliamentarians who opposed the measure.
0.9439070193972718		SimpleArgument(Hennessy,List([126, 134)))	Relation(was one of the 80 parliamentarians at,List([17, 19), [135, 152), [153, 169)))	SpatialArgument(the joint session of the French parliament,List([20, 62)))	On 10 July 1940, at the joint session of the French parliament which granted extraordinary powers to Marshal Philippe Pétain, Hennessy was one of the 80 parliamentarians who opposed the measure.
0.9529384246512104		SimpleArgument(Hennessy,List([126, 134)))	Relation(was one of the 80 parliamentarians On,List([0, 2), [135, 152), [153, 169)))	TemporalArgument(10 July 1940,List([3, 15)))	On 10 July 1940, at the joint session of the French parliament which granted extraordinary powers to Marshal Philippe Pétain, Hennessy was one of the 80 parliamentarians who opposed the measure.
0.9383119524695255		SimpleArgument(Hennessy,List([126, 134)))	Relation(was,List([135, 138)))	SimpleArgument(one of the 80 parliamentarians,List([139, 169)))	On 10 July 1940, at the joint session of the French parliament which granted extraordinary powers to Marshal Philippe Pétain, Hennessy was one of the 80 parliamentarians who opposed the measure.
0.9125462839307745		SimpleArgument(the French parliament,List([41, 62)))	Relation(granted extraordinary powers to,List([69, 76), [77, 97), [98, 100)))	SimpleArgument(Marshal Philippe Pétain,List([101, 124)))	On 10 July 1940, at the joint session of the French parliament which granted extraordinary powers to Marshal Philippe Pétain, Hennessy was one of the 80 parliamentarians who opposed the measure.
0.896604430840561		SimpleArgument(the French parliament,List([41, 62)))	Relation(granted,List([69, 76)))	SimpleArgument(extraordinary powers,List([77, 97)))	On 10 July 1940, at the joint session of the French parliament which granted extraordinary powers to Marshal Philippe Pétain, Hennessy was one of the 80 parliamentarians who opposed the measure.
0.3018651855507195		SimpleArgument(he,List([49, 51)))	Relation(had lived,List([52, 61)))	SpatialArgument(1944,List([38, 42)))	He died at Lausanne in Switzerland in 1944 where he had lived since 1941.
0.22506131975927415		SimpleArgument(he,List([49, 51)))	Relation(had lived since,List([52, 61), [62, 67)))	TemporalArgument(1941,List([68, 72)))	He died at Lausanne in Switzerland in 1944 where he had lived since 1941.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(died in,List([3, 7), [35, 37)))	TemporalArgument(1944,List([38, 42)))	He died at Lausanne in Switzerland in 1944 where he had lived since 1941.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(died at,List([3, 7), [8, 10)))	SpatialArgument(Lausanne in Switzerland,List([11, 34)))	He died at Lausanne in Switzerland in 1944 where he had lived since 1941.
