0.9481947648689547		SimpleArgument(Bryan,List([0, 5)))	Relation(is,List([6, 8)))	SimpleArgument(an Associate Broker with KW Commercial,List([9, 47)))	Bryan is an Associate Broker with KW Commercial.
0.40710919743170804		SimpleArgument(He,List([0, 2)))	Relation(offers,List([3, 9)))	SimpleArgument(a tremendous amount of insight into market conditions,List([22, 75)))	He offers his clients a tremendous amount of insight into market conditions, current &amp; proposed developments, what they can expect through the transaction process and advises them on actionable items such as business planning for future acquisitions and expansions.
0.30297744566198154		SimpleArgument(He,List([0, 2)))	Relation(offers a tremendous amount of insight into market conditions,List([3, 9), [22, 75)))	SimpleArgument(his clients,List([10, 21)))	He offers his clients a tremendous amount of insight into market conditions, current &amp; proposed developments, what they can expect through the transaction process and advises them on actionable items such as business planning for future acquisitions and expansions.
0.8051442005308617		SimpleArgument(His primary focus,List([0, 17)))	Relation(is,List([18, 20)))	SimpleArgument(properties within the city limits, most specifically around downtown,List([21, 89)))	His primary focus is properties within the city limits, most specifically around downtown.
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(an active member with a committee member for both Governmental Affairs & amp,List([6, 82)))	He is an active member with the Atlanta Commercial Board of Realtors and a committee member for both Governmental Affairs &amp; Education.
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(an active member with the Atlanta Commercial Board of Realtors,List([6, 68)))	He is an active member with the Atlanta Commercial Board of Realtors and a committee member for both Governmental Affairs &amp; Education.
0.22015391053105568		SimpleArgument(He,List([0, 2)))	Relation(is serving as Vice President,List([3, 5), [16, 23), [24, 41)))	TemporalArgument(currently,List([6, 15)))	He is also an active community member in his neighborhood, Summerhill, and currently serving as Vice President.
0.3929209860966329		SimpleArgument(He,List([0, 2)))	Relation(is serving as,List([3, 5), [16, 23), [24, 26)))	SimpleArgument(Vice President,List([27, 41)))	He is also an active community member in his neighborhood, Summerhill, and currently serving as Vice President.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(is also,List([3, 10)))	SimpleArgument(an active community member in his neighborhood,List([11, 57)))	He is also an active community member in his neighborhood, Summerhill, and currently serving as Vice President.
0.8591720430378276		SimpleArgument(a division of Atlanta Parks & amp,List([45, 78)))	Relation(valued at,List([81, 87), [88, 90)))	SimpleArgument($ 100,000,List([91, 100)))	He wrote two grants in 2015, and was awarded both - one was with Park Pride, a division of Atlanta Parks &amp; Recreation, for Neighborhood Parks Visioning and valued at $100,000; the second was for hosting the annual "Summerhill Music &amp; Arts Festival," which he committee chaired for the past three years, for $8,000.
0.908121531799704	Context(the second was,List([129, 143)))	SimpleArgument(both - one,List([12, 22)))	Relation(was with,List([23, 26), [27, 31)))	SimpleArgument(Park Pride,List([32, 42)))	He wrote two grants in 2015, and was awarded both - one was with Park Pride, a division of Atlanta Parks &amp; Recreation, for Neighborhood Parks Visioning and valued at $100,000; the second was for hosting the annual "Summerhill Music &amp; Arts Festival," which he committee chaired for the past three years, for $8,000.
0.1886694268496255	Context(the second was,List([50, 64)))	SimpleArgument(He,List([0, 2)))	Relation(wrote two grants in,List([3, 8), [9, 19), [20, 22)))	TemporalArgument(2015,List([23, 27)))	He wrote two grants in 2015, and was awarded both - one was with Park Pride, a division of Atlanta Parks &amp; Recreation, for Neighborhood Parks Visioning and valued at $100,000; the second was for hosting the annual "Summerhill Music &amp; Arts Festival," which he committee chaired for the past three years, for $8,000.
0.39746064682094406	Context(the second was,List([50, 64)))	SimpleArgument(He,List([0, 2)))	Relation(wrote,List([3, 8)))	SimpleArgument(two grants,List([9, 19)))	He wrote two grants in 2015, and was awarded both - one was with Park Pride, a division of Atlanta Parks &amp; Recreation, for Neighborhood Parks Visioning and valued at $100,000; the second was for hosting the annual "Summerhill Music &amp; Arts Festival," which he committee chaired for the past three years, for $8,000.
0.5246911893232697		SimpleArgument(the second,List([50, 60)))	Relation(was for,List([61, 64), [65, 68)))	SimpleArgument(hosting the annual " Summerhill Music & amp ; Arts Festival , " which he committee chaired for the past three years , for $ 8,000,List([69, 198)))	He wrote two grants in 2015, and was awarded both - one was with Park Pride, a division of Atlanta Parks &amp; Recreation, for Neighborhood Parks Visioning and valued at $100,000; the second was for hosting the annual "Summerhill Music &amp; Arts Festival," which he committee chaired for the past three years, for $8,000.
0.2963963814307063		SimpleArgument(2015,List([23, 27)))	Relation(valued at,List([28, 34), [35, 37)))	SimpleArgument($ 100,000,List([38, 47)))	He wrote two grants in 2015, and was awarded both - one was with Park Pride, a division of Atlanta Parks &amp; Recreation, for Neighborhood Parks Visioning and valued at $100,000; the second was for hosting the annual "Summerhill Music &amp; Arts Festival," which he committee chaired for the past three years, for $8,000.
0.44251022175651566	Context(the second was,List([76, 90)))	SimpleArgument(He,List([0, 2)))	Relation(wrote two grants in,List([3, 8), [9, 19), [20, 22)))	SpatialArgument(2015 Recreation,List([23, 38)))	He wrote two grants in 2015, and was awarded both - one was with Park Pride, a division of Atlanta Parks &amp; Recreation, for Neighborhood Parks Visioning and valued at $100,000; the second was for hosting the annual "Summerhill Music &amp; Arts Festival," which he committee chaired for the past three years, for $8,000.
0.39746064682094406	Context(the second was,List([76, 90)))	SimpleArgument(He,List([0, 2)))	Relation(wrote,List([3, 8)))	SimpleArgument(two grants,List([9, 19)))	He wrote two grants in 2015, and was awarded both - one was with Park Pride, a division of Atlanta Parks &amp; Recreation, for Neighborhood Parks Visioning and valued at $100,000; the second was for hosting the annual "Summerhill Music &amp; Arts Festival," which he committee chaired for the past three years, for $8,000.
0.6703695588132883		SimpleArgument(the second,List([76, 86)))	Relation(was for,List([87, 90), [91, 94)))	SimpleArgument(hosting the annual " Summerhill Music & amp ; Arts Festival,List([95, 154)))	He wrote two grants in 2015, and was awarded both - one was with Park Pride, a division of Atlanta Parks &amp; Recreation, for Neighborhood Parks Visioning and valued at $100,000; the second was for hosting the annual "Summerhill Music &amp; Arts Festival," which he committee chaired for the past three years, for $8,000.
0.9585506511758459		SimpleArgument(the annual " Summerhill Music & amp ; Arts Festival,List([103, 154)))	Relation(chaired for,List([178, 185), [186, 189)))	TemporalArgument(the past three years,List([190, 210)))	He wrote two grants in 2015, and was awarded both - one was with Park Pride, a division of Atlanta Parks &amp; Recreation, for Neighborhood Parks Visioning and valued at $100,000; the second was for hosting the annual "Summerhill Music &amp; Arts Festival," which he committee chaired for the past three years, for $8,000.
0.8942434158739456		SimpleArgument(neighborhood,List([54, 66)))	Relation(keeps his thumb on,List([67, 72), [73, 82), [83, 85)))	SimpleArgument(the pulse of trends,List([86, 105)))	Being so actively involved with his neighbors &amp; neighborhood has allowed him to develop close ties to the local governments and keeps his thumb on the pulse of development and trends.
0.8942434158739456		SimpleArgument(neighborhood,List([54, 66)))	Relation(keeps his thumb on,List([67, 72), [73, 82), [83, 85)))	SimpleArgument(the pulse of development,List([86, 110)))	Being so actively involved with his neighbors &amp; neighborhood has allowed him to develop close ties to the local governments and keeps his thumb on the pulse of development and trends.
0.8211012035398638		SimpleArgument(neighborhood,List([54, 66)))	Relation(keeps,List([67, 72)))	SimpleArgument(his thumb,List([73, 82)))	Being so actively involved with his neighbors &amp; neighborhood has allowed him to develop close ties to the local governments and keeps his thumb on the pulse of development and trends.
0.39746064682094406	Context(neighborhood has allowed,List([54, 78)))	SimpleArgument(him,List([79, 82)))	Relation(to develop,List([83, 93)))	SimpleArgument(close ties to the local governments,List([94, 129)))	Being so actively involved with his neighbors &amp; neighborhood has allowed him to develop close ties to the local governments and keeps his thumb on the pulse of development and trends.
0.7860970668106112		SimpleArgument(neighborhood,List([54, 66)))	Relation(has allowed,List([67, 78)))	SimpleArgument(him to develop close ties to the local governments,List([79, 129)))	Being so actively involved with his neighbors &amp; neighborhood has allowed him to develop close ties to the local governments and keeps his thumb on the pulse of development and trends.
