0.9527410621066101		SimpleArgument(Emerson Windy,List([0, 13)))	Relation(is,List([14, 16)))	SimpleArgument(a West Coast hip hop recording artist from Oceanside,List([17, 69)))	Emerson Windy is a West Coast hip hop recording artist from Oceanside, California.
0.9319570069099647		SimpleArgument(Windy,List([30, 35)))	Relation(worked on a remix of " Come Get It " feat Pusha T & P Money ( Originally produced by Timbaland ) has been featured on Noisey by Vice to over a million subscribers with,List([36, 42), [43, 204), [205, 216)))	SimpleArgument(S.K.I.T.Z Beatz,List([48, 63)))	Expanding his reach overseas, Windy worked with S.K.I.T.Z Beatz on a remix of "Come Get It" feat Pusha T & P Money (Originally produced by Timbaland ) has been featured on Noisey by Vice to over a million subscribers.
0.9082053713642309		SimpleArgument(feat Pusha T & P Money,List([92, 114)))	Relation(produced,List([127, 135)))	TemporalArgument(Originally,List([116, 126)))	Expanding his reach overseas, Windy worked with S.K.I.T.Z Beatz on a remix of "Come Get It" feat Pusha T & P Money (Originally produced by Timbaland ) has been featured on Noisey by Vice to over a million subscribers.
0.9497646913932042		SimpleArgument(feat Pusha T & P Money,List([92, 114)))	Relation(produced by,List([127, 135), [136, 138)))	SimpleArgument(Timbaland,List([139, 148)))	Expanding his reach overseas, Windy worked with S.K.I.T.Z Beatz on a remix of "Come Get It" feat Pusha T & P Money (Originally produced by Timbaland ) has been featured on Noisey by Vice to over a million subscribers.
0.5961061943937731		SimpleArgument(it,List([58, 60)))	Relation(was quickly picked up,List([61, 82)))	SpatialArgument(MTV Wrap UP,List([40, 51)))	The single was premiered exclusively on MTV Wrap UP where it was quickly picked up and released by Complex, Hip Hop DX, 2DopeBoyz, Stereogum, IllRoots and more.
0.6129699864385257		SimpleArgument(The single,List([0, 10)))	Relation(was premiered exclusively on,List([11, 36), [37, 39)))	SpatialArgument(MTV Wrap UP,List([40, 51)))	The single was premiered exclusively on MTV Wrap UP where it was quickly picked up and released by Complex, Hip Hop DX, 2DopeBoyz, Stereogum, IllRoots and more.
0.31693683731371314		SimpleArgument(The single,List([0, 10)))	Relation(was premiered exclusively on,List([11, 36), [37, 39)))	SpatialArgument(more,List([40, 44)))	The single was premiered exclusively on MTV Wrap UP where it was quickly picked up and released by Complex, Hip Hop DX, 2DopeBoyz, Stereogum, IllRoots and more.
0.6129699864385257		SimpleArgument(The single,List([0, 10)))	Relation(was premiered exclusively on,List([11, 36), [37, 39)))	SpatialArgument(IllRoots,List([40, 48)))	The single was premiered exclusively on MTV Wrap UP where it was quickly picked up and released by Complex, Hip Hop DX, 2DopeBoyz, Stereogum, IllRoots and more.
0.6129699864385257		SimpleArgument(The single,List([0, 10)))	Relation(was premiered exclusively on,List([11, 36), [37, 39)))	SpatialArgument(Stereogum,List([40, 49)))	The single was premiered exclusively on MTV Wrap UP where it was quickly picked up and released by Complex, Hip Hop DX, 2DopeBoyz, Stereogum, IllRoots and more.
0.6129699864385257		SimpleArgument(The single,List([0, 10)))	Relation(was premiered exclusively on,List([11, 36), [37, 39)))	SpatialArgument(2DopeBoyz,List([40, 49)))	The single was premiered exclusively on MTV Wrap UP where it was quickly picked up and released by Complex, Hip Hop DX, 2DopeBoyz, Stereogum, IllRoots and more.
0.6129699864385257		SimpleArgument(The single,List([0, 10)))	Relation(was premiered exclusively on,List([11, 36), [37, 39)))	SpatialArgument(Hip Hop DX,List([40, 50)))	The single was premiered exclusively on MTV Wrap UP where it was quickly picked up and released by Complex, Hip Hop DX, 2DopeBoyz, Stereogum, IllRoots and more.
