0.9314904193639496		SimpleArgument(a progressive Islamic bank,List([40, 66)))	Relation(headquartered in,List([67, 80), [81, 83)))	SpatialArgument(Abu Dhabi,List([84, 93)))	Al Hilal Bank (Arabic: مصرف الهلال), is a progressive Islamic bank headquartered in Abu Dhabi.
0.8876082651439079	Context(it employs,List([8, 18)))	SimpleArgument(around 1,500 staff,List([19, 37)))	Relation(operates,List([38, 46)))	SimpleArgument(25 branches as well as 3 branches,List([47, 80)))	Today, it employs around 1,500 staff members and operates 25 branches and 116 ATMs across the UAE as well as 3 branches in Kazakhstan.
0.48566075280303195		SimpleArgument(it,List([8, 10)))	Relation(employs around 1,500 staff operates 25 branches as well as 3 branches in Kazakhstan,List([11, 18), [19, 94)))	TemporalArgument(Today,List([0, 5)))	Today, it employs around 1,500 staff members and operates 25 branches and 116 ATMs across the UAE as well as 3 branches in Kazakhstan.
0.5503378535116643		SimpleArgument(it,List([8, 10)))	Relation(employs,List([11, 18)))	SimpleArgument(around 1,500 staff operates 25 branches as well as 3 branches in Kazakhstan,List([19, 94)))	Today, it employs around 1,500 staff members and operates 25 branches and 116 ATMs across the UAE as well as 3 branches in Kazakhstan.
0.9990000128746033		SimpleArgument(it,List([0, 0)))	Relation(employs,List([0, 0)))	SimpleArgument(around 1500 staff members,List(null))	Today, it employs around 1,500 staff members and operates 25 branches and 116 ATMs across the UAE as well as 3 branches in Kazakhstan.
0.5508709715731925		SimpleArgument(it,List([8, 10)))	Relation(employs around 1,500 staff members,List([11, 18), [19, 45)))	TemporalArgument(Today,List([0, 5)))	Today, it employs around 1,500 staff members and operates 25 branches and 116 ATMs across the UAE as well as 3 branches in Kazakhstan.
0.45170382506656653		SimpleArgument(it,List([8, 10)))	Relation(employs around,List([11, 18), [19, 25)))	SimpleArgument(1,500 staff members,List([26, 45)))	Today, it employs around 1,500 staff members and operates 25 branches and 116 ATMs across the UAE as well as 3 branches in Kazakhstan.
0.9030401971054747		SimpleArgument(The bank,List([0, 8)))	Relation(provides Islamic Personal , Corporate , Wholesale banking services to,List([9, 17), [18, 75), [76, 78)))	SimpleArgument(more than 100,000 customers,List([79, 106)))	The bank provides Islamic Personal, Corporate, Treasury, Investment, and Wholesale banking services to more than 100,000 customers.
0.9180804252893389		SimpleArgument(The bank,List([0, 8)))	Relation(provides,List([9, 17)))	SimpleArgument(Islamic Personal , Corporate , Wholesale banking services,List([18, 75)))	The bank provides Islamic Personal, Corporate, Treasury, Investment, and Wholesale banking services to more than 100,000 customers.
0.9030401971054747		SimpleArgument(The bank,List([0, 8)))	Relation(provides Islamic Personal , Corporate , Investment banking services to,List([9, 17), [18, 76), [77, 79)))	SimpleArgument(more than 100,000 customers,List([80, 107)))	The bank provides Islamic Personal, Corporate, Treasury, Investment, and Wholesale banking services to more than 100,000 customers.
0.9180804252893389		SimpleArgument(The bank,List([0, 8)))	Relation(provides,List([9, 17)))	SimpleArgument(Islamic Personal , Corporate , Investment banking services,List([18, 76)))	The bank provides Islamic Personal, Corporate, Treasury, Investment, and Wholesale banking services to more than 100,000 customers.
0.9030401971054747		SimpleArgument(The bank,List([0, 8)))	Relation(provides Islamic Personal , Corporate , Treasury banking services to,List([9, 17), [18, 74), [75, 77)))	SimpleArgument(more than 100,000 customers,List([78, 105)))	The bank provides Islamic Personal, Corporate, Treasury, Investment, and Wholesale banking services to more than 100,000 customers.
0.9180804252893389		SimpleArgument(The bank,List([0, 8)))	Relation(provides,List([9, 17)))	SimpleArgument(Islamic Personal , Corporate , Treasury banking services,List([18, 74)))	The bank provides Islamic Personal, Corporate, Treasury, Investment, and Wholesale banking services to more than 100,000 customers.
0.9180804252893389		SimpleArgument(The bank,List([0, 8)))	Relation(manages,List([9, 16)))	SimpleArgument(the GCC Equity Fund,List([17, 36)))	The bank manages Al Hilal Global Balanced Fund, the Global Sukuk Fund and the GCC Equity Fund.
0.9180804252893389		SimpleArgument(The bank,List([0, 8)))	Relation(manages,List([9, 16)))	SimpleArgument(the Global Sukuk Fund,List([17, 38)))	The bank manages Al Hilal Global Balanced Fund, the Global Sukuk Fund and the GCC Equity Fund.
0.9180804252893389		SimpleArgument(The bank,List([0, 8)))	Relation(manages,List([9, 16)))	SimpleArgument(Al Hilal Global Balanced Fund,List([17, 46)))	The bank manages Al Hilal Global Balanced Fund, the Global Sukuk Fund and the GCC Equity Fund.
0.9125462839307745		SimpleArgument(a digital compass,List([105, 122)))	Relation(directs towards,List([128, 135), [136, 143)))	SimpleArgument(the Qibla , the ' Money Station,List([144, 175)))	The bank is known for pioneering products such as the ‘Qibla Card' the World's first Credit Card with a digital compass that directs towards the Qibla, the ‘Laha Al Hilal' credit card, the UAE's first scented credit card, with the facility to become scented with any perfume of your choice, ‘Egrab', the World's First 100% electric mobile branch and the ‘Money Station', the region's first drive-thru branch.
0.8473180751906917		SimpleArgument(The bank,List([0, 8)))	Relation(for pioneering,List([18, 32)))	SimpleArgument(products such as the ' Qibla Card ' the World 's first Credit Card with a digital compass that directs towards the Qibla , the UAE 's first scented credit card , with the facility,List([33, 212)))	The bank is known for pioneering products such as the ‘Qibla Card' the World's first Credit Card with a digital compass that directs towards the Qibla, the ‘Laha Al Hilal' credit card, the UAE's first scented credit card, with the facility to become scented with any perfume of your choice, ‘Egrab', the World's First 100% electric mobile branch and the ‘Money Station', the region's first drive-thru branch.
0.8678142857264015		SimpleArgument(The bank,List([0, 8)))	Relation(is known for,List([9, 17), [18, 21)))	SimpleArgument(pioneering products such as the ' Qibla Card ' the World 's first Credit Card with a digital compass that directs towards the Qibla , the UAE 's first scented credit card , with the facility,List([22, 212)))	The bank is known for pioneering products such as the ‘Qibla Card' the World's first Credit Card with a digital compass that directs towards the Qibla, the ‘Laha Al Hilal' credit card, the UAE's first scented credit card, with the facility to become scented with any perfume of your choice, ‘Egrab', the World's First 100% electric mobile branch and the ‘Money Station', the region's first drive-thru branch.
0.9125462839307745		SimpleArgument(a digital compass,List([105, 122)))	Relation(directs towards,List([128, 135), [136, 143)))	SimpleArgument(the Qibla,List([144, 153)))	The bank is known for pioneering products such as the ‘Qibla Card' the World's first Credit Card with a digital compass that directs towards the Qibla, the ‘Laha Al Hilal' credit card, the UAE's first scented credit card, with the facility to become scented with any perfume of your choice, ‘Egrab', the World's First 100% electric mobile branch and the ‘Money Station', the region's first drive-thru branch.
0.9045207649554154		SimpleArgument(The bank,List([0, 8)))	Relation(for pioneering,List([18, 32)))	SimpleArgument(products such as the ' Qibla Card,List([33, 66)))	The bank is known for pioneering products such as the ‘Qibla Card' the World's first Credit Card with a digital compass that directs towards the Qibla, the ‘Laha Al Hilal' credit card, the UAE's first scented credit card, with the facility to become scented with any perfume of your choice, ‘Egrab', the World's First 100% electric mobile branch and the ‘Money Station', the region's first drive-thru branch.
0.9180804252893389		SimpleArgument(The bank,List([0, 8)))	Relation(is known for,List([9, 17), [18, 21)))	SimpleArgument(pioneering products such as the ' Qibla Card,List([22, 66)))	The bank is known for pioneering products such as the ‘Qibla Card' the World's first Credit Card with a digital compass that directs towards the Qibla, the ‘Laha Al Hilal' credit card, the UAE's first scented credit card, with the facility to become scented with any perfume of your choice, ‘Egrab', the World's First 100% electric mobile branch and the ‘Money Station', the region's first drive-thru branch.
