0.9449993708870406		SimpleArgument(May 19, 2011,List([41, 53)))	Relation(was,List([55, 58)))	SimpleArgument(an American casino executive,List([59, 87)))	Don Hamilton Barden (December 20, 1943 – May 19, 2011) was an American casino executive.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also Chief Executive Officer of Majestic Barden Mississippi Tunica of BDI Since,List([0, 34), [35, 104), [105, 108)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9567562066335041		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(Chief Executive Officer of Majestic Barden Mississippi Tunica of BDI,List([40, 108)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also Chief Executive Officer of Majestic Manager of Barden Colorado Blackhawk Since,List([0, 34), [35, 102), [103, 112)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9567562066335041		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(Chief Executive Officer of Majestic Manager of Barden Colorado Blackhawk,List([40, 112)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also Chief Executive Officer of Majestic LLC of BDI Since,List([0, 34), [35, 82), [83, 86)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(Chief Executive Officer of Majestic LLC of BDI,List([40, 86)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also Chief Executive Officer of Majestic Investor Holdings of BDI Since,List([0, 34), [35, 96), [97, 100)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(Chief Executive Officer of Majestic Investor Holdings of BDI,List([40, 100)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also President of Majestic President of BDI Since,List([0, 34), [35, 74), [75, 78)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(President of Majestic President of BDI,List([40, 78)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also President of Majestic Chairman of BDI Since,List([0, 34), [35, 73), [74, 77)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(President of Majestic Chairman of BDI,List([40, 77)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also President of Majestic Barden Nevada Las Vegas Since,List([0, 34), [35, 79), [80, 85)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(President of Majestic Barden Nevada Las Vegas,List([40, 85)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also President of Majestic Mississippi of BDI Since,List([0, 34), [35, 76), [77, 80)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(President of Majestic Mississippi of BDI,List([40, 80)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also President of Majestic Barden Mississippi Tunica of BDI Since,List([0, 34), [35, 90), [91, 94)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(President of Majestic Barden Mississippi Tunica of BDI,List([40, 94)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also President of Majestic Manager of Barden Colorado Blackhawk Since,List([0, 34), [35, 88), [89, 98)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(President of Majestic Manager of Barden Colorado Blackhawk,List([40, 98)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also President of Majestic LLC of BDI Since,List([0, 34), [35, 68), [69, 72)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(President of Majestic LLC of BDI,List([40, 72)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9237687577443261		SimpleArgument(Barden,List([24, 30)))	Relation(was also President of Majestic Investor Holdings of BDI Since,List([0, 34), [35, 82), [83, 86)))	TemporalArgument(their formation,List([6, 21)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9324144673478683		SimpleArgument(Barden,List([24, 30)))	Relation(was also,List([31, 39)))	SimpleArgument(President of Majestic Investor Holdings of BDI,List([40, 86)))	Since their formation, Barden was also President and Chief Executive Officer of Majestic Investor Holdings, LLC and Manager of Barden Colorado Blackhawk, Colorado, Barden Mississippi Tunica, Mississippi, and Barden Nevada Las Vegas, Nevada; and Chairman and President of BDI.
0.9210233335200773		SimpleArgument(Barden,List([0, 6)))	Relation(served as,List([12, 18), [19, 21)))	SimpleArgument(Don H. Barden Foundation,List([22, 46)))	Barden also served as Chairman or Barden Gary Foundation, Inc. and Don H. Barden Foundation, Inc. since their formations.
0.9210233335200773		SimpleArgument(Barden,List([0, 6)))	Relation(served as,List([12, 18), [19, 21)))	SimpleArgument(Inc,List([22, 25)))	Barden also served as Chairman or Barden Gary Foundation, Inc. and Don H. Barden Foundation, Inc. since their formations.
0.9210233335200773		SimpleArgument(Barden,List([0, 6)))	Relation(served as,List([12, 18), [19, 21)))	SimpleArgument(Barden Gary Foundation,List([22, 44)))	Barden also served as Chairman or Barden Gary Foundation, Inc. and Don H. Barden Foundation, Inc. since their formations.
0.9210233335200773		SimpleArgument(Barden,List([0, 6)))	Relation(served as,List([12, 18), [19, 21)))	SimpleArgument(Chairman,List([22, 30)))	Barden also served as Chairman or Barden Gary Foundation, Inc. and Don H. Barden Foundation, Inc. since their formations.
0.5680679595514976		SimpleArgument(he,List([15, 17)))	Relation(was,List([18, 21)))	SimpleArgument(the Chief Executive Officer of Barden,List([22, 59)))	Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.7323734373534755		SimpleArgument(other companies,List([57, 72)))	Relation(operated,List([73, 81)))		Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.4953178616921359		SimpleArgument(he,List([15, 17)))	Relation(was the President of,List([18, 38)))	SimpleArgument(Barden,List([39, 45)))	Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.8841701665203853		SimpleArgument(other companies,List([57, 72)))	Relation(owned,List([76, 81)))	SimpleArgument(he,List([73, 75)))	Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.5680679595514976		SimpleArgument(he,List([15, 17)))	Relation(was,List([18, 21)))	SimpleArgument(the President of Barden,List([22, 45)))	Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.5680679595514976		SimpleArgument(he,List([15, 17)))	Relation(was,List([18, 21)))	SimpleArgument(the Chief Executive Officer of Barden Inc,List([22, 63)))	Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.5680679595514976		SimpleArgument(he,List([15, 17)))	Relation(was,List([18, 21)))	SimpleArgument(the Chief Executive Officer of Barden Companies,List([22, 69)))	Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.4953178616921359		SimpleArgument(he,List([15, 17)))	Relation(was the President of,List([18, 38)))	SimpleArgument(Barden Inc,List([39, 49)))	Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.5680679595514976		SimpleArgument(he,List([15, 17)))	Relation(was,List([18, 21)))	SimpleArgument(the President of Barden Inc,List([22, 49)))	Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.4953178616921359		SimpleArgument(he,List([15, 17)))	Relation(was the President of,List([18, 38)))	SimpleArgument(Barden Companies,List([39, 55)))	Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.5680679595514976		SimpleArgument(he,List([15, 17)))	Relation(was,List([18, 21)))	SimpleArgument(the President of Barden Companies,List([22, 55)))	Additionally, he was the President and Chief Executive Officer of Barden Companies, Inc. and a group of other companies he owned and/or operated.
0.9439070193972718		SimpleArgument(Barden,List([25, 31)))	Relation(had operated many business enterprises in various industries including real international trade Over,List([0, 35), [36, 121), [122, 127)))	TemporalArgument(the past 30 years,List([5, 22)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9484177987969541		SimpleArgument(Barden,List([25, 31)))	Relation(had operated,List([32, 44)))	SimpleArgument(many business enterprises in various industries including real international trade,List([45, 127)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9439070193972718		SimpleArgument(Barden,List([25, 31)))	Relation(had operated many business enterprises in various industries including real cable television Over,List([0, 35), [36, 113), [114, 124)))	TemporalArgument(the past 30 years,List([5, 22)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9484177987969541		SimpleArgument(Barden,List([25, 31)))	Relation(had operated,List([32, 44)))	SimpleArgument(many business enterprises in various industries including real cable television,List([45, 124)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9439070193972718		SimpleArgument(Barden,List([25, 31)))	Relation(had operated many business enterprises in various industries including real broadcasting Over,List([0, 35), [36, 107), [108, 120)))	TemporalArgument(the past 30 years,List([5, 22)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9197759696552441		SimpleArgument(Barden,List([25, 31)))	Relation(had operated,List([32, 44)))	SimpleArgument(many business enterprises in various industries including real broadcasting,List([45, 120)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9439070193972718		SimpleArgument(Barden,List([25, 31)))	Relation(had operated many business enterprises in various industries including real casino gaming Over,List([0, 35), [36, 114), [115, 121)))	TemporalArgument(the past 30 years,List([5, 22)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9484177987969541		SimpleArgument(Barden,List([25, 31)))	Relation(had operated,List([32, 44)))	SimpleArgument(many business enterprises in various industries including real casino gaming,List([45, 121)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9439070193972718		SimpleArgument(Barden,List([25, 31)))	Relation(had operated many business enterprises in various industries including real estate development Over,List([0, 35), [36, 114), [115, 126)))	TemporalArgument(the past 30 years,List([5, 22)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9484177987969541		SimpleArgument(Barden,List([25, 31)))	Relation(had operated,List([32, 44)))	SimpleArgument(many business enterprises in various industries including real estate development,List([45, 126)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9439070193972718		SimpleArgument(Barden,List([25, 31)))	Relation(had owned Over,List([0, 35), [36, 41)))	TemporalArgument(the past 30 years,List([5, 22)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.9439070193972718		SimpleArgument(Barden,List([25, 31)))	Relation(had successfully developed Over,List([0, 48), [49, 58)))	TemporalArgument(the past 30 years,List([5, 22)))	Over the past 30 years, Barden had successfully developed, owned and operated many business enterprises in various industries including real estate development, casino gaming, broadcasting, cable television and international trade.
0.8780037064600699		SimpleArgument(Black Enterprise Magazine,List([9, 34)))	Relation(selected Barden In,List([0, 2), [35, 43), [44, 50)))	TemporalArgument(2003,List([3, 7)))	In 2003, Black Enterprise Magazine selected Barden as Company of the Year.
0.9436221120476838		SimpleArgument(Black Enterprise Magazine,List([9, 34)))	Relation(selected Barden as,List([35, 43), [44, 50), [51, 53)))	SimpleArgument(Company of the Year,List([54, 73)))	In 2003, Black Enterprise Magazine selected Barden as Company of the Year.
0.9436221120476838		SimpleArgument(Black Enterprise Magazine,List([9, 34)))	Relation(selected,List([35, 43)))	SimpleArgument(Barden,List([44, 50)))	In 2003, Black Enterprise Magazine selected Barden as Company of the Year.
0.8557456177405949		SimpleArgument(Barden,List([9, 15)))	Relation(received the Trumpet Award In,List([0, 2), [16, 36), [37, 42)))	TemporalArgument(2004,List([3, 7)))	In 2004, Barden received the Trumpet Award for Entrepreneur of the Year.
0.9324144673478683		SimpleArgument(Barden,List([9, 15)))	Relation(received the Trumpet Award for,List([16, 24), [25, 42), [43, 46)))	SimpleArgument(Entrepreneur of the Year,List([47, 71)))	In 2004, Barden received the Trumpet Award for Entrepreneur of the Year.
0.9324144673478683		SimpleArgument(Barden,List([9, 15)))	Relation(received,List([16, 24)))	SimpleArgument(the Trumpet Award,List([25, 42)))	In 2004, Barden received the Trumpet Award for Entrepreneur of the Year.
0.9250606141558615		SimpleArgument(another gambling facility,List([62, 87)))	Relation(belonging to,List([88, 97), [98, 100)))	SimpleArgument(Donald Trump,List([101, 113)))	For years the Barden gambling facility in Gary existed beside another gambling facility belonging to Donald Trump.
0.9646402198552775		SimpleArgument(the Barden gambling facility in Gary,List([10, 46)))	Relation(existed For,List([0, 3), [47, 54)))	TemporalArgument(years,List([4, 9)))	For years the Barden gambling facility in Gary existed beside another gambling facility belonging to Donald Trump.
0.9489461080096143		SimpleArgument(the Barden gambling facility in Gary,List([10, 46)))	Relation(existed beside,List([47, 54), [55, 61)))	SpatialArgument(another gambling facility,List([62, 87)))	For years the Barden gambling facility in Gary existed beside another gambling facility belonging to Donald Trump.
0.9250606141558615		SimpleArgument(several other facilities,List([89, 113)))	Relation(were opening up in,List([114, 129), [130, 132)))	SpatialArgument(Indiana,List([133, 140)))	Barden bought the second facility for a price reflecting historic revenue at a time when several other facilities were opening up in Illinois and Indiana.
0.9385482820822947		SimpleArgument(several other facilities,List([89, 113)))	Relation(were opening up,List([114, 129)))	TemporalArgument(a time,List([77, 83)))	Barden bought the second facility for a price reflecting historic revenue at a time when several other facilities were opening up in Illinois and Indiana.
0.9250606141558615		SimpleArgument(several other facilities,List([89, 113)))	Relation(were opening up in,List([114, 129), [130, 132)))	SpatialArgument(Illinois,List([133, 141)))	Barden bought the second facility for a price reflecting historic revenue at a time when several other facilities were opening up in Illinois and Indiana.
0.858772576540734		SimpleArgument(a price,List([38, 45)))	Relation(reflecting at,List([46, 56), [74, 76)))	TemporalArgument(a time,List([77, 83)))	Barden bought the second facility for a price reflecting historic revenue at a time when several other facilities were opening up in Illinois and Indiana.
0.9030401971054747		SimpleArgument(a price,List([38, 45)))	Relation(reflecting,List([46, 56)))	SimpleArgument(historic revenue,List([57, 73)))	Barden bought the second facility for a price reflecting historic revenue at a time when several other facilities were opening up in Illinois and Indiana.
0.9197759696552441		SimpleArgument(Barden,List([0, 6)))	Relation(bought the second facility for,List([7, 13), [14, 33), [34, 37)))	SimpleArgument(a price,List([38, 45)))	Barden bought the second facility for a price reflecting historic revenue at a time when several other facilities were opening up in Illinois and Indiana.
0.9197759696552441		SimpleArgument(Barden,List([0, 6)))	Relation(bought,List([7, 13)))	SimpleArgument(the second facility,List([14, 33)))	Barden bought the second facility for a price reflecting historic revenue at a time when several other facilities were opening up in Illinois and Indiana.
0.9485479188231729		SimpleArgument(Fitzgerald casinos in Colorado,List([0, 30)))	Relation(filed for bankruptcy in,List([31, 36), [37, 51), [52, 54)))	TemporalArgument(November 2009,List([55, 68)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.9387281236502384		SimpleArgument(Fitzgerald casinos in Colorado,List([0, 30)))	Relation(filed for,List([31, 36), [37, 40)))	SimpleArgument(bankruptcy,List([41, 51)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.9485479188231729		SimpleArgument(Fitzgerald casinos in Mississippi,List([0, 33)))	Relation(filed for bankruptcy in,List([34, 39), [40, 54), [55, 57)))	TemporalArgument(November 2009,List([58, 71)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.9387281236502384		SimpleArgument(Fitzgerald casinos in Mississippi,List([0, 33)))	Relation(filed for,List([34, 39), [40, 43)))	SimpleArgument(bankruptcy,List([44, 54)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.9485479188231729		SimpleArgument(Fitzgerald casinos in Indiana,List([0, 29)))	Relation(filed for bankruptcy in,List([30, 35), [36, 50), [51, 53)))	TemporalArgument(November 2009,List([54, 67)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.9387281236502384		SimpleArgument(Fitzgerald casinos in Indiana,List([0, 29)))	Relation(filed for,List([30, 35), [36, 39)))	SimpleArgument(bankruptcy,List([40, 50)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.9530647582435334		SimpleArgument(Majestic Star casinos in Colorado,List([0, 33)))	Relation(filed for bankruptcy in,List([34, 39), [40, 54), [55, 57)))	TemporalArgument(November 2009,List([58, 71)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.944056173886228		SimpleArgument(Majestic Star casinos in Colorado,List([0, 33)))	Relation(filed for,List([34, 39), [40, 43)))	SimpleArgument(bankruptcy,List([44, 54)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
0.9530647582435334		SimpleArgument(Majestic Star casinos in Mississippi,List([0, 36)))	Relation(filed for bankruptcy in,List([37, 42), [43, 57), [58, 60)))	TemporalArgument(November 2009,List([61, 74)))	Majestic Star and Fitzgerald casinos in Indiana, Mississippi and Colorado filed for bankruptcy in November 2009.
