0.8942434158739456		SimpleArgument(Custom,List([0, 6)))	Relation(made,List([7, 11)))	SimpleArgument(onground liners,List([12, 27)))	Custom made inground and onground liners.
0.364761346574243	Context(we look,List([85, 92)))	SimpleArgument(we,List([85, 87)))	Relation(look to help,List([88, 92), [93, 100)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound courteous staff,List([101, 176)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8866082521460373	Context(we look to help,List([85, 100)))	SimpleArgument(homeowners,List([101, 111)))	Relation(be,List([112, 114)))	SimpleArgument(able to enjoy their swimming pools with sound knowledgeable staff,List([115, 180)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([85, 92)))	SimpleArgument(we,List([85, 87)))	Relation(look to help,List([88, 92), [93, 100)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound knowledgeable staff,List([101, 180)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8866082521460373	Context(we look to help,List([84, 99)))	SimpleArgument(homeowners,List([100, 110)))	Relation(be,List([111, 113)))	SimpleArgument(able to enjoy their swimming pools with sound courteous staff,List([114, 175)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([84, 91)))	SimpleArgument(we,List([84, 86)))	Relation(look to help,List([87, 91), [92, 99)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound courteous staff,List([100, 175)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243		SimpleArgument(we,List([84, 86)))	Relation(look to,List([87, 91), [92, 94)))	SimpleArgument(help homeowners be able to enjoy their swimming pools with sound courteous staff,List([95, 175)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8866082521460373	Context(we look to help,List([84, 99)))	SimpleArgument(homeowners,List([100, 110)))	Relation(be,List([111, 113)))	SimpleArgument(able to enjoy their swimming pools with sound knowledgeable staff,List([114, 179)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([84, 91)))	SimpleArgument(we,List([84, 86)))	Relation(look to help,List([87, 91), [92, 99)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound knowledgeable staff,List([100, 179)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243		SimpleArgument(we,List([84, 86)))	Relation(look to,List([87, 91), [92, 94)))	SimpleArgument(help homeowners be able to enjoy their swimming pools with sound knowledgeable staff,List([95, 179)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8298046185909731	Context(we look to help,List([85, 100)))	SimpleArgument(homeowners,List([101, 111)))	Relation(be,List([112, 114)))	SimpleArgument(able to enjoy their swimming pools with sound advice,List([115, 167)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([85, 92)))	SimpleArgument(we,List([85, 87)))	Relation(look to help,List([88, 92), [93, 100)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound advice,List([101, 167)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8298046185909731	Context(we look to help,List([84, 99)))	SimpleArgument(homeowners,List([100, 110)))	Relation(be,List([111, 113)))	SimpleArgument(able to enjoy their swimming pools with sound advice,List([114, 166)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243	Context(we look,List([84, 91)))	SimpleArgument(we,List([84, 86)))	Relation(look to help,List([87, 91), [92, 99)))	SimpleArgument(homeowners be able to enjoy their swimming pools with sound advice,List([100, 166)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.364761346574243		SimpleArgument(we,List([84, 86)))	Relation(look to,List([87, 91), [92, 94)))	SimpleArgument(help homeowners be able to enjoy their swimming pools with sound advice,List([95, 166)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.7950722565701456		SimpleArgument(homeowners,List([100, 110)))	Relation(to enjoy,List([119, 127)))	SimpleArgument(their swimming pools,List([128, 148)))	Offering 45 years of experience with building and servicing swimming pools in the Hudson Valley, we look to help homeowners be able to enjoy their swimming pools with sound advice, knowledgeable and courteous staff as well as competitive pricing on high quality products, parts and supplies.
0.8018966055903185	Context(Our FOX inground,List([0, 16)))	SimpleArgument(swimming pools,List([17, 31)))	Relation(are,List([32, 35)))	SimpleArgument(the top in our service department,List([36, 69)))	Our FOX inground swimming pools are the top in the industry and our service department will get you into operational mode quickly.
0.43385307460759115		SimpleArgument(Our FOX,List([0, 7)))	Relation(inground,List([8, 16)))	SimpleArgument(swimming pools are the top in our service department,List([17, 69)))	Our FOX inground swimming pools are the top in the industry and our service department will get you into operational mode quickly.
0.8817598924294554	Context(Our FOX inground,List([0, 16)))	SimpleArgument(swimming pools,List([17, 31)))	Relation(are,List([32, 35)))	SimpleArgument(the top in the industry,List([36, 59)))	Our FOX inground swimming pools are the top in the industry and our service department will get you into operational mode quickly.
0.5853715946324679		SimpleArgument(Our FOX,List([0, 7)))	Relation(inground,List([8, 16)))	SimpleArgument(swimming pools are the top in the industry,List([17, 59)))	Our FOX inground swimming pools are the top in the industry and our service department will get you into operational mode quickly.
0.7809223350826754	Context(Charlie Burger began,List([0, 20)))	SimpleArgument(Charlie Burger,List([0, 14)))	Relation(began building in,List([15, 20), [21, 29), [30, 32)))	TemporalArgument(1971,List([33, 37)))	Charlie Burger began building in 1971 as a sub contractor of above ground pools for many Dutchess County pool companies.
0.9512494280120677		SimpleArgument(Charlie Burger,List([0, 14)))	Relation(began,List([15, 20)))	SimpleArgument(building in 1971 as a sub contractor of above ground pools for many Dutchess County pool companies,List([21, 119)))	Charlie Burger began building in 1971 as a sub contractor of above ground pools for many Dutchess County pool companies.
0.29886655727758943		SimpleArgument(he,List([8, 10)))	Relation(joined the staff of a company in Poughkeepsie In,List([0, 2), [11, 43), [44, 56)))	TemporalArgument(1980,List([3, 7)))	In 1980 he joined the staff of a company in Poughkeepsie, and upon owners death, started his own company with wife Juliana in 1991.
0.4978219019954182		SimpleArgument(he,List([8, 10)))	Relation(joined,List([11, 17)))	SimpleArgument(the staff of a company in Poughkeepsie,List([18, 56)))	In 1980 he joined the staff of a company in Poughkeepsie, and upon owners death, started his own company with wife Juliana in 1991.
0.39746064682094406	Context(His years of experience allow,List([0, 29)))	SimpleArgument(him,List([30, 33)))	Relation(have,List([34, 38)))	SimpleArgument(experience with designs non longer around,List([39, 80)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.4817874583261799		SimpleArgument(His years of experience,List([0, 23)))	Relation(allow,List([24, 29)))	SimpleArgument(him have experience with designs non longer around,List([30, 80)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.1886694268496255	Context(His years of experience allow,List([0, 29)))	SimpleArgument(him,List([30, 33)))	Relation(have experience with products,List([34, 38), [39, 63)))	SpatialArgument(non longer around,List([64, 81)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.39746064682094406	Context(His years of experience allow,List([0, 29)))	SimpleArgument(him,List([30, 33)))	Relation(have,List([34, 38)))	SimpleArgument(experience with products,List([39, 63)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.4817874583261799		SimpleArgument(His years of experience,List([0, 23)))	Relation(allow,List([24, 29)))	SimpleArgument(him have experience with products non longer around,List([30, 81)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.1886694268496255	Context(His years of experience allow,List([0, 29)))	SimpleArgument(him,List([30, 33)))	Relation(have insight,List([34, 38), [39, 46)))	SpatialArgument(non longer around,List([47, 64)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.39746064682094406	Context(His years of experience allow,List([0, 29)))	SimpleArgument(him,List([30, 33)))	Relation(have,List([34, 38)))	SimpleArgument(insight,List([39, 46)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.4817874583261799		SimpleArgument(His years of experience,List([0, 23)))	Relation(allow,List([24, 29)))	SimpleArgument(him have insight non longer around,List([30, 64)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.39746064682094406	Context(His years of experience allow,List([0, 29)))	SimpleArgument(him,List([30, 33)))	Relation(replace,List([34, 41)))	SimpleArgument(complex inground swimming pool liners,List([42, 79)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.4817874583261799		SimpleArgument(His years of experience,List([0, 23)))	Relation(allow,List([24, 29)))	SimpleArgument(him replace complex inground swimming pool liners,List([30, 79)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.39746064682094406	Context(His years of experience allow,List([0, 29)))	SimpleArgument(him,List([30, 33)))	Relation(to deal with,List([34, 41), [42, 46)))	SimpleArgument(difficult installations,List([47, 70)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.4817874583261799		SimpleArgument(His years of experience,List([0, 23)))	Relation(allow,List([24, 29)))	SimpleArgument(him to deal with difficult installations,List([30, 70)))	His years of experience allow him to deal with difficult installations, replace complex inground swimming pool liners and have insight and experience with products or designs non longer around.
0.8143831551075259		SimpleArgument(This type of experience today,List([0, 29)))	Relation(is paralleled by,List([30, 43), [44, 46)))	SimpleArgument(few,List([47, 50)))	This type of experience today is paralleled by few.
0.886695286966665		SimpleArgument(Juliana,List([11, 18)))	Relation([is] wife [of],List([4, 8)))	SimpleArgument(him,List([0, 3)))	He and his wife, Juliana, opened the Highland retail location of the business 10 years ago.
0.598467018900354		SimpleArgument(his wife,List([0, 8)))	Relation(opened the Highland retail location of the business,List([21, 27), [28, 72)))	TemporalArgument(10 years ago,List([73, 85)))	He and his wife, Juliana, opened the Highland retail location of the business 10 years ago.
0.6420236436771103		SimpleArgument(his wife,List([0, 8)))	Relation(opened,List([21, 27)))	SimpleArgument(the Highland retail location of the business,List([28, 72)))	He and his wife, Juliana, opened the Highland retail location of the business 10 years ago.
0.41051436014453063		SimpleArgument(He,List([0, 2)))	Relation(opened the Highland retail location of the business,List([5, 11), [12, 56)))	TemporalArgument(10 years ago,List([57, 69)))	He and his wife, Juliana, opened the Highland retail location of the business 10 years ago.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(opened,List([5, 11)))	SimpleArgument(the Highland retail location of the business,List([12, 56)))	He and his wife, Juliana, opened the Highland retail location of the business 10 years ago.
0.7794154230651349	Context(you can find,List([5, 17)))	SimpleArgument(chemicals,List([18, 27)))	Relation(to attend to,List([28, 37), [38, 40)))	SimpleArgument(your pool needs,List([41, 56)))	Here you can find parts, supplies and chemicals to attend to your pool needs.
0.39276455093895124		SimpleArgument(you,List([5, 8)))	Relation(can find chemicals to attend to your pool needs,List([9, 17), [18, 56)))	SpatialArgument(Here,List([0, 4)))	Here you can find parts, supplies and chemicals to attend to your pool needs.
0.40081383130177484		SimpleArgument(you,List([5, 8)))	Relation(can find,List([9, 17)))	SimpleArgument(chemicals to attend to your pool needs,List([18, 56)))	Here you can find parts, supplies and chemicals to attend to your pool needs.
0.7794154230651349	Context(you can find,List([5, 17)))	SimpleArgument(supplies,List([18, 26)))	Relation(to attend to,List([27, 36), [37, 39)))	SimpleArgument(your pool needs,List([40, 55)))	Here you can find parts, supplies and chemicals to attend to your pool needs.
0.39276455093895124		SimpleArgument(you,List([5, 8)))	Relation(can find supplies to attend to your pool needs,List([9, 17), [18, 55)))	SpatialArgument(Here,List([0, 4)))	Here you can find parts, supplies and chemicals to attend to your pool needs.
0.40081383130177484		SimpleArgument(you,List([5, 8)))	Relation(can find,List([9, 17)))	SimpleArgument(supplies to attend to your pool needs,List([18, 55)))	Here you can find parts, supplies and chemicals to attend to your pool needs.
0.6451927531433679	Context(you can find,List([5, 17)))	SimpleArgument(parts,List([18, 23)))	Relation(to attend to,List([24, 33), [34, 36)))	SimpleArgument(your pool needs,List([37, 52)))	Here you can find parts, supplies and chemicals to attend to your pool needs.
0.39276455093895124		SimpleArgument(you,List([5, 8)))	Relation(can find parts to attend to your pool needs,List([9, 17), [18, 52)))	SpatialArgument(Here,List([0, 4)))	Here you can find parts, supplies and chemicals to attend to your pool needs.
0.40081383130177484		SimpleArgument(you,List([5, 8)))	Relation(can find,List([9, 17)))	SimpleArgument(parts to attend to your pool needs,List([18, 52)))	Here you can find parts, supplies and chemicals to attend to your pool needs.
0.6155020116081594		SimpleArgument(they,List([15, 19)))	Relation(offer,List([20, 25)))	SimpleArgument(dog pool toys,List([26, 39)))	Additionally, they offer small gifts as well as toys, floats and dog pool toys.
0.6155020116081594		SimpleArgument(they,List([15, 19)))	Relation(offer,List([20, 25)))	SimpleArgument(floats,List([26, 32)))	Additionally, they offer small gifts as well as toys, floats and dog pool toys.
0.6155020116081594		SimpleArgument(they,List([15, 19)))	Relation(offer,List([20, 25)))	SimpleArgument(toys,List([26, 30)))	Additionally, they offer small gifts as well as toys, floats and dog pool toys.
0.6155020116081594		SimpleArgument(they,List([15, 19)))	Relation(offer,List([20, 25)))	SimpleArgument(small gifts,List([26, 37)))	Additionally, they offer small gifts as well as toys, floats and dog pool toys.
