0.8588213959830759		SimpleArgument(personal attention,List([0, 18)))	Relation(are,List([19, 22)))	SimpleArgument(our focus at VisionOne,List([23, 45)))	Quality eyecare and personal attention are our focus at VisionOne.
0.9159477201647642	Context(We believe,List([0, 10)))	SimpleArgument(optimally designed eyewear,List([16, 42)))	Relation(is,List([43, 45)))	SimpleArgument(vital to a high quality of life,List([46, 77)))	We believe that healthy eyesight and optimally designed eyewear is vital to a high quality of life, both of which we are committed to!
0.5140598836732946		SimpleArgument(We,List([0, 2)))	Relation(believe that,List([3, 10), [11, 15)))	SimpleArgument(optimally designed eyewear is vital to a high quality of life,List([16, 77)))	We believe that healthy eyesight and optimally designed eyewear is vital to a high quality of life, both of which we are committed to!
0.9082029466707026	Context(We believe,List([0, 10)))	SimpleArgument(healthy eyesight,List([16, 32)))	Relation(is,List([33, 35)))	SimpleArgument(vital to a high quality of life,List([36, 67)))	We believe that healthy eyesight and optimally designed eyewear is vital to a high quality of life, both of which we are committed to!
0.5140598836732946		SimpleArgument(We,List([0, 2)))	Relation(believe that,List([3, 10), [11, 15)))	SimpleArgument(healthy eyesight is vital to a high quality of life,List([16, 67)))	We believe that healthy eyesight and optimally designed eyewear is vital to a high quality of life, both of which we are committed to!
0.22506131975927415		SimpleArgument(we,List([84, 86)))	Relation(are,List([87, 90)))	SimpleArgument(committed to,List([91, 103)))	We believe that healthy eyesight and optimally designed eyewear is vital to a high quality of life, both of which we are committed to!
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(have,List([3, 7)))	SimpleArgument(evening,List([8, 15)))	We have evening and Saturday hours for your convenience.
0.4328394458044063	Context(We look forward,List([0, 15)))	SimpleArgument(We,List([0, 2)))	Relation(look forward to meeting you at,List([3, 15), [16, 26), [27, 30), [31, 33)))	SpatialArgument(VisionOne Optical,List([34, 51)))	We look forward to meeting you at VisionOne Optical.
0.2560951955542683	Context(We look forward,List([0, 15)))	SimpleArgument(We,List([0, 2)))	Relation(look forward to meeting,List([3, 15), [16, 26)))	SimpleArgument(you,List([27, 30)))	We look forward to meeting you at VisionOne Optical.
0.2929110702089528		SimpleArgument(We,List([0, 2)))	Relation(look forward to,List([3, 15), [16, 18)))	SimpleArgument(meeting you at VisionOne Optical,List([19, 51)))	We look forward to meeting you at VisionOne Optical.
0.7877083798986204		SimpleArgument(VisionOne Optical,List([0, 17)))	Relation(was created,List([18, 29)))		Dr. Lori Beals purchased the practice from the retiring ophthalmologist and VisionOne Optical was created.
0.9329286852051247		SimpleArgument(Dr. Lori Beals,List([0, 14)))	Relation(purchased the practice from,List([15, 24), [25, 37), [38, 42)))	SimpleArgument(the retiring ophthalmologist,List([43, 71)))	Dr. Lori Beals purchased the practice from the retiring ophthalmologist and VisionOne Optical was created.
0.9329286852051247		SimpleArgument(Dr. Lori Beals,List([0, 14)))	Relation(purchased,List([15, 24)))	SimpleArgument(the practice,List([25, 37)))	Dr. Lori Beals purchased the practice from the retiring ophthalmologist and VisionOne Optical was created.
0.8306090960787457		SimpleArgument(Dr. Melissa Vetter,List([0, 18)))	Relation(joined Dr. Beals in,List([19, 25), [26, 35), [36, 38)))	TemporalArgument(2010,List([39, 43)))	Dr. Melissa Vetter joined Dr. Beals in 2010.
0.9436221120476838		SimpleArgument(Dr. Melissa Vetter,List([0, 18)))	Relation(joined,List([19, 25)))	SimpleArgument(Dr. Beals,List([26, 35)))	Dr. Melissa Vetter joined Dr. Beals in 2010.
0.8437742409533863		SimpleArgument(the Northwest Columbus area,List([27, 54)))	Relation(practicing since,List([55, 65), [66, 71)))	TemporalArgument(1990,List([72, 76)))	Dr. Lori Nichols Beals has been providing eye care at VisionOne since January 2003, and has been practicing in the Northwest Columbus area practicing since 1990.
0.876543225140763		SimpleArgument(Dr.,List([0, 3)))	Relation(has been practicing in,List([4, 23), [24, 26)))	SpatialArgument(the Northwest Columbus area,List([27, 54)))	Dr. Lori Nichols Beals has been providing eye care at VisionOne since January 2003, and has been practicing in the Northwest Columbus area practicing since 1990.
0.9232922754955963		SimpleArgument(Dr. Lori Nichols Beals,List([0, 22)))	Relation(has been providing eye care since,List([23, 41), [42, 50), [64, 69)))	TemporalArgument(January 2003,List([70, 82)))	Dr. Lori Nichols Beals has been providing eye care at VisionOne since January 2003, and has been practicing in the Northwest Columbus area practicing since 1990.
0.9485479188231729		SimpleArgument(Dr. Lori Nichols Beals,List([0, 22)))	Relation(has been providing eye care at,List([23, 41), [42, 50), [51, 53)))	SpatialArgument(VisionOne,List([54, 63)))	Dr. Lori Nichols Beals has been providing eye care at VisionOne since January 2003, and has been practicing in the Northwest Columbus area practicing since 1990.
0.9387281236502384		SimpleArgument(Dr. Lori Nichols Beals,List([0, 22)))	Relation(has been providing,List([23, 41)))	SimpleArgument(eye care,List([42, 50)))	Dr. Lori Nichols Beals has been providing eye care at VisionOne since January 2003, and has been practicing in the Northwest Columbus area practicing since 1990.
0.816575697747956		SimpleArgument(Dr. Beals,List([0, 9)))	Relation(graduated from Indiana University in,List([10, 19), [20, 43), [44, 46)))	TemporalArgument(1986,List([47, 51)))	Dr. Beals graduated from Indiana University in 1986 with High Distinction with a B.S. in Music and Chemistry, and is a 1990 graduate from Ohio State University College of Optometry, cum laude.
0.9382554258342916		SimpleArgument(Dr. Beals,List([0, 9)))	Relation(graduated from,List([10, 19), [20, 24)))	SimpleArgument(Indiana University,List([25, 43)))	Dr. Beals graduated from Indiana University in 1986 with High Distinction with a B.S. in Music and Chemistry, and is a 1990 graduate from Ohio State University College of Optometry, cum laude.
0.9379113123569551		SimpleArgument(Dr.,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(a 1990 graduate from Ohio State University College of Optometry , cum laude,List([7, 82)))	Dr. Beals graduated from Indiana University in 1986 with High Distinction with a B.S. in Music and Chemistry, and is a 1990 graduate from Ohio State University College of Optometry, cum laude.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(is licensed by,List([4, 15), [16, 18)))	SimpleArgument(the Ohio Board of Optometry,List([19, 46)))	She is licensed by the Ohio Board of Optometry, including use of Therapeutic Pharmaceutical Agents.
0.3018651855507195		SimpleArgument(she,List([140, 143)))	Relation(instructs optometry students in disease management including eye infections,List([144, 153), [154, 219)))	TemporalArgument(1991,List([127, 131)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.45170382506656653		SimpleArgument(she,List([140, 143)))	Relation(instructs,List([144, 153)))	SimpleArgument(optometry students in disease management including eye infections,List([154, 219)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.3018651855507195		SimpleArgument(she,List([140, 143)))	Relation(instructs optometry students in disease management including macular degeneration,List([144, 153), [154, 225)))	TemporalArgument(1991,List([127, 131)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.45170382506656653		SimpleArgument(she,List([140, 143)))	Relation(instructs,List([144, 153)))	SimpleArgument(optometry students in disease management including macular degeneration,List([154, 225)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.3018651855507195		SimpleArgument(she,List([140, 143)))	Relation(instructs optometry students in disease management including cataracts,List([144, 153), [154, 214)))	TemporalArgument(1991,List([127, 131)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.45170382506656653		SimpleArgument(she,List([140, 143)))	Relation(instructs,List([144, 153)))	SimpleArgument(optometry students in disease management including cataracts,List([154, 214)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.3018651855507195		SimpleArgument(she,List([140, 143)))	Relation(instructs optometry students in disease management including glaucoma,List([144, 153), [154, 213)))	TemporalArgument(1991,List([127, 131)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.45170382506656653		SimpleArgument(she,List([140, 143)))	Relation(instructs,List([144, 153)))	SimpleArgument(optometry students in disease management including glaucoma,List([154, 213)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.3018651855507195		SimpleArgument(she,List([140, 143)))	Relation(instructs optometry students in disease management including diabetic retinopathy,List([144, 153), [154, 225)))	TemporalArgument(1991,List([127, 131)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.45170382506656653		SimpleArgument(she,List([140, 143)))	Relation(instructs,List([144, 153)))	SimpleArgument(optometry students in disease management including diabetic retinopathy,List([154, 225)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.807529947430171		SimpleArgument(an auxiliary Faculty Member of the OSU College of Optometry,List([7, 66)))	Relation(appointed to the Veteran 's Clinic here in Columbus since,List([69, 78), [79, 120), [121, 126)))	TemporalArgument(1991,List([127, 131)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.9347307885506748		SimpleArgument(an auxiliary Faculty Member of the OSU College of Optometry,List([7, 66)))	Relation(appointed to,List([69, 78), [79, 81)))	SimpleArgument(the Veteran 's Clinic here in Columbus,List([82, 120)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.6783685094789625		SimpleArgument(She,List([0, 3)))	Relation(is,List([4, 6)))	SimpleArgument(an auxiliary Faculty Member of the OSU College of Optometry,List([7, 66)))	She is an auxiliary Faculty Member of the OSU College of Optometry, appointed to the Veteran's Clinic here in Columbus since 1991, where she instructs optometry students in disease management including diabetic retinopathy, glaucoma, cataracts, macular degeneration, and eye infections.
0.547338059826203		SimpleArgument(she,List([20, 23)))	Relation(also enjoys refractive surgery consultation In,List([0, 28), [29, 54), [55, 67)))	SpatialArgument(private practice,List([3, 19)))	In private practice she also enjoys contact lens fitting, children's eye care, and refractive surgery consultation.
0.45170382506656653		SimpleArgument(she,List([20, 23)))	Relation(also enjoys,List([24, 35)))	SimpleArgument(refractive surgery consultation,List([36, 67)))	In private practice she also enjoys contact lens fitting, children's eye care, and refractive surgery consultation.
0.547338059826203		SimpleArgument(she,List([20, 23)))	Relation(also enjoys children 's eye care In,List([0, 28), [29, 51), [52, 56)))	SpatialArgument(private practice,List([3, 19)))	In private practice she also enjoys contact lens fitting, children's eye care, and refractive surgery consultation.
0.45170382506656653		SimpleArgument(she,List([20, 23)))	Relation(also enjoys,List([24, 35)))	SimpleArgument(children 's eye care,List([36, 56)))	In private practice she also enjoys contact lens fitting, children's eye care, and refractive surgery consultation.
0.547338059826203		SimpleArgument(she,List([20, 23)))	Relation(also enjoys contact lens fitting In,List([0, 28), [29, 48), [49, 56)))	SpatialArgument(private practice,List([3, 19)))	In private practice she also enjoys contact lens fitting, children's eye care, and refractive surgery consultation.
0.45170382506656653		SimpleArgument(she,List([20, 23)))	Relation(also enjoys,List([24, 35)))	SimpleArgument(contact lens fitting,List([36, 56)))	In private practice she also enjoys contact lens fitting, children's eye care, and refractive surgery consultation.
0.3853208301752743		SimpleArgument(Peter,List([82, 87)))	Relation([is] son [of],List([78, 81)))	SimpleArgument(hers,List([74, 77)))	Originally from Upper Arlington, Dr. Beals now resides in Grandview with her husband John and son Peter.
0.3853208301752743		SimpleArgument(John Peter,List([86, 96)))	Relation([is] husband [of],List([78, 85)))	SimpleArgument(hers,List([74, 77)))	Originally from Upper Arlington, Dr. Beals now resides in Grandview with her husband John and son Peter.
0.8704999223335219		SimpleArgument(Dr. Beals,List([34, 43)))	Relation(resides in Grandview,List([48, 55), [56, 68)))	TemporalArgument(now,List([44, 47)))	Originally from Upper Arlington, Dr. Beals now resides in Grandview with her husband John and son Peter.
0.9277724913494431		SimpleArgument(Dr. Beals,List([34, 43)))	Relation(resides in,List([48, 55), [56, 58)))	SimpleArgument(Grandview,List([59, 68)))	Originally from Upper Arlington, Dr. Beals now resides in Grandview with her husband John and son Peter.
