0.9250606141558615		SimpleArgument(a daily newspaper,List([23, 40)))	Relation(based in,List([41, 46), [47, 49)))	SpatialArgument(Kennewick, Washington, in the United States,List([50, 93)))	The Tri-City Herald is a daily newspaper based in Kennewick, Washington, in the United States.
0.883042269491254		SimpleArgument(Glenn C. Lee,List([10, 22)))	Relation(converted,List([23, 32)))	SimpleArgument(it,List([33, 35)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.8672693270989391		SimpleArgument(Robert Philip,List([10, 23)))	Relation(moved it In,List([0, 2), [24, 29), [30, 32)))	TemporalArgument(1947,List([3, 7)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.9382554258342916		SimpleArgument(Robert Philip,List([10, 23)))	Relation(moved it to,List([24, 29), [30, 32), [33, 35)))	SimpleArgument(Kennewick,List([36, 45)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.8726869446304376		SimpleArgument(Robert Philip,List([10, 23)))	Relation(moved,List([24, 29)))	SimpleArgument(it,List([30, 32)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.8780037064600699		SimpleArgument(Glenn C. Lee,List([10, 22)))	Relation(moved it In,List([0, 2), [23, 28), [29, 31)))	TemporalArgument(1947,List([3, 7)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.9436221120476838		SimpleArgument(Glenn C. Lee,List([10, 22)))	Relation(moved it to,List([23, 28), [29, 31), [32, 34)))	SimpleArgument(Kennewick,List([35, 44)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.883042269491254		SimpleArgument(Glenn C. Lee,List([10, 22)))	Relation(moved,List([23, 28)))	SimpleArgument(it,List([29, 31)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.8672693270989391		SimpleArgument(Robert Philip,List([10, 23)))	Relation(bought the paper In,List([0, 2), [24, 34), [35, 40)))	TemporalArgument(1947,List([3, 7)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.9266232318014763		SimpleArgument(Robert Philip,List([10, 23)))	Relation(bought,List([24, 30)))	SimpleArgument(the paper,List([31, 40)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.8780037064600699		SimpleArgument(Glenn C. Lee,List([10, 22)))	Relation(bought the paper In,List([0, 2), [23, 33), [34, 39)))	TemporalArgument(1947,List([3, 7)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.9329286852051247		SimpleArgument(Glenn C. Lee,List([10, 22)))	Relation(bought,List([23, 29)))	SimpleArgument(the paper,List([30, 39)))	In 1947, Glenn C. Lee and Robert Philip bought the paper, moved it to Kennewick and converted it into the area's first daily paper, coining the name 'Tri-Cities' as part of the paper's name.
0.7251886467849957		SimpleArgument(Philip,List([0, 6)))	Relation(sold the paper in,List([7, 11), [12, 21), [35, 37)))	TemporalArgument(1979,List([38, 42)))	Lee and Philip sold the paper to McClatchy in 1979.
0.9324144673478683		SimpleArgument(Philip,List([0, 6)))	Relation(sold the paper to,List([7, 11), [12, 21), [22, 24)))	SimpleArgument(McClatchy,List([25, 34)))	Lee and Philip sold the paper to McClatchy in 1979.
0.9383119524695255		SimpleArgument(Philip,List([0, 6)))	Relation(sold,List([7, 11)))	SimpleArgument(the paper,List([12, 21)))	Lee and Philip sold the paper to McClatchy in 1979.
0.7251886467849957		SimpleArgument(Lee,List([0, 3)))	Relation(sold the paper in,List([4, 8), [9, 18), [32, 34)))	TemporalArgument(1979,List([35, 39)))	Lee and Philip sold the paper to McClatchy in 1979.
0.9324144673478683		SimpleArgument(Lee,List([0, 3)))	Relation(sold the paper to,List([4, 8), [9, 18), [19, 21)))	SimpleArgument(McClatchy,List([22, 31)))	Lee and Philip sold the paper to McClatchy in 1979.
0.9383119524695255		SimpleArgument(Lee,List([0, 3)))	Relation(sold,List([4, 8)))	SimpleArgument(the paper,List([9, 18)))	Lee and Philip sold the paper to McClatchy in 1979.
0.547338059826203		SimpleArgument(it,List([43, 45)))	Relation(became a morning paper After,List([0, 5), [46, 62), [63, 68)))	TemporalArgument(over 30 years as an afternoon paper,List([6, 41)))	After over 30 years as an afternoon paper, it became a morning paper in 1984.
0.22506131975927415		SimpleArgument(it,List([43, 45)))	Relation(became a morning paper in,List([46, 52), [53, 68), [69, 71)))	TemporalArgument(1984,List([72, 76)))	After over 30 years as an afternoon paper, it became a morning paper in 1984.
0.45170382506656653		SimpleArgument(it,List([43, 45)))	Relation(became,List([46, 52)))	SimpleArgument(a morning paper,List([53, 68)))	After over 30 years as an afternoon paper, it became a morning paper in 1984.
0.22506131975927415		SimpleArgument(It,List([0, 2)))	Relation(added a Saturday edition in,List([3, 8), [9, 27), [28, 30)))	TemporalArgument(1987,List([31, 35)))	It added a Saturday edition in 1987.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(added,List([3, 8)))	SimpleArgument(a Saturday edition,List([9, 27)))	It added a Saturday edition in 1987.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(serves Franklin counties in,List([3, 9), [10, 27), [28, 30)))	SpatialArgument(southeastern Washington,List([31, 54)))	It serves Benton and Franklin counties in southeastern Washington, and is read as far south as Hermiston, Oregon.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(serves,List([3, 9)))	SimpleArgument(Franklin counties,List([10, 27)))	It serves Benton and Franklin counties in southeastern Washington, and is read as far south as Hermiston, Oregon.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(serves Benton in,List([3, 9), [10, 16), [17, 19)))	SpatialArgument(southeastern Washington,List([20, 43)))	It serves Benton and Franklin counties in southeastern Washington, and is read as far south as Hermiston, Oregon.
0.4978219019954182		SimpleArgument(It,List([0, 2)))	Relation(serves,List([3, 9)))	SimpleArgument(Benton,List([10, 16)))	It serves Benton and Franklin counties in southeastern Washington, and is read as far south as Hermiston, Oregon.
0.1948871917044894		SimpleArgument(It,List([0, 2)))	Relation(is read as far south,List([3, 23)))		It serves Benton and Franklin counties in southeastern Washington, and is read as far south as Hermiston, Oregon.
0.870497230970792		SimpleArgument(striking workers of the Herald,List([9, 39)))	Relation(launched a morning competitor In,List([0, 2), [40, 58), [59, 69)))	TemporalArgument(1950,List([3, 7)))	In 1950, striking workers of the Herald launched a morning competitor, Columbia Basin News, in Pasco.
0.9107651126084528		SimpleArgument(striking workers of the Herald,List([9, 39)))	Relation(launched a morning competitor in,List([40, 48), [49, 69), [92, 94)))	SpatialArgument(Pasco,List([95, 100)))	In 1950, striking workers of the Herald launched a morning competitor, Columbia Basin News, in Pasco.
0.9285266528034064		SimpleArgument(striking workers of the Herald,List([9, 39)))	Relation(launched,List([40, 48)))	SimpleArgument(a morning competitor,List([49, 69)))	In 1950, striking workers of the Herald launched a morning competitor, Columbia Basin News, in Pasco.
0.8672693270989391		SimpleArgument(the Tri-Cities,List([36, 50)))	Relation(was one of the smallest U.S. markets with two competing daily newspapers From,List([0, 4), [51, 112), [113, 123)))	TemporalArgument(1950,List([5, 9)))	From 1950 until the summer of 1963, the Tri-Cities was one of the smallest U.S. markets with two competing daily newspapers.
0.9699974998635915		SimpleArgument(the Tri-Cities,List([36, 50)))	Relation(was,List([51, 54)))	SimpleArgument(one of the smallest U.S. markets with two competing daily newspapers,List([55, 123)))	From 1950 until the summer of 1963, the Tri-Cities was one of the smallest U.S. markets with two competing daily newspapers.
0.8306090960787457		SimpleArgument(Columbia Basin News,List([0, 19)))	Relation(printed its last issue in,List([20, 27), [28, 42), [43, 45)))	TemporalArgument(1963,List([46, 50)))	Columbia Basin News printed its last issue in 1963.
0.883042269491254		SimpleArgument(Columbia Basin News,List([0, 19)))	Relation(printed,List([20, 27)))	SimpleArgument(its last issue,List([28, 42)))	Columbia Basin News printed its last issue in 1963.
0.9726855614196764		SimpleArgument(The Tri-City Herald,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(the only major English - language newspaper in Washington east of south of Spokane,List([23, 105)))	The Tri-City Herald is the only major English-language newspaper in Washington east of Yakima and south of Spokane.
0.9726855614196764		SimpleArgument(The Tri-City Herald,List([0, 19)))	Relation(is,List([20, 22)))	SimpleArgument(the only major English - language newspaper in Washington east of Yakima,List([23, 95)))	The Tri-City Herald is the only major English-language newspaper in Washington east of Yakima and south of Spokane.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(national other typical pieces of information,List([19, 63)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(local other typical pieces of information,List([19, 60)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(national comic strips,List([19, 40)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(local comic strips,List([19, 37)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(national movie listings,List([19, 42)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(local movie listings,List([19, 39)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(national sports information,List([19, 46)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(local sports information,List([19, 43)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(national opinion columns,List([19, 43)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(local opinion columns,List([19, 40)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(national news,List([19, 32)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
0.9030401971054747		SimpleArgument(The paper,List([0, 9)))	Relation(features,List([10, 18)))	SimpleArgument(local news,List([19, 29)))	The paper features local and national news, opinion columns, sports information, movie listings, comic strips, and other typical pieces of information.
