0.30899953469486874		SimpleArgument(We,List([0, 2)))	Relation(Work Hard for,List([3, 12), [13, 16)))	SimpleArgument(You,List([17, 20)))	We Work Hard for You.
0.4649296389869295		SimpleArgument(you,List([11, 14)))	Relation(to visit the most convenient location for,List([15, 23), [24, 52), [53, 56)))	SimpleArgument(you,List([57, 60)))	He invites you to visit the most convenient location for you, or to contact him about his free mobile service.
0.6155020116081594		SimpleArgument(you,List([11, 14)))	Relation(to visit,List([15, 23)))	SimpleArgument(the most convenient location,List([24, 52)))	He invites you to visit the most convenient location for you, or to contact him about his free mobile service.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(invites you to,List([3, 10), [11, 14), [15, 17)))	SimpleArgument(visit the most convenient location for you,List([18, 60)))	He invites you to visit the most convenient location for you, or to contact him about his free mobile service.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(invites,List([3, 10)))	SimpleArgument(you,List([11, 14)))	He invites you to visit the most convenient location for you, or to contact him about his free mobile service.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(the owner of 7 Stars Auto Glass in Houston,List([5, 47)))	My name is Leevr Yalda and I am the owner of 7 Stars Auto Glass in Spring and Houston Texas.
0.8847999636040884		SimpleArgument(I,List({0}))	Relation(am the owner of,List([2, 17)))	SimpleArgument(7 Stars Auto Glass,List([18, 36)))	My name is Leevr Yalda and I am the owner of 7 Stars Auto Glass in Spring and Houston Texas.
0.5680679595514976		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(the owner of 7 Stars Auto Glass in Spring,List([5, 46)))	My name is Leevr Yalda and I am the owner of 7 Stars Auto Glass in Spring and Houston Texas.
0.7378635968700462		SimpleArgument(My name,List([0, 7)))	Relation(is,List([8, 10)))	SimpleArgument(Leevr Yalda,List([11, 22)))	My name is Leevr Yalda and I am the owner of 7 Stars Auto Glass in Spring and Houston Texas.
0.7478086401923082		SimpleArgument(my own boss -- with,List([27, 46)))	Relation(entails,List([69, 76)))	SimpleArgument(all the benefits,List([47, 63)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.2743125465364158		SimpleArgument(I,List({0}))	Relation(to be,List([21, 26)))	SimpleArgument(my own boss -- with all the benefits,List([27, 63)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.22015391053105568		SimpleArgument(I,List({0}))	Relation(have wanted to be my own boss -- with all the benefits,List([2, 6), [14, 20), [21, 63)))	TemporalArgument(always,List([7, 13)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.22598218974525264		SimpleArgument(I,List({0}))	Relation(have wanted to,List([2, 6), [14, 20), [21, 23)))	SimpleArgument(be my own boss -- with all the benefits,List([24, 63)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.7478086401923082		SimpleArgument(my own boss -- with,List([27, 46)))	Relation(entails,List([70, 77)))	SimpleArgument(all the headaches,List([47, 64)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.2743125465364158		SimpleArgument(I,List({0}))	Relation(to be,List([21, 26)))	SimpleArgument(my own boss -- with all the headaches,List([27, 64)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.22015391053105568		SimpleArgument(I,List({0}))	Relation(have wanted to be my own boss -- with all the headaches,List([2, 6), [14, 20), [21, 64)))	TemporalArgument(always,List([7, 13)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.22598218974525264		SimpleArgument(I,List({0}))	Relation(have wanted to,List([2, 6), [14, 20), [21, 23)))	SimpleArgument(be my own boss -- with all the headaches,List([24, 64)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.183516546672029	Context(I have wanted,List([0, 20)))	SimpleArgument(I,List({0}))	Relation(have wanted to own,List([2, 6), [14, 20), [21, 27)))	SimpleArgument(my own business,List([28, 43)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.17853087458024205		SimpleArgument(I,List({0}))	Relation(have wanted to own my own business,List([2, 6), [14, 20), [21, 43)))	TemporalArgument(always,List([7, 13)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.183516546672029		SimpleArgument(I,List({0}))	Relation(have wanted to,List([2, 6), [14, 20), [21, 23)))	SimpleArgument(own my own business,List([24, 43)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.45592395356914683		SimpleArgument(I,List({0}))	Relation(to have found my place,List([13, 26), [27, 35)))	SpatialArgument(here in the Houston area,List([36, 60)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.2743125465364158		SimpleArgument(I,List({0}))	Relation(to have found,List([13, 26)))	SimpleArgument(my place,List([27, 35)))	I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.1948871917044894		SimpleArgument(I,List({0}))	Relation(am blessed,List([2, 12)))		I have always wanted to own my own business and be my own boss -- with all the headaches and benefits that entails -- and I am blessed to have found my place here in the Houston area.
0.9251282565798027		SimpleArgument(that difference,List([0, 15)))	Relation(is,List([16, 18)))	SimpleArgument(customer service,List([19, 35)))	I work very hard at bringing something different to the auto glass market, and that difference is customer service.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(work very hard at,List([2, 16), [17, 19)))	SimpleArgument(bringing something different to the auto glass market,List([20, 73)))	I work very hard at bringing something different to the auto glass market, and that difference is customer service.
0.2687035958060655		SimpleArgument(I,List({0}))	Relation(to making as pleasant,List([15, 24), [49, 60)))	SimpleArgument(your experience,List([25, 40)))	I know that you probably don't want to buy auto glass services (who does?), but I am dedicated to making your experience with me as painless and pleasant as possible!
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(am dedicated to,List([2, 14), [15, 17)))	SimpleArgument(making your experience with me as pleasant as possible,List([18, 72)))	I know that you probably don't want to buy auto glass services (who does?), but I am dedicated to making your experience with me as painless and pleasant as possible!
0.13814305408297275		SimpleArgument(I,List({0}))	Relation(to making your experience as,List([15, 24), [25, 40), [49, 51)))	SimpleArgument(painless,List([52, 60)))	I know that you probably don't want to buy auto glass services (who does?), but I am dedicated to making your experience with me as painless and pleasant as possible!
0.2743125465364158		SimpleArgument(I,List({0}))	Relation(to making your experience with,List([15, 24), [25, 40), [41, 45)))	SimpleArgument(me,List([46, 48)))	I know that you probably don't want to buy auto glass services (who does?), but I am dedicated to making your experience with me as painless and pleasant as possible!
0.2743125465364158		SimpleArgument(I,List({0}))	Relation(to making,List([15, 24)))	SimpleArgument(your experience,List([25, 40)))	I know that you probably don't want to buy auto glass services (who does?), but I am dedicated to making your experience with me as painless and pleasant as possible!
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(am dedicated to,List([2, 14), [15, 17)))	SimpleArgument(making your experience with me as painless,List([18, 60)))	I know that you probably don't want to buy auto glass services (who does?), but I am dedicated to making your experience with me as painless and pleasant as possible!
0.5520449397565844	Context(I know you probably do n't want,List([0, 36)))	SimpleArgument(you,List([12, 15)))	Relation(probably do n't want to buy,List([16, 36), [37, 43)))	SimpleArgument(auto glass services ( who does,List([44, 74)))	I know that you probably don't want to buy auto glass services (who does?), but I am dedicated to making your experience with me as painless and pleasant as possible!
0.5520449397565844	Context(I know,List([0, 6)))	SimpleArgument(you,List([12, 15)))	Relation(probably do n't want to,List([16, 36), [37, 39)))	SimpleArgument(buy auto glass services,List([40, 63)))	I know that you probably don't want to buy auto glass services (who does?), but I am dedicated to making your experience with me as painless and pleasant as possible!
0.3557055808979406		SimpleArgument(I,List({0}))	Relation(know that,List([2, 6), [7, 11)))	SimpleArgument(you probably do n't want to buy auto glass services,List([12, 63)))	I know that you probably don't want to buy auto glass services (who does?), but I am dedicated to making your experience with me as painless and pleasant as possible!
0.7181452631261411		SimpleArgument(auto glass services,List([44, 63)))	Relation(does,List([70, 74)))		I know that you probably don't want to buy auto glass services (who does?), but I am dedicated to making your experience with me as painless and pleasant as possible!
0.17811017250728142		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(appreciative that you bring your business to me,List([5, 52)))	I know that you are the heart of my business, and I am grateful and appreciative that you bring your business to me!
0.4649296389869295		SimpleArgument(you,List([19, 22)))	Relation(bring your business to,List([23, 28), [29, 42), [43, 45)))	SimpleArgument(me,List([46, 48)))	I know that you are the heart of my business, and I am grateful and appreciative that you bring your business to me!
0.5354835179766892		SimpleArgument(you,List([19, 22)))	Relation(bring,List([23, 28)))	SimpleArgument(your business,List([29, 42)))	I know that you are the heart of my business, and I am grateful and appreciative that you bring your business to me!
0.17811017250728142		SimpleArgument(I,List({0}))	Relation(am,List([2, 4)))	SimpleArgument(grateful that you bring your business to me,List([5, 48)))	I know that you are the heart of my business, and I am grateful and appreciative that you bring your business to me!
0.4102866932483428	Context(I know,List([0, 6)))	SimpleArgument(you,List([12, 15)))	Relation(are,List([16, 19)))	SimpleArgument(the heart of my business,List([20, 44)))	I know that you are the heart of my business, and I am grateful and appreciative that you bring your business to me!
0.263652756827333		SimpleArgument(I,List({0}))	Relation(know that,List([2, 6), [7, 11)))	SimpleArgument(you are the heart of my business,List([12, 44)))	I know that you are the heart of my business, and I am grateful and appreciative that you bring your business to me!
