0.886695286966665		SimpleArgument(Loris Zeppieri,List([0, 14)))	Relation(is a partner in,List([15, 30)))	SimpleArgument(the law firm,List([31, 43)))	Loris Zeppieri is a partner in the law firm of KELLY, RODE & KELLY, LLP which was formed in 1956.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including medical general negligence,List([21, 131)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including hospital contracts,List([37, 123)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including hospital contracts,List([21, 123)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including medical contracts,List([37, 122)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including medical contracts,List([21, 122)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including hospital products liability,List([37, 132)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including hospital products liability,List([21, 132)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including medical products liability,List([37, 131)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including medical products liability,List([21, 131)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including hospital labor law,List([37, 123)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including hospital labor law,List([21, 123)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including medical labor law,List([37, 122)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including medical labor law,List([21, 122)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including hospital malpractice,List([37, 125)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including hospital malpractice,List([21, 125)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.9313202850666147		SimpleArgument(cases,List([21, 26)))	Relation(involving,List([27, 36)))	SimpleArgument(all aspects of civil litigation from inception to trial , including medical malpractice,List([37, 124)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.952945494449658		SimpleArgument(Mr. Zeppieri,List([0, 12)))	Relation(handles,List([13, 20)))	SimpleArgument(cases involving all aspects of civil litigation from inception to trial , including medical malpractice,List([21, 124)))	Mr. Zeppieri handles cases involving all aspects of civil litigation from inception to trial, including medical and hospital malpractice, labor law, products liability, contracts, general negligence and appeals.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(was born in,List([3, 11), [33, 35)))	TemporalArgument(1973,List([36, 40)))	He was born in Mineola, New York in 1973.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was born in,List([3, 11), [12, 14)))	SpatialArgument(Mineola,List([15, 22)))	He was born in Mineola, New York in 1973.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(received his undergraduate degree in,List([3, 11), [12, 36), [61, 63)))	TemporalArgument(1994,List([64, 68)))	He graduated from Chaminade High School, a prestigious private high school school in Mineola, New York in 1991 and received his undergraduate degree from Adelphi University in 1994.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(received his undergraduate degree from,List([3, 11), [12, 36), [37, 41)))	SimpleArgument(Adelphi University,List([42, 60)))	He graduated from Chaminade High School, a prestigious private high school school in Mineola, New York in 1991 and received his undergraduate degree from Adelphi University in 1994.
0.30899953469486874		SimpleArgument(He,List([0, 2)))	Relation(received,List([3, 11)))	SimpleArgument(his undergraduate degree,List([12, 36)))	He graduated from Chaminade High School, a prestigious private high school school in Mineola, New York in 1991 and received his undergraduate degree from Adelphi University in 1994.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(graduated from,List([3, 12), [13, 17)))	SimpleArgument(Chaminade High School,List([18, 39)))	He graduated from Chaminade High School, a prestigious private high school school in Mineola, New York in 1991 and received his undergraduate degree from Adelphi University in 1994.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(graduated in,List([3, 12), [13, 15)))	TemporalArgument(1997,List([16, 20)))	He then attended St. John's University School of Law and graduated in 1997 with a Juris Doctorate (J.D.) degree.
0.3048426724432105		SimpleArgument(He,List([0, 2)))	Relation(attended St. John 's University School of Law,List([8, 16), [17, 53)))	TemporalArgument(then,List([3, 7)))	He then attended St. John's University School of Law and graduated in 1997 with a Juris Doctorate (J.D.) degree.
0.45592395356914683		SimpleArgument(He,List([0, 2)))	Relation(attended,List([8, 16)))	SimpleArgument(St. John 's University School of Law,List([17, 53)))	He then attended St. John's University School of Law and graduated in 1997 with a Juris Doctorate (J.D.) degree.
0.4978219019954182		SimpleArgument(he,List([78, 80)))	Relation(participated in,List([81, 93), [94, 96)))	SimpleArgument(a National Moot Court competition,List([97, 130)))	At St. John's, Mr. Zeppieri was a Senior Board Member of the Moot Court where he participated in a National Moot Court competition.
0.9673087829511258		SimpleArgument(Mr. Zeppieri,List([15, 27)))	Relation(was a Senior Board Member of the Moot Court At,List([0, 2), [28, 65), [66, 71)))	SpatialArgument(St. John's,List([3, 13)))	At St. John's, Mr. Zeppieri was a Senior Board Member of the Moot Court where he participated in a National Moot Court competition.
0.9527410621066101		SimpleArgument(Mr. Zeppieri,List([15, 27)))	Relation(was,List([28, 31)))	SimpleArgument(a Senior Board Member of the Moot Court,List([32, 71)))	At St. John's, Mr. Zeppieri was a Senior Board Member of the Moot Court where he participated in a National Moot Court competition.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(was also,List([3, 11)))	SimpleArgument(a member of the Civil Trial Institute, an editor of The Litigator, and on the staff of the International Law Journal,List([12, 128)))	He was also a member of the Civil Trial Institute, an editor of The Litigator, and on the staff of the International Law Journal.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was admitted to the New York State Bar in,List([3, 15), [16, 41), [42, 44)))	TemporalArgument(January, 1998,List([45, 58)))	He was admitted to the New York State Bar in January, 1998.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was admitted to,List([3, 15), [16, 18)))	SimpleArgument(the New York State Bar,List([19, 41)))	He was admitted to the New York State Bar in January, 1998.
0.9147307892584072		SimpleArgument(the NITA Program at Hofstra University,List([30, 68)))	Relation(is,List([75, 77)))	SimpleArgument(an intensive trial advocacy program,List([78, 113)))	In August, 2000, he completed the NITA Program at Hofstra University which is an intensive trial advocacy program.
0.6587396586193182		SimpleArgument(he,List([17, 19)))	Relation(completed the NITA Program at Hofstra University In,List([0, 2), [20, 57), [58, 68)))	TemporalArgument(August, 2000,List([3, 15)))	In August, 2000, he completed the NITA Program at Hofstra University which is an intensive trial advocacy program.
0.4978219019954182		SimpleArgument(he,List([17, 19)))	Relation(completed,List([20, 29)))	SimpleArgument(the NITA Program at Hofstra University,List([30, 68)))	In August, 2000, he completed the NITA Program at Hofstra University which is an intensive trial advocacy program.
