0.06863405377245163		SimpleArgument(that,List([47, 51)))	Relation(is,List([52, 54)))	SimpleArgument(even possible,List([55, 68)))	great entertainment at an even better price if that is even possible.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(grew into a world,List([2, 6), [7, 19)))	TemporalArgument(focused life,List([20, 32)))	I moved away from the original love of my life and it started out as love poems to her and grew into a world focused life.
0.45170382506656653		SimpleArgument(I,List({0}))	Relation(grew into,List([2, 6), [7, 11)))	SimpleArgument(a world,List([12, 19)))	I moved away from the original love of my life and it started out as love poems to her and grew into a world focused life.
0.30899953469486874		SimpleArgument(it,List([0, 2)))	Relation(started out as,List([3, 14), [15, 17)))	SimpleArgument(love poems to her focused life,List([18, 48)))	I moved away from the original love of my life and it started out as love poems to her and grew into a world focused life.
0.41051436014453063		SimpleArgument(I,List({0}))	Relation(focused,List([47, 54)))	SimpleArgument(life,List([55, 59)))	I moved away from the original love of my life and it started out as love poems to her and grew into a world focused life.
0.30899953469486874		SimpleArgument(I,List({0}))	Relation(moved,List([2, 7)))	SimpleArgument(away from the original love of my life,List([8, 46)))	I moved away from the original love of my life and it started out as love poems to her and grew into a world focused life.
0.8615336728347339		SimpleArgument(products,List([31, 39)))	Relation(could grow,List([45, 55)))	SimpleArgument(all aspect of my local community , from small businesses , to fixing parks to building communities from the ground,List([56, 170)))	I Started focusing on community efforts and creating products that could grow all aspect of my local community, from small businesses, to fixing parks to building communities from the ground.
0.39746064682094406	Context(I Started,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(Started focusing on,List([2, 9), [10, 18), [19, 21)))	SimpleArgument(creating products,List([22, 39)))	I Started focusing on community efforts and creating products that could grow all aspect of my local community, from small businesses, to fixing parks to building communities from the ground.
0.39746064682094406		SimpleArgument(I,List({0}))	Relation(Started,List([2, 9)))	SimpleArgument(focusing on creating products,List([10, 39)))	I Started focusing on community efforts and creating products that could grow all aspect of my local community, from small businesses, to fixing parks to building communities from the ground.
0.39746064682094406	Context(I Started,List([0, 9)))	SimpleArgument(I,List({0}))	Relation(Started focusing on,List([2, 9), [10, 18), [19, 21)))	SimpleArgument(community efforts,List([22, 39)))	I Started focusing on community efforts and creating products that could grow all aspect of my local community, from small businesses, to fixing parks to building communities from the ground.
0.39746064682094406		SimpleArgument(I,List({0}))	Relation(Started,List([2, 9)))	SimpleArgument(focusing on community efforts,List([10, 39)))	I Started focusing on community efforts and creating products that could grow all aspect of my local community, from small businesses, to fixing parks to building communities from the ground.
