0.949419443712137		SimpleArgument(Peter J. McLachlan,List([0, 18)))	Relation(was,List([52, 55)))	SimpleArgument(a unionist politician in Northern Ireland,List([56, 97)))	Peter J. McLachlan (21 August 1936 – 4 August 1999) was a unionist politician in Northern Ireland.
0.8592111619294878		SimpleArgument(McLachlan,List([16, 25)))	Relation(becoming member of the executive of the Northern Ireland Association for the Resettlement of Offenders,List([61, 69), [70, 163)))	TemporalArgument(later,List([55, 60)))	With his wife, McLachlan fostered teenage offenders, later becoming member of the executive of the Northern Ireland Association for the Care and Resettlement of Offenders.
0.9492443998687922		SimpleArgument(McLachlan,List([16, 25)))	Relation(becoming,List([61, 69)))	SimpleArgument(member of the executive of the Northern Ireland Association for the Resettlement of Offenders,List([70, 163)))	With his wife, McLachlan fostered teenage offenders, later becoming member of the executive of the Northern Ireland Association for the Care and Resettlement of Offenders.
0.948561270304877		SimpleArgument(McLachlan,List([16, 25)))	Relation(fostered teenage offenders,List([26, 34), [35, 52)))	SimpleArgument(later becoming member of the executive of the Northern Ireland Association for the Resettlement of Offenders,List([55, 163)))	With his wife, McLachlan fostered teenage offenders, later becoming member of the executive of the Northern Ireland Association for the Care and Resettlement of Offenders.
0.5		SimpleArgument(McLachlan,List([16, 25)))	Relation([is] wife [of],List([9, 13)))	SimpleArgument(him,List([5, 8)))	With his wife, McLachlan fostered teenage offenders, later becoming member of the executive of the Northern Ireland Association for the Care and Resettlement of Offenders.
0.8592111619294878		SimpleArgument(McLachlan,List([16, 25)))	Relation(becoming member of the executive of the Northern Ireland Association for the Care of Offenders,List([61, 69), [70, 155)))	TemporalArgument(later,List([55, 60)))	With his wife, McLachlan fostered teenage offenders, later becoming member of the executive of the Northern Ireland Association for the Care and Resettlement of Offenders.
0.9492443998687922		SimpleArgument(McLachlan,List([16, 25)))	Relation(becoming,List([61, 69)))	SimpleArgument(member of the executive of the Northern Ireland Association for the Care of Offenders,List([70, 155)))	With his wife, McLachlan fostered teenage offenders, later becoming member of the executive of the Northern Ireland Association for the Care and Resettlement of Offenders.
0.948561270304877		SimpleArgument(McLachlan,List([16, 25)))	Relation(fostered teenage offenders,List([26, 34), [35, 52)))	SimpleArgument(later becoming member of the executive of the Northern Ireland Association for the Care of Offenders,List([55, 155)))	With his wife, McLachlan fostered teenage offenders, later becoming member of the executive of the Northern Ireland Association for the Care and Resettlement of Offenders.
0.9197759696552441		SimpleArgument(McLachlan,List([16, 25)))	Relation(fostered,List([26, 34)))	SimpleArgument(teenage offenders,List([35, 52)))	With his wife, McLachlan fostered teenage offenders, later becoming member of the executive of the Northern Ireland Association for the Care and Resettlement of Offenders.
0.9210233335200773		SimpleArgument(McLachlan,List([9, 18)))	Relation(to work as,List([37, 44), [45, 47)))	SimpleArgument(a civil servant at the Ministry of Finance,List([48, 90)))	In 1973, McLachlan moved to Lisburn, to work as a civil servant at the Ministry of Finance.
0.8557456177405949		SimpleArgument(McLachlan,List([9, 18)))	Relation(moved to Lisburn In,List([0, 2), [19, 27), [28, 35)))	TemporalArgument(1973,List([3, 7)))	In 1973, McLachlan moved to Lisburn, to work as a civil servant at the Ministry of Finance.
0.9352546478442636		SimpleArgument(McLachlan,List([9, 18)))	Relation(moved to Lisburn to,List([19, 24), [25, 35), [37, 39)))	SimpleArgument(work as a civil servant at the Ministry of Finance,List([40, 90)))	In 1973, McLachlan moved to Lisburn, to work as a civil servant at the Ministry of Finance.
0.9324144673478683		SimpleArgument(McLachlan,List([9, 18)))	Relation(moved to,List([19, 24), [25, 27)))	SimpleArgument(Lisburn,List([28, 35)))	In 1973, McLachlan moved to Lisburn, to work as a civil servant at the Ministry of Finance.
0.4978219019954182		SimpleArgument(he,List([0, 2)))	Relation(served as,List([3, 9), [10, 12)))	SimpleArgument(President of the South Antrim Unionist Association,List([13, 63)))	He rapidly became a full-time consultant to leader of the Ulster Unionist Party (UUP) Brian Faulkner, and he served as President of the South Antrim Unionist Association from 1973 to 1974.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(rapidly became,List([3, 17)))	SimpleArgument(a full - time consultant to leader of the Ulster Unionist Party,List([18, 81)))	He rapidly became a full-time consultant to leader of the Ulster Unionist Party (UUP) Brian Faulkner, and he served as President of the South Antrim Unionist Association from 1973 to 1974.
0.7508836390842847		SimpleArgument(the last candidate,List([99, 117)))	Relation(elected,List([118, 125)))		He stood for the UUP in South Antrim at the Northern Ireland Assembly election, 1973, where he was the last candidate elected.
0.7029902927812026		SimpleArgument(he,List([92, 94)))	Relation(was the last candidate elected,List([95, 98), [99, 125)))	SpatialArgument(the UUP in South Antrim at the Northern Ireland Assembly election,List([13, 78)))	He stood for the UUP in South Antrim at the Northern Ireland Assembly election, 1973, where he was the last candidate elected.
0.5222094630377523		SimpleArgument(he,List([92, 94)))	Relation(was,List([95, 98)))	SimpleArgument(the last candidate elected,List([99, 125)))	He stood for the UUP in South Antrim at the Northern Ireland Assembly election, 1973, where he was the last candidate elected.
0.6138676038426771		SimpleArgument(He,List([0, 2)))	Relation(stood for,List([3, 8), [9, 12)))	SimpleArgument(the UUP in South Antrim at the Northern Ireland Assembly election,List([13, 78)))	He stood for the UUP in South Antrim at the Northern Ireland Assembly election, 1973, where he was the last candidate elected.
0.5926659981335703		SimpleArgument(he,List([18, 20)))	Relation(was a leading supporter of power sharing , active in negotiations with the Labour Party On,List([0, 2), [21, 102), [103, 108)))	TemporalArgument(the Assembly,List([3, 15)))	On the Assembly, he was a leading supporter of power sharing, active in negotiations with the Social Democratic and Labour Party.
0.6783685094789625		SimpleArgument(he,List([18, 20)))	Relation(was,List([21, 24)))	SimpleArgument(a leading supporter of power sharing , active in negotiations with the Labour Party,List([25, 108)))	On the Assembly, he was a leading supporter of power sharing, active in negotiations with the Social Democratic and Labour Party.
0.5926659981335703		SimpleArgument(he,List([18, 20)))	Relation(was a leading supporter of power sharing , active in negotiations with the Social Democratic Party On,List([0, 2), [21, 113), [114, 119)))	TemporalArgument(the Assembly,List([3, 15)))	On the Assembly, he was a leading supporter of power sharing, active in negotiations with the Social Democratic and Labour Party.
0.6783685094789625		SimpleArgument(he,List([18, 20)))	Relation(was,List([21, 24)))	SimpleArgument(a leading supporter of power sharing , active in negotiations with the Social Democratic Party,List([25, 119)))	On the Assembly, he was a leading supporter of power sharing, active in negotiations with the Social Democratic and Labour Party.
0.4978219019954182		SimpleArgument(he,List([0, 2)))	Relation(spent a year as,List([3, 8), [9, 15), [16, 18)))	SimpleArgument(Chairman of the Unionist Society,List([19, 51)))	In 1974, McLachlan joined Faulkner's new Unionist Party of Northern Ireland, continuing to act as a political consultant, and he spent a year as Chairman of the Unionist Society.
0.5222094630377523		SimpleArgument(he,List([0, 2)))	Relation(spent,List([3, 8)))	SimpleArgument(a year,List([9, 15)))	In 1974, McLachlan joined Faulkner's new Unionist Party of Northern Ireland, continuing to act as a political consultant, and he spent a year as Chairman of the Unionist Society.
0.852130044887511	Context(McLachlan joined,List([10, 26)))	SimpleArgument(McLachlan,List([10, 19)))	Relation(joined Faulkner 's new Unionist Party of Northern Ireland continuing to,List([20, 26), [27, 35), [36, 38)))	SimpleArgument(act as a political consultant,List([94, 123)))	In 1974, McLachlan joined Faulkner's new Unionist Party of Northern Ireland, continuing to act as a political consultant, and he spent a year as Chairman of the Unionist Society.
0.8583334980821581		SimpleArgument(McLachlan,List([10, 19)))	Relation(joined Faulkner 's new Unionist Party of Northern Ireland In,List([0, 2), [20, 69), [70, 77)))	TemporalArgument(1974,List([3, 7)))	In 1974, McLachlan joined Faulkner's new Unionist Party of Northern Ireland, continuing to act as a political consultant, and he spent a year as Chairman of the Unionist Society.
0.9139478779591064		SimpleArgument(McLachlan,List([10, 19)))	Relation(joined,List([20, 26)))	SimpleArgument(Faulkner 's new Unionist Party of Northern Ireland,List([27, 77)))	In 1974, McLachlan joined Faulkner's new Unionist Party of Northern Ireland, continuing to act as a political consultant, and he spent a year as Chairman of the Unionist Society.
0.41051436014453063		SimpleArgument(he,List([42, 44)))	Relation(taking,List([92, 98)))	SimpleArgument(second place,List([99, 111)))	At the UK general election, October 1974, he stood unsuccessfully for UPNI in Belfast East, taking second place with 27% of the vote.
0.6619401263303404		SimpleArgument(he,List([42, 44)))	Relation(stood unsuccessfully for UPNI in Belfast East,List([45, 65), [66, 90)))	TemporalArgument(October 1974,List([28, 40)))	At the UK general election, October 1974, he stood unsuccessfully for UPNI in Belfast East, taking second place with 27% of the vote.
0.6587396586193182		SimpleArgument(he,List([42, 44)))	Relation(stood unsuccessfully for UPNI in Belfast East At,List([0, 50), [51, 85), [86, 90)))	SpatialArgument(the UK general election,List([3, 26)))	At the UK general election, October 1974, he stood unsuccessfully for UPNI in Belfast East, taking second place with 27% of the vote.
0.4978219019954182		SimpleArgument(he,List([42, 44)))	Relation(stood unsuccessfully for,List([45, 65), [66, 69)))	SimpleArgument(UPNI in Belfast East,List([70, 90)))	At the UK general election, October 1974, he stood unsuccessfully for UPNI in Belfast East, taking second place with 27% of the vote.
0.31264665573320355		SimpleArgument(He,List([0, 2)))	Relation(losing,List([93, 99)))	SimpleArgument(his South Antrim seat,List([100, 121)))	He was also unsuccessful at the Northern Ireland Constitutional Convention election in 1975, losing his South Antrim seat.
0.15939332484157967		SimpleArgument(He,List([0, 2)))	Relation(was also unsuccessful in,List([3, 11), [12, 24), [84, 86)))	TemporalArgument(1975,List([87, 91)))	He was also unsuccessful at the Northern Ireland Constitutional Convention election in 1975, losing his South Antrim seat.
0.4978219019954182		SimpleArgument(He,List([0, 2)))	Relation(was also unsuccessful at,List([3, 11), [12, 24), [25, 27)))	SpatialArgument(the Northern Ireland Constitutional Convention election,List([28, 83)))	He was also unsuccessful at the Northern Ireland Constitutional Convention election in 1975, losing his South Antrim seat.
0.22506131975927415		SimpleArgument(He,List([0, 2)))	Relation(was also,List([3, 11)))	SimpleArgument(unsuccessful,List([12, 24)))	He was also unsuccessful at the Northern Ireland Constitutional Convention election in 1975, losing his South Antrim seat.
0.7735794665865495		SimpleArgument(McLachlan,List([0, 9)))	Relation(before resigning in,List([41, 57), [58, 60)))	TemporalArgument(1980,List([61, 65)))	McLachlan was a founding member of Peace People, in 1976, and became Chairman of the group, before resigning in 1980.
0.7251886467849957		SimpleArgument(McLachlan,List([0, 9)))	Relation(became Chairman of the group before,List([10, 16), [17, 38), [41, 47)))	TemporalArgument(resigning in 1980,List([48, 65)))	McLachlan was a founding member of Peace People, in 1976, and became Chairman of the group, before resigning in 1980.
0.9324144673478683		SimpleArgument(McLachlan,List([0, 9)))	Relation(became,List([10, 16)))	SimpleArgument(Chairman of the group,List([17, 38)))	McLachlan was a founding member of Peace People, in 1976, and became Chairman of the group, before resigning in 1980.
0.7251886467849957		SimpleArgument(McLachlan,List([0, 9)))	Relation(was a founding member of Peace People in,List([10, 13), [14, 47), [50, 52)))	TemporalArgument(1976,List([53, 57)))	McLachlan was a founding member of Peace People, in 1976, and became Chairman of the group, before resigning in 1980.
0.9481947648689547		SimpleArgument(McLachlan,List([0, 9)))	Relation(was,List([10, 13)))	SimpleArgument(a founding member of Peace People,List([14, 47)))	McLachlan was a founding member of Peace People, in 1976, and became Chairman of the group, before resigning in 1980.
0.27151678565896326		SimpleArgument(He,List([0, 2)))	Relation(spent the remainder of his life with the Belfast Voluntary Welfare Society,List([3, 8), [9, 77)))	TemporalArgument(first as general secretary, then as its director,List([79, 127)))	He spent the remainder of his life with the Belfast Voluntary Welfare Society, first as general secretary, then as its director.
0.5337666212575038		SimpleArgument(He,List([0, 2)))	Relation(spent,List([3, 8)))	SimpleArgument(the remainder of his life with the Belfast Voluntary Welfare Society,List([9, 77)))	He spent the remainder of his life with the Belfast Voluntary Welfare Society, first as general secretary, then as its director.
