0.8550806581371961		SimpleArgument(UNESCO,List([106, 112)))	Relation(designated,List([113, 123)))	SimpleArgument(biosphere reserves,List([124, 142)))	Monica is the National Coordinator of the Canadian Biosphere Reserves Association (CBRA), a network of 18 UNESCO designated biosphere reserves.
0.9047898841628703	Context(CBRA 's project with Climate Change Canada assesses how biosphere reserves can help,List([20, 109)))	SimpleArgument(how biosphere reserves,List([78, 100)))	Relation(can help to meet,List([101, 109), [110, 117)))	SimpleArgument(Canada Biodiversity Target 1,List([118, 146)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.9384239005297041	Context(CBRA 's project with Climate Change Canada assesses,List([20, 77)))	SimpleArgument(how biosphere reserves,List([78, 100)))	Relation(can help to,List([101, 109), [110, 112)))	SimpleArgument(meet Canada Biodiversity Target 1 ( Aichi Target 11 ) by 2020 through the recognition of Other Effective Area - Based Conservation Measures,List([113, 252)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.9297325645539299		SimpleArgument(CBRA 's project with Climate Change Canada,List([20, 62)))	Relation(assesses,List([69, 77)))	SimpleArgument(how biosphere reserves can help to meet Canada Biodiversity Target 1 ( Aichi Target 11 ) by 2020 through the recognition of Other Effective Area - Based Conservation Measures,List([78, 252)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.9210233335200773		SimpleArgument(Monica,List([0, 6)))	Relation(manages,List([12, 19)))	SimpleArgument(CBRA 's project with Climate Change Canada,List([20, 62)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.9384239005297041	Context(CBRA 's project with Environment Canada assesses,List([20, 74)))	SimpleArgument(how biosphere reserves,List([75, 97)))	Relation(can help to,List([98, 106), [107, 109)))	SimpleArgument(meet Canada Biodiversity Target 1 ( Aichi Target 11 ) by 2020 through the reporting of Other Effective Area - Based Conservation Measures,List([110, 247)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.9231513909349628		SimpleArgument(CBRA 's project with Environment Canada,List([20, 59)))	Relation(assesses,List([66, 74)))	SimpleArgument(how biosphere reserves can help to meet Canada Biodiversity Target 1 ( Aichi Target 11 ) by 2020 through the reporting of Other Effective Area - Based Conservation Measures,List([75, 247)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.6451024584324914	Context(CBRA 's project with Environment Canada assesses how biosphere reserves can help,List([20, 106)))	SimpleArgument(how biosphere reserves,List([75, 97)))	Relation(can help to meet Canada Biodiversity Target 1 by,List([98, 106), [107, 114), [115, 143), [164, 166)))	TemporalArgument(2020,List([167, 171)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.9047898841628703	Context(CBRA 's project with Environment Canada assesses how biosphere reserves can help,List([20, 106)))	SimpleArgument(how biosphere reserves,List([75, 97)))	Relation(can help to meet,List([98, 106), [107, 114)))	SimpleArgument(Canada Biodiversity Target 1,List([115, 143)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.9384239005297041	Context(CBRA 's project with Environment Canada assesses,List([20, 74)))	SimpleArgument(how biosphere reserves,List([75, 97)))	Relation(can help to,List([98, 106), [107, 109)))	SimpleArgument(meet Canada Biodiversity Target 1 ( Aichi Target 11 ) by 2020 through the recognition of Other Effective Area - Based Conservation Measures,List([110, 249)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.9231513909349628		SimpleArgument(CBRA 's project with Environment Canada,List([20, 59)))	Relation(assesses,List([66, 74)))	SimpleArgument(how biosphere reserves can help to meet Canada Biodiversity Target 1 ( Aichi Target 11 ) by 2020 through the recognition of Other Effective Area - Based Conservation Measures,List([75, 249)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.9210233335200773		SimpleArgument(Monica,List([0, 6)))	Relation(manages,List([12, 19)))	SimpleArgument(CBRA 's project with Environment Canada,List([20, 59)))	Monica also manages CBRA's project with Environment and Climate Change Canada which assesses how biosphere reserves can help to meet Canada Biodiversity Target 1 (Aichi Target 11) by 2020 through the recognition and reporting of Other Effective Area-Based Conservation Measures (OECMs).
0.948561270304877		SimpleArgument(Monica,List([0, 6)))	Relation(has been involved with biosphere reserves,List([7, 24), [25, 48)))	TemporalArgument(first as Coordinator of the Mount Arrowsmith UNESCO Biosphere Region at Vancouver Island University,List([61, 160)))	Monica has been involved with biosphere reserves since 2014, first as Coordinator of the Mount Arrowsmith UNESCO Biosphere Region at Vancouver Island University.
0.8016573080327372		SimpleArgument(Monica,List([0, 6)))	Relation(has been involved with biosphere reserves since,List([7, 24), [25, 48), [49, 54)))	TemporalArgument(2014,List([55, 59)))	Monica has been involved with biosphere reserves since 2014, first as Coordinator of the Mount Arrowsmith UNESCO Biosphere Region at Vancouver Island University.
0.9197759696552441		SimpleArgument(Monica,List([0, 6)))	Relation(has been involved with,List([7, 24), [25, 29)))	SimpleArgument(biosphere reserves,List([30, 48)))	Monica has been involved with biosphere reserves since 2014, first as Coordinator of the Mount Arrowsmith UNESCO Biosphere Region at Vancouver Island University.
0.19710908353723788		SimpleArgument(She,List([0, 3)))	Relation(speaks,List([8, 14)))	SimpleArgument(Spanish,List([15, 22)))	She was born and raised in Montreal, Quebec, speaks fluent English, French and Spanish, and currently lives in Victoria on Vancouver Island, British Columbia.
0.27813615858960106		SimpleArgument(She,List([0, 3)))	Relation(was,List([4, 7)))	SimpleArgument(speaks Spanish,List([8, 22)))	She was born and raised in Montreal, Quebec, speaks fluent English, French and Spanish, and currently lives in Victoria on Vancouver Island, British Columbia.
0.23577326450215205		SimpleArgument(She,List([0, 3)))	Relation(was,List([4, 7)))	SimpleArgument(speaks French,List([8, 21)))	She was born and raised in Montreal, Quebec, speaks fluent English, French and Spanish, and currently lives in Victoria on Vancouver Island, British Columbia.
0.6796597830231682		SimpleArgument(She was,List([0, 7)))	Relation(speaks,List([8, 14)))	SimpleArgument(fluent English,List([15, 29)))	She was born and raised in Montreal, Quebec, speaks fluent English, French and Spanish, and currently lives in Victoria on Vancouver Island, British Columbia.
0.2430782868395426		SimpleArgument(She,List([0, 3)))	Relation(was,List([4, 7)))		She was born and raised in Montreal, Quebec, speaks fluent English, French and Spanish, and currently lives in Victoria on Vancouver Island, British Columbia.
0.22015391053105568		SimpleArgument(She,List([0, 3)))	Relation(was lives,List([4, 7), [18, 23)))	TemporalArgument(currently,List([8, 17)))	She was born and raised in Montreal, Quebec, speaks fluent English, French and Spanish, and currently lives in Victoria on Vancouver Island, British Columbia.
0.3929209860966329		SimpleArgument(She,List([0, 3)))	Relation(was lives on,List([4, 7), [18, 23), [36, 38)))	SpatialArgument(Vancouver Island,List([39, 55)))	She was born and raised in Montreal, Quebec, speaks fluent English, French and Spanish, and currently lives in Victoria on Vancouver Island, British Columbia.
0.3929209860966329		SimpleArgument(She,List([0, 3)))	Relation(was lives in,List([4, 7), [18, 23), [24, 26)))	SpatialArgument(Victoria,List([27, 35)))	She was born and raised in Montreal, Quebec, speaks fluent English, French and Spanish, and currently lives in Victoria on Vancouver Island, British Columbia.
0.4978219019954182		SimpleArgument(She,List([0, 3)))	Relation(was raised in,List([4, 14), [15, 17)))	SpatialArgument(Montreal,List([18, 26)))	She was born and raised in Montreal, Quebec, speaks fluent English, French and Spanish, and currently lives in Victoria on Vancouver Island, British Columbia.
0.1948871917044894		SimpleArgument(She,List([0, 3)))	Relation(was born,List([4, 12)))		She was born and raised in Montreal, Quebec, speaks fluent English, French and Spanish, and currently lives in Victoria on Vancouver Island, British Columbia.
