0.8847641879927497		SimpleArgument(Medicine PS,List([15, 26)))	Relation([is] Family [of],List([8, 14)))	SimpleArgument(Cascade,List([0, 7)))	Cascade Family Medicine PS
0.45592395356914683		SimpleArgument(We,List([0, 2)))	Relation(in caring for,List([19, 28), [29, 32)))	SimpleArgument(patients with many chronic conditions including COPD,List([33, 85)))	We are experienced in caring for patients with many chronic conditions including hypertension, diabetes, COPD, asthma, allergies, and arthritis.
0.41051436014453063		SimpleArgument(We,List([0, 2)))	Relation(in caring for,List([19, 28), [29, 32)))	SimpleArgument(patients with many chronic conditions including diabetes,List([33, 89)))	We are experienced in caring for patients with many chronic conditions including hypertension, diabetes, COPD, asthma, allergies, and arthritis.
0.41051436014453063		SimpleArgument(We,List([0, 2)))	Relation(in caring for,List([19, 28), [29, 32)))	SimpleArgument(patients with many chronic conditions including hypertension,List([33, 93)))	We are experienced in caring for patients with many chronic conditions including hypertension, diabetes, COPD, asthma, allergies, and arthritis.
0.1948871917044894		SimpleArgument(We,List([0, 2)))	Relation(are experienced,List([3, 18)))		We are experienced in caring for patients with many chronic conditions including hypertension, diabetes, COPD, asthma, allergies, and arthritis.
0.3853208301752743		SimpleArgument(Erma,List([50, 54)))	Relation([is] wife [of],List([43, 47)))	SimpleArgument(him,List([39, 42)))	Cascade Family Medicine was founded by Lawrence Foltz, DO and his wife, Erma (who is also a registered nurse).
0.8034186648553394		SimpleArgument(Cascade Family Medicine,List([0, 23)))	Relation(was founded,List([24, 35)))		Cascade Family Medicine was founded by Lawrence Foltz, DO and his wife, Erma (who is also a registered nurse).
0.9436221120476838		SimpleArgument(Cascade Family Medicine,List([0, 23)))	Relation(was founded by,List([24, 35), [36, 38)))	SimpleArgument(DO,List([39, 41)))	Cascade Family Medicine was founded by Lawrence Foltz, DO and his wife, Erma (who is also a registered nurse).
0.8847999636040884		SimpleArgument(Medicine,List([15, 23)))	Relation([is] Family [of],List([8, 14)))	SimpleArgument(Cascade,List([0, 7)))	Cascade Family Medicine was founded by Lawrence Foltz, DO and his wife, Erma (who is also a registered nurse).
0.9436221120476838		SimpleArgument(Cascade Family Medicine,List([0, 23)))	Relation(was founded by,List([24, 35), [36, 38)))	SimpleArgument(Lawrence Foltz,List([39, 53)))	Cascade Family Medicine was founded by Lawrence Foltz, DO and his wife, Erma (who is also a registered nurse).
0.6639151797428681		SimpleArgument(his medical training,List([54, 74)))	Relation(having been raised in,List([77, 95), [96, 98)))	SpatialArgument(Portland,List([99, 107)))	Dr Foltz was excited to return to the NorthWest after his medical training, having been born and raised in Portland, Oregon.
0.6606631348274571		SimpleArgument(Dr Foltz,List([0, 8)))	Relation(to return after,List([21, 30), [48, 53)))	TemporalArgument(his medical training,List([54, 74)))	Dr Foltz was excited to return to the NorthWest after his medical training, having been born and raised in Portland, Oregon.
0.9003134659636077		SimpleArgument(Dr Foltz,List([0, 8)))	Relation(was,List([9, 12)))	SimpleArgument(excited to return to the NorthWest after his medical training,List([13, 74)))	Dr Foltz was excited to return to the NorthWest after his medical training, having been born and raised in Portland, Oregon.
0.8686046105879486		SimpleArgument(Dr Foltz,List([0, 8)))	Relation(to return to,List([21, 30), [31, 33)))	SimpleArgument(the NorthWest,List([34, 47)))	Dr Foltz was excited to return to the NorthWest after his medical training, having been born and raised in Portland, Oregon.
0.7791361376769851		SimpleArgument(Dr Foltz,List([0, 8)))	Relation(was excited to return to the NorthWest after,List([9, 12), [13, 47), [48, 53)))	TemporalArgument(his medical training , having been born,List([54, 93)))	Dr Foltz was excited to return to the NorthWest after his medical training, having been born and raised in Portland, Oregon.
0.9120890140090938		SimpleArgument(Dr Foltz,List([0, 8)))	Relation(was,List([9, 12)))	SimpleArgument(excited to return to the NorthWest,List([13, 47)))	Dr Foltz was excited to return to the NorthWest after his medical training, having been born and raised in Portland, Oregon.
0.6783685094789625		SimpleArgument(He,List([0, 2)))	Relation(was,List([3, 6)))	SimpleArgument(one of the first Osteopathic Physicians privileged to practice medicine in Vancouver,List([7, 91)))	He was one of the first Osteopathic Physicians privileged to practice medicine in Vancouver, WA.
0.292827695956731	Context(HE wanted,List([99, 108)))	SimpleArgument(HE,List([99, 101)))	Relation(wanted to caring for,List([102, 108), [109, 111), [116, 122), [123, 126)))	SimpleArgument(patients in a personalized manner,List([127, 160)))	He and Erma decided to open a private practice so that he could have the ability to practice medicine how HE wanted to...caring for patients in a personalized manner.
0.9017692064117712	Context(Erma decided,List([0, 12)))	SimpleArgument(Erma,List([0, 4)))	Relation(decided to open,List([5, 12), [13, 20)))	SimpleArgument(a private practice,List([21, 39)))	He and Erma decided to open a private practice so that he could have the ability to practice medicine how HE wanted to...caring for patients in a personalized manner.
0.7448345377060199		SimpleArgument(Erma,List([0, 4)))	Relation(decided to,List([5, 12), [13, 15)))	SimpleArgument(open a private practice so that he could have the ability,List([16, 73)))	He and Erma decided to open a private practice so that he could have the ability to practice medicine how HE wanted to...caring for patients in a personalized manner.
0.292827695956731	Context(HE wanted,List([97, 106)))	SimpleArgument(HE,List([97, 99)))	Relation(wanted to caring for,List([100, 106), [107, 109), [114, 120), [121, 124)))	SimpleArgument(patients in a personalized manner,List([125, 158)))	He and Erma decided to open a private practice so that he could have the ability to practice medicine how HE wanted to...caring for patients in a personalized manner.
0.3880890333449538		SimpleArgument(HE,List([97, 99)))	Relation(wanted to,List([100, 106), [107, 109)))	SimpleArgument(... caring for patients in a personalized manner,List([110, 158)))	He and Erma decided to open a private practice so that he could have the ability to practice medicine how HE wanted to...caring for patients in a personalized manner.
0.39746064682094406	Context(He decided,List([0, 10)))	SimpleArgument(He,List([0, 2)))	Relation(decided to open,List([3, 10), [11, 18)))	SimpleArgument(a private practice,List([19, 37)))	He and Erma decided to open a private practice so that he could have the ability to practice medicine how HE wanted to...caring for patients in a personalized manner.
0.17338191271301215		SimpleArgument(He,List([0, 2)))	Relation(decided to,List([3, 10), [11, 13)))	SimpleArgument(open a private practice so that he could have the ability,List([14, 71)))	He and Erma decided to open a private practice so that he could have the ability to practice medicine how HE wanted to...caring for patients in a personalized manner.
0.45170382506656653		SimpleArgument(he,List([46, 48)))	Relation(could have,List([49, 59)))	SimpleArgument(the ability to practice medicine,List([60, 92)))	He and Erma decided to open a private practice so that he could have the ability to practice medicine how HE wanted to...caring for patients in a personalized manner.
0.896604430840561		SimpleArgument(family centered office,List([22, 44)))	Relation(to be,List([54, 59)))	SimpleArgument(able to provide personal care in a smaller setting,List([60, 110)))	It is a family owned, family centered office, created to be able to provide personal care in a smaller setting.
0.9329156546550058		SimpleArgument(family centered office,List([22, 44)))	Relation(created to,List([46, 53), [54, 56)))	SimpleArgument(be able to provide personal care in a smaller setting,List([57, 110)))	It is a family owned, family centered office, created to be able to provide personal care in a smaller setting.
0.9313202850666147		SimpleArgument(family,List([22, 28)))	Relation(centered,List([29, 37)))	SimpleArgument(office, created to be able to provide personal care in a smaller setting,List([38, 110)))	It is a family owned, family centered office, created to be able to provide personal care in a smaller setting.
0.9256451533996691		SimpleArgument(a family,List([6, 14)))	Relation(owned,List([15, 20)))	SimpleArgument(family centered office, created to be able to provide personal care in a smaller setting,List([22, 110)))	It is a family owned, family centered office, created to be able to provide personal care in a smaller setting.
0.5222094630377523		SimpleArgument(It,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(a family owned, family centered office,,List([6, 45)))	It is a family owned, family centered office, created to be able to provide personal care in a smaller setting.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(enjoy caring for,List([3, 15), [16, 19)))	SimpleArgument(the entire family unit , both old,List([20, 53)))	We enjoy caring for the entire family unit, both young and old, and some of the 'first patients' to the practice are still around.
0.45170382506656653		SimpleArgument(We,List([0, 2)))	Relation(enjoy caring for,List([3, 15), [16, 19)))	SimpleArgument(the entire family unit,List([20, 42)))	We enjoy caring for the entire family unit, both young and old, and some of the 'first patients' to the practice are still around.
0.8556684250881829		SimpleArgument(some of the ' first patients ' to the practice,List([0, 46)))	Relation(are,List([47, 50)))	SimpleArgument(around,List([57, 63)))	We enjoy caring for the entire family unit, both young and old, and some of the 'first patients' to the practice are still around.
0.8736419310871173		SimpleArgument(some of the ' first patients ' to the practice,List([0, 46)))	Relation(are around,List([47, 50), [57, 63)))	TemporalArgument(still,List([51, 56)))	We enjoy caring for the entire family unit, both young and old, and some of the 'first patients' to the practice are still around.
0.38089450366724514		SimpleArgument(Medicine,List([36, 44)))	Relation([is] joined Family [of],List([29, 35)))	SimpleArgument(Cascade,List([21, 28)))	In 2008, Dr. Foltz's youngest daughter, Sherilyn Foltz-Cook finished her medical training as an Osteopathic physician, and joined Cascade Family Medicine.
0.7532657647087118		SimpleArgument(Dr.,List([10, 13)))	Relation(joined Cascade Family Medicine In,List([0, 2), [14, 35), [36, 44)))	TemporalArgument(2008,List([3, 7)))	In 2008, Dr. Foltz's youngest daughter, Sherilyn Foltz-Cook finished her medical training as an Osteopathic physician, and joined Cascade Family Medicine.
0.876543225140763		SimpleArgument(Dr.,List([10, 13)))	Relation(joined,List([14, 20)))	SimpleArgument(Cascade Family Medicine,List([21, 44)))	In 2008, Dr. Foltz's youngest daughter, Sherilyn Foltz-Cook finished her medical training as an Osteopathic physician, and joined Cascade Family Medicine.
0.38089450366724514		SimpleArgument(Sherilyn Foltz - Cook,List([43, 64)))	Relation([is] youngest daughter [of],List([23, 40)))	SimpleArgument(Dr. Foltz,List([10, 19)))	In 2008, Dr. Foltz's youngest daughter, Sherilyn Foltz-Cook finished her medical training as an Osteopathic physician, and joined Cascade Family Medicine.
0.8972398357775778		SimpleArgument(Dr. Foltz 's youngest daughter,List([10, 40)))	Relation(finished her medical training as an Osteopathic physician In,List([0, 2), [65, 112), [113, 122)))	TemporalArgument(2008,List([3, 7)))	In 2008, Dr. Foltz's youngest daughter, Sherilyn Foltz-Cook finished her medical training as an Osteopathic physician, and joined Cascade Family Medicine.
0.8856213652192657		SimpleArgument(Dr. Foltz 's youngest daughter,List([10, 40)))	Relation(finished,List([65, 73)))	SimpleArgument(her medical training as an Osteopathic physician,List([74, 122)))	In 2008, Dr. Foltz's youngest daughter, Sherilyn Foltz-Cook finished her medical training as an Osteopathic physician, and joined Cascade Family Medicine.
0.1886694268496255	Context(He to have,List([0, 19)))	SimpleArgument(her,List([20, 23)))	Relation(join him in,List([24, 28), [29, 32), [33, 35)))	SpatialArgument(working together,List([36, 52)))	He is proud to have her join him in serving the community and working together.
0.2323445791424426		SimpleArgument(He,List([0, 2)))	Relation(to have,List([12, 19)))	SimpleArgument(her join him in working together,List([20, 52)))	He is proud to have her join him in serving the community and working together.
0.3723576963542719		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(proud to have her join him in working together,List([6, 52)))	He is proud to have her join him in serving the community and working together.
0.263652756827333	Context(He to have,List([0, 19)))	SimpleArgument(her,List([20, 23)))	Relation(join,List([24, 28)))	SimpleArgument(him,List([29, 32)))	He is proud to have her join him in serving the community and working together.
0.2323445791424426		SimpleArgument(He,List([0, 2)))	Relation(to have,List([12, 19)))	SimpleArgument(her join him in serving the community,List([20, 57)))	He is proud to have her join him in serving the community and working together.
0.4875515567406569		SimpleArgument(He,List([0, 2)))	Relation(is,List([3, 5)))	SimpleArgument(proud to have her join him in serving the community,List([6, 57)))	He is proud to have her join him in serving the community and working together.
